university_id,university_name,year,world_rank,national_rank,overall_score,country,region,city,university_type,Academic Reputation Score,Employer Reputation Score,citations_score,publications_count,Citations_Count,Citations per Faculty Score,research_output_score,research_productivity_index,subject_field,total_students,international_students_count,faculty_count,faculty_to_student_ratio,gender_ratio,female_percentage,male_percentage,degree_level,Enrollment,country_avg_rank,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_citations,country_avg_international_ratio,Teaching,Research Environment,Research Quality,international_student_percentage,global_ranking_score,research_impact_score,academic_reputation_score
U0429,Clarkson University,2024,999.0,999.0,,United States,North America,Potsdam,Private,1.6,2.4,,,0.0,39.0,100.0,50.0,General,3871.0,8%,291,0.0752,34 : 66,34.0,66.0,Undergraduate & Postgraduate,-1.0,362.265306122449,98,2.0,56.84324489795918,31.06530612244898,265.6666666666667,23.5,29.9,18.0,41.2,8,0.0,66.65,1.6
U0430,Diponegoro University,2024,999.0,999.0,,Indonesia,Asia,Semarang,Public,17.2,33.9,,,0.0,1.4,75.0,37.5,General,35688.0,2%,"2,852",0.0799,56:44:00,56.0,44.0,Undergraduate & Postgraduate,-1.0,1580.0,11,1332.0,21.125681818181818,12.318181818181818,,,27.1,15.4,19.1,2,0.0,41.61,17.2
U0431,Plekhanov Russian University of Economics,2024,999.0,999.0,,Russia,Europe,Moscow,Public,12.6,14.3,,,0.0,2.8,100.0,50.0,General,12595.0,15%,1.585,0.0001,57:43:00,57.0,43.0,Undergraduate & Postgraduate,-1.0,1185.0416666666667,24,95.0,29.87127083333333,13.9625,541.0,,25.9,12.9,44.7,15,0.0,52.17,12.6
U0432,University of Brescia,2024,703.0,37.0,,Italy,Europe,Brescia,Public,3.9,2.1,,705.0,898.0,50.4,100.0,85.21,General,14615.0,6%,523,0.0358,47:53:00,47.0,53.0,Undergraduate & Postgraduate,-1.0,458.72222222222223,18,181.0,47.393,24.450000000000003,335.6666666666667,,24.4,19.2,89.3,6,29.52,71.21,3.9
U0433,University of Engineering & Technology (UET) Lahore,2024,999.0,999.0,,Pakistan,Asia,Lahore,Public,8.9,44.8,,,0.0,5.7,100.0,50.0,General,12720.0,2%,1.020,0.0001,29 : 71,29.0,71.0,Undergraduate & Postgraduate,-1.0,981.5,6,486.0,33.59258333333333,10.95,541.0,,18.8,9.9,53.5,2,0.0,53.33,8.9
U0434,University of Patras,2024,670.0,5.0,,Greece,Europe,Patras,Public,12.1,17.7,,545.0,673.0,24.0,75.0,64.72,General,31172.0,5%,865,0.0277,51:49:00,51.0,49.0,Undergraduate & Postgraduate,-1.0,882.625,8,521.0,35.509249999999994,15.3625,455.0,,19.0,17.8,56.2,5,32.83,50.65,12.1
U0435,Auburn University,2024,546.0,147.0,,United States,North America,Auburn,Public,7.2,8.5,10.3,491.0,673.0,19.0,100.0,74.53,"Business & Management,Biological Sciences,Other Health,Education,History, Philosophy & Theology,Sport Science,Communication & Media Studies,Electrical & Electronic Engineering,Veterinary Science,Chemical Engineering,Art, Performing Arts & Design,Economics & Econometrics,Chemistry,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),General Engineering,Physics & Astronomy,Geography,Agriculture & Forestry,Accounting & Finance,Mechanical & Aerospace Engineering,Psychology,Sociology,Architecture,Medicine & Dentistry,Law,Mathematics & Statistics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science",27670.0,8%,1.507,0.0001,50:50:00,50.0,50.0,Undergraduate & Postgraduate,-1.0,362.265306122449,98,2.0,56.84324489795918,31.06530612244898,265.6666666666667,23.5,36.0,25.7,59.6,8,45.28,49.66,7.2
U0436,Australian Catholic University,2024,999.0,999.0,,Australia,Oceania,Melbourne,Public,8.3,10.5,,,0.0,13.5,100.0,50.0,General,23843.0,14%,1.109,0.0,76:24:00,76.0,24.0,Undergraduate & Postgraduate,-1.0,250.1428571428572,21,54.0,57.36819047619048,33.990476190476194,519.8125,,16.8,25.7,97.0,14,0.0,56.45,8.3
U0437,Bangladesh University of Engineering and Technology,2024,999.0,999.0,,Bangladesh,Asia,Dhaka,Public,15.6,34.8,,,0.0,12.0,100.0,50.0,General,6237.0,0%,486,0.0779,0.970833333,0.970833333,,Undergraduate & Postgraduate,-1.0,1101.428571428571,7,855.0,30.61642857142857,11.542857142857144,,,21.7,15.8,50.7,0,0.0,55.85,15.6
U0438,Clark University,2024,999.0,999.0,,United States,North America,Worcester,Private,3.0,5.3,,,0.0,18.3,100.0,50.0,General,3217.0,27%,276,0.0858,59:41:00,59.0,41.0,Undergraduate & Postgraduate,-1.0,362.265306122449,98,2.0,56.84324489795918,31.06530612244898,265.6666666666667,23.5,26.6,20.8,66.8,27,0.0,58.37,3.0
U0439,De Montfort University,2024,999.0,999.0,,United Kingdom,Europe,Leicester,Public,5.5,4.8,,,0.0,7.6,75.0,37.5,General,23125.0,37%,1.221,0.0001,56:44:00,56.0,44.0,Undergraduate & Postgraduate,-1.0,455.4347826086956,69,1.0,50.81734057971014,25.96666666666667,388.05,48.5,17.8,15.1,71.0,37,0.0,44.09,5.5
U0440,Edinburgh Napier University,2024,999.0,999.0,,United Kingdom,Europe,Edinburgh,Public,4.9,4.2,,,0.0,10.4,75.0,37.5,General,12415.0,34%,613,0.0494,52:48:00,52.0,48.0,Undergraduate & Postgraduate,-1.0,455.4347826086956,69,1.0,50.81734057971014,25.96666666666667,388.05,48.5,18.1,18.4,77.9,34,0.0,45.21,4.9
U0441,Immanuel Kant Baltic Federal University,2024,999.0,999.0,,Russia,Europe,Kaliningrad,Public,8.1,2.3,,,0.0,1.8,75.0,37.5,General,6857.0,19%,921,0.1343,59:41:00,59.0,41.0,Undergraduate & Postgraduate,-1.0,1185.0416666666667,24,95.0,29.87127083333333,13.9625,541.0,,35.9,18.8,16.9,19,0.0,41.77,8.1
U0442,Ivane Javakhishvili Tbilisi State University,2024,999.0,999.0,,Georgia,Asia,Unknown,Public,9.7,2.6,,,0.0,1.2,75.0,37.5,General,23278.0,3%,3.018,0.0001,61:39:00,61.0,39.0,Undergraduate & Postgraduate,-1.0,1602.5,2,1515.0,20.7345,8.0,,,15.9,11.3,22.2,3,0.0,41.53,9.7
U0443,Jouf University,2024,999.0,999.0,,Saudi Arabia,Asia,Sakaka,Public,8.8,5.3,,,0.0,1.9,50.0,25.0,General,19006.0,3%,2.371,0.0001,64:36:00,64.0,36.0,Undergraduate & Postgraduate,-1.0,721.5555555555555,9,424.0,39.266333333333336,13.544444444444444,898.0,,30.5,18.3,58.3,3,0.0,31.81,8.8
U0444,Kaunas University of Technology,2024,999.0,999.0,,Lithuania,Europe,Kaunas,Public,11.3,21.8,,,0.0,6.8,100.0,50.0,General,7986.0,8%,719,0.09,36 : 64,36.0,64.0,Undergraduate & Postgraduate,-1.0,1350.5,2,1259.0,25.48775,11.15,,,22.2,15.3,39.0,8,0.0,53.77,11.3
U0445,Louisiana State University,2024,219.0,82.0,,United States,North America,Baton Rouge,Public,9.7,8.3,,190.0,108.0,16.2,100.0,59.49,General,31112.0,4%,1.490,0.0,55:45:00,55.0,45.0,Undergraduate & Postgraduate,-1.0,362.265306122449,98,2.0,56.84324489795918,31.06530612244898,265.6666666666667,23.5,32.7,21.4,61.1,4,78.11,57.53,9.7
U0446,Maynooth University,2024,999.0,999.0,,Ireland,Europe,Maynooth,Public,10.0,9.2,22.1,,0.0,12.6,100.0,50.0,"Geology, Environmental, Earth & Marine Sciences,Education,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Biological Sciences,General Engineering,Sociology,Computer Science,Mathematics & Statistics,Accounting & Finance,Economics & Econometrics,History, Philosophy & Theology,Communication & Media Studies,Law,Business & Management,Physics & Astronomy,Geography,Psychology,Chemistry,Electrical & Electronic Engineering",11885.0,12%,686,0.0577,56:44:00,56.0,44.0,Undergraduate & Postgraduate,-1.0,484.2857142857143,7,231.0,47.20792857142857,23.4,544.0,,21.1,30.7,77.0,12,0.0,49.46,10.0
U0447,Nagasaki University,2024,629.0,24.0,,Japan,Asia,Nagasaki City,Public,6.9,2.2,,666.0,460.0,6.2,100.0,83.27,General,8782.0,5%,1.303,0.0001,39 : 61,39.0,61.0,Undergraduate & Postgraduate,-1.0,1011.972972972973,37,29.0,35.23782432432433,24.98108108108108,567.8518518518518,,29.4,14.8,28.5,5,36.95,53.53,6.9
U0448,Nanjing University of Aeronautics and Astronautics,2024,636.0,52.0,,China (Mainland),Asia,Nanjing,Public,4.7,2.6,,469.0,673.0,47.3,100.0,73.43,General,33883.0,3%,2.129,0.0001,50:50,,,Undergraduate & Postgraduate,-1.0,328.4,35,12.0,56.53822857142857,28.66857142857143,574.8823529411765,12.0,28.2,31.6,50.1,3,36.24,69.97,4.7
U0449,North-West University,2024,964.0,7.0,,South Africa,Africa,Potchefstroom,Public,7.1,9.1,,823.0,1001.0,13.0,100.0,91.11,General,39684.0,3%,"1,659",0.0418,61:39:00,61.0,39.0,Undergraduate & Postgraduate,-1.0,629.0,8,167.0,43.0708125,17.4875,559.4,,22.7,18.7,64.3,3,3.31,56.25,7.1
U0450,Texas Tech University,2024,437.0,126.0,,United States,North America,Lubbock,Public,11.0,11.8,,423.0,363.0,15.3,75.0,58.63,General,37331.0,6%,1.772,0.0,50:50:00,50.0,50.0,Undergraduate & Postgraduate,-1.0,362.265306122449,98,2.0,56.84324489795918,31.06530612244898,265.6666666666667,23.5,30.7,20.9,56.9,6,56.22,47.17,11.0
U0451,Universiti Tunku Abdul Rahman (UTAR),2024,999.0,999.0,,Malaysia,Asia,Sungai Long,Private,12.9,36.4,,,0.0,5.1,50.0,25.0,General,19080.0,9%,1.124,0.0001,51:49:00,51.0,49.0,Undergraduate & Postgraduate,-1.0,1151.625,8,685.0,29.5884375,10.025,,,16.8,17.1,48.1,9,0.0,33.09,12.9
U0452,University of Alicante,2024,767.0,27.0,,Spain,Europe,Alicante,Public,13.4,6.2,,700.0,673.0,8.0,100.0,84.97,General,22767.0,10%,1.838,0.0001,59:41:00,59.0,41.0,Undergraduate & Postgraduate,-1.0,727.0,9,313.0,39.44405555555555,25.51111111111111,558.7142857142857,,25.0,19.8,43.8,10,23.09,54.25,13.4
U0453,University of Calcutta,2024,997.0,17.0,,India,Asia,Kolkata,Public,15.7,4.3,,798.0,1001.0,20.3,100.0,89.86,General,17879.0,0%,773,0.0432,54:46:00,54.0,46.0,Undergraduate & Postgraduate,-1.0,783.3125,16,218.0,38.128875,14.1375,777.0,,40.0,15.2,33.7,0,0.0,59.17,15.7
U0454,University of Latvia,2024,999.0,999.0,,Latvia,Europe,Riga,Public,12.5,17.8,,,0.0,6.1,75.0,37.5,General,12125.0,7%,570,0.047,69:31:00,69.0,31.0,Undergraduate & Postgraduate,-1.0,1086.5,2,1081.0,30.578,11.95,,,18.6,27.1,40.3,7,0.0,43.49,12.5
U0455,University of Salerno,2024,611.0,28.0,,Italy,Europe,Fisciano,Public,7.9,2.1,,610.0,541.0,31.9,100.0,80.47,General,26142.0,2%,"1,174",0.0449,55:45:00,55.0,45.0,Undergraduate & Postgraduate,-1.0,458.72222222222223,18,181.0,47.393,24.450000000000003,335.6666666666667,,21.9,24.4,79.2,2,38.76,63.81,7.9
U0456,University of Santo Tomas,2024,999.0,999.0,,Philippines,Asia,Manila,Private,11.5,33.5,,,0.0,1.3,50.0,25.0,General,31813.0,7%,"1,990",0.0626,51:49:00,51.0,49.0,Undergraduate & Postgraduate,-1.0,1347.25,4,1050.0,25.6985,21.65,,,19.6,9.5,25.8,7,0.0,31.57,11.5
U0457,Verona University,2024,999.0,999.0,,Italy,Europe,Verona,Public,8.7,2.9,,,0.0,40.0,75.0,37.5,General,20968.0,4%,904,0.0431,64:36:00,64.0,36.0,Undergraduate & Postgraduate,-1.0,458.72222222222223,18,181.0,47.393,24.450000000000003,335.6666666666667,,29.6,26.2,84.1,4,0.0,57.05,8.7
U0458,Vytautas Magnus University,2024,999.0,999.0,,Lithuania,Europe,Kaunas,Public,11.0,20.6,,,0.0,2.1,100.0,50.0,General,8210.0,15%,686,0.0836,61:39:00,61.0,39.0,Undergraduate & Postgraduate,-1.0,1350.5,2,1259.0,25.48775,11.15,,,22.4,12.3,27.4,15,0.0,51.89,11.0
U0459,Yokohama City University,2024,597.0,19.0,,Japan,Asia,Yokohama City,Public,3.3,2.6,,790.0,541.0,10.3,100.0,89.46,General,5144.0,3%,889,0.1728,55:45:00,55.0,45.0,Undergraduate & Postgraduate,-1.0,1011.972972972973,37,29.0,35.23782432432433,24.98108108108108,567.8518518518518,,28.4,11.3,59.4,3,40.16,55.17,3.3
U0460,Chonnam National University,2024,432.0,12.0,,South Korea,Asia,Gwangju,Public,11.7,5.0,,317.0,405.0,14.3,100.0,65.83,General,22051.0,7%,2.342,0.0001,49:51:00,49.0,51.0,Undergraduate & Postgraduate,-1.0,667.5,18,62.0,43.17502777777778,24.98333333333333,605.0,,28.5,28.3,43.6,7,56.73,56.77,11.7
U0461,Chungnam National University,2024,607.0,18.0,,South Korea,Asia,Daejeon,Public,11.7,8.0,,403.0,1001.0,10.6,100.0,70.13,General,20334.0,4%,1.977,0.0001,47:53:00,47.0,53.0,Undergraduate & Postgraduate,-1.0,667.5,18,62.0,43.17502777777778,24.98333333333333,605.0,,29.9,29.7,34.9,4,39.16,55.29,11.7
U0462,CY Cergy Paris University,2024,999.0,999.0,,France,Europe,Unknown,Public,3.4,2.7,,,0.0,6.5,100.0,50.0,General,16082.0,26%,790,0.0491,52:48:00,52.0,48.0,Undergraduate & Postgraduate,-1.0,373.0,9,58.0,54.703833333333336,38.41111111111111,207.0,,23.8,25.3,44.4,26,0.0,53.65,3.4
U0463,Gdańsk University of Technology,2024,999.0,999.0,,Poland,Europe,Gdańsk,Public,9.2,14.4,,,0.0,11.8,100.0,50.0,General,13903.0,5%,1.187,0.0001,38 : 62,38.0,62.0,Undergraduate & Postgraduate,-1.0,1234.625,8,614.0,28.03875,13.5375,479.0,,19.7,17.0,48.3,5,0.0,55.77,9.2
U0464,Georgia State University,2024,480.0,132.0,,United States,North America,Atlanta,Public,11.7,13.6,34.4,554.0,405.0,20.3,100.0,77.67,"Biological Sciences,Economics & Econometrics,Geography,Mathematics & Statistics,Other Health,Physics & Astronomy,Sport Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,History, Philosophy & Theology,Chemistry,Psychology,Languages, Literature & Linguistics,Education,Accounting & Finance,Law,Sociology,Business & Management,Computer Science,Communication & Media Studies,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences",30821.0,7%,1.281,0.0,61:39:00,61.0,39.0,Undergraduate & Postgraduate,-1.0,362.265306122449,98,2.0,56.84324489795918,31.06530612244898,265.6666666666667,23.5,35.0,25.4,72.6,7,51.91,55.0,11.7
U0465,Kanazawa University,2024,561.0,17.0,,Japan,Asia,Kanazawa,Public,9.3,4.4,,533.0,673.0,12.1,100.0,76.62,General,10271.0,6%,1.239,0.0001,37 : 63,37.0,63.0,Undergraduate & Postgraduate,-1.0,1011.972972972973,37,29.0,35.23782432432433,24.98108108108108,567.8518518518518,,35.5,18.8,35.4,6,43.78,55.89,9.3
U0466,King Faisal University,2024,999.0,999.0,,Saudi Arabia,Asia,Hofuf,Public,15.0,8.6,,,0.0,2.4,75.0,37.5,General,29628.0,2%,2.100,0.0001,60:40:00,60.0,40.0,Undergraduate & Postgraduate,-1.0,721.5555555555555,9,424.0,39.266333333333336,13.544444444444444,898.0,,19.9,12.2,68.0,2,0.0,42.01,15.0
U0467,King Faisal University,2024,999.0,999.0,,Saudi Arabia,Asia,Hofuf,Public,15.0,8.6,,,0.0,2.4,75.0,37.5,General,29628.0,2%,2.100,0.0001,60:40:00,60.0,40.0,Undergraduate & Postgraduate,-1.0,721.5555555555555,9,424.0,39.266333333333336,13.544444444444444,898.0,,19.9,12.2,68.0,2,0.0,42.01,15.0
U0468,Kuwait University,2024,999.0,999.0,,Kuwait,Asia,Kuwait City,Public,13.6,8.3,,,0.0,2.2,50.0,25.0,General,34147.0,13%,"1,693",0.0496,73:27:00,73.0,27.0,Undergraduate & Postgraduate,-1.0,1055.0,1,1055.0,31.4095,13.6,,,19.5,9.9,55.5,13,0.0,31.93,13.6
U0469,London South Bank University,2024,999.0,999.0,,United Kingdom,Europe,London,Public,3.5,2.9,,,0.0,5.6,75.0,37.5,General,14510.0,37%,814,0.0561,56:44:00,56.0,44.0,Undergraduate & Postgraduate,-1.0,455.4347826086956,69,1.0,50.81734057971014,25.96666666666667,388.05,48.5,18.6,12.4,65.9,37,0.0,43.29,3.5
U0470,National Research Saratov State University,2024,999.0,999.0,,Russia,Europe,Saratov,Public,5.2,2.5,,,0.0,1.7,100.0,50.0,General,9664.0,11%,1.718,0.0002,58:42:00,58.0,42.0,Undergraduate & Postgraduate,-1.0,1185.0416666666667,24,95.0,29.87127083333333,13.9625,541.0,,26.8,16.1,17.6,11,0.0,51.73,5.2
U0471,Niigata University,2024,618.0,22.0,,Japan,Asia,Niigata City,Public,4.9,3.3,,615.0,673.0,4.6,75.0,68.22,General,11942.0,3%,1.960,0.0002,37 : 63,37.0,63.0,Undergraduate & Postgraduate,-1.0,1011.972972972973,37,29.0,35.23782432432433,24.98108108108108,567.8518518518518,,30.6,15.0,41.8,3,38.05,42.89,4.9
