university_id,2024 RANK,2023 RANK,University,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Student Population,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year,Quality of Education,Alumni Employment,Quality of Faculty,Quality_Publications,Influence,Citations_Count,Latitude,Longitude,type,universities_ranked_count_x,best_university_rank,Country_Avg_Overall_Score,Country_Avg_Academic_Reputation,Country_Avg_Rank,Country_Avg_Citations,female_percentage,male_percentage,Subject_Field,Citation_Score,Research_Output_Score,Enrollment,Undergrad_Students,Postgrad_Students,International_Students (%),Tuition_Fee_USD,Acceptance_Rate (%),Graduation_Rate (%),Employability_Rank,QS_Subject_Rank,QS_Rank,THE_Rank,ARWU_Rank,City,Region,Faculty_Count,Student_Faculty_Ratio,Country_Avg_International_Ratio,Research_Impact_Score,Employability_Score,Internationalization_Score,Research_Productivity_Index,Citation_Total_Score,Academic_Excellence_Score,University_Performance_Index,H_Index,Publication_Count,universities_ranked_count_y
U0325,567,651-700,University of Huddersfield,UK,United Kingdom,L,CO,VH,3,A,12.5,601+,15,548,6.7,701+,20.9,547,65.1,295,79.4,165,41.2,367,9,701+,7.3,701+,14270,26%,58:42:00,43.8945,28.3,25,66.3,44.4,88.4,2024,,,,,,,,,Public,69,1,50.81734058,25.96666667,455.4347826,388.05,58,42,Life Sciences & Medicine,36.3,100,14200,8860,5340,3.827,52630.5,31,95.5,7.5,10,701-750,524,11.5,Huddersfield,Europe,816,18,1.869565217,49.78,12,72.25,1.55,0.116298701,0,0.265674319,197,1539,126
U0326,571,601-650,Chiang Mai University,TH,Thailand,XL,FC,HI,4,A,33.8,256,19.3,466,16.4,701+,3.9,701+,5.1,701+,4.1,701+,20.9,538,17.1,495,59.2,252,33649,4%,61:39:00,33.123,28.5,19.1,46.3,58.1,39.5,2024,667,1001,304,877,793,673,13.03876215,101.7001761,Public,10,612,27.2866,24.82,1271.3,732.25,61,39,Life Sciences & Medicine,8.8,75,35691,23746,11945,1.325,52630.5,4,95.5,7.5,10,601-650,526,11.5,Chiang Mai,Asia,2.51,13,0.5,35.42,18.2,4.6,286.0557769,0.690084915,658.3,0.474908574,155,13793,23
U0327,571,651-700,Coventry University,UK,United Kingdom,XL,CO,VH,3,A,9.2,601+,12.5,601+,15.7,701+,6.8,701+,74.8,257,100,26,50.7,308,13.7,626,26.6,481,32635,48%,48:52:00,39.6085,20.9,14.9,69.6,26.8,95.6,2024,,,,,,,,,Public,69,1,50.81734058,25.96666667,455.4347826,388.05,48,52,Natural Sciences,14.8,75,30640,20022,10618,15.552,52630.5,58,95.5,7.5,10,601-650,558,11.5,Coventry,Europe,2.304,14,1.869565217,47.72,13.1,87.4,3.9,0.116298701,0,0.242237396,185,10994,126
U0328,571,651-700,Coventry University,UK,United Kingdom,XL,CO,VH,3,A,9.2,601+,12.5,601+,15.7,701+,6.8,701+,74.8,257,100,26,50.7,308,13.7,626,26.6,481,32635,48%,48:52:00,39.6085,20.9,14.9,69.6,26.8,95.6,2024,,,,,,,,,Public,69,1,50.81734058,25.96666667,455.4347826,388.05,48,52,Natural Sciences,14.8,75,30640,20022,10618,15.552,52630.5,58,95.5,7.5,10,601-650,558,11.5,Coventry,Europe,2.304,14,1.869565217,47.72,13.1,87.4,3.9,0.116298701,0,0.242237396,185,10994,126
U0329,571,521-530,Warsaw University of Technology,PL,Poland,L,FO,VH,5,A,22.8,382,49.8,172,38.7,408,4.3,701+,1.8,701+,10.3,701+,9.7,676,11.5,701+,2.1,701+,23167,7%,32 : 68,26.6815,22,19.6,33.3,53.5,31.7,2024,632,1001,304,717,833,304,52.215933,19.134422,Public,8,614,28.03875,13.5375,1234.625,479,32,68,Engineering & Technology,9.5,100,21694,14187,7507,1.839,52630.5,8,95.5,7.5,10,501-510,487,11.5,Warsaw,Europe,2.306,9,0.5,27.82,30.65,6.05,247.1812663,0.356143856,644.3,0.340595006,89,5008,53
U0330,577,601-650,Lebanese University,LB,Lebanon,XL,FC,HI,4,A,23.7,364,49.8,171,11.6,701+,2.1,701+,43.3,387,31.9,401,2.3,701+,9.9,701+,2.1,701+,46704,16%,70:30:00,32.791,42.8,22.3,23.6,17.7,78.8,2024,,,,,,,,,Public,2,591,37.52125,17.1,792.5,10.22,70,30,Life Sciences & Medicine,3.4,50,44105,35166,8939,7.754,52630.5,18,95.5,7.5,10,701-750,515,11.5,Beirut,Asia,3.206,15,0.5,23.08,29.85,37.6,4.46,0,0,0.116998486,58,9051,10
U0331,580,651-700,Abu Dhabi University,AE,United Arab Emirates,S,SP,,2,C,11.5,601+,17.9,490,12.6,701+,12.4,689,100,5,99.9,32,1.2,701+,11.3,701+,1.1,701+,2506,60%,51:49:00,57.014,48.2,30,85.8,25.5,97.8,2024,,,,,,,,,Private,5,229,49.6779,18.2,399.2,33.99,51,49,Arts & Humanities,35.9,100,2344,1537,807,2.426,52630.5,60,95.5,7.5,10,701-750,391,11.5,Abu Dhabi,Asia,239,17,0.5,63.48,14.6,99.95,3.16,0,0,0.328721597,65,581,13
U0332,580,486,University of Klagenfurt,AT,Austria,S,FO,VH,4,A,5.5,601+,4.3,601+,60.2,235,11.4,701+,95.2,148,86.6,137,3,701+,12,701+,1.6,701+,3479,31%,67:33:00,45.044,31.2,19.4,72.4,48.1,87.6,2024,,,,,,,,,Public,3,119,51.20583333,30.26666667,395.6666667,317,67,33,Engineering & Technology,16.4,100,3377,2603,774,950,52630.5,33,95.5,7.5,10,501-510,697,11.5,Klagenfurt,Europe,427,8,0.5,51.2,8.15,90.9,4.37,0.095004995,0,0.2690278,69,1812,18
U0333,586,601-650,Sunway University,MY,Malaysia,S,CO,VH,2,B,10.5,601+,44.1,204,52.2,303,7.2,701+,35.5,450,24.3,482,4.4,701+,9.2,701+,5.4,701+,4350,14%,52:48:00,39.591,24.7,14.6,71.7,17.2,78.3,2024,,,,,,,,,Private,8,685,29.5884375,10.025,1151.625,22.69,52,48,Life Sciences & Medicine,25.2,100,5046,3516,1530,703,52630.5,27,95.5,7.5,10,651-700,410,11.5,Petaling Jaya,Asia,569,8,0.5,48.86,26.65,29.9,2.88,0,0,0.216232438,84,874,40
U0334,593,511-520,"Goldsmiths, University of London",UK,United Kingdom,M,FO,VH,5,A,14.9,587,6,601+,14.7,701+,13.6,663,97.8,117,92.8,101,1.2,701+,17.2,490,1.8,701+,8780,38%,66:34:00,45.773,29.2,25.2,75.4,28.9,81,2024,,,,,,,,,Public,69,1,50.81734058,25.96666667,455.4347826,388.05,66,34,Arts & Humanities,17,100,8195,4759,3436,3.492,52630.5,48,95.5,7.5,10,461,715.5,11.5,London,Europe,683,13,1.869565217,55.32,11.6,95.3,2.1,0.116298701,0,0.288727926,99,767,126
U0335,593,801-1000,University of Central Florida,US,United States,XL,FC,VH,4,A,14.4,601+,37.1,264,2.8,701+,25.7,474,17.1,626,4.5,701+,32.1,445,11.1,701+,32.7,420,65269,4%,57:43:00,46.918,28.5,34.4,74.7,78.3,39.9,2024,667,1001,304,421,480,405,39.7837304,-100.445882,Public,98,2,56.8432449,31.06530612,362.2653061,265.6666667,57,43,Engineering & Technology,33,100,61009,39359,21650,2.562,52630.5,5,95.5,7.5,10,751-800,705.5,11.5,Orlando,North America,2.146,25,0.5,58.58,24.1,10.8,215.750233,0.362837163,658.3,0.514092469,472,23867,192
U0336,595,801-1000,Nottingham Trent University,UK,United Kingdom,XL,CO,HI,3,A,10.6,601+,20.5,450,10.2,701+,5.2,701+,56.9,326,61,243,52.1,300,13.8,616,50.6,305,32545,21%,55:45:00,43.763,20.7,14.3,84.6,37.3,88.5,2024,,,,,,,,,Public,69,1,50.81734058,25.96666667,455.4347826,388.05,55,45,Social Sciences & Management,10.7,75,36005,21436,14569,7.07,52630.5,25,95.5,7.5,10,801-1000,609,11.5,Nottingham,Europe,2075,17,1.869565217,56.48,17.15,58.95,2.66,0.116298701,0,0.283596929,153,5527,126
U0337,595,581-590,Shenzhen University,CN,China (Mainland),XL,CO,VH,3,A,8.4,601+,2.3,601+,55.2,275,42.6,314,13.2,698,1.4,701+,14.3,609,17.6,472,15.8,598,35736,1%,49:51:00,49.234,27.8,34.3,85.3,57.9,42.4,2024,667,783,304,627,785,673,30.047992,-94.3357433,Public,35,12,56.53822857,28.66857143,328.4,574.8823529,49,51,Life Sciences & Medicine,90.9,100,35012,28327,6685,465,52630.5,1,95.5,7.5,10,601-650,452,11.5,Shenzhen,Asia,4.947,8,-0.257142857,64.9,9.95,7.3,134.424904,0.642921784,592.9,0.596227919,405,8065,72
U0338,600,651-700,Thammasat University,TH,Thailand,XL,FC,HI,4,A,23.8,360,26.4,365,25.1,583,2.1,701+,11.6,701+,1.7,701+,2,701+,72.5,64,29.4,453,30488,1%,64:36:00,25.069,26.3,19.1,25.7,30.1,38.1,2024,,,,,,,,,Public,10,612,27.2866,24.82,1271.3,732.25,64,36,Social Sciences & Management,3.9,75,39733,27620,12113,422,52630.5,1,95.5,7.5,10,601-650,551,11.5,Bangkok,Asia,2.46,12,0.5,23.06,49.45,6.65,3.05,0.219455544,0,0.13981146,121,11945,23
U0339,600,471,Tulane University,US,United States,L,FC,HI,5,B,9.6,601+,5,601+,81.5,134,10.4,701+,16.9,631,14.5,630,45.5,339,22.7,367,21.4,531,12217,9%,60:40:00,48.176,42.9,24.4,73.1,67.8,50.7,2024,576,295,304,405,333,541,39.7837304,-100.445882,Private,98,2,56.8432449,31.06530612,362.2653061,265.6666667,60,40,"Languages, Literature & Linguistics,Chemistry,Art, Performing Arts & Design,Computer Science,Biological Sciences,Architecture,Education,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Mechanical & Aerospace Engineering,Sociology,History, Philosophy & Theology,Sport Science,Accounting & Finance,Agriculture & Forestry,Communication & Media Studies,Other Health,Law,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Physics & Astronomy,Economics & Econometrics,Psychology,Mathematics & Statistics",58.8,100,13113,11139,1974,1.172,52630.5,10,95.5,7.5,10,436,597,11.5,New Orleans,North America,1.733,6,0.5,53.62,13.85,15.7,285.0548182,0.457942058,410.1,0.472854956,124,2697,192
U0340,601-610,651-700,Drexel University,US,United States,L,FC,VH,5,B,8.4,601+,6.1,601+,21.1,644,35.1,388,32.8,468,22.3,511,28.4,467,26,316,34.6,403,16910,15%,51:49:00,52.1185,44.1,26,79.6,75.6,62.2,2024,667,292,304,378,386,187,39.7837304,-100.445882,Private,98,2,56.8432449,31.06530612,362.2653061,265.6666667,51,49,"Education,Physics & Astronomy,Accounting & Finance,Mechanical & Aerospace Engineering,Computer Science,Biological Sciences,Architecture,General Engineering,Communication & Media Studies,Medicine & Dentistry,Languages, Literature & Linguistics,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Chemical Engineering,Electrical & Electronic Engineering,Sport Science,Business & Management,Economics & Econometrics,Law,History, Philosophy & Theology,Psychology,Veterinary Science,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Mathematics & Statistics,Other Health,Chemistry,Agriculture & Forestry",58.2,100,18893,14160,4733,2.526,52630.5,15,95.5,7.5,10,651-700,715.5,11.5,Philadelphia,North America,1.837,11,0.5,58.16,16.05,27.55,241.6984213,0.21038961,445.6,0.447905228,159,3535,192
U0341,601-610,601-650,Jawaharlal Nehru University,IN,India,M,CO,VH,4,A,29.1,298,10.6,601+,12.2,701+,24.1,500,,,1.6,701+,4.8,701+,13.2,648,47.5,320,9737,1%,45:55:00,38.081,41.9,24.3,51.8,33.9,23.7,2024,667,1001,181,1001,1001,1001,22.3511148,78.6677428,Public,16,218,38.128875,14.1375,783.3125,777,45,55,Life Sciences & Medicine,37.6,100,7759,5254,2505,240,52630.5,1,95.5,7.5,10,561-570,558,11.5,New Delhi,Asia,565,15,0.5,40.8,11.9,0.8,1.771681416,0.932867133,621.4,0.562568481,148,1858,163
U0342,601-610,551-560,University of Szeged,HU,Hungary,L,FC,HI,5,B,18,498,12,601+,44.6,352,4.9,701+,11.9,701+,50.5,288,34.6,420,9.1,701+,34.9,400,20050,20%,56:44:00,31.8115,29.9,15.8,40.5,48.1,57.8,2024,667,1001,292,742,826,898,41.9767629,-72.7789842,Public,8,779,28.8165,12.025,1190.875,629.25,56,44,Life Sciences & Medicine,8.9,75,21326,16795,4531,4.285,52630.5,19,95.5,7.5,10,551-560,597,11.5,Szeged,Europe,1.965,10,0.5,30.62,10.55,31.2,348.0916031,0.816558442,654.7,0.487042085,85,5316,15
U0343,611-620,701-750,Brno University of Technology,CZ,Czech Republic,L,FO,VH,5,A,13.1,601+,34.7,280,22.7,623,6.7,701+,9,701+,70.9,204,38.6,387,14.2,597,2.7,701+,18137,25%,28 : 72,31.0305,22.2,19.3,39,70.3,58.3,2024,,,,,,,,,Public,11,459,29.91190909,13.75454545,1151.727273,587.6666667,28,72,Life Sciences & Medicine,13.7,100,17555,12943,4612,4.562,52630.5,26,95.5,7.5,10,701-750,575,11.5,Brno,Europe,1.464,13,0.5,31.12,24.45,39.95,4.38,0.176123876,0,0.175895867,79,4118,25
U0344,611-620,581-590,National Central University,TW,Taiwan,M,CO,VH,4,A,21.5,402,27.1,358,23,617,17.8,586,12.9,701+,9.1,701+,2.1,701+,6.5,701+,30.2,447,11001,7%,35 : 65,32.099,30.8,24.9,29.7,88.8,44.4,2024,402,1001,304,444,455,673,23.5983227,120.8353769,Public,22,154,33.41943182,20.48181818,1021.181818,734.8571429,35,65,"Medicine & Dentistry,Languages, Literature & Linguistics,History, Philosophy & Theology,Physics & Astronomy,Politics & International Studies (incl Development Studies),Veterinary Science,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Biological Sciences,Chemical Engineering,Architecture,Agriculture & Forestry,Communication & Media Studies,Business & Management,Psychology,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Education,Geography,Chemistry,Economics & Econometrics,Archaeology,Accounting & Finance,Sociology,Mathematics & Statistics,Computer Science,Other Health,Law",27.1,100,11391,6280,5111,1.098,52630.5,7,95.5,7.5,10,521-530,587,11.5,Taoyuan City,Asia,985,11,0.5,27.78,16.8,11,0.45786802,0.690866277,552.3,0.425649457,98,1533,50
U0345,611-620,601-650,Pusan National University,KR,South Korea,L,FC,VH,4,A,23,379,18.5,475,38,416,17.1,599,10.4,701+,12.4,672,7.9,701+,13.3,643,8.1,701+,17195,10%,55:45:00,42.732,39.2,39.1,45.1,86.6,37.8,2024,667,695,304,343,519,541,36.638392,127.6961188,Public,18,62,43.17502778,24.98333333,667.5,605,55,45,Life Sciences & Medicine,36.7,100,15331,9488,5843,1.63,52630.5,14,95.5,7.5,10,601-650,473,11.5,Busan,Asia,2.211,11,0.5,42.7,15.9,11.4,92.26594301,0.55964036,566.5,0.481260564,164,2414,43
U0346,611-620,392,Tokyo Medical and Dental University (TMDU),JP,Japan,S,FO,VH,4,A,11.5,601+,5.8,601+,100,10,18.2,580,3.5,701+,15.3,614,1.2,701+,8,701+,1.1,701+,2990,12%,57:43:00,45.7585,46.7,31.3,53.4,99,39,2024,,,,,,,,,Public,37,29,35.23782432,24.98108108,1011.972973,567.8518519,57,43,"Psychology,Mathematics & Statistics,Geography,General Engineering,Economics & Econometrics,Art, Performing Arts & Design,Other Health,Politics & International Studies (incl Development Studies),Accounting & Finance,Agriculture & Forestry,Physics & Astronomy,History, Philosophy & Theology,Chemical Engineering,Sociology,Business & Management,Archaeology,Civil Engineering,Law,Architecture,Education,Languages, Literature & Linguistics,Computer Science,Medicine & Dentistry,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Chemistry,Geology, Environmental, Earth & Marine Sciences,Sport Science,Veterinary Science,Biological Sciences,Communication & Media Studies",36.7,100,22317,11755,10197.5,325,52630.5,10.5,95.5,7.5,10,381,9.5,11.5,Tokyo,Asia,930,3,0.5,44.56,6.9,9.4,,0.17018537,0,0.2724813,,,
