university_id,2024 RANK,University,Country Code,Country,SIZE,FOCUS,AGE,STATUS,Academic Reputation Score,Employer Reputation Score,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Research Network Score,Employment Outcomes Score,Employment Outcomes Rank,Student Population,International Students,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year,Citations_Count,universities_ranked_count_x,best_university_rank,Country_Avg_Overall_Score,Country_Avg_Academic_Reputation,Country_Avg_Rank,female_percentage,male_percentage,Citation_Score,Research_Output_Score,Enrollment,Undergrad_Students,Postgrad_Students,International_Students (%),Tuition_Fee_USD,Acceptance_Rate (%),Graduation_Rate (%),Employability_Rank,QS_Subject_Rank,QS_Rank,THE_Rank,ARWU_Rank,Region,Faculty_Count,Student_Faculty_Ratio,Country_Avg_International_Ratio,Research_Impact_Score,Employability_Score,Internationalization_Score,Research_Productivity_Index,Citation_Total_Score,Academic_Excellence_Score,University_Performance_Index,H_Index,Publication_Count,clean_name
U0599,1201-1400,Central Michigan University,US,United States,L,FC,4,A,3.6,4.2,7.8,701.0,8.1,701.0,2.1,10.8,701.0,13780,3%,31.274,28.8,15.3,46.8,44.9,33.4,2024,200.0,98,2,56.8432449,31.06530612,362.2653061,60.0,40.0,11.2,100.0,13765,9125,4640.0,2.562,52630.5,10.0,95.5,7.5,10,1105.0,1105.0,11.5,North America,1007.0,13.6693148,0.5,34.2,7.5,3.3,4.87,0.07962038,0.0,0.161268451,101.0,4901.0,central michigan university
U0600,1201-1400,Chaoyang University of Technology,TW,Taiwan,L,FO,3,C,5.6,6.7,4.2,701.0,3.5,701.0,1.0,7.9,701.0,14432,5%,22.695,14.1,18.2,28.2,47.0,38.9,2024,673.0,22,154,33.41943182,20.48181818,1021.181818,55.0,45.0,8.4,100.0,13390,9108,4282.0,424.0,52630.5,6.0,95.5,7.5,10,1347.0,1347.0,11.5,Asia,869.0,15.40851554,0.5,24.2,7.3,6.2,4.27,0.220236906,0.0,0.133312458,61.0,3711.0,chaoyang university of technology
U0601,1201-1400,Feng Chia University,TW,Taiwan,L,FO,3,C,10.0,7.5,4.5,701.0,6.0,701.0,1.0,14.4,584.0,19770,7%,23.0225,18.4,18.9,25.5,40.9,37.7,2024,673.0,22,154,33.41943182,20.48181818,1021.181818,40.0,60.0,11.7,100.0,20114,13651,6463.0,424.0,52630.5,6.0,95.5,7.5,10,1001-1200,1300.5,11.5,Asia,855.0,22.0,0.5,22.86,10.95,4.85,3.81,0.220236906,0.0,0.130975945,126.0,11797.0,feng chia university
U0602,1201-1400,Fu Jen Catholic University,TW,Taiwan,L,FC,4,B,7.3,7.5,4.3,701.0,6.8,701.0,1.0,21.8,381.0,16382,6%,28.3905,24.0,29.2,26.3,65.5,31.1,2024,673.0,22,154,33.41943182,20.48181818,1021.181818,59.0,41.0,14.9,50.0,19288,13009,6279.0,424.0,52630.5,5.0,95.5,7.5,10,1001-1200,1300.5,11.5,Asia,791.0,24.0,0.5,27.46,14.65,7.65,4.45,0.220236906,0.0,0.165897192,184.0,8422.0,fu jen catholic university
U0605,1201-1400,Ivan Franko National University of Lviv,UA,Ukraine,L,CO,5,A,4.3,10.1,34.2,467.0,1.3,701.0,1.0,12.0,701.0,19799,2%,16.366,24.5,10.5,10.0,17.9,31.7,2024,460.0,5,786,23.9251,8.58,1438.6,63.0,37.0,1.7,75.0,21946,14985,6961.0,298.0,52630.5,1.0,95.5,7.5,10,1001-1200,1300.5,11.5,Europe,1774.0,11.0,0.5,10.2,11.05,1.7,3.0,0.0,0.0,0.013440529,36.0,4847.0,ivan franko national university of lviv
U0606,1201-1400,Jahangirnagar University,BD,Bangladesh,L,FO,4,A,8.5,13.7,18.95,695.0,17.75,586.5,1.2,14.7,574.5,12649,0%,35.768,24.1,8.9,71.9,19.5,49.7,2024,460.0,7,855,30.61642857,11.54285714,1101.428571,49.0,51.0,9.3,62.5,11895,6516,5379.0,113.5,52630.5,0.0,95.5,7.5,10,1300.5,1300.5,11.5,Asia,948.0,12.54746835,0.5,46.7,14.2,0.0,3.16,0.0,0.0,0.194438303,76.0,2992.0,jahangirnagar university
U0607,1201-1400,King Mongkut's University of Technology North Bangkok,TH,Thailand,L,FO,3,A,8.1,5.8,3.7,701.0,3.0,701.0,1.1,8.3,701.0,28122,0%,26.9205,16.2,12.7,50.9,25.9,28.7,2024,785.5,10,612,27.2866,24.82,1271.3,42.0,58.0,7.3,75.0,27960,22096,5864.0,546.5,52630.5,1.0,95.5,7.5,10,1300.5,1300.5,11.5,Asia,1774.0,15.76099211,0.5,35.62,7.05,2.25,2.69,0.219455544,0.0,0.182102699,94.0,4768.0,king mongkuts university of technology north bangkok
U0608,1201-1400,Kwansei Gakuin University,JP,Japan,L,CO,4,B,4.2,6.4,4.5,701.0,2.5,701.0,1.0,10.6,701.0,25232,4%,15.902,15.7,9.5,15.4,20.7,40.9,2024,541.0,37,29,35.23782432,24.98108108,1011.972973,49.0,51.0,17.81918381,100.0,25457,19057,6400.0,439.0,52630.5,4.0,95.5,7.5,10,1913.0,1913.0,11.5,Asia,1407.0,18.0931059,0.5,13.04,8.5,14.15,2.71,0.17018537,0.0,0.061892311,154.0,3817.0,kwansei gakuin university
U0610,1201-1400,Marquette University,US,United States,M,CO,5,B,3.4,3.8,23.7,600.0,9.3,701.0,1.5,13.2,651.0,10317,3%,36.818,36.9,18.2,54.0,49.3,33.1,2024,200.0,98,2,56.8432449,31.06530612,362.2653061,58.0,42.0,15.2,100.0,15996,9029,6967.0,367.0,52630.5,24.9174297,95.5,7.5,10,1001-1200,1300.5,11.5,North America,913.0,12.0,0.5,39.68,8.5,4.75,2.5,0.07962038,0.0,0.199344525,130.0,4240.0,marquette university
U0611,1201-1400,Mendeleev University of Chemical Technology,RU,Russia,M,FO,5,A,4.9,3.9,30.5,515.0,2.7,701.0,1.0,7.2,701.0,7338,6%,17.667,19.6,14.1,14.3,43.4,23.6,2024,541.0,24,95,29.87127083,13.9625,1185.041667,56.0,44.0,14.9932183,100.0,8593,5952,2641.0,385.0,52630.5,8.0,95.5,7.5,10,801-1000,1928.0,11.5,Europe,683.0,10.0,0.5,14.22,5.55,3.4,2.24,0.162137862,0.0,0.070446119,68.0,1284.0,mendeleev university of chemical technology
U0612,1201-1400,Naresuan University,TH,Thailand,L,FC,3,A,6.5,3.3,6.5,701.0,2.0,701.0,1.0,7.9,701.0,27234,1%,15.7605,15.8,10.5,14.8,28.3,33.1,2024,785.5,10,612,27.2866,24.82,1271.3,68.0,32.0,3.0,75.0,26692,23419,3273.0,546.5,52630.5,1.0,95.5,7.5,10,1858.0,1858.0,11.5,Asia,2061.0,12.95099466,0.5,13.08,5.6,3.6,2.39,0.219455544,0.0,0.073733809,62.0,4920.0,naresuan university
U0613,1201-1400,National Dong Hwa University,TW,Taiwan,M,FO,2,A,6.3,2.3,6.5,701.0,6.4,701.0,1.0,7.6,701.0,9970,9%,25.4115,19.1,23.8,26.3,33.5,48.6,2024,673.0,22,154,33.41943182,20.48181818,1021.181818,52.0,48.0,8.7,100.0,10094,7659,2435.0,804.0,52630.5,10.0,95.5,7.5,10,1001-1200,1300.5,11.5,Asia,563.0,17.0,0.5,25.3,4.95,6.7,2.47,0.220236906,0.0,0.147600136,68.0,1988.0,national dong hwa university
U0615,1201-1400,National Taiwan Ocean University,TW,Taiwan,M,FO,3,A,5.7,3.2,11.6,701.0,10.1,701.0,1.1,8.6,701.0,8244,8%,27.244,19.7,25.0,30.2,63.0,34.7,2024,898.0,22,154,33.41943182,20.48181818,1021.181818,32.0,68.0,31.0,100.0,8418,4726,3692.0,551.0,52630.5,8.0,95.5,7.5,10,1001-1200,1300.5,11.5,Asia,560.0,14.0,0.5,28.12,5.9,6.65,1.660714286,0.848208934,625.9,0.462576256,94.0,1523.0,national taiwan ocean university
U0616,1201-1400,National University of Life and Environmental Sciences of Ukraine,UA,Ukraine,L,FO,5,A,5.7,4.4,17.2,701.0,1.4,701.0,1.1,9.8,701.0,17628,1%,20.539,20.3,8.9,30.1,25.3,25.7,2024,460.0,5,786,23.9251,8.58,1438.6,45.0,55.0,16.79116886,75.0,19154,13668,5486.0,125.8385,52630.5,1.0,95.5,7.5,10,2053.0,2053.0,11.5,Europe,966.0,19.82815735,0.5,21.62,7.1,1.2,3.05,0.0,0.0,0.062208579,101.0,2945.0,national university of life and environmental sciences of ukraine
