uni_id,yr,Total_Students,Intl_Students_Count,Intl_Student_Ratio_pct,Faculty_Count,Faculty_Student_Ratio,Gender_Ratio,Female_Pct,Male_Pct,Degree_Level,UG_Count,PG_Count,Country_Avg_Rank,Univ_Ranked_Count,Best_Univ_Rank,Country_Avg_Score,Country_Avg_Acad_Rep,Country_Avg_Citations,Country_Avg_Intl_Ratio
3016,2024,54890.0,1098.0,2.0,3195.0,17.1799687, 58:42:00,57.60347107,42.39652893,Undergraduate & Postgraduate  ,40218,14672,611.64,7,334.0,34.16,8.24,67.29,6.13
992,2018,31554.0,6821.0,21.61691069,4054.0,8.0,54:46:00,54.0,46.0,Undergraduate & Postgraduate,22898,8656,580.27,11,173.0,35.32,38.14,36.97,190.87
965,2017,3192.0,79.0,2.474937343,266.0,12.0,57:43:00,57.48141237,42.51858763, Undergraduate & Postgraduate,2573,619,528.12,8,236.0,38.08,42.57,37.89,1158.35
2239,2022,36180.0,1697.0,4.690436705,2412.0,15.0,51:49:00,50.84635432,49.15364568,UNDERGRADUATE & POSTGRADUATE,26483,9697,1053.97,36,135.0,31.4,31.29,30.89,198.9
506,2019,8443.0,1872.0,22.17221367,1145.0,9.0,25 : 75,25.0,75.0,Undergraduate & Postgraduate,5609,2834,153.0,14,52.0,52.42,51.3,52.41,27.4
2629,2022,21416.0,2570.0,12.0,1662.0,12.8856799,53:47:00,53.0,47.0,undergraduate & postgraduate,12839,8577,374.08,85,32.0,47.36,46.64,48.12,14.71
906,2016,15128.0,3479.0,23.0,1774.0,8.527621195,50:50:00,50.0,50.0, Undergraduate & Postgraduate  ,10867,4261,268.1,147,1.0,48.97,48.75,49.63,12.14
2358,2023,28179.0,8322.0,29.53339179,2092.0,13.46988528,59:41:00,58.80996144,41.19003856,Undergraduate & Postgraduate  ,21159,7020,835.17,78,178.0,35.3,28.29,25.92,15.9
1450,2020,22892.0,2268.0,9.907391228,3127.0,7.0,32 : 68,32.0,68.0,Undergraduate & Postgraduate,15268,7624,883.41,111,22.0,24.58,24.14,24.31,4.17
219,2017,15.9,1.755,11.03773585,50.0,15.0,54:46:00  ,54.11934296,45.88065704,Undergraduate & Postgraduate,10,6,361.11,10,148.0,36.54,40.97,38.8,412.94
2507,2017,26360.0,10457.0,39.66995448,3586.0,9.0,54:46:00,54.0,46.0,Undergraduate & Postgraduate,16758,9602,367.05,105,4.0,44.04,43.22,43.94,25.93
2503,2025,15607.0,1873.0,12.0,815.0,19.14969325,59:41:00,59.0,41.0,Undergraduate & Postgraduate  ,10386,5221,474.44,8,119.0,46.9,29.89,30.64,15.8
2586,2019,14890.0,608.0,4.083277367,437.0,32.0,61:39:00,61.0,39.0, Undergraduate & Postgraduate  ,8350,6540,707.5,9,446.0,29.75,30.12,29.34,3.03
3088,2025,7300.0,1168.0,16.0,542.0,13.46863469,72:28:00,72.0,28.0,Undergraduate & Postgraduate,4891,2409,552.13,123,2.0,45.45,32.09,34.62,32.34
2319,2016,39861.0,399.0,1.0,1750.0,22.77771429,47:53:00,47.0,53.0,Undergraduate & Postgraduate,30853,9008,656.41,17,209.0,21.66,20.5,22.04,1.76
2411,2018,25323.0,8073.0,31.88010899,1101.0,23.0,52:48:00,52.14836905,47.85163095, Undergraduate & Postgraduate,17950,7373,245.62,12,71.0,50.0,51.66,53.32,19.33
1410,2018,11126.0,2.285,0.02053748,50.0,10.0,45:55:00,45.0,55.0,Undergraduate & Postgraduate,7643,3483,508.12,24,95.0,32.85,34.37,31.32,15.95
1322,2023,167063.0,1671.0,1.0,16021.0,10.42775108,64:36:00,64.0,36.0,Undergraduate & Postgraduate,119392,47671,968.59,27,67.0,37.43,14.32,3.06,20.84
219,2019,15.9,1.755,11.03773585,50.0,15.0,55:45:00,55.0513013,44.9486987,Undergraduate & Postgraduate,11,5,390.67,10,154.0,35.68,38.57,36.82,412.76
2065,2026,13113.0,1311.0,10.0,582.0,22.53092784,61:39:00,61.0,39.0,Undergraduate & Postgraduate,11139,1974,647.61,192,1.0,48.68,29.74,38.11,19.26
1180,2022,15374.0,154.0,1.0,1184.0,12.9847973,32 : 68  ,32.0,68.0,undergraduate & postgraduate,10153,5221,1043.91,120,23.0,24.82,24.45,24.95,4.19
1554,2025,7450.0,894.0,12.0,609.0,12.23316913,73:27:00,73.0,27.0,Undergraduate & Postgraduate,6327,1123,1206.26,52,258.0,33.0,21.59,17.81,11.59
2152,2026,27490.0,4481.0,16.29983418,1564.0,17.57672634,48:52:00,47.57141662,52.42858338,UNDERGRADUATE & POSTGRADUATE,20281,7209,1437.58,14,345.0,23.27,18.84,8.9,7.77
1587,2025,18234.0,4165.0,22.84038676,917.0,19.88440567,56:44:00,56.00283449,43.99716551, Undergraduate & Postgraduate  ,11125,7109,563.74,38,25.0,44.39,29.08,38.62,22.7
459,2019,18.676,2.27,12.15463697,50.0,7.0,30 : 70,29.55102575,70.44897425,Undergraduate & Postgraduate,14,5,461.24,35,36.0,37.06,38.41,36.91,132.89
2792,2025,12336.0,493.0,4.0,1044.0,11.81609195,63:37:00,63.0,37.0,UNDERGRADUATE & POSTGRADUATE,9936,2400,1110.58,72,410.0,32.58,32.54,33.08,4.0
503,2026,48284.0,12845.0,26.60281558,3188.0,15.1455458,61:39:00,61.27430747,38.72569253, Undergraduate & Postgraduate,34220,14064,913.31,26,269.0,35.8,18.27,15.63,16.42
1091,2018,1802.0,1613.0,89.51165372,106.0,17.0,50:50:00,49.78738688,50.21261312,UNDERGRADUATE & POSTGRADUATE,1384,418,409.58,108,5.0,44.57,43.53,43.66,24.19
1966,2023,9870.0,1459.0,14.77899528,831.0,11.87725632,51:49:00,51.43556312,48.56443688,Undergraduate & Postgraduate,6050,3820,532.05,119,2.0,45.62,30.96,36.67,30.4
423,2016,22751.0,0.0,0.0,1097.0,20.73928897, 60:40:00  ,59.92421724,40.07578276,UNDERGRADUATE & POSTGRADUATE,16109,6642,574.33,9,344.0,25.84,26.53,27.51,9.44
1772,2023,18396.0,736.0,4.0,1952.0,9.424180328, 32 : 68,32.0,68.0,Undergraduate & Postgraduate,9501,8895,1101.81,43,288.0,28.62,17.12,14.0,11.64
1228,2019,8904.0,943.0,10.59074573,636.0,14.0, 49:51:00,49.05568102,50.94431898,Undergraduate & Postgraduate,5045,3859,565.75,18,87.0,36.65,37.86,35.4,67.55
3092,2023,10660.0,533.0,5.0,779.0,13.68421053, 51:49:00  ,51.0,49.0,Undergraduate & Postgraduate,6577,4083,646.76,264,1.0,44.35,28.72,37.03,16.54
1825,2020,8021.0,1444.0,18.0,974.0,8.235112936,30 : 70,30.0,70.0,Undergraduate & Postgraduate,6250,1771,1170.52,21,548.0,18.13,18.78,19.06,11.05
516,2023,13773.0,413.0,3.0,897.0,15.35451505,54:46:00,54.0,46.0,Undergraduate & Postgraduate,7805,5968,1264.96,73,460.0,24.69,17.31,16.31,8.88
622,2019,35835.0,4609.0,12.86172736,5537.0,7.0,54:46:00,54.0,46.0,UNDERGRADUATE & POSTGRADUATE  ,25376,10459,257.29,12,81.0,47.26,46.15,45.04,19.7
2116,2023,20840.0,4827.0,23.163426,1494.0,13.94912985,54:46:00,53.73860573,46.26139427,Undergraduate & Postgraduate,14057,6783,1150.91,45,105.0,28.03,14.59,6.96,11.93
1216,2021,15317.0,1532.0,10.0,865.0,17.70751445,28 : 72,28.0,72.0,Undergraduate & Postgraduate,9363,5954,1244.29,28,336.0,19.18,20.5,19.35,11.14
1089,2022,13817.0,473.0,3.4233191,50.0,10.0, 39 : 61,39.0,61.0,UNDERGRADUATE & POSTGRADUATE  ,11976,1841,1048.53,33,308.0,27.75,28.39,26.78,360.38
2989,2017,7175.0,2440.0,34.0,868.0,8.266129032,33 : 67  ,33.0,67.0, Undergraduate & Postgraduate,4094,3081,166.85,13,8.0,61.29,58.94,62.4,29.74
