name,slug,country,city,founded,type,students,website
Academia BAI - Instituto Superior de Administração e Finanças,academia-bai-instituto-superior-de-administracao-e-financas,Angola,Luanda,,,,
Academia Club de Teatro,academia-club-de-teatro,,,,,,
Academia de la Inmaculada Concepción,academia-de-la-inmaculada-concepcion,,,,,,
Academia de Música de Lagos,academia-de-musica-de-lagos,Portugal,,1986,,,
Academia de Música de Santa Cecília,academia-de-musica-de-santa-cecilia,Portugal,,,,,
Academia del Perpetuo Socorro,academia-del-perpetuo-socorro,,,,,,
Academia Estadual de Segurança Pública do Ceará,academia-estadual-de-seguranca-publica-do-ceara,Brazil,,,,,
Academia General del Aire,academia-general-del-aire,,,,,,
"Academia Ipuense de Letras, Ciências e Artes",academia-ipuense-de-letras-ciencias-e-artes,Brazil,,,,,
Academia Pernambucana de Música,academia-pernambucana-de-musica,Brazil,,,,,
Academia Técnica Militar Bolivariana,academia-tecnica-militar-bolivariana,Venezuela,Maracay,2009,,,
"Academic Center for Education, Culture and Research (Rasht)",academic-center-for-education-culture-and-research-rasht,Iran,,,,,
Academic City University College,academic-city-university-college,Ghana,Accra,2009,,,
Academic Law Institute,academic-law-institute,Russia,,1993,,,
Academic Music College of the Moscow Conservatory,academic-music-college-of-the-moscow-conservatory,,,,,,
Academic University,academic-university,Libya,Tripoli,2018,,,
Academic University at the St. Petersburg Academy of Sciences,academic-university-at-the-st-petersburg-academy-of-sciences,,,,,,
Academician Yuriy Bugay International Scientific and Technical University,academician-yuriy-bugay-international-scientific-and-technical-university,Ukraine,,1993,,,
Académie Colarossi,academie-colarossi,,,,,,
Académie de Die,academie-de-die,France,,1604,,,
Académie de la Grande Chaumière,academie-de-la-grande-chaumiere,,,,,,
Académie de La Palette,academie-de-la-palette,,,,,,
Académie des Arts de Thiais,academie-des-arts-de-thiais,France,,1884,,,
Académie Franco-Américaine de Management,academie-franco-americaine-de-management,Gabon,Libreville,2013,,,
Académie internationale Mohammed VI de l'aviation civile,academie-internationale-mohammed-vi-de-laviation-civile,Morocco,Casablanca,2000,,,
Académie Julian,academie-julian,,,,,,
Académie Louvain,academie-louvain,Belgium,,2004,,,
Academy Drama School,academy-drama-school,,,,,,
Academy for public administration Bremen,academy-for-public-administration-bremen,Germany,,1979,,191,
Academy of Art University,academy-of-art-university,United States,,1929,,8928,
Academy of Arts in Banská Bystrica,academy-of-arts-in-banska-bystrica,Slovakia,Banská Bystrica,1997,,600,
"Academy of Arts, Architecture and Design in Prague",academy-of-arts-architecture-and-design-in-prague,Czech Republic,,1885,,420,
"Academy of Arts, Belgrade",academy-of-arts-belgrade,Serbia,,1994,,,
"Academy of Arts, Berlin",academy-of-arts-berlin,,,,,,
"Academy of Arts, University of Osijek",academy-of-arts-university-of-osijek,Croatia,Osijek,2004,,,
Academy of Banking,academy-of-banking,Kazakhstan,,1931,,,
Academy of Chinese Culture and Health Sciences,academy-of-chinese-culture-and-health-sciences,United States,,1982,,97,
Academy of Christian Humanism University,academy-of-christian-humanism-university,Chile,,1975,,,
Academy of Civil Aviation,academy-of-civil-aviation,Kazakhstan,Almaty,1995,,,
Academy of Climate Change Education and Research,academy-of-climate-change-education-and-research,India,,2010,,,
Academy of Commerce,academy-of-commerce,,,,,,
Academy of Contemporary Music,academy-of-contemporary-music,,,,,,
Academy of Cryptography Techniques,academy-of-cryptography-techniques,,,,,,
Academy of Dramatic Art,academy-of-dramatic-art,,,,,,
Academy of Economic Studies of Moldova,academy-of-economic-studies-of-moldova,Moldova,Chișinău,1991,,16000,
Academy of European Law,academy-of-european-law,Germany,Trier,1992,,,
Academy of Film and Multimedia Marubi,academy-of-film-and-multimedia-marubi,Albania,Tirana,1999,,,
Academy of Finance,academy-of-finance,,,,,,
Academy of Fine Arts In Łódź,academy-of-fine-arts-in-odz,Poland,,1945,,,
Academy of Fine Arts Leipzig,academy-of-fine-arts-leipzig,Germany,Leipzig,1764,,547,
Academy of Fine Arts Münster,academy-of-fine-arts-munster,Germany,,1971,,362,
Academy of Fine Arts of Helsinki,academy-of-fine-arts-of-helsinki,,,,,,
Academy of Fine Arts Vienna,academy-of-fine-arts-vienna,Austria,,1692,,1494,
"Academy of Fine Arts, Florence",academy-of-fine-arts-florence,,,,,,
"Academy of Fine Arts, Karlsruhe",academy-of-fine-arts-karlsruhe,Germany,,1854,,341,
"Academy of Fine Arts, Munich",academy-of-fine-arts-munich,,,,,,
"Academy of Fine Arts, Nuremberg",academy-of-fine-arts-nuremberg,Germany,,1662,,271,
"Academy of Fine Arts, Prague",academy-of-fine-arts-prague,,,,,,
"Academy of Fine Arts, University of Zagreb",academy-of-fine-arts-university-of-zagreb,,,,,,
"Academy of Fine Arts, Verona",academy-of-fine-arts-verona,Italy,Verona,1764,,,
"Academy of Fine Arts, Warsaw",academy-of-fine-arts-warsaw,,,,,,
Academy of Higher Art and Culture Education,academy-of-higher-art-and-culture-education,Suriname,,1981,,,
Academy of Information Technology,academy-of-information-technology,Australia,,,,,
Academy of Interactive Entertainment,academy-of-interactive-entertainment,United States,,1996,,112,
Academy of Internal Troops of Ukraine,academy-of-internal-troops-of-ukraine,Ukraine,,1931,,,
