name,slug,country,city,founded,type,students,website
Faculdade de Tecnologia e Negócios Carlos Drummond de Andrade,faculdade-de-tecnologia-e-negocios-carlos-drummond-de-andrade,Brazil,São Paulo,,,,
Faculdade de Tecnologia Egídio José da Silva,faculdade-de-tecnologia-egidio-jose-da-silva,Brazil,,,,,
"Faculdade de Tecnologia em Hotelaria, Gastronomia e Turismo de São Paulo",faculdade-de-tecnologia-em-hotelaria-gastronomia-e-turismo-de-sao-paulo,Brazil,São Paulo,,,,
Faculdade de Tecnologia Ensitec,faculdade-de-tecnologia-ensitec,Brazil,,,,,
Faculdade de Tecnologia Equipe Darwin,faculdade-de-tecnologia-equipe-darwin,Brazil,Brasília,,,,
Faculdade de Tecnologia Estudante Rafael Almeida Camarinha - Marilia,faculdade-de-tecnologia-estudante-rafael-almeida-camarinha-marilia,Brazil,,,,,
Faculdade de Tecnologia Evolução,faculdade-de-tecnologia-evolucao,Brazil,Fortaleza,,,,
Faculdade de Tecnologia Faesa,faculdade-de-tecnologia-faesa,Brazil,,,,,
Faculdade de Tecnologia Fama,faculdade-de-tecnologia-fama,Brazil,Recife,,,,
Faculdade de Tecnologia Fatep,faculdade-de-tecnologia-fatep,Brazil,,,,,
Faculdade de Tecnologia Finaci,faculdade-de-tecnologia-finaci,Brazil,São Paulo,,,,
Faculdade de Tecnologia Francisco Morato,faculdade-de-tecnologia-francisco-morato,Brazil,,,,,
Faculdade de Tecnologia Fundetec,faculdade-de-tecnologia-fundetec,Brazil,São Paulo,,,,
Faculdade de Tecnologia Gestão & Marketing,faculdade-de-tecnologia-gestao-marketing,Brazil,Recife,,,,
Faculdade de Tecnologia Herrero,faculdade-de-tecnologia-herrero,Brazil,,,,,
Faculdade de Tecnologia Iapec,faculdade-de-tecnologia-iapec,Brazil,,,,,
Faculdade de Tecnologia Ibratec,faculdade-de-tecnologia-ibratec,Brazil,Recife,,,,
Faculdade de Tecnologia Ibratec de João Pessoa,faculdade-de-tecnologia-ibratec-de-joao-pessoa,Brazil,,,,,
Faculdade de Tecnologia Ibta,faculdade-de-tecnologia-ibta,Brazil,São Paulo,,,,
Faculdade de Tecnologia Ibta - São José dos Campos,faculdade-de-tecnologia-ibta-sao-jose-dos-campos,Brazil,,,,,
Faculdade de Tecnologia Ibta Campinas,faculdade-de-tecnologia-ibta-campinas,Brazil,,,,,
Faculdade de Tecnologia Ined - Unidade Betim,faculdade-de-tecnologia-ined-unidade-betim,Brazil,,,,,
Faculdade de Tecnologia Ined - Unidade Contagem,faculdade-de-tecnologia-ined-unidade-contagem,Brazil,,,,,
Faculdade de Tecnologia Ined - Unidade Ipatinga,faculdade-de-tecnologia-ined-unidade-ipatinga,Brazil,,,,,
Faculdade de Tecnologia Ined - Unidade Lagoa da Pampulha,faculdade-de-tecnologia-ined-unidade-lagoa-da-pampulha,Brazil,Belo Horizonte,,,,
Faculdade de Tecnologia Ined - Unidade Venda Nova,faculdade-de-tecnologia-ined-unidade-venda-nova,Brazil,Belo Horizonte,,,,
Faculdade de Tecnologia Inesul do Paraná,faculdade-de-tecnologia-inesul-do-parana,Brazil,,,,,
Faculdade de Tecnologia Informática,faculdade-de-tecnologia-informatica,Brazil,Fortaleza,,,,
Faculdade de Tecnologia Inspirar,faculdade-de-tecnologia-inspirar,Brazil,,,,,
Faculdade de Tecnologia Integral,faculdade-de-tecnologia-integral,Brazil,,,,,
Faculdade de Tecnologia Intensiva,faculdade-de-tecnologia-intensiva,Brazil,Fortaleza,,,,
Faculdade de Tecnologia Interamérica,faculdade-de-tecnologia-interamerica,Brazil,São Paulo,,,,
Faculdade de Tecnologia Internacional,faculdade-de-tecnologia-internacional,Brazil,,,,,
Faculdade de Tecnologia Ipep de Campinas,faculdade-de-tecnologia-ipep-de-campinas,Brazil,,,,,
Faculdade de Tecnologia Ipuc,faculdade-de-tecnologia-ipuc,Brazil,,,,,
Faculdade de Tecnologia Jardim,faculdade-de-tecnologia-jardim,Brazil,,,,,
Faculdade de Tecnologia La Salle - Estrela,faculdade-de-tecnologia-la-salle-estrela,Brazil,,,,,
Faculdade de Tecnologia Lourenço Filho,faculdade-de-tecnologia-lourenco-filho,Brazil,Fortaleza,,,,
Faculdade de Tecnologia Luiz Adelar Scheuer,faculdade-de-tecnologia-luiz-adelar-scheuer,Brazil,,,,,
Faculdade de Tecnologia Machado de Assis,faculdade-de-tecnologia-machado-de-assis,Brazil,,,,,
Faculdade de Tecnologia Novo Rumo,faculdade-de-tecnologia-novo-rumo,Brazil,Belo Horizonte,,,,
Faculdade de Tecnologia Oswaldo Cruz,faculdade-de-tecnologia-oswaldo-cruz,Brazil,São Paulo,,,,
Faculdade de Tecnologia Pastor Dohms,faculdade-de-tecnologia-pastor-dohms,Brazil,,,,,
Faculdade de Tecnologia Paulista,faculdade-de-tecnologia-paulista,Brazil,,,,,
Faculdade de Tecnologia Paulo Freire,faculdade-de-tecnologia-paulo-freire,Brazil,Brasília,,,,
Faculdade de Tecnologia Pedro Rogério Garcia,faculdade-de-tecnologia-pedro-rogerio-garcia,Brazil,,,,,
Faculdade de Tecnologia Pentágono,faculdade-de-tecnologia-pentagono,Brazil,,,,,
Faculdade de Tecnologia Pitágoras - Unidade Londrina,faculdade-de-tecnologia-pitagoras-unidade-londrina,Brazil,,,,,
Faculdade de Tecnologia Porto das Monções,faculdade-de-tecnologia-porto-das-moncoes,Brazil,,,,,
Faculdade de Tecnologia Prof. Luiz Rosa,faculdade-de-tecnologia-prof-luiz-rosa,Brazil,,,,,
Faculdade de Tecnologia Radial Curitiba,faculdade-de-tecnologia-radial-curitiba,Brazil,,,,,
Faculdade de Tecnologia Radial Santo André,faculdade-de-tecnologia-radial-santo-andre,Brazil,,,,,
Faculdade de Tecnologia Rogacionista,faculdade-de-tecnologia-rogacionista,Brazil,Brasília,,,,
Faculdade de Tecnologia Rubens Lara,faculdade-de-tecnologia-rubens-lara,Brazil,,,,,
Faculdade de Tecnologia Saint Pastous,faculdade-de-tecnologia-saint-pastous,Brazil,,,,,
Faculdade de Tecnologia Santo André,faculdade-de-tecnologia-santo-andre,Brazil,,,,,
Faculdade de Tecnologia São Francisco,faculdade-de-tecnologia-sao-francisco-q56841566,Brazil,,,,,
Faculdade de Tecnologia São Francisco,faculdade-de-tecnologia-sao-francisco,Brazil,,,,,
Faculdade de Tecnologia São Mateus,faculdade-de-tecnologia-sao-mateus,Brazil,,,,,
Faculdade de Tecnologia Senac Blumenau,faculdade-de-tecnologia-senac-blumenau,Brazil,,,,,
Faculdade de Tecnologia Senac Caçador,faculdade-de-tecnologia-senac-cacador,Brazil,,,,,
Faculdade de Tecnologia Senac Chapecó,faculdade-de-tecnologia-senac-chapeco,Brazil,,,,,
Faculdade de Tecnologia Senac do Rio Grande do Sul,faculdade-de-tecnologia-senac-do-rio-grande-do-sul,Brazil,,,,,
Faculdade de Tecnologia Senac Florianópolis,faculdade-de-tecnologia-senac-florianopolis,Brazil,,,,,
Faculdade de Tecnologia Senac Goiás,faculdade-de-tecnologia-senac-goias,Brazil,Goiânia,,,,
Faculdade de Tecnologia Senac Jaraguá do Sul,faculdade-de-tecnologia-senac-jaragua-do-sul,Brazil,,,,,
Faculdade de Tecnologia Senac Passo Fundo,faculdade-de-tecnologia-senac-passo-fundo,Brazil,,,,,
Faculdade de Tecnologia Senac Pelotas,faculdade-de-tecnologia-senac-pelotas,Brazil,,,,,
Faculdade de Tecnologia Senac Rio,faculdade-de-tecnologia-senac-rio,Brazil,,,,,
Faculdade de Tecnologia Senac São Miguel do Oeste,faculdade-de-tecnologia-senac-sao-miguel-do-oeste,Brazil,,,,,
Faculdade de Tecnologia Senac Tubarão,faculdade-de-tecnologia-senac-tubarao,Brazil,,,,,
Faculdade de Tecnologia Senac-Distrito Federal,faculdade-de-tecnologia-senac-distrito-federal,Brazil,Brasília,,,,
Faculdade de Tecnologia Senai Anchieta,faculdade-de-tecnologia-senai-anchieta,Brazil,São Paulo,,,,
Faculdade de Tecnologia Senai Antônio Adolpho Lobbe,faculdade-de-tecnologia-senai-antonio-adolpho-lobbe,Brazil,,,,,
Faculdade de Tecnologia Senai Belo Horizonte,faculdade-de-tecnologia-senai-belo-horizonte,Brazil,Belo Horizonte,,,,
Faculdade de Tecnologia Senai Blumenau,faculdade-de-tecnologia-senai-blumenau,Brazil,,,,,
Faculdade de Tecnologia Senai Brusque,faculdade-de-tecnologia-senai-brusque,Brazil,,,,,
Faculdade de Tecnologia Senai Campo Grande,faculdade-de-tecnologia-senai-campo-grande,Brazil,,,,,
Faculdade de Tecnologia SENAI CETIND,faculdade-de-tecnologia-senai-cetind,Brazil,,,,,
Faculdade de Tecnologia Senai Chapecó,faculdade-de-tecnologia-senai-chapeco,Brazil,,,,,
Faculdade de Tecnologia Senai Concórdia,faculdade-de-tecnologia-senai-concordia,Brazil,,,,,
Faculdade de Tecnologia Senai de Desenvolvimento Gerencial,faculdade-de-tecnologia-senai-de-desenvolvimento-gerencial,Brazil,Goiânia,,,,
Faculdade de Tecnologia Senai Felix Guisard,faculdade-de-tecnologia-senai-felix-guisard,Brazil,,,,,
Faculdade de Tecnologia Senai Florianópolis,faculdade-de-tecnologia-senai-florianopolis,Brazil,,,,,
Faculdade de Tecnologia Senai Itajaí,faculdade-de-tecnologia-senai-itajai,Brazil,,,,,
Faculdade de Tecnologia Senai Ítalo Bologna,faculdade-de-tecnologia-senai-italo-bologna,Brazil,Goiânia,,,,
Faculdade de Tecnologia Senai Jaraguá do Sul,faculdade-de-tecnologia-senai-jaragua-do-sul,Brazil,,,,,
Faculdade de Tecnologia Senai Joinville,faculdade-de-tecnologia-senai-joinville,Brazil,,,,,
Faculdade de Tecnologia Senai Luzerna,faculdade-de-tecnologia-senai-luzerna,Brazil,,,,,
Faculdade de Tecnologia Senai Mariano Ferraz,faculdade-de-tecnologia-senai-mariano-ferraz,Brazil,São Paulo,,,,
Faculdade de Tecnologia Senai Nadir Dias de Figueiredo,faculdade-de-tecnologia-senai-nadir-dias-de-figueiredo,Brazil,,,,,
Faculdade de Tecnologia Senai Porto Alegre,faculdade-de-tecnologia-senai-porto-alegre,Brazil,,,,,
Faculdade de Tecnologia Senai Rio do Sul,faculdade-de-tecnologia-senai-rio-do-sul,Brazil,,,,,
Faculdade de Tecnologia Senai Roberto Mange,faculdade-de-tecnologia-senai-roberto-mange,Brazil,,,,,
Faculdade de Tecnologia Senai São José,faculdade-de-tecnologia-senai-sao-jose,Brazil,,,,,
Faculdade de Tecnologia Tecbrasil,faculdade-de-tecnologia-tecbrasil,Brazil,,,,,
Faculdade de Tecnologia Tecbrasil - Unidade Bento Gonçalves,faculdade-de-tecnologia-tecbrasil-unidade-bento-goncalves,Brazil,,,,,
Faculdade de Tecnologia Tecbrasil - Unidade Novo Hamburgo,faculdade-de-tecnologia-tecbrasil-unidade-novo-hamburgo,Brazil,,,,,
Faculdade de Tecnologia Tecbrasil - Unidade Porto Alegre,faculdade-de-tecnologia-tecbrasil-unidade-porto-alegre,Brazil,,,,,
Faculdade de Tecnologia Tecmed,faculdade-de-tecnologia-tecmed,Brazil,,,,,
Faculdade de Tecnologia Termomecânica,faculdade-de-tecnologia-termomecanica,Brazil,,,,,
Faculdade de Tecnologia Thereza Porto Marques,faculdade-de-tecnologia-thereza-porto-marques,Brazil,,,,,
Faculdade de Tecnologia Tupy Curitiba,faculdade-de-tecnologia-tupy-curitiba,Brazil,,,,,
Faculdade de Tecnologia Tupy de São Bento do Sul,faculdade-de-tecnologia-tupy-de-sao-bento-do-sul,Brazil,,,,,
Faculdade de Tecnologia Zona Leste,faculdade-de-tecnologia-zona-leste,Brazil,São Paulo,,,,
Faculdade de Teconologia da Zona Sul,faculdade-de-teconologia-da-zona-sul,Brazil,São Paulo,,,,
Faculdade de Telêmaco Borba,faculdade-de-telemaco-borba,Brazil,,2000,,,
Faculdade de Teologia de São Paulo da Igreja Presbiteriana Independente do Brasil,faculdade-de-teologia-de-sao-paulo-da-igreja-presbiteriana-independente-do-brasil,Brazil,São Paulo,,,,
Faculdade de Teologia e Ciências Humanas,faculdade-de-teologia-e-ciencias-humanas,Brazil,,,,,
Faculdade de Teologia e Ciências Humanas,faculdade-de-teologia-e-ciencias-humanas-q56847071,Brazil,,,,,
Faculdade de Teologia Evangélica em Curitiba - Fatev,faculdade-de-teologia-evangelica-em-curitiba-fatev,Brazil,,,,,
Faculdade de Teologia Integrada,faculdade-de-teologia-integrada,Brazil,,,,,
Faculdade de Teologia Umbandista,faculdade-de-teologia-umbandista,Brazil,São Paulo,,,,
"Faculdade de Teologia, Filosofia e Ciências Humanas Gamaliel",faculdade-de-teologia-filosofia-e-ciencias-humanas-gamaliel,Brazil,,,,,
Faculdade de Tupi Paulista,faculdade-de-tupi-paulista,Brazil,,,,,
Faculdade de Vargem Grande Paulista,faculdade-de-vargem-grande-paulista,Brazil,,,,,
Faculdade de Viçosa,faculdade-de-vicosa,Brazil,,,,,
Faculdade de Vila Velha,faculdade-de-vila-velha,Brazil,,,,,
Faculdade de Vinhedo,faculdade-de-vinhedo,Brazil,,,,,
Faculdade Decisão,faculdade-decisao,Brazil,,,,,
Faculdade Decisão,faculdade-decisao-q56840867,Brazil,,,,,
Faculdade Decision de Negócios,faculdade-decision-de-negocios,Brazil,,,,,
Faculdade Dehoniana,faculdade-dehoniana,Brazil,,,,,
Faculdade Del Rey,faculdade-del-rey,Brazil,Belo Horizonte,,,,
Faculdade Delta,faculdade-delta,Brazil,Goiânia,,,,
Faculdade Diadema,faculdade-diadema,Brazil,,,,,
Faculdade Dinâmica,faculdade-dinamica,Brazil,,,,,
Faculdade Dinâmica do Vale do Piranga,faculdade-dinamica-do-vale-do-piranga,Brazil,,,,,
Faculdade Diocesana de Mossoró,faculdade-diocesana-de-mossoro,Brazil,,,,,
Faculdade Diocesana São José,faculdade-diocesana-sao-jose,Brazil,,,,,
Faculdade Divinópolis,faculdade-divinopolis,Brazil,,,,,
Faculdade do Acre,faculdade-do-acre,Brazil,,,,,
Faculdade do Amazonas,faculdade-do-amazonas,Brazil,,,,,
Faculdade do Baixo Parnaíba,faculdade-do-baixo-parnaiba,Brazil,,,,,
Faculdade do Bico do Papagaio,faculdade-do-bico-do-papagaio,Brazil,,,,,
Faculdade do Centro Educacional Mineiro - Facem,faculdade-do-centro-educacional-mineiro-facem,Brazil,Belo Horizonte,,,,
Faculdade do Centro Leste,faculdade-do-centro-leste,Brazil,,,,,
Faculdade do Clube Náutico Mogiano,faculdade-do-clube-nautico-mogiano,Brazil,,,,,
Faculdade do Descobrimento,faculdade-do-descobrimento,Brazil,,,,,
Faculdade do Espírito Santo,faculdade-do-espirito-santo,Brazil,,,,,
Faculdade do Espírito Santo,faculdade-do-espirito-santo-q56841142,Brazil,,,,,
Faculdade do Estado do Maranhão,faculdade-do-estado-do-maranhao,Brazil,,,,,
Faculdade do Futuro,faculdade-do-futuro,Brazil,,,,,
Faculdade do Guarujá,faculdade-do-guaruja,Brazil,,,,,
Faculdade do Instituto Brasil,faculdade-do-instituto-brasil,Brazil,,,,,
Faculdade do Instituto Nacional de Pós-graduação de Campinas,faculdade-do-instituto-nacional-de-pos-graduacao-de-campinas,Brazil,,,,,
Faculdade do Instituto Nacional de Pós-graduação de São José dos Campos,faculdade-do-instituto-nacional-de-pos-graduacao-de-sao-jose-dos-campos,Brazil,,,,,
Faculdade do Interior Paulista,faculdade-do-interior-paulista,Brazil,,,,,
Faculdade do Litoral Catarinense,faculdade-do-litoral-catarinense,Brazil,,,,,
Faculdade do Litoral Paranaense,faculdade-do-litoral-paranaense,Brazil,,,,,
Faculdade do Litoral Sul Paulista,faculdade-do-litoral-sul-paulista,Brazil,,,,,
Faculdade do Maranhão,faculdade-do-maranhao,Brazil,,,,,
Faculdade do Médio Parnaíba,faculdade-do-medio-parnaiba,Brazil,,,,,
Faculdade do Noroeste Paranaense,faculdade-do-noroeste-paranaense,Brazil,,1997,,,
Faculdade do Norte Goiano,faculdade-do-norte-goiano,Brazil,,,,,
Faculdade do Norte Novo de Apucarana,faculdade-do-norte-novo-de-apucarana,Brazil,,,,,
Faculdade do Norte Pioneiro,faculdade-do-norte-pioneiro,Brazil,,,,,
Faculdade do Pantanal Matogrossense,faculdade-do-pantanal-matogrossense,Brazil,,,,,
Faculdade do Piauí,faculdade-do-piaui,Brazil,,,,,
Faculdade do Povo,faculdade-do-povo,Brazil,São Paulo,,,,
Faculdade do Recife,faculdade-do-recife,Brazil,Recife,,,,
Faculdade do Seridó,faculdade-do-serido,Brazil,,,,,
Faculdade do Sertão,faculdade-do-sertao,Brazil,,,,,
Faculdade do Sertão Baiano,faculdade-do-sertao-baiano,Brazil,,,,,
Faculdade do Sudeste Goiano,faculdade-do-sudeste-goiano,Brazil,,,,,
Faculdade do Sudeste Mineiro,faculdade-do-sudeste-mineiro,Brazil,,,,,
Faculdade do Sul,faculdade-do-sul,Brazil,,,,,
Faculdade do Sul da Bahia,faculdade-do-sul-da-bahia,Brazil,,2001,,,
Faculdade do Tapajós,faculdade-do-tapajos,Brazil,,,,,
Faculdade do Trabalho,faculdade-do-trabalho,Brazil,,,,,
Faculdade do Vale do Itajaí Mirim,faculdade-do-vale-do-itajai-mirim,Brazil,,,,,
Faculdade do Vale do Itapecurú,faculdade-do-vale-do-itapecuru,Brazil,,,,,
Faculdade do Vale do Jaguaribe,faculdade-do-vale-do-jaguaribe,Brazil,,,,,
Faculdade do Vale Elvira Dayrell - Faved,faculdade-do-vale-elvira-dayrell-faved,Brazil,,,,,
Faculdade Dois de Julho,faculdade-dois-de-julho,Brazil,,,,,
Faculdade Dom Alberto,faculdade-dom-alberto,Brazil,,,,,
Faculdade Dom Bosco,faculdade-dom-bosco-q56840809,Brazil,,,,,
Faculdade Dom Bosco,faculdade-dom-bosco,Brazil,,,,,
Faculdade Dom Bosco de Goioerê,faculdade-dom-bosco-de-goioere,Brazil,Goioerê,,,,
Faculdade Dom Bosco de Porto Alegre,faculdade-dom-bosco-de-porto-alegre,Brazil,,,,,
Faculdade Dom Bosco de Ubiratã,faculdade-dom-bosco-de-ubirata,Brazil,,,,,
Faculdade Dom Heitor Sales,faculdade-dom-heitor-sales,Brazil,,,,,
Faculdade Dom Luis de Orleans e Bragança,faculdade-dom-luis-de-orleans-e-braganca,Brazil,,,,,
Faculdade Dom Pedro II de Tecnologia,faculdade-dom-pedro-ii-de-tecnologia,Brazil,,,,,
Faculdade dos Cerrados Piauienses,faculdade-dos-cerrados-piauienses,Brazil,,,,,
Faculdade dos Guararapes,faculdade-dos-guararapes,Brazil,,1998,,,
Faculdade dos Imigrantes - Fai,faculdade-dos-imigrantes-fai,Brazil,,,,,
Faculdade Doutor Francisco Maeda,faculdade-doutor-francisco-maeda,Brazil,,,,,
Faculdade Doutor Leocádio José Correia,faculdade-doutor-leocadio-jose-correia,Brazil,,,,,
Faculdade Eça de Queiros,faculdade-eca-de-queiros,Brazil,,,,,
Faculdade Educação Física de Passos,faculdade-educacao-fisica-de-passos,Brazil,,,,,
Faculdade Educacional da Lapa,faculdade-educacional-da-lapa,Brazil,,,,,
Faculdade Educacional de Arapoti,faculdade-educacional-de-arapoti,Brazil,,,,,
Faculdade Educacional de Araucária,faculdade-educacional-de-araucaria,Brazil,,,,,
Faculdade Educacional de Colombo,faculdade-educacional-de-colombo,Brazil,,,,,
Faculdade Educacional de Cornélio Procópio,faculdade-educacional-de-cornelio-procopio,Brazil,,,,,
Faculdade Educacional de Dois Vizinhos,faculdade-educacional-de-dois-vizinhos,Brazil,,,,,
Faculdade Educacional de Francisco Beltrão,faculdade-educacional-de-francisco-beltrao,Brazil,,,,,
Faculdade Educacional de Matelândia,faculdade-educacional-de-matelandia,Brazil,,,,,
Faculdade Educacional de Medianeira,faculdade-educacional-de-medianeira,Brazil,,,,,
Faculdade Educacional de Ponta Grossa,faculdade-educacional-de-ponta-grossa,Brazil,,,,,
Faculdade Eduvale de Avaré,faculdade-eduvale-de-avare,Brazil,,,,,
Faculdade Eficaz,faculdade-eficaz,Brazil,,,,,
Faculdade Einstein,faculdade-einstein,Brazil,,,,,
Faculdade Empresarial de Chapecó,faculdade-empresarial-de-chapeco,Brazil,,,,,
Faculdade Energia de Administração e Negócios,faculdade-energia-de-administracao-e-negocios,Brazil,,,,,
Faculdade Eniac,faculdade-eniac,Brazil,,1985,,,
Faculdade Entre Rios do Piauí,faculdade-entre-rios-do-piaui,Brazil,,,,,
Faculdade Equipe,faculdade-equipe,Brazil,,,,,
Faculdade Ernesto Riscali,faculdade-ernesto-riscali,Brazil,,,,,
Faculdade Escola Paulista de Direito,faculdade-escola-paulista-de-direito,Brazil,São Paulo,,,,
Faculdade Escritor Osman da Costa Lins,faculdade-escritor-osman-da-costa-lins,Brazil,,,,,
Faculdade Especializada Na Área de Saúde do Rio Grande do Sul,faculdade-especializada-na-area-de-saude-do-rio-grande-do-sul,Brazil,,,,,
Faculdade Espírito Santense,faculdade-espirito-santense,Brazil,,,,,
Faculdade Espírito Santense de Ciências Jurídicas,faculdade-espirito-santense-de-ciencias-juridicas,Brazil,,,,,
Faculdade Estação,faculdade-estacao,Brazil,,,,,
Faculdade Estácio Cotia - Estácio Faac,faculdade-estacio-cotia-estacio-faac,Brazil,,,,,
Faculdade Estácio de Alagoas - Estácio Fal,faculdade-estacio-de-alagoas-estacio-fal,Brazil,,,,,
Faculdade Estácio de Curitiba,faculdade-estacio-de-curitiba,Brazil,,,,,
Faculdade Estácio de Natal,faculdade-estacio-de-natal,Brazil,,,,,
Faculdade Estácio de Sá de Belo Horizonte,faculdade-estacio-de-sa-de-belo-horizonte,Brazil,Belo Horizonte,,,,
Faculdade Estácio de Sá de Campo Grande,faculdade-estacio-de-sa-de-campo-grande,Brazil,,,,,
Faculdade Estácio de Sá de Goiás,faculdade-estacio-de-sa-de-goias,Brazil,Goiânia,,,,
Faculdade Estácio de Sá de Juiz de Fora,faculdade-estacio-de-sa-de-juiz-de-fora,Brazil,,,,,
Faculdade Estácio de Sá de Ourinhos,faculdade-estacio-de-sa-de-ourinhos,Brazil,,,,,
Faculdade Estácio de Sá de Santa Catarina,faculdade-estacio-de-sa-de-santa-catarina,Brazil,,,,,
Faculdade Estácio de Sá de Vila Velha,faculdade-estacio-de-sa-de-vila-velha,Brazil,,,,,
Faculdade Estácio de Sá de Vitória,faculdade-estacio-de-sa-de-vitoria,Brazil,,,,,
Faculdade Estácio de Sergipe - Estácio Fase,faculdade-estacio-de-sergipe-estacio-fase,Brazil,,,,,
Faculdade Estácio do Amapá - Estácio Famap,faculdade-estacio-do-amapa-estacio-famap,Brazil,,,,,
Faculdade Estácio do Ceará - Estácio Fic,faculdade-estacio-do-ceara-estacio-fic,Brazil,Fortaleza,,,,
Faculdade Estácio do Pará - Estácio Fap,faculdade-estacio-do-para-estacio-fap,Brazil,,,,,
Faculdade Estácio do Recife - Estácio Fir,faculdade-estacio-do-recife-estacio-fir,Brazil,Recife,,,,
Faculdade Estácio Euro- Panamericana de Humanidades e Tecnologias - Estácio Europan,faculdade-estacio-euro-panamericana-de-humanidades-e-tecnologias-estacio-europan,Brazil,,,,,
Faculdade Estácio Montessori de Ibiúna,faculdade-estacio-montessori-de-ibiuna,Brazil,,,,,
Faculdade Estadual de Ciências e Letras de Campo Mourão,faculdade-estadual-de-ciencias-e-letras-de-campo-mourao,Brazil,,1972,,,
Faculdade Estadual de Ciências Econômicas de Apucarana,faculdade-estadual-de-ciencias-economicas-de-apucarana,Brazil,,1959,,,
Faculdade Estadual de Educação Ciências e Letras de Paranavaí,faculdade-estadual-de-educacao-ciencias-e-letras-de-paranavai,Brazil,,1965,,,
Faculdade Estadual de Filosofia Ciências Letras União da Vitória,faculdade-estadual-de-filosofia-ciencias-letras-uniao-da-vitoria,Brazil,,,,,
"Faculdade Estadual de Filosofia, Ciências e Letras de Paranaguá",faculdade-estadual-de-filosofia-ciencias-e-letras-de-paranagua,Brazil,,1956,,,
Faculdade Européia de Administração e Marketing,faculdade-europeia-de-administracao-e-marketing,Brazil,,,,,
Faculdade Evangélica,faculdade-evangelica,Brazil,Brasília,,,,
Faculdade Evangélica Cristo Rei,faculdade-evangelica-cristo-rei,Brazil,,,,,
Faculdade Evangélica de Goianésia,faculdade-evangelica-de-goianesia,Brazil,,2003,,,
Faculdade Evangélica de Salvador,faculdade-evangelica-de-salvador,Brazil,,,,,
Faculdade Evangélica de São Paulo,faculdade-evangelica-de-sao-paulo,Brazil,São Paulo,,,,
Faculdade Evangélica de Taguatinga,faculdade-evangelica-de-taguatinga,Brazil,Brasília,,,,
"Faculdade Evangélica de Tecnologia, Ciências e Biotecnologia da Cgadb",faculdade-evangelica-de-tecnologia-ciencias-e-biotecnologia-da-cgadb,Brazil,,,,,
Faculdade Evangélica do Meio Norte,faculdade-evangelica-do-meio-norte,Brazil,,,,,
Faculdade Evangélica do Paraná,faculdade-evangelica-do-parana,Brazil,,1969,,,
Faculdade Evangélica do Piaui,faculdade-evangelica-do-piaui,Brazil,,,,,
Faculdade Evilásio Formiga,faculdade-evilasio-formiga,Brazil,,,,,
Faculdade Evolução Alto Oeste Potiguar,faculdade-evolucao-alto-oeste-potiguar,Brazil,,,,,
Faculdade Facmil,faculdade-facmil,Brazil,,,,,
Faculdade Fae Blumenau,faculdade-fae-blumenau,Brazil,,,,,
Faculdade Fae São José dos Pinhais,faculdade-fae-sao-jose-dos-pinhais,Brazil,,,,,
Faculdade Fapan,faculdade-fapan,Brazil,,,,,
Faculdade Farias Brito,faculdade-farias-brito,Brazil,Fortaleza,1996,,,
Faculdade Fasipe,faculdade-fasipe,Brazil,,,,,
Faculdade Fernão Dias,faculdade-fernao-dias,Brazil,,,,,
Faculdade Fia de Administração e Negócios,faculdade-fia-de-administracao-e-negocios,Brazil,São Paulo,,,,
Faculdade Fidelis,faculdade-fidelis,Brazil,,,,,
Faculdade Figueiredo Costa - Fic,faculdade-figueiredo-costa-fic,Brazil,,,,,
Faculdade Filadélfia,faculdade-filadelfia,Brazil,,,,,
Faculdade Flama,faculdade-flama,Brazil,,,,,
Faculdade Flamingo,faculdade-flamingo,Brazil,São Paulo,,,,
Faculdade Fleming,faculdade-fleming,Brazil,,,,,
Faculdade Fortium,faculdade-fortium,Brazil,Brasília,,,,
Faculdade Foz do Iguaçu,faculdade-foz-do-iguacu,Brazil,,,,,
Faculdade Frassinetti do Recife,faculdade-frassinetti-do-recife,Brazil,Recife,,,,
Faculdade Frutal,faculdade-frutal,Brazil,,,,,
Faculdade Fucape,faculdade-fucape,Brazil,,,,,
Faculdade Gama e Souza,faculdade-gama-e-souza,Brazil,,,,,
Faculdade Gammon,faculdade-gammon,Brazil,,,,,
Faculdade Gennari e Peartree,faculdade-gennari-e-peartree,Brazil,,,,,
Faculdade Geremário Dantas,faculdade-geremario-dantas,Brazil,,,,,
Faculdade Global de Umuarama,faculdade-global-de-umuarama,Brazil,,,,,
Faculdade Guaianás,faculdade-guaianas,Brazil,São Paulo,,,,
Faculdade Guaraí,faculdade-guarai,Brazil,,,,,
Faculdade Guarapuava,faculdade-guarapuava,Brazil,,,,,
Faculdade Guilherme Guimbala,faculdade-guilherme-guimbala,Brazil,,,,,
Faculdade Hélio Rocha,faculdade-helio-rocha,Brazil,,,,,
Faculdade Horizontina,faculdade-horizontina,Brazil,,,,,
Faculdade Hsm,faculdade-hsm,Brazil,,,,,
Faculdade Ibgen - Instituto Brasileiro de Gestão de Negócios,faculdade-ibgen-instituto-brasileiro-de-gestao-de-negocios,Brazil,,,,,
Faculdade Ibmec,faculdade-ibmec,Brazil,Belo Horizonte,,,,
Faculdade Ibmec Distrito Federal,faculdade-ibmec-distrito-federal,Brazil,Brasília,,,,
Faculdade Idc,faculdade-idc,Brazil,,,,,
