University_Name,Country,Region,Year,QS_Rank,National_Rank,QS_Overall_Score,Academic_Reputation,Employer_Reputation,Faculty_Student_Ratio,Citations_Per_Faculty,International_Faculty_Ratio,International_Students_Ratio,International_Research_Network,Employment_Outcomes,Sustainability,Std_Country,Std_University_Name
China Agricultural University,China (Mainland),Asia,2026,504.0,34.0,32.0,12.3,10.3,19.2,98.7,4.8,2.3,62.1,9.6,44.4,China (Mainland),China Agricultural University
Chongqing University,China (Mainland),Asia,2026,504.0,34.0,32.0,11.9,9.8,18.2,93.8,28.1,3.9,58.1,19.1,40.0,China (Mainland),Chongqing University
Ewha Womans University,South Korea,Asia,2026,504.0,14.0,32.0,33.5,26.6,75.1,13.6,9.6,37.5,32.9,28.4,67.1,South Korea,Ewha Womans University
Hunan University,China (Mainland),Asia,2026,504.0,34.0,32.0,10.9,11.8,20.8,94.7,5.9,2.8,57.7,32.5,40.6,China (Mainland),Hunan University
University of Guelph,Canada,Americas,2026,504.0,19.0,32.0,19.9,19.2,7.9,55.2,49.6,24.0,74.8,18.2,80.7,Canada,University of Guelph
Institut Teknologi Sepuluh Nopember (ITS),Indonesia,Asia,2026,509.0,6.0,31.9,27.4,60.2,62.1,2.7,69.6,11.9,27.6,17.0,52.5,Indonesia,Institut Teknologi Sepuluh Nopember (ITS)
INTI International University,Malaysia,Asia,2026,509.0,11.0,31.9,14.3,37.8,95.1,3.0,100.0,99.7,19.2,5.2,33.2,Malaysia,INTI International University
Ateneo de Manila University,Philippines,Asia,2026,511.0,2.0,31.6,32.2,70.0,33.1,3.0,3.6,4.3,24.3,80.4,60.5,Philippines,Ateneo de Manila University
Singapore Management University,Singapore,Asia,2026,511.0,3.0,31.6,19.4,27.4,14.2,30.9,100.0,83.2,23.0,38.1,58.9,Singapore,Singapore Management University
SOAS University of London,United Kingdom,Europe,2026,511.0,47.0,31.6,24.7,19.0,18.4,23.7,100.0,99.2,17.8,35.2,65.0,United Kingdom,SOAS University of London
