University_Name,Country,Region,Year,QS_Rank,National_Rank,QS_Overall_Score,Academic_Reputation,Employer_Reputation,Faculty_Student_Ratio,Citations_Per_Faculty,International_Faculty_Ratio,International_Students_Ratio,International_Research_Network,Employment_Outcomes,Sustainability,Std_Country,Std_University_Name
Massachusetts Institute of Technology (MIT),United States,Americas,2026,1.0,1.0,100.0,100.0,100.0,100.0,100.0,100.0,91.6,94.1,100.0,93.8,United States,Massachusetts Institute of Technology (MIT)
Imperial College London,United Kingdom,Europe,2026,2.0,1.0,99.4,99.6,100.0,99.3,95.0,100.0,100.0,97.5,95.9,98.3,United Kingdom,Imperial College London
Stanford University,United States,Americas,2026,3.0,2.0,98.9,100.0,100.0,100.0,99.7,94.2,73.5,96.5,100.0,95.4,United States,Stanford University
University of Oxford,United Kingdom,Europe,2026,4.0,2.0,97.9,100.0,100.0,100.0,91.0,98.8,98.6,100.0,100.0,77.9,United Kingdom,University of Oxford
Harvard University,United States,Americas,2026,5.0,3.0,97.7,100.0,100.0,98.3,100.0,79.1,81.4,99.4,100.0,77.8,United States,Harvard University
University of Cambridge,United Kingdom,Europe,2026,6.0,3.0,97.2,100.0,100.0,100.0,88.6,100.0,93.1,99.2,100.0,78.4,United Kingdom,University of Cambridge
ETH Zurich (Swiss Federal Institute of Technology),Switzerland,Europe,2026,7.0,1.0,96.7,99.7,96.3,71.7,98.8,100.0,99.3,95.8,95.0,99.6,Switzerland,ETH Zurich (Swiss Federal Institute of Technology)
National University of Singapore (NUS),Singapore,Asia,2026,8.0,1.0,95.9,99.9,98.2,71.5,95.9,100.0,96.9,92.4,100.0,90.0,Singapore,National University of Singapore (NUS)
UCL (University College London),United Kingdom,Europe,2026,9.0,4.0,95.8,99.9,99.4,94.8,80.9,99.6,100.0,99.9,89.3,98.5,United Kingdom,UCL (University College London)
California Institute of Technology (Caltech),United States,Americas,2026,10.0,4.0,94.3,98.3,99.2,100.0,100.0,100.0,90.7,61.8,49.1,79.2,United States,California Institute of Technology (Caltech)
The University of Hong Kong,"Hong Kong SAR, China",Asia,2026,11.0,1.0,94.2,99.3,82.5,85.3,96.6,100.0,100.0,82.3,99.8,84.8,"Hong Kong SAR, China",The University of Hong Kong
"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,Asia,2026,12.0,2.0,93.7,97.1,91.4,83.9,94.6,100.0,93.1,86.9,87.7,87.2,Singapore,"Nanyang Technological University, Singapore (NTU Singapore)"
University of Chicago,United States,Americas,2026,13.0,5.0,93.0,99.8,99.3,97.3,78.1,86.1,92.8,87.7,99.8,73.3,United States,University of Chicago
Peking University,China (Mainland),Asia,2026,14.0,1.0,92.6,99.9,99.6,96.2,99.2,59.9,37.3,83.2,97.0,70.6,China (Mainland),Peking University
University of Pennsylvania,United States,Americas,2026,15.0,6.0,92.5,98.9,98.7,99.9,72.0,96.9,76.3,89.4,100.0,95.0,United States,University of Pennsylvania
Cornell University,United States,Americas,2026,16.0,7.0,91.6,99.5,98.8,64.3,98.0,57.6,75.7,93.0,99.3,76.8,United States,Cornell University
Tsinghua University,China (Mainland),Asia,2026,17.0,2.0,91.2,99.9,99.7,97.1,99.6,39.5,31.9,80.4,97.0,68.7,China (Mainland),Tsinghua University
"University of California, Berkeley (UCB)",United States,Americas,2026,17.0,8.0,91.2,100.0,100.0,29.4,97.2,95.6,70.6,96.7,99.8,98.8,United States,"University of California, Berkeley (UCB)"
The University of Melbourne,Australia,Oceania,2026,19.0,1.0,90.8,99.7,97.4,20.5,94.8,96.7,100.0,96.9,98.3,98.2,Australia,The University of Melbourne
The University of New South Wales,Australia,Oceania,2026,20.0,2.0,90.7,96.3,93.5,29.9,96.9,100.0,99.9,97.6,98.7,97.0,Australia,The University of New South Wales
Yale University,United States,Americas,2026,21.0,9.0,90.4,100.0,100.0,100.0,64.8,86.7,72.7,92.9,99.8,82.4,United States,Yale University
École Polytechnique Fédérale de Lausanne,Switzerland,Europe,2026,22.0,2.0,90.2,92.7,88.0,90.0,93.1,100.0,100.0,83.6,47.3,85.3,Switzerland,École Polytechnique Fédérale de Lausanne
Technical University of Munich,Germany,Europe,2026,22.0,1.0,90.2,92.0,99.7,70.5,92.6,86.3,98.9,95.9,57.3,87.8,Germany,Technical University of Munich
Johns Hopkins University,United States,Americas,2026,24.0,10.0,89.7,93.2,79.2,100.0,85.8,70.8,94.2,97.4,84.1,93.0,United States,Johns Hopkins University
Princeton University,United States,Americas,2026,25.0,11.0,89.4,100.0,99.8,67.3,100.0,12.7,70.0,82.6,98.9,76.0,United States,Princeton University
The University of Sydney,Australia,Oceania,2026,25.0,3.0,89.4,98.9,94.2,15.7,94.3,99.9,100.0,95.5,95.8,97.6,Australia,The University of Sydney
McGill University,Canada,Americas,2026,27.0,1.0,88.9,98.1,93.5,67.3,72.4,88.6,93.5,92.9,98.9,96.3,Canada,McGill University
PSL University,France,Europe,2026,28.0,1.0,88.6,82.6,98.5,98.6,85.1,69.6,75.5,99.7,97.5,87.8,France,PSL University
University of Toronto,Canada,Americas,2026,29.0,2.0,88.5,100.0,99.1,45.7,68.8,97.9,97.9,97.0,99.4,100.0,Canada,University of Toronto
Fudan University,China (Mainland),Asia,2026,30.0,3.0,88.4,93.7,95.1,84.8,92.8,88.5,46.4,75.5,73.3,83.1,China (Mainland),Fudan University
King's College London (KCL),United Kingdom,Europe,2026,31.0,5.0,88.3,96.2,91.8,74.4,70.2,99.5,99.0,98.4,76.4,96.5,United Kingdom,King's College London (KCL)
Australian National University,Australia,Oceania,2026,32.0,4.0,87.4,97.9,82.6,40.9,91.7,100.0,99.0,93.1,67.1,91.8,Australia,Australian National University
The Chinese University of Hong Kong,"Hong Kong SAR, China",Asia,2026,32.0,2.0,87.4,94.2,67.3,75.9,95.0,100.0,93.3,68.2,91.2,84.1,"Hong Kong SAR, China",The Chinese University of Hong Kong
University of Edinburgh,United Kingdom,Europe,2026,34.0,6.0,87.2,99.6,98.2,77.3,54.3,99.7,99.9,99.5,69.7,98.3,United Kingdom,University of Edinburgh
The University of Manchester,United Kingdom,Europe,2026,35.0,7.0,86.4,98.6,98.8,58.2,56.8,95.3,99.5,99.4,91.9,98.2,United Kingdom,The University of Manchester
Monash University,Australia,Oceania,2026,36.0,5.0,85.8,95.7,87.5,11.3,93.0,100.0,100.0,94.7,86.7,91.7,Australia,Monash University
The University of Tokyo,Japan,Asia,2026,36.0,1.0,85.8,100.0,99.9,92.4,69.9,15.9,44.0,88.8,100.0,92.3,Japan,The University of Tokyo
Columbia University,United States,Americas,2026,38.0,12.0,85.6,99.9,99.9,100.0,44.5,48.5,98.1,98.4,100.0,77.9,United States,Columbia University
Seoul National University,South Korea,Asia,2026,38.0,1.0,85.6,99.7,99.1,85.6,81.2,13.2,27.5,77.6,100.0,90.8,South Korea,Seoul National University
University of British Columbia,Canada,Americas,2026,40.0,3.0,85.5,99.6,96.5,34.7,70.9,98.5,79.8,96.6,84.9,98.5,Canada,University of British Columbia
Institut Polytechnique de Paris,France,Europe,2026,41.0,2.0,85.4,58.1,99.8,94.8,97.3,99.9,99.2,93.0,99.1,77.9,France,Institut Polytechnique de Paris
Northwestern University,United States,Americas,2026,42.0,13.0,85.1,92.2,89.4,99.1,71.2,57.7,67.2,86.5,99.5,74.4,United States,Northwestern University
The University of Queensland,Australia,Oceania,2026,42.0,6.0,85.1,94.3,79.5,26.5,94.2,100.0,100.0,97.0,66.6,92.5,Australia,The University of Queensland
The Hong Kong University of Science and Technology,"Hong Kong SAR, China",Asia,2026,44.0,3.0,84.8,89.4,69.7,67.5,100.0,100.0,99.3,49.5,76.6,79.7,"Hong Kong SAR, China",The Hong Kong University of Science and Technology
University of Michigan-Ann Arbor,United States,Americas,2026,45.0,14.0,84.7,99.3,98.5,85.7,54.5,73.9,56.1,96.0,99.1,77.2,United States,University of Michigan-Ann Arbor
"University of California, Los Angeles (UCLA)",United States,Americas,2026,46.0,15.0,84.4,100.0,100.0,43.6,84.3,50.8,31.8,93.5,98.0,78.0,United States,"University of California, Los Angeles (UCLA)"
Delft University of Technology,Netherlands,Europe,2026,47.0,1.0,84.3,86.2,90.4,49.1,84.6,100.0,94.8,93.8,66.0,96.3,Netherlands,Delft University of Technology
Shanghai Jiao Tong University,China (Mainland),Asia,2026,47.0,4.0,84.3,92.7,93.8,64.5,100.0,40.9,19.1,77.7,88.2,82.5,China (Mainland),Shanghai Jiao Tong University
Zhejiang University,China (Mainland),Asia,2026,49.0,5.0,84.0,87.0,97.2,53.0,100.0,94.1,23.5,94.0,74.4,63.0,China (Mainland),Zhejiang University
Yonsei University,South Korea,Asia,2026,50.0,2.0,82.9,91.6,97.8,84.3,67.9,30.5,74.3,78.0,94.4,87.7,South Korea,Yonsei University
University of Bristol,United Kingdom,Europe,2026,51.0,8.0,82.5,87.3,89.4,36.7,83.2,90.7,95.7,95.3,63.1,97.0,United Kingdom,University of Bristol
Carnegie Mellon University,United States,Americas,2026,52.0,16.0,82.3,80.1,94.4,51.1,98.6,52.4,98.7,79.2,79.9,66.2,United States,Carnegie Mellon University
The University of Amsterdam,Netherlands,Europe,2026,53.0,2.0,81.5,92.5,72.6,27.5,87.2,98.8,95.8,95.1,90.3,64.0,Netherlands,The University of Amsterdam
The Hong Kong Polytechnic University,"Hong Kong SAR, China",Asia,2026,54.0,4.0,81.2,81.2,47.5,77.1,98.7,100.0,98.8,82.8,74.1,80.8,"Hong Kong SAR, China",The Hong Kong Polytechnic University
New York University (NYU),United States,Americas,2026,55.0,17.0,81.1,98.6,99.9,89.0,31.7,33.1,99.7,93.5,99.5,91.3,United States,New York University (NYU)
London School of Economics and Political Science (LSE),United Kingdom,Europe,2026,56.0,9.0,80.5,80.6,99.4,47.2,64.0,100.0,100.0,76.4,99.9,92.7,United Kingdom,London School of Economics and Political Science (LSE)
Kyoto University,Japan,Asia,2026,57.0,2.0,80.2,99.7,99.3,94.3,50.9,22.9,29.2,85.5,85.9,84.0,Japan,Kyoto University
Ludwig-Maximilians-Universität München,Germany,Europe,2026,58.0,2.0,80.1,97.1,95.5,41.0,62.3,80.3,53.2,95.5,76.8,87.0,Germany,Ludwig-Maximilians-Universität München
Universiti Malaya (UM),Malaysia,Asia,2026,58.0,1.0,80.1,92.3,96.7,74.2,47.4,69.2,86.8,92.9,77.7,84.7,Malaysia,Universiti Malaya (UM)
KU Leuven,Belgium,Europe,2026,60.0,1.0,79.7,93.0,63.5,9.6,94.7,95.8,65.1,99.5,83.5,94.7,Belgium,KU Leuven
Korea University,South Korea,Asia,2026,61.0,3.0,79.6,89.2,95.4,77.0,68.2,24.5,64.0,67.7,93.6,85.9,South Korea,Korea University
Duke University,United States,Americas,2026,62.0,18.0,79.0,92.9,91.0,100.0,47.1,28.3,62.0,90.8,95.6,77.6,United States,Duke University
City University of Hong Kong,"Hong Kong SAR, China",Asia,2026,63.0,5.0,78.9,75.5,46.7,94.8,100.0,100.0,100.0,64.5,48.5,75.2,"Hong Kong SAR, China",City University of Hong Kong
National Taiwan University (NTU),Taiwan,Asia,2026,63.0,1.0,78.9,97.7,94.2,38.8,70.9,25.3,59.2,67.1,100.0,88.4,Taiwan,National Taiwan University (NTU)
The University of Auckland,New Zealand,Oceania,2026,65.0,1.0,77.5,91.7,55.2,17.6,79.1,100.0,95.5,88.8,96.9,95.7,New Zealand,The University of Auckland
"University of California, San Diego (UCSD)",United States,Americas,2026,66.0,19.0,76.9,94.0,80.2,54.4,80.3,43.8,47.0,94.0,40.8,72.3,United States,"University of California, San Diego (UCSD)"
King Fahd University of Petroleum & Minerals,Saudi Arabia,Asia,2026,67.0,1.0,76.5,53.5,75.6,92.4,93.2,100.0,76.2,81.0,97.8,62.7,Saudi Arabia,King Fahd University of Petroleum & Minerals
University of Texas at Austin,United States,Americas,2026,68.0,20.0,76.4,97.6,96.8,10.7,85.4,9.1,19.1,90.5,93.9,70.6,United States,University of Texas at Austin
Brown University,United States,Americas,2026,69.0,21.0,76.2,72.4,64.3,84.5,82.2,91.0,67.0,80.1,81.9,72.6,United States,Brown University
Université Paris-Saclay,France,Europe,2026,70.0,3.0,75.9,75.3,99.4,99.9,42.4,45.9,72.7,98.5,82.9,92.7,France,Université Paris-Saclay
University of Illinois at Urbana-Champaign,United States,Americas,2026,70.0,22.0,75.9,91.7,91.5,8.6,81.6,14.2,70.1,91.3,92.5,75.9,United States,University of Illinois at Urbana-Champaign
Lund University,Sweden,Europe,2026,72.0,1.0,75.7,80.1,64.1,68.1,56.6,98.8,82.0,97.1,96.1,98.8,Sweden,Lund University
Sorbonne University (merged from Paris IV & UPMC),France,Europe,2026,72.0,4.0,75.7,93.2,62.1,56.4,68.8,35.5,66.8,99.4,84.2,89.2,France,Sorbonne University (merged from Paris IV & UPMC)
The University of Warwick,United Kingdom,Europe,2026,74.0,10.0,75.2,82.7,93.0,48.3,43.6,99.5,99.2,93.8,75.3,84.6,United Kingdom,The University of Warwick
"Trinity College Dublin, The University of Dublin",Ireland,Europe,2026,75.0,1.0,73.9,82.5,68.1,28.7,66.0,100.0,94.9,89.4,95.3,73.8,Ireland,"Trinity College Dublin, The University of Dublin"
University of Birmingham,United Kingdom,Europe,2026,76.0,11.0,73.8,81.1,75.7,49.9,56.1,96.7,93.4,96.3,54.7,92.8,United Kingdom,University of Birmingham
The University of Western Australia,Australia,Oceania,2026,77.0,7.0,73.7,69.0,56.5,15.1,99.2,100.0,100.0,93.2,82.6,83.7,Australia,The University of Western Australia
KTH Royal Institute of Technology,Sweden,Europe,2026,78.0,2.0,73.6,60.2,62.1,68.3,88.2,95.6,81.8,91.7,72.7,89.8,Sweden,KTH Royal Institute of Technology
University of Glasgow,United Kingdom,Europe,2026,79.0,12.0,73.4,88.3,73.5,50.3,44.8,98.0,99.1,97.0,44.5,95.4,United Kingdom,University of Glasgow
Ruprecht-Karls-Universität Heidelberg,Germany,Europe,2026,80.0,3.0,73.0,87.1,72.2,99.8,41.4,66.2,71.4,94.7,34.6,85.5,Germany,Ruprecht-Karls-Universität Heidelberg
University of Washington,United States,Americas,2026,81.0,23.0,72.7,90.1,74.8,49.2,69.2,14.7,45.8,95.0,79.9,74.9,United States,University of Washington
Adelaide University,Australia,Oceania,2026,82.0,8.0,72.6,78.3,62.7,30.5,69.8,100.0,97.5,96.7,70.4,86.1,Australia,Adelaide University
Pennsylvania State University,United States,Americas,2026,82.0,24.0,72.6,86.1,85.8,29.1,67.2,37.4,38.2,97.4,79.2,95.4,United States,Pennsylvania State University
Universidad de Buenos Aires,Argentina,Americas,2026,84.0,1.0,72.3,98.1,95.8,82.0,2.3,72.3,78.5,75.8,99.9,66.1,Argentina,Universidad de Buenos Aires
Tokyo Institute of Technology,Japan,Asia,2026,85.0,3.0,72.1,85.0,95.7,87.6,54.2,29.8,43.4,67.8,33.5,74.2,Japan,Tokyo Institute of Technology
University of Leeds,United Kingdom,Europe,2026,86.0,13.0,72.0,81.8,82.1,39.7,48.8,89.7,96.3,99.2,62.9,76.4,United Kingdom,University of Leeds
University of Southampton,United Kingdom,Europe,2026,87.0,14.0,71.2,62.6,55.9,40.1,87.8,96.8,98.6,97.4,58.6,95.1,United Kingdom,University of Southampton
Boston University,United States,Americas,2026,88.0,25.0,71.1,75.3,86.7,40.6,61.9,40.0,92.8,84.9,86.9,73.7,United States,Boston University
Freie Universität Berlin,Germany,Europe,2026,88.0,4.0,71.1,88.3,66.4,8.3,84.3,73.8,56.0,94.4,46.9,65.4,Germany,Freie Universität Berlin
Purdue University,United States,Americas,2026,88.0,25.0,71.1,74.3,92.7,16.4,62.4,96.4,55.3,91.0,81.0,88.4,United States,Purdue University
The University of Osaka,Japan,Asia,2026,91.0,4.0,71.0,90.5,90.0,45.6,65.8,25.2,21.1,72.0,51.4,79.5,Japan,The University of Osaka
The University of Sheffield,United Kingdom,Europe,2026,92.0,15.0,70.9,73.0,61.7,50.3,68.4,81.6,98.0,96.8,47.9,94.3,United Kingdom,The University of Sheffield
Uppsala University,Sweden,Europe,2026,93.0,3.0,70.3,74.7,48.1,66.3,55.9,99.7,82.9,95.9,82.9,94.4,Sweden,Uppsala University
Durham University,United Kingdom,Europe,2026,94.0,16.0,70.1,74.1,91.9,37.3,42.9,99.2,94.5,90.9,53.6,95.2,United Kingdom,Durham University
University of Alberta,Canada,Americas,2026,94.0,4.0,70.1,70.9,53.0,44.6,71.5,99.4,78.6,94.5,77.1,90.7,Canada,University of Alberta
University of Technology Sydney,Australia,Oceania,2026,96.0,9.0,69.9,58.7,66.7,11.8,99.3,97.6,91.7,89.7,52.3,92.0,Australia,University of Technology Sydney
The University of Nottingham,United Kingdom,Europe,2026,97.0,17.0,69.4,75.4,78.4,44.5,48.6,92.7,78.5,97.4,53.7,92.9,United Kingdom,The University of Nottingham
Karlsruhe Institute of Technology (KIT),Germany,Europe,2026,98.0,5.0,69.1,57.1,87.4,48.9,77.1,83.8,56.9,86.9,61.5,79.5,Germany,Karlsruhe Institute of Technology (KIT)
Politecnico di Milano,Italy,Europe,2026,98.0,1.0,69.1,83.4,90.1,9.3,53.9,74.4,69.3,87.0,72.0,72.9,Italy,Politecnico di Milano
University of Zurich (UZH),Switzerland,Europe,2026,100.0,3.0,68.5,71.0,43.5,95.2,52.3,100.0,57.8,93.5,90.8,69.8,Switzerland,University of Zurich (UZH)
University of Copenhagen,Denmark,Europe,2026,101.0,1.0,68.4,85.5,41.7,99.6,36.6,87.3,26.5,98.0,94.4,76.3,Denmark,University of Copenhagen
Pohang University of Science And Technology (POSTECH),South Korea,Asia,2026,102.0,4.0,67.9,61.3,83.3,99.9,98.3,31.6,4.2,29.6,16.0,64.3,South Korea,Pohang University of Science And Technology (POSTECH)
Nanjing University,China (Mainland),Asia,2026,103.0,6.0,67.7,72.1,61.2,37.2,99.0,82.9,15.9,69.5,39.7,59.5,China (Mainland),Nanjing University
Utrecht University,Netherlands,Europe,2026,103.0,3.0,67.7,79.3,49.2,39.5,77.9,63.4,30.5,97.8,73.2,75.1,Netherlands,Utrecht University
Lomonosov Moscow State University,Russia,Europe,2026,105.0,1.0,67.6,83.7,87.9,99.9,7.3,25.5,96.0,87.0,98.3,48.8,Russia,Lomonosov Moscow State University
Rheinisch-Westfälische Technische Hochschule Aachen,Germany,Europe,2026,105.0,6.0,67.6,57.7,95.7,10.7,79.7,59.6,93.0,86.0,55.9,82.9,Germany,Rheinisch-Westfälische Technische Hochschule Aachen
Technical University of Denmark,Denmark,Europe,2026,107.0,2.0,67.5,44.8,36.2,98.4,90.9,100.0,95.9,87.1,60.5,68.0,Denmark,Technical University of Denmark
Universidade de São Paulo (USP),Brazil,Americas,2026,108.0,1.0,67.3,97.3,81.0,30.5,40.3,9.2,3.5,95.3,98.8,89.0,Brazil,Universidade de São Paulo (USP)
Tohoku University,Japan,Asia,2026,109.0,5.0,66.7,84.5,86.5,98.2,35.5,20.5,19.4,70.1,36.5,82.0,Japan,Tohoku University
Queen Mary University of London (QMUL),United Kingdom,Europe,2026,110.0,18.0,66.6,63.6,47.1,31.0,83.4,99.9,99.9,91.9,40.1,82.4,United Kingdom,Queen Mary University of London (QMUL)
University of Wisconsin-Madison,United States,Americas,2026,110.0,27.0,66.6,85.7,63.1,84.3,28.1,57.7,37.0,88.9,91.0,72.5,United States,University of Wisconsin-Madison
Qatar University,Qatar,Asia,2026,112.0,1.0,66.5,43.3,56.5,73.8,73.3,100.0,98.6,89.6,98.9,72.2,Qatar,Qatar University
University of St Andrews,United Kingdom,Europe,2026,113.0,19.0,66.4,61.5,74.9,63.8,51.3,98.8,99.7,87.7,28.9,86.2,United Kingdom,University of St Andrews
Aalto University,Finland,Europe,2026,114.0,1.0,66.3,57.5,56.1,35.1,79.6,97.2,60.0,80.9,97.1,88.3,Finland,Aalto University
"University of California, Davis",United States,Americas,2026,114.0,28.0,66.3,72.7,70.1,28.3,66.5,86.5,61.9,90.8,38.0,79.8,United States,"University of California, Davis"
Pontificia Universidad Católica de Chile,Chile,Americas,2026,116.0,1.0,66.1,98.0,98.6,35.1,14.2,42.0,7.8,81.2,99.9,80.0,Chile,Pontificia Universidad Católica de Chile
University of Helsinki,Finland,Europe,2026,116.0,2.0,66.1,74.5,37.7,66.9,62.7,78.5,13.1,96.1,94.2,95.6,Finland,University of Helsinki
University College Dublin,Ireland,Europe,2026,118.0,2.0,66.0,66.5,57.6,19.7,62.0,99.5,89.6,89.0,92.2,91.7,Ireland,University College Dublin
Leiden University,Netherlands,Europe,2026,119.0,4.0,65.7,80.4,46.3,30.3,64.9,89.7,68.4,94.3,61.2,58.6,Netherlands,Leiden University
Rice University,United States,Americas,2026,119.0,29.0,65.7,50.6,51.0,74.9,81.6,91.3,96.6,66.3,45.7,81.5,United States,Rice University
University of Oslo,Norway,Europe,2026,119.0,1.0,65.7,67.8,27.7,78.4,67.7,95.8,46.0,96.8,86.6,72.3,Norway,University of Oslo
University of Waterloo,Canada,Americas,2026,119.0,5.0,65.7,53.0,74.2,8.8,88.3,81.5,76.6,83.5,72.0,90.5,Canada,University of Waterloo
Georgia Institute of Technology,United States,Americas,2026,123.0,30.0,65.5,76.0,92.8,32.4,54.2,21.5,60.4,79.0,67.5,66.1,United States,Georgia Institute of Technology
Indian Institute of Technology Delhi (IITD),India,Asia,2026,123.0,1.0,65.5,67.9,95.0,21.9,93.1,3.2,1.9,66.9,50.5,79.9,India,Indian Institute of Technology Delhi (IITD)
RMIT University,Australia,Oceania,2026,125.0,10.0,65.3,55.1,60.3,7.2,91.3,100.0,95.2,83.1,49.9,87.9,Australia,RMIT University
Sungkyunkwan University,South Korea,Asia,2026,126.0,5.0,65.2,68.4,75.6,83.8,62.3,24.2,57.6,49.5,44.2,74.7,South Korea,Sungkyunkwan University
Universiti Kebangsaan Malaysia (UKM),Malaysia,Asia,2026,126.0,2.0,65.2,76.2,76.4,78.7,30.1,50.1,94.7,86.1,35.5,74.7,Malaysia,Universiti Kebangsaan Malaysia (UKM)
Sapienza University of Rome,Italy,Europe,2026,128.0,2.0,64.9,90.7,66.4,7.8,62.9,4.0,14.8,95.9,91.5,81.9,Italy,Sapienza University of Rome
Indian Institute of Technology Bombay (IITB),India,Asia,2026,129.0,2.0,64.8,73.3,96.7,16.1,82.9,6.5,1.6,46.6,72.6,75.2,India,Indian Institute of Technology Bombay (IITB)
Humboldt-Universität zu Berlin,Germany,Europe,2026,130.0,7.0,64.5,94.3,75.3,10.5,43.4,75.7,47.6,95.0,27.5,58.4,Germany,Humboldt-Universität zu Berlin
Aarhus University,Denmark,Europe,2026,131.0,3.0,64.3,68.3,41.7,42.4,74.1,96.7,25.5,96.3,79.4,73.2,Denmark,Aarhus University
University of Bath,United Kingdom,Europe,2026,132.0,20.0,64.2,48.9,81.6,20.5,75.9,95.6,86.8,85.3,50.7,83.8,United Kingdom,University of Bath
University of Science and Technology of China,China (Mainland),Asia,2026,132.0,7.0,64.2,57.6,50.6,98.1,99.4,14.9,7.8,74.4,42.8,55.3,China (Mainland),University of Science and Technology of China
Universiti Putra Malaysia (UPM),Malaysia,Asia,2026,134.0,3.0,64.1,75.7,73.4,66.8,38.3,45.2,98.4,86.8,23.2,68.9,Malaysia,Universiti Putra Malaysia (UPM)
Universiti Sains Malaysia (USM),Malaysia,Asia,2026,134.0,3.0,64.1,77.6,79.8,47.6,38.4,34.7,99.3,92.5,29.1,74.5,Malaysia,Universiti Sains Malaysia (USM)
Universidad Nacional Autónoma de México (UNAM),Mexico,Americas,2026,136.0,1.0,64.0,99.2,95.9,47.1,4.1,10.0,5.4,93.6,97.9,82.2,Mexico,Universidad Nacional Autónoma de México (UNAM)
Newcastle University,United Kingdom,Europe,2026,137.0,21.0,63.9,62.9,68.7,49.5,49.1,92.5,81.0,95.8,40.5,90.9,United Kingdom,Newcastle University
Alma Mater Studiorum - University of Bologna,Italy,Europe,2026,138.0,3.0,63.3,90.6,67.5,6.0,51.9,29.9,26.5,95.6,67.4,83.2,Italy,Alma Mater Studiorum - University of Bologna
Macquarie University,Australia,Oceania,2026,138.0,11.0,63.3,47.7,56.7,13.6,85.8,100.0,97.3,91.0,62.2,90.6,Australia,Macquarie University
Eindhoven University of Technology,Netherlands,Europe,2026,140.0,5.0,63.2,40.5,77.3,43.6,81.9,100.0,95.7,74.3,33.1,74.1,Netherlands,Eindhoven University of Technology
Erasmus University Rotterdam,Netherlands,Europe,2026,140.0,5.0,63.2,49.4,74.8,20.7,75.7,81.8,81.6,81.8,94.0,62.2,Netherlands,Erasmus University Rotterdam
"University of North Carolina, Chapel Hill",United States,Americas,2026,140.0,31.0,63.2,72.2,55.5,85.6,47.9,31.1,25.0,89.5,74.0,83.9,United States,"University of North Carolina, Chapel Hill"
King Saud University,Saudi Arabia,Asia,2026,143.0,2.0,63.1,54.8,57.7,55.7,65.6,100.0,29.2,96.8,99.4,63.1,Saudi Arabia,King Saud University
Texas A&M University,United States,Americas,2026,144.0,32.0,63.0,72.9,81.5,6.2,75.5,28.0,20.7,93.0,63.8,61.0,United States,Texas A&M University
Technische Universität Berlin,Germany,Europe,2026,145.0,8.0,62.8,64.6,79.4,70.6,34.3,64.2,84.5,89.0,47.6,68.3,Germany,Technische Universität Berlin
University of Southern California,United States,Americas,2026,146.0,33.0,62.6,61.2,69.6,19.6,66.2,15.8,81.2,87.8,98.0,92.1,United States,University of Southern California
Stockholm University,Sweden,Europe,2026,147.0,4.0,62.5,65.1,29.5,28.3,73.6,83.0,79.4,96.7,90.5,72.1,Sweden,Stockholm University
University of Groningen,Netherlands,Europe,2026,147.0,7.0,62.5,67.2,41.6,56.2,53.0,95.4,89.4,93.4,53.5,67.6,Netherlands,University of Groningen
University of Liverpool,United Kingdom,Europe,2026,147.0,22.0,62.5,60.7,48.8,37.3,61.7,92.4,91.1,97.0,47.8,92.4,United Kingdom,University of Liverpool
University of Cape Town,South Africa,Africa,2026,150.0,1.0,62.3,58.2,62.3,14.6,75.4,66.1,27.9,97.7,97.7,92.1,South Africa,University of Cape Town
Western University,Canada,Americas,2026,151.0,6.0,62.0,42.3,53.5,5.2,93.5,100.0,68.7,83.6,98.0,94.0,Canada,Western University
University of Vienna,Austria,Europe,2026,152.0,1.0,61.9,82.3,46.4,31.0,22.2,100.0,96.6,96.3,92.8,71.8,Austria,University of Vienna
Universiti Teknologi Malaysia (UTM),Malaysia,Asia,2026,153.0,5.0,61.6,64.0,72.1,58.8,57.8,15.5,91.4,90.6,19.9,69.2,Malaysia,Universiti Teknologi Malaysia (UTM)
Wageningen University & Research,Netherlands,Europe,2026,153.0,8.0,61.6,55.0,34.4,99.5,54.8,72.0,90.7,97.2,32.9,91.2,Netherlands,Wageningen University & Research
University of Exeter,United Kingdom,Europe,2026,155.0,23.0,61.5,57.9,58.5,42.0,55.8,94.8,77.8,95.8,40.9,93.9,United Kingdom,University of Exeter
University of Geneva,Switzerland,Europe,2026,155.0,4.0,61.5,55.3,34.8,47.4,70.3,100.0,98.6,92.1,63.1,66.5,Switzerland,University of Geneva
Lancaster University,United Kingdom,Europe,2026,157.0,24.0,61.4,51.2,45.8,36.1,77.5,96.4,93.3,87.0,38.2,89.2,United Kingdom,Lancaster University
University of Basel,Switzerland,Europe,2026,158.0,5.0,61.3,34.0,20.7,70.2,94.2,100.0,91.4,90.4,74.9,88.4,Switzerland,University of Basel
Hanyang University,South Korea,Asia,2026,159.0,6.0,61.2,58.2,81.9,81.7,42.9,23.7,70.1,65.5,54.5,82.8,South Korea,Hanyang University
University of Barcelona,Spain,Europe,2026,160.0,1.0,61.0,84.9,48.9,19.0,47.8,39.9,40.8,96.4,77.0,84.7,Spain,University of Barcelona
Michigan State University,United States,Americas,2026,161.0,34.0,60.9,67.3,62.9,13.9,61.2,67.2,21.1,97.6,75.6,94.2,United States,Michigan State University
