University_Name,Country,Year,THE2023_Rank,Total_Students,Faculty_Student_Ratio_2023,Faculty_Count,International_Student_Ratio_2023,International_Students_Count,Gender_Ratio,Female_Percentage,Male_Percentage,Teaching_Score_2023,Research_Score_2023,Citations_Score_2023,Industry_Income_Score_2023,International_Outlook_Score_2023,Overall_Score_2023,Std_Country,Std_University_Name,Base_Match_Score
University of Udine,Italy,2023,501.0,12326.0,18.5,666.2702702702703,5.0,616.0,54 : 46,54.0,46.0,26.1,19.6,73.6,39.9,38.2,,Italy,University of Turin,89.47368421052632
UiT The Arctic University of Norway,Norway,2023,501.0,14377.0,10.1,1423.4653465346535,10.0,1438.0,58 : 42,58.0,42.0,22.8,20.8,75.3,39.0,68.6,,Norway,UiT The Arctic University of Norway,0.0
University of Valencia,Spain,2023,501.0,50575.0,14.3,3536.7132867132864,14.0,7080.0,58 : 42,58.0,42.0,23.0,23.8,71.3,39.0,49.9,,Spain,University of Valencia,0.0
University of Vic – Central University of Catalonia,Spain,2023,501.0,6472.0,14.0,462.2857142857143,20.0,1294.0,60 : 40,60.0,40.0,16.1,12.0,91.6,37.9,59.7,,Spain,University of Vic – Central University of Catalonia,0.0
Victoria University,Australia,2023,501.0,16106.0,45.2,356.32743362831854,25.0,4026.0,55 : 45,55.0,45.0,25.5,26.9,63.6,44.5,79.1,,Australia,Victoria University,100.0
Virginia Commonwealth University,United States,2023,501.0,26472.0,10.7,2474.0186915887853,4.0,1059.0,63 : 37,63.0,37.0,28.9,12.3,86.2,42.5,30.7,,United States,Virginia Commonwealth University,100.0
Wayne State University,United States,2023,501.0,22941.0,11.9,1927.81512605042,5.0,1147.0,59 : 41,59.0,41.0,34.0,18.6,67.2,48.8,35.3,,United States,Wayne State University,100.0
The University of the West Indies,Jamaica,2023,501.0,24811.0,17.0,1459.4705882352941,1.0,248.0,71 : 29,71.0,29.0,17.6,10.8,90.3,38.9,58.1,,Jamaica,The University of the West Indies,0.0
Xi’an Jiaotong University,China,2023,501.0,44942.0,14.1,3187.375886524823,6.0,2697.0,35 : 65,35.0,65.0,36.4,42.7,47.1,75.0,29.4,,China,Xi'an Jiaotong University,100.0
University of Zambia,Zambia,2023,501.0,16903.0,21.2,797.311320754717,1.0,169.0,35 : 65,35.0,65.0,15.7,9.2,96.8,38.4,49.9,,Zambia,University of Zambia,0.0
Zayed University,United Arab Emirates,2023,501.0,8593.0,14.1,609.4326241134752,2.0,172.0,88 : 12,88.0,12.0,17.7,16.0,79.1,37.6,74.5,,United Arab Emirates,Zayed University,100.0
Zhejiang Normal University,China,2023,501.0,26928.0,11.7,2301.538461538462,7.0,1885.0,,,,16.7,15.5,87.5,65.4,30.5,,China,Zhejiang Normal University,0.0
Abdul Wali Khan University Mardan,Pakistan,2023,601.0,10314.0,20.9,493.4928229665072,0.0,0.0,32 : 68,32.0,68.0,15.0,12.0,88.0,36.9,46.4,,Pakistan,Abdul Wali Khan University Mardan,0.0
Åbo Akademi University,Finland,2023,601.0,5399.0,17.6,306.7613636363636,10.0,540.0,,,,22.0,31.2,44.4,40.0,65.0,,Finland,Åbo Akademi University,0.0
Addis Ababa University,Ethiopia,2023,601.0,46881.0,14.8,3167.635135135135,0.0,0.0,29 : 71,29.0,71.0,19.6,12.4,79.5,41.9,46.6,,Ethiopia,Addis Ababa University,100.0
Ahvaz Jundishapur University of Medical Sciences (AJUMS),Iran,2023,601.0,8601.0,11.6,741.4655172413793,2.0,172.0,60 : 40,60.0,40.0,33.5,10.0,65.5,37.5,18.2,,Iran,Ahvaz Jundishapur University of Medical Sciences (AJUMS),0.0
Ajou University,South Korea,2023,601.0,7574.0,14.2,533.3802816901409,17.0,1288.0,42 : 58,42.0,58.0,31.1,37.5,41.7,74.3,44.4,,South Korea,Ajou University,100.0
Amedeo Avogadro University of Eastern Piedmont,Italy,2023,601.0,14292.0,37.1,385.22911051212935,7.0,1000.0,61 : 39,61.0,39.0,13.9,22.2,64.5,37.5,41.6,,Italy,Amedeo Avogadro University of Eastern Piedmont,0.0
American University,United States,2023,601.0,12495.0,11.6,1077.155172413793,11.0,1374.0,63 : 37,63.0,37.0,40.7,16.8,55.7,42.5,37.3,,United States,American University,100.0
American University of Sharjah,United Arab Emirates,2023,601.0,4468.0,11.9,375.4621848739496,76.0,3396.0,53 : 47,53.0,47.0,20.9,21.3,45.6,38.9,93.5,,United Arab Emirates,American University of Sharjah (AUS),100.0
Amirkabir University of Technology,Iran,2023,601.0,10673.0,21.2,503.44339622641513,2.0,213.0,35 : 65,35.0,65.0,30.1,31.9,54.9,64.9,31.7,,Iran,Amirkabir University of Technology,100.0
University of Antofagasta,Chile,2023,601.0,8083.0,20.4,396.22549019607845,2.0,162.0,56 : 44,56.0,44.0,14.8,9.5,81.0,36.9,52.4,,Chile,University of Antofagasta,0.0
University of Arkansas,United States,2023,601.0,25207.0,19.4,1299.3298969072166,4.0,1008.0,54 : 46,54.0,46.0,29.1,27.6,48.5,39.5,30.6,,United States,University of Kansas,95.23809523809523
Auburn University,United States,2023,601.0,27512.0,18.2,1511.6483516483518,10.0,2751.0,50 : 50,50.0,50.0,32.4,23.4,45.9,43.8,49.3,,United States,Auburn University,100.0
Azarbaijan Shahid Madani University,Iran,2023,601.0,7350.0,26.2,280.53435114503816,0.0,0.0,61 : 39,61.0,39.0,18.1,13.0,83.8,38.4,22.7,,Iran,Azarbaijan Shahid Madani University,0.0
University of Babylon,Iraq,2023,601.0,26449.0,12.7,2082.5984251968507,0.0,0.0,54 : 46,54.0,46.0,18.0,7.8,85.0,37.0,21.6,,Iraq,University of Babylon,100.0
Bahçeşehir University,Turkey,2023,601.0,17813.0,47.2,377.39406779661016,18.0,3206.0,49 : 51,49.0,51.0,19.3,20.9,62.3,51.9,49.5,,Turkey,Bahçeşehir University,0.0
Bahria University,Pakistan,2023,601.0,19573.0,22.2,881.6666666666667,1.0,196.0,44 : 56,44.0,56.0,13.6,9.1,79.7,37.4,43.7,,Pakistan,Bahria University,0.0
Banaras Hindu University,India,2023,601.0,13900.0,8.7,1597.7011494252874,3.0,417.0,38 : 62,38.0,62.0,38.8,16.9,66.0,37.0,20.1,,India,Banaras Hindu University,100.0
University of Bari Aldo Moro,Italy,2023,601.0,29905.0,21.6,1384.4907407407406,2.0,598.0,62 : 38,62.0,38.0,16.6,22.8,72.5,38.9,33.6,,Italy,University of Bari Aldo Moro,0.0
Bar-Ilan University,Israel,2023,601.0,17255.0,17.3,997.3988439306358,4.0,690.0,61 : 39,61.0,39.0,30.5,34.0,42.0,49.4,50.3,,Israel,Bar-Ilan University,100.0
Baylor University,United States,2023,601.0,19700.0,17.7,1112.9943502824858,7.0,1379.0,55 : 45,55.0,45.0,33.7,18.3,52.4,37.4,29.3,,United States,Baylor University,100.0
Beirut Arab University,Lebanon,2023,601.0,5698.0,12.0,474.8333333333333,18.0,1026.0,45 : 55,45.0,55.0,33.6,16.4,56.1,37.0,83.9,,Lebanon,Beirut Arab University,100.0
Ben-Gurion University of the Negev,Israel,2023,601.0,16468.0,20.4,807.2549019607844,2.0,329.0,52 : 48,52.0,48.0,30.3,31.1,43.4,42.8,37.0,,Israel,Ben Gurion University of The Negev,100.0
Benha University,Egypt,2023,601.0,110645.0,32.5,3404.4615384615386,3.0,3319.0,42 : 58,42.0,58.0,16.5,8.6,77.0,37.8,45.1,,Egypt,Benha University,100.0
Université Bourgogne Franche-Comté (UBFC),France,2023,601.0,67049.0,37.3,1797.5603217158177,11.0,7375.0,56 : 44,56.0,44.0,19.6,18.3,69.7,40.7,55.4,,France,Université Bourgogne Franche-Comté (UBFC),0.0
Ca’ Foscari University of Venice,Italy,2023,601.0,18231.0,38.3,476.0052219321149,10.0,1823.0,64 : 36,64.0,36.0,34.4,32.3,34.3,44.6,60.8,,Italy,Ca' Foscari University of Venice,100.0
University of Camerino (Unicam),Italy,2023,601.0,8129.0,27.9,291.3620071684588,10.0,813.0,46 : 54,46.0,54.0,20.9,15.8,61.4,44.7,49.3,,Italy,University of Camerino (Unicam),0.0
University of Canterbury,,2023,601.0,15245.0,18.4,828.5326086956522,22.0,3354.0,51 : 49,51.0,49.0,25.2,27.5,45.3,39.7,92.0,,,University of Canterbury,100.0
Capital Medical University,China,2023,601.0,15254.0,4.9,3113.0612244897957,5.0,763.0,62 : 38,62.0,38.0,30.4,18.3,65.8,37.3,22.8,,China,Capital Medical University,0.0
Carleton University,Canada,2023,601.0,28760.0,29.7,968.3501683501684,22.0,6327.0,49 : 51,49.0,51.0,21.5,30.5,50.4,43.0,72.2,,Canada,Carleton University,100.0
University of Central Florida,United States,2023,601.0,62248.0,36.1,1724.3213296398892,5.0,3112.0,56 : 44,56.0,44.0,26.1,29.5,60.1,46.0,34.4,,United States,University of Central Florida,100.0
Central Queensland University,,2023,601.0,15453.0,20.7,746.5217391304348,26.0,4018.0,58 : 42,58.0,42.0,19.4,19.6,66.5,40.3,61.7,,,Central Queensland University,0.0
Chongqing University,,2023,601.0,40696.0,19.9,2045.0251256281408,3.0,1221.0,,,,27.8,33.2,52.8,85.2,24.8,,,Chongqing University,100.0
Chung-Ang University,South Korea,2023,601.0,18101.0,22.7,797.4008810572687,22.0,3982.0,,,,37.3,38.3,29.2,78.6,56.1,,South Korea,Chung-Ang University,100.0
Clark University,United States,2023,601.0,3273.0,11.6,282.15517241379314,25.0,818.0,59 : 41,59.0,41.0,24.9,20.7,64.9,36.9,58.4,,United States,Clark University,100.0
University of Coimbra,Portugal,2023,601.0,21429.0,18.0,1190.5,19.0,4072.0,58 : 42,58.0,42.0,25.1,35.2,40.4,49.8,59.5,,Portugal,University of Coimbra,100.0
University of Colombo,Sri Lanka,2023,601.0,31792.0,31.9,996.614420062696,0.0,0.0,58 : 42,58.0,42.0,28.9,9.6,74.5,37.0,37.0,,Sri Lanka,University of Colombo,100.0
COMSATS University Islamabad,Pakistan,2023,601.0,33465.0,14.8,2261.1486486486488,2.0,669.0,42 : 58,42.0,58.0,17.1,14.7,78.2,37.0,46.8,,Pakistan,COMSATS University Islamabad,100.0
Concordia University,Canada,2023,601.0,35592.0,33.5,1062.44776119403,34.0,12101.0,50 : 50,50.0,50.0,22.6,27.4,46.4,39.2,85.6,,Canada,Concordia University,100.0
University of Córdoba,Spain,2023,601.0,16847.0,13.5,1247.9259259259259,10.0,1685.0,56 : 44,56.0,44.0,22.7,21.2,56.0,39.4,47.5,,Spain,University of Córdoba,0.0
University of Costa Rica,Costa Rica,2023,601.0,31545.0,13.4,2354.10447761194,2.0,631.0,53 : 47,53.0,47.0,18.2,9.0,71.2,36.9,48.1,,Costa Rica,University of Costa Rica,0.0
Covenant University,,2023,601.0,8362.0,15.5,539.483870967742,1.0,84.0,40 : 60,40.0,60.0,22.1,24.8,59.4,44.3,46.0,,,Covenant University,0.0
Cyprus University of Technology,Cyprus,2023,601.0,3280.0,16.9,194.0828402366864,14.0,459.0,56 : 44,56.0,44.0,23.7,16.7,53.9,38.9,78.6,,Cyprus,Cyprus University of Technology,100.0
Dalian University of Technology,China,2023,601.0,38465.0,15.0,2564.3333333333335,3.0,1154.0,,,,28.6,29.6,46.1,73.0,31.9,,China,Dalian University of Technology,100.0
Delhi Technological University,India,2023,601.0,11196.0,22.3,502.0627802690583,3.0,336.0,22 : 78,22.0,78.0,17.8,17.0,80.1,42.5,17.3,,India,Delhi Technological University,0.0
De Montfort University,United Kingdom,2023,601.0,24490.0,20.2,1212.3762376237623,38.0,9306.0,54 : 46,54.0,46.0,17.0,14.8,59.3,37.0,89.6,,United Kingdom,De Montfort University,100.0
University of Derby,United Kingdom,2023,601.0,15525.0,14.6,1063.3561643835617,18.0,2794.0,59 : 41,59.0,41.0,16.5,12.0,66.5,37.4,70.2,,United Kingdom,University of Derby,100.0
University of Desarrollo,Chile,2023,601.0,15933.0,15.9,1002.0754716981132,3.0,478.0,56 : 44,56.0,44.0,15.0,10.1,73.8,39.6,50.6,,Chile,University of Desarrollo,0.0
University of Dhaka,Bangladesh,2023,601.0,211424.0,16.1,13131.925465838509,3.0,6343.0,48 : 52,48.0,52.0,15.2,8.6,85.9,37.3,43.1,,Bangladesh,University of Dhaka,100.0
Dow University of Health Sciences,Pakistan,2023,601.0,7249.0,6.8,1066.0294117647059,3.0,217.0,76 : 24,76.0,24.0,20.8,8.2,74.0,37.2,35.8,,Pakistan,Dow University of Health Sciences,0.0
University of Eastern Finland,Finland,2023,601.0,11898.0,18.2,653.7362637362637,5.0,595.0,66 : 34,66.0,34.0,24.8,29.1,58.3,40.0,50.5,,Finland,University of Eastern Finland,100.0
Universidade Eduardo Mondlane,Mozambique,2023,601.0,45256.0,26.1,1733.9463601532566,0.0,0.0,39 : 61,39.0,61.0,12.1,8.4,89.4,36.9,48.7,,Mozambique,Universidade Eduardo Mondlane,0.0
"University of Engineering and Technology, Taxila",Pakistan,2023,601.0,5290.0,19.3,274.09326424870466,2.0,106.0,18 : 82,18.0,82.0,15.1,12.5,88.9,37.2,42.7,,Pakistan,"University of Engineering and Technology, Taxila",0.0
ENSTA Bretagne,France,2023,601.0,830.0,8.1,102.46913580246914,5.0,42.0,24 : 76,24.0,76.0,26.3,23.3,48.7,64.7,49.5,,France,ENSTA Bretagne,0.0
Eötvös Loránd University,,2023,601.0,30190.0,17.5,1725.142857142857,9.0,2717.0,62 : 38,62.0,38.0,32.9,18.2,49.6,37.2,52.1,,,Eötvös Loránd University,0.0
Fayoum University,Egypt,2023,601.0,44786.0,16.8,2665.833333333333,0.0,0.0,62 : 38,62.0,38.0,15.3,10.4,79.7,40.2,42.4,,Egypt,Fayoum University,0.0
Universidade Federal do Rio Grande do Sul,Brazil,2023,601.0,39169.0,14.1,2777.9432624113474,1.0,392.0,52 : 48,52.0,48.0,32.1,21.9,50.8,39.8,28.7,,Brazil,Universidade Federal do Rio Grande Do Sul,100.0
Universidade Federal de São Paulo (UNIFESP),Brazil,2023,601.0,18877.0,10.3,1832.7184466019417,1.0,189.0,59 : 41,59.0,41.0,29.6,21.4,55.4,37.3,30.5,,Brazil,Universidade Federal de São Paulo (UNIFESP),100.0
Federation University Australia,,2023,601.0,11684.0,22.2,526.3063063063063,52.0,6076.0,55 : 45,55.0,45.0,18.6,15.8,70.5,41.1,81.2,,,Federation University Australia,0.0
Gabriele d‘Annunzio University,Italy,2023,601.0,23416.0,32.4,722.716049382716,2.0,468.0,64 : 36,64.0,36.0,15.1,18.9,72.9,37.8,38.4,,Italy,Gabriele d‘Annunzio University,0.0
University of Georgia,United States,2023,601.0,37465.0,13.2,2838.257575757576,7.0,2623.0,58 : 42,58.0,42.0,39.5,25.8,52.8,39.2,37.6,,United States,The University of Georgia,91.30434782608697
Glasgow Caledonian University,United Kingdom,2023,601.0,14270.0,23.6,604.6610169491526,19.0,2711.0,57 : 43,57.0,43.0,18.4,13.8,65.4,37.4,69.0,,United Kingdom,Glasgow Caledonian University,100.0
University of Granada,Spain,2023,601.0,54619.0,14.5,3766.8275862068967,10.0,5462.0,60 : 40,60.0,40.0,23.2,28.8,50.5,37.2,50.2,,Spain,University of Granada,100.0
Graphic Era University,,2023,601.0,7823.0,14.3,547.0629370629371,1.0,78.0,42 : 58,42.0,58.0,25.0,9.0,83.1,41.6,25.5,,,Graphic Era University,0.0
University of Graz,Austria,2023,601.0,12531.0,12.4,1010.5645161290322,17.0,2130.0,66 : 34,66.0,34.0,25.2,19.3,59.3,38.2,81.7,,Austria,University of Graz,0.0
Graz University of Technology,Austria,2023,601.0,6353.0,8.6,738.7209302325582,23.0,1461.0,25 : 75,25.0,75.0,32.0,20.3,42.5,63.1,83.6,,Austria,Graz University of Technology,100.0
Guangzhou University,China,2023,601.0,36701.0,19.4,1891.8041237113403,0.0,0.0,64 : 36,64.0,36.0,16.1,14.3,76.9,41.5,28.9,,China,Guangzhou University,0.0
Guangzhou Medical University,China,2023,601.0,12891.0,1.7,7582.941176470588,2.0,258.0,56 : 44,56.0,44.0,22.2,8.3,87.6,38.2,24.2,,China,Guangzhou Medical University,0.0
Hacettepe University,Turkey,2023,601.0,38444.0,20.1,1912.6368159203978,3.0,1153.0,56 : 44,56.0,44.0,29.0,26.1,51.9,89.1,25.7,,Turkey,Hacettepe University,100.0
University of Haifa,Israel,2023,601.0,17353.0,17.7,980.3954802259888,3.0,521.0,66 : 34,66.0,34.0,21.5,29.1,66.4,38.1,36.1,,Israel,University of Haifa,100.0
Hamburg University of Technology,Germany,2023,601.0,4668.0,28.9,161.522491349481,23.0,1074.0,28 : 72,28.0,72.0,36.1,23.9,42.5,88.1,56.9,,Germany,Hamburg University of Technology,0.0
Hazara University Mansehra,Pakistan,2023,601.0,12145.0,26.5,458.3018867924528,0.0,0.0,26 : 74,26.0,74.0,17.4,10.1,82.0,37.0,44.3,,Pakistan,Hazara University Mansehra,0.0
University of Hertfordshire,United Kingdom,2023,601.0,18780.0,15.5,1211.6129032258063,38.0,7136.0,54 : 46,54.0,46.0,17.7,13.2,58.1,37.3,86.1,,United Kingdom,University of Hertfordshire,100.0
University of Houston,United States,2023,601.0,46958.0,27.0,1739.1851851851852,7.0,3287.0,52 : 48,52.0,48.0,34.9,28.0,48.8,42.5,43.2,,United States,University of Houston,100.0
University of Huddersfield,United Kingdom,2023,601.0,14410.0,19.9,724.1206030150754,26.0,3747.0,58 : 42,58.0,42.0,23.2,23.7,49.8,39.7,82.8,,United Kingdom,University of Huddersfield,100.0
Icesi University,Colombia,2023,601.0,6279.0,8.0,784.875,2.0,126.0,53 : 47,53.0,47.0,19.1,9.1,86.0,37.4,37.3,,Colombia,Icesi University,0.0
Ilam University of Medical Sciences,Iran,2023,601.0,2687.0,13.0,206.69230769230768,4.0,107.0,53 : 47,53.0,47.0,26.1,10.7,85.1,38.5,20.8,,Iran,Ilam University of Medical Sciences,0.0
Imam Abdulrahman Bin Faisal University,Saudi Arabia,2023,601.0,22059.0,8.7,2535.5172413793107,4.0,882.0,90 : 10,90.0,10.0,22.1,9.9,64.0,37.5,72.9,,Saudi Arabia,Imam Abdulrahman Bin Faisal University (formerly University of Dammam),100.0
Indian Institute of Technology Indore,India,2023,601.0,2001.0,11.7,171.02564102564102,0.0,0.0,22 : 78,22.0,78.0,32.8,23.7,61.8,39.1,24.9,,India,Indian Institute of Technology Indore,100.0
Indraprastha Institute of Information Technology Delhi,India,2023,601.0,2399.0,23.1,103.85281385281385,2.0,48.0,23 : 77,23.0,77.0,21.5,17.5,69.6,78.9,33.8,,India,Indraprastha Institute of Information Technology Delhi,0.0
"International Islamic University, Islamabad",Pakistan,2023,601.0,25221.0,25.1,1004.820717131474,7.0,1765.0,53 : 47,53.0,47.0,17.2,10.8,80.7,36.9,52.2,,Pakistan,International Islamic University Islamabad (IIU),100.0
Iran University of Medical Sciences,Iran,2023,601.0,8840.0,8.3,1065.0602409638552,5.0,442.0,57 : 43,57.0,43.0,46.0,14.9,56.1,41.7,27.1,,Iran,Iran University of Medical Sciences,0.0
Istanbul Technical University,Turkey,2023,601.0,18562.0,24.2,767.0247933884298,15.0,2784.0,37 : 63,37.0,63.0,31.9,35.5,29.1,100.0,42.6,,Turkey,Istanbul Technical University,100.0
Jagiellonian University,Poland,2023,601.0,34725.0,9.6,3617.1875,11.0,3820.0,67 : 33,67.0,33.0,31.3,25.3,56.7,37.6,40.9,,Poland,Jagiellonian University,100.0
Jamia Hamdard University,India,2023,601.0,9636.0,20.0,481.8,3.0,289.0,45 : 55,45.0,55.0,18.9,12.6,73.3,40.5,31.3,,India,Jamia Hamdard University,0.0
Jawaharlal Nehru University,India,2023,601.0,8840.0,14.2,622.5352112676056,2.0,177.0,46 : 54,46.0,54.0,44.1,23.5,38.3,37.9,19.5,,India,Jawaharlal Nehru University,100.0
Jiangsu University,China,2023,601.0,35687.0,9.5,3756.5263157894738,6.0,2141.0,42 : 58,42.0,58.0,21.0,12.5,66.5,58.8,44.4,,China,Jiangsu University,0.0
Jinan University,China,2023,601.0,41858.0,16.6,2521.5662650602408,27.0,11302.0,56 : 44,56.0,44.0,21.6,20.2,57.1,45.0,52.9,,China,Jinan University (China),100.0
University of Johannesburg,,2023,601.0,29167.0,25.1,1162.03187250996,15.0,4375.0,55 : 45,55.0,45.0,24.7,33.4,35.8,45.5,74.9,,,University of Johannesburg,100.0
Jönköping University,Sweden,2023,601.0,6762.0,13.0,520.1538461538462,14.0,947.0,60 : 40,60.0,40.0,18.6,18.3,58.9,38.1,65.5,,Sweden,Linköping University,90.0
The University of Jordan,Jordan,2023,601.0,30380.0,13.4,2267.1641791044776,13.0,3949.0,66 : 34,66.0,34.0,24.8,12.4,60.9,40.8,59.9,,Jordan,University of Jordan,90.9090909090909
Jouf University,Saudi Arabia,2023,601.0,19826.0,9.8,2023.0612244897957,3.0,595.0,60 : 40,60.0,40.0,27.3,17.7,47.7,38.4,75.0,,Saudi Arabia,Al Jouf University,90.9090909090909
University of Kaiserslautern,Germany,2023,601.0,8572.0,28.8,297.63888888888886,22.0,1886.0,35 : 65,35.0,65.0,37.5,26.7,32.2,62.5,54.9,,Germany,University of Kaiserslautern,0.0
Kalasalingam Academy of Research and Education,India,2023,601.0,7365.0,8.8,836.9318181818181,3.0,221.0,55 : 45,55.0,45.0,22.3,9.3,82.3,39.3,23.3,,India,Kalasalingam Academy of Research and Education,0.0
Kansai Medical University,Japan,2023,601.0,1086.0,1.3,835.3846153846154,2.0,22.0,52 : 48,52.0,48.0,27.6,8.5,82.6,38.1,18.2,,Japan,Kansai Medical University,0.0
University of Kashan,Iran,2023,601.0,8190.0,27.2,301.1029411764706,3.0,246.0,54 : 46,54.0,46.0,21.4,19.2,76.3,38.4,22.8,,Iran,University of Kashan,0.0
Universiti Kebangsaan Malaysia,Malaysia,2023,601.0,16873.0,10.1,1670.5940594059407,14.0,2362.0,58 : 42,58.0,42.0,37.6,23.9,47.1,40.1,65.7,,Malaysia,Universiti Kebangsaan Malaysia (UKM),100.0
KIIT University,,2023,601.0,24796.0,12.3,2015.9349593495933,9.0,2232.0,49 : 51,49.0,51.0,30.3,13.6,67.5,69.5,28.0,,,KIIT University,0.0
King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,2023,601.0,7870.0,11.3,696.4601769911504,1.0,79.0,50 : 50,50.0,50.0,34.8,13.9,50.1,42.9,62.9,,Saudi Arabia,King Saud bin Abdulaziz University for Health Sciences,0.0
Konkuk University,South Korea,2023,601.0,13375.0,26.2,510.4961832061069,14.0,1872.0,49 : 51,49.0,51.0,30.6,37.8,30.5,45.8,42.1,,South Korea,Konkuk University,100.0
Kore University of Enna,Italy,2023,601.0,5053.0,14.5,348.48275862068965,1.0,51.0,68 : 32,68.0,32.0,16.7,12.1,86.3,37.9,37.7,,Italy,Kore University of Enna,0.0
University of Kurdistan,Iran,2023,601.0,12924.0,34.6,373.52601156069363,5.0,646.0,53 : 47,53.0,47.0,14.7,14.4,74.2,41.8,30.9,,Iran,University of Kurdistan,0.0
Lahore University of Management Sciences,Pakistan,2023,601.0,4499.0,13.8,326.0144927536232,1.0,45.0,42 : 58,42.0,58.0,21.5,15.7,64.5,38.8,47.2,,Pakistan,Lahore University of Management Sciences (LUMS),100.0
Lehigh University,United States,2023,601.0,6459.0,11.1,581.8918918918919,18.0,1163.0,46 : 54,46.0,54.0,28.3,21.4,52.3,39.3,65.2,,United States,Lehigh University,100.0
University of Limerick,,2023,601.0,14733.0,25.1,586.9721115537848,20.0,2947.0,50 : 50,50.0,50.0,24.2,30.3,50.8,40.7,83.0,,,University of Limerick,100.0
London South Bank University,United Kingdom,2023,601.0,13050.0,16.8,776.7857142857142,35.0,4568.0,56 : 44,56.0,44.0,18.0,12.1,63.5,37.5,87.7,,United Kingdom,London South Bank University,100.0
University of Lorraine,France,2023,601.0,61210.0,20.2,3030.19801980198,17.0,10406.0,53 : 47,53.0,47.0,23.2,17.8,54.6,39.7,64.7,,France,University of Lorraine,0.0
Louisiana State University,United States,2023,601.0,29191.0,18.2,1603.901098901099,5.0,1460.0,54 : 46,54.0,46.0,34.8,21.4,47.0,38.2,39.9,,United States,Louisiana State University,100.0
Lviv Polytechnic National University,Ukraine,2023,601.0,21367.0,10.5,2034.952380952381,1.0,214.0,42 : 58,42.0,58.0,19.4,10.7,53.7,38.0,25.3,,Ukraine,National University Lviv Polytechnic,100.0
Maharishi Markandeshwar University (MMU),,2023,601.0,9053.0,13.3,680.6766917293232,10.0,905.0,43 : 57,43.0,57.0,19.9,8.2,76.8,37.3,26.6,,,Maharishi Markandeshwar University (MMU),0.0
Majmaah University,Saudi Arabia,2023,601.0,20844.0,14.2,1467.887323943662,2.0,417.0,46 : 54,46.0,54.0,16.0,8.5,71.4,37.0,72.6,,Saudi Arabia,Majmaah University,0.0
University of Malakand,Pakistan,2023,601.0,7757.0,27.1,286.2361623616236,1.0,78.0,29 : 71,29.0,71.0,17.0,11.4,79.3,37.5,44.8,,Pakistan,University of Malakand,0.0
Manchester Metropolitan University,United Kingdom,2023,601.0,29195.0,15.9,1836.1635220125786,19.0,5547.0,58 : 42,58.0,42.0,19.1,17.4,69.1,37.4,73.8,,United Kingdom,Manchester Metropolitan University,100.0
Mansoura University,Egypt,2023,601.0,161977.0,47.5,3410.0421052631577,3.0,4859.0,52 : 48,52.0,48.0,20.7,11.5,80.6,43.7,48.9,,Egypt,Mansoura University,100.0
Marche Polytechnic University,Italy,2023,601.0,10544.0,22.4,470.7142857142857,5.0,527.0,46 : 54,46.0,54.0,20.4,22.3,73.1,45.4,33.9,,Italy,Marche Polytechnic University,0.0
"University of Maryland, Baltimore County",United States,2023,601.0,11456.0,16.8,681.9047619047619,8.0,916.0,46 : 54,46.0,54.0,23.0,22.2,58.4,37.9,37.7,,United States,"University of Maryland, Baltimore County",100.0
Mashhad University of Medical Sciences,Iran,2023,601.0,9148.0,9.7,943.0927835051547,4.0,366.0,58 : 42,58.0,42.0,29.3,13.5,60.9,37.0,26.2,,Iran,Mashhad University of Medical Sciences,0.0
Massey University,New Zealand,2023,601.0,17534.0,16.1,1089.0683229813665,29.0,5085.0,64 : 36,64.0,36.0,24.3,25.8,39.7,43.8,92.9,,New Zealand,Massey University,100.0
Medical University of Lodz,Poland,2023,601.0,10294.0,8.6,1196.9767441860465,10.0,1029.0,70 : 30,70.0,30.0,20.7,9.7,80.1,37.1,30.4,,Poland,Medical University of Lodz,0.0
Memorial University of Newfoundland,,2023,601.0,16098.0,14.9,1080.4026845637584,21.0,3381.0,56 : 44,56.0,44.0,23.3,22.7,47.6,72.1,81.2,,,Memorial University of Newfoundland,100.0
Minia University,Egypt,2023,601.0,75566.0,17.9,4221.5642458100565,1.0,756.0,54 : 46,54.0,46.0,15.9,8.5,74.9,37.1,46.2,,Egypt,Minia University,0.0
Mizzou - University of Missouri,United States,2023,601.0,25113.0,11.8,2128.2203389830506,4.0,1005.0,55 : 45,55.0,45.0,34.8,25.3,52.1,40.2,44.7,,United States,Mizzou - University of Missouri,0.0
University of Mohaghegh Ardabili,Iran,2023,601.0,11435.0,28.7,398.43205574912895,0.0,0.0,56 : 44,56.0,44.0,20.9,11.1,75.1,37.2,27.5,,Iran,University of Mohaghegh Ardabili,0.0
University of Nairobi,Kenya,2023,601.0,52678.0,34.5,1526.8985507246377,2.0,1054.0,24 : 76,24.0,76.0,13.2,8.8,86.9,36.9,47.3,,Kenya,University of Nairobi,100.0
University of Namibia,Namibia,2023,601.0,29369.0,21.8,1347.2018348623853,3.0,881.0,64 : 36,64.0,36.0,13.3,8.0,90.3,36.9,64.2,,Namibia,University of Namibia,0.0
Nanjing Agricultural University,China,2023,601.0,28184.0,17.0,1657.8823529411766,2.0,564.0,,,,20.5,24.1,59.5,47.5,24.9,,China,Nanjing Agricultural University,100.0
