University_Name,Country,Year,THE2023_Rank,Total_Students,Faculty_Student_Ratio_2023,Faculty_Count,International_Student_Ratio_2023,International_Students_Count,Gender_Ratio,Female_Percentage,Male_Percentage,Teaching_Score_2023,Research_Score_2023,Citations_Score_2023,Industry_Income_Score_2023,International_Outlook_Score_2023,Overall_Score_2023,Std_Country,Std_University_Name,Base_Match_Score
Vita-Salute San Raffaele University,Italy,2023,201.0,3560.0,15.1,235.76158940397352,5.0,178.0,61 : 39,61.0,39.0,37.6,27.8,99.7,38.2,45.2,,Italy,Università Vita-Salute San Raffaele,98.55072463768117
Vrije Universiteit Brussel,Belgium,2023,201.0,14284.0,33.6,425.1190476190476,23.0,3285.0,57 : 43,57.0,43.0,36.6,43.6,67.4,60.1,77.3,,Belgium,Vrije Universiteit Brussel (VUB),100.0
University of Waterloo,Canada,2023,201.0,34306.0,23.2,1478.7068965517242,23.0,7890.0,48 : 52,48.0,52.0,36.8,46.4,71.0,47.3,87.5,,Canada,University of Waterloo,100.0
Western University,,2023,201.0,29747.0,29.5,1008.3728813559322,22.0,6544.0,56 : 44,56.0,44.0,40.7,42.1,67.9,79.9,85.6,,,Western University,100.0
Western Sydney University,Australia,2023,201.0,36033.0,40.3,894.1191066997519,22.0,7927.0,58 : 42,58.0,42.0,25.8,31.7,87.6,44.1,87.9,,Australia,Western Sydney University,100.0
University of Wollongong,Australia,2023,201.0,17440.0,29.1,599.3127147766322,27.0,4709.0,54 : 46,54.0,46.0,31.4,38.2,74.8,57.2,94.0,,Australia,University of Wollongong,100.0
Aalborg University,Denmark,2023,251.0,16818.0,14.7,1144.0816326530612,14.0,2355.0,,,,29.5,43.3,73.2,51.5,76.4,,Denmark,Aalborg University,100.0
Auckland University of Technology,,2023,251.0,18837.0,17.3,1088.8439306358382,49.0,9230.0,59 : 41,59.0,41.0,20.8,21.3,97.4,39.4,96.4,,,Auckland University of Technology,100.0
Australian Catholic University,Australia,2023,251.0,23728.0,39.1,606.854219948849,15.0,3559.0,75 : 25,75.0,25.0,18.3,25.9,98.3,38.4,79.9,,Australia,Australian Catholic University,100.0
University of Bath,United Kingdom,2023,251.0,14955.0,15.4,971.1038961038961,34.0,5085.0,46 : 54,46.0,54.0,32.2,33.8,73.8,39.9,93.4,,United Kingdom,University of Bath,100.0
Beijing Normal University,China,2023,251.0,24416.0,14.3,1707.4125874125873,10.0,2442.0,,,,50.7,43.8,59.5,64.3,41.4,,China,Beijing Normal University,100.0
Bond University,Australia,2023,251.0,3214.0,10.9,294.86238532110093,39.0,1253.0,54 : 46,54.0,46.0,21.6,21.8,99.9,38.3,81.8,,Australia,Bond University,100.0
