University_Name,Match_Type
university of kwazulunatal,Exact
university of lausanne,Exact
university of leeds,Exact
university of leicester,Exact
university of limerick,Exact
university of lisbon,Exact
university of liverpool,Exact
university of ljubljana,Exact
university of manitoba,Exact
university of maribor,Exact
university of maryland baltimore county,Exact
university of maryland college park,Exact
university of miami,Exact
university of milan,Exact
university of minho,Exact
university of modena and reggio emilia,Exact
university of montreal,Exact
university of murcia,Exact
university of münster,Exact
university of naples federico ii,Exact
university of navarra,Exact
university of new mexico,Exact
university of north carolina at greensboro,Exact
university of notre dame,Exact
university of oregon,Exact
university of oslo,Exact
university of otago,Exact
university of ottawa,Exact
university of oulu,Exact
university of oxford,Exact
university of parma,Exact
university of patras,Exact
university of pennsylvania,Exact
university of pisa,Exact
university of porto,Exact
university of portsmouth,Exact
university of pretoria,Exact
university of reading,Exact
university of regina,Exact
university of rochester,Exact
university of salamanca,Exact
university of salento,Exact
university of saskatchewan,Exact
university of science and technology beijing,Exact
university of science and technology of china,Exact
university of seoul,Exact
university of siena,Exact
university of southampton,Exact
university of southern california,Exact
university of southern denmark,Exact
university of st andrews,Exact
university of stirling,Exact
university of strathclyde,Exact
university of surrey,Exact
university of sussex,Exact
university of szeged,Exact
university of tartu,Exact
university of tasmania,Exact
university of technology sydney,Exact
university of tehran,Exact
university of texas at austin,Exact
university of texas at dallas,Exact
university of texas at san antonio,Exact
university of the witwatersrand,Exact
university of toledo,Exact
university of toronto,Exact
university of trento,Exact
university of trieste,Exact
university of tsukuba,Exact
university of turin,Exact
university of turku,Exact
university of twente,Exact
university of ulsan,Exact
university of utah,Exact
university of vermont,Exact
university of victoria,Exact
university of vienna,Exact
university of virginia,Exact
university of waikato,Exact
university of warsaw,Exact
university of waterloo,Exact
university of wisconsinmadison,Exact
university of wollongong,Exact
university of wyoming,Exact
university of york,Exact
uppsala university,Exact
utrecht university,Exact
vanderbilt university,Exact
victoria university of wellington,Exact
vienna university of technology,Exact
vilnius university,Exact
wake forest university,Exact
warsaw university of technology,Exact
waseda university,Exact
washington university in st louis,Exact
wayne state university,Exact
wuhan university,Exact
wuhan university of technology,Exact
xiamen university,Exact
xian jiaotong university,Exact
yale university,Exact
yeshiva university,Exact
yeungnam university,Exact
yokohama city university,Exact
yokohama national university,Exact
yonsei university,Exact
york university,Exact
yuan ze university,Exact
zhejiang university,Exact
indian institute of technology madras iitm,Fuzzy
university of padova,Fuzzy
universität bayreuth,Fuzzy
university of hawaii at mañoa,Fuzzy
the hong kong university of science and technology,Fuzzy
université catholique de louvain ucl,Fuzzy
the chinese university of hong kong,Fuzzy
rovira i virgili university,Fuzzy
university of texas el paso,Fuzzy
indian institute of technology bombay iitb,Fuzzy
the university of newcastle,Fuzzy
the university of melbourne,Fuzzy
université libre de bruxelles ulb,Fuzzy
ucl university college london,Fuzzy
the university of queensland,Fuzzy
catania university,Fuzzy
the university of amsterdam,Fuzzy
universitat pompeu fabra,Fuzzy
university of petra,Fuzzy
american university of beirut aub,Fuzzy
university of plymouth,Fuzzy
université claude bernard lyon 1,Fuzzy
gwangju institute of science and technology gist,Fuzzy
hanoi university of science and technology,Fuzzy
university of california san diego ucsd,Fuzzy
university complutense madrid,Fuzzy
university of north carolina chapel hill,Fuzzy
the university of new south wales,Fuzzy
babesbolyai university,Fuzzy
city st georges university of london,Fuzzy
adelaide university,Fuzzy
jordan university of science technology,Fuzzy
rochester institute of technology rit,Fuzzy
national cheng kung university ncku,Fuzzy
the university of nottingham,Fuzzy
university of tulsa,Fuzzy
king fahd university of petroleum minerals,Fuzzy
karlsruhe institute of technology kit,Fuzzy
university of texas arlington,Fuzzy
the hong kong polytechnic university,Fuzzy
western sydney university,Fuzzy
victoria university,Fuzzy
queen mary university of london qmul,Fuzzy
tampere university,Fuzzy
indian institute of technology kanpur iitk,Fuzzy
tokyo medical and dental university,Fuzzy
university of pecs,Fuzzy
universiti putra malaysia upm,Fuzzy
ben gurion university of the negev,Fuzzy
chungbuk national university,Fuzzy
palacký university in olomouc,Fuzzy
the university of manchester,Fuzzy
tokushima university,Fuzzy
university of california los angeles ucla,Fuzzy
indian institute of technology delhi iitd,Fuzzy
ie university,Fuzzy
university of california berkeley ucb,Fuzzy
universität bielefeld,Fuzzy
university of east anglia uea,Fuzzy
kth royal institute of technology,Fuzzy
johannes kepler university linz,Fuzzy
nanjing university of science and technology,Fuzzy
indian institute of technology roorkee iitr,Fuzzy
massachusetts institute of technology mit,Fuzzy
the university of sheffield,Fuzzy
university of california santa barbara ucsb,Fuzzy
the university of hong kong,Fuzzy
national taiwan university ntu,Fuzzy
university of liege,Fuzzy
vrije universiteit brussel vub,Fuzzy
comenius university bratislava,Fuzzy
the university of western australia,Fuzzy
national university of singapore nus,Fuzzy
northwest university,Fuzzy
new jersey institute of technology njit,Fuzzy
