university_name,year,country,qs_row_count,the_row_count,conflict_count,conflicts,qs_only_values,the_only_values,matching_values,recommendation
Amirkabir University of Technology,2021,Iran,1,1,1,country: QS=Iran. Islamic Republic of vs THE=Iran,None,"total_fte_students=11,672; students_per_staff=22.1; international_students_pct=2%; female_male_ratio=36 : 64; research_world_rank=477.0; citations_score=24.30887778; publications_count=2060.0; citations_count=8052.0; citations_per_faculty=15.33766963; h_index=91.0; research_output_score=27.2; research_productivity_index=3.92; region=Asia; country_avg_rank=940.66; country_universities_ranked=41.0; country_best_rank=312.0; country_avg_overall_score=27.06; country_avg_academic_reputation=27.44; country_avg_citations=26.98; country_avg_intl_ratio=1.39",None,Keep THE (richer data)
Iran University of Science and Technology,2021,Iran,1,1,1,country: QS=Iran. Islamic Republic of vs THE=Iran,None,"total_fte_students=14,067; students_per_staff=32.3; international_students_pct=1%; female_male_ratio=32 : 68; research_world_rank=625.5; citations_score=27.84163997; publications_count=2709.0; citations_count=15927.0; citations_per_faculty=29.93757943; h_index=111.0; research_output_score=32.2; research_productivity_index=5.09; region=Asia; country_avg_rank=940.66; country_universities_ranked=41.0; country_best_rank=312.0; country_avg_overall_score=27.06; country_avg_academic_reputation=27.44; country_avg_citations=26.98; country_avg_intl_ratio=1.39",None,Keep THE (richer data)
Sharif University of Technology,2021,Iran,1,1,1,country: QS=Iran. Islamic Republic of vs THE=Iran,None,"total_fte_students=8,742; students_per_staff=20.1; international_students_pct=2%; female_male_ratio=25 : 75; research_world_rank=409.0; citations_score=27.55061361; publications_count=1116.0; citations_count=4878.0; citations_per_faculty=9.853571109; h_index=78.0; research_output_score=28.8; research_productivity_index=2.25; region=Asia; country_avg_rank=940.66; country_universities_ranked=41.0; country_best_rank=312.0; country_avg_overall_score=27.06; country_avg_academic_reputation=27.44; country_avg_citations=26.98; country_avg_intl_ratio=1.39",None,Keep THE (richer data)
Shiraz University,2021,Iran,1,1,1,country: QS=Iran. Islamic Republic of vs THE=Iran,None,"total_fte_students=13,490; students_per_staff=18.9; international_students_pct=0%; female_male_ratio=50 : 50; research_world_rank=900.5; citations_score=24.76439746; publications_count=1107.0; citations_count=15871.0; citations_per_faculty=22.83638048; h_index=149.0; research_output_score=23.3; research_productivity_index=1.59; region=Asia; country_avg_rank=940.66; country_universities_ranked=41.0; country_best_rank=312.0; country_avg_overall_score=27.06; country_avg_academic_reputation=27.44; country_avg_citations=26.98; country_avg_intl_ratio=1.39",None,Keep THE (richer data)
University of Tehran,2021,Iran,1,1,1,country: QS=Iran. Islamic Republic of vs THE=Iran,None,"total_fte_students=44,960; students_per_staff=21.2; international_students_pct=2%; female_male_ratio=44 : 56; research_world_rank=595.5; citations_score=42.66142566; publications_count=174.0; citations_count=1795.0; citations_per_faculty=35.90346679; h_index=46.0; research_output_score=40.6; research_productivity_index=3.48; region=Asia; country_avg_rank=940.66; country_universities_ranked=41.0; country_best_rank=312.0; country_avg_overall_score=27.06; country_avg_academic_reputation=27.44; country_avg_citations=26.98; country_avg_intl_ratio=1.39",None,Keep THE (richer data)
