name_a,name_b,similarity_score,category,reason,country_a,country_b,source_a,source_b,years_a,years_b,count_a,count_b
Universidade Federal do Paraná - UFPR,Universidade Federal do ParanÃ¡ - UFPR,0.96,Safe to Merge,Identical after removing punctuation/encoding,Brazil,Brazil,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Université Paul Sabatier Toulouse III,UniversitÃ© Paul Sabatier Toulouse III,0.96,Safe to Merge,Identical after removing punctuation/encoding,France,France,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Ruprecht-Karls-Universität Heidelberg,Ruprecht-Karls-UniversitÃ¤t Heidelberg,0.96,Safe to Merge,Identical after removing punctuation/encoding,Germany,Germany,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Universiti Putra Malaysia,Universiti Utara Malaysia,0.96,Safe to Merge,Very high similarity (score >= 0.95),Malaysia,Malaysia,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
University of East London,University of West London,0.96,Safe to Merge,Very high similarity (score >= 0.95),United Kingdom,United Kingdom,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Indiana University–Purdue University Indianapolis,Indiana Universityâ€“Purdue University Indianapolis,0.96,Safe to Merge,Identical after removing punctuation/encoding,United States,United States,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
"The University of Tennessee, Knoxville",The University of Tennessee-Knoxville,0.96,Safe to Merge,Identical after removing punctuation/encoding,United States,United States,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
The University of Tennessee-Knoxville,The University of Tennessee. Knoxville,0.96,Safe to Merge,Identical after removing punctuation/encoding,United States,United States,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Imam Mohammad Ibn Saud Islamic University â€“ IMSIU,Imam Mohammad Ibn Saud Islamic University – IMSIU,0.96,Safe to Merge,Identical after removing punctuation/encoding,Saudi Arabia,Saudi Arabia,qs_rankings,qs_rankings,[2021],"[2022, 2023, 2024]",1,3
Istanbul Aydin University,Istanbul Aydın University,0.96,Safe to Merge,Very high similarity (score >= 0.95),Turkey,Turkey,qs_rankings,the_rankings,"[2021, 2022, 2023, 2024]","[2022, 2023, 2024]",4,3
Johannes Gutenberg Universität Mainz,Johannes Gutenberg UniversitÃ¤t Mainz,0.9589,Safe to Merge,Identical after removing punctuation/encoding,Germany,Germany,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Instituto Politécnico Nacional (IPN),Instituto PolitÃ©cnico Nacional (IPN),0.9589,Safe to Merge,Identical after removing punctuation/encoding,Mexico,Mexico,"the_rankings, qs_rankings",qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Universidade Federal de ViÃ§osa (UFV),Universidade Federal de Viçosa (UFV),0.9589,Safe to Merge,Identical after removing punctuation/encoding,Brazil,Brazil,qs_rankings,qs_rankings,[2021],"[2022, 2023, 2024]",1,3
Universidad de la RepÃºblica (Udelar),Universidad de la República (Udelar),0.9589,Safe to Merge,Identical after removing punctuation/encoding,Uruguay,Uruguay,qs_rankings,qs_rankings,[2021],"[2022, 2023, 2024]",1,3
Universidad de La Sabana,Universidad de La Habana,0.9583,Safe to Merge,Very high similarity (score >= 0.95),Colombia,Cuba,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Universidade Federal do Ceará (UFC),Universidade Federal do CearÃ¡ (UFC),0.9577,Safe to Merge,Identical after removing punctuation/encoding,Brazil,Brazil,"the_rankings, qs_rankings",qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Université de Toulouse II-Le Mirail,UniversitÃ© de Toulouse II-Le Mirail,0.9577,Safe to Merge,Identical after removing punctuation/encoding,France,France,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
