name_a,name_b,similarity_score,category,reason,country_a,country_b,source_a,source_b,years_a,years_b,count_a,count_b
Belarusian National Technical University,Belarusian National Technical University (BNTU),0.9195,Different Universities,Moderate similarity - likely different universities,Belarus,Belarus,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Universidade do Estado do Rio de Janeiro,Universidade do Estado do Rio de Janeiro (UERJ),0.9195,Different Universities,Moderate similarity - likely different universities,Brazil,Brazil,,"the_rankings, qs_rankings","[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Instituto Tecnológico Autónomo de México,Instituto Tecnológico Autónomo de México (ITAM),0.9195,Different Universities,Moderate similarity - likely different universities,Mexico,Mexico,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Lahore University of Management Sciences,Lahore University of Management Sciences (LUMS),0.9195,Different Universities,Moderate similarity - likely different universities,Pakistan,Pakistan,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Missouri University of Science and Technology,Misr University for Science and Technology,0.9195,Different Universities,Moderate similarity - likely different universities,United States,Egypt,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2023, 2024]",5,2
University of Mons,University of Mosul,0.9189,Different Universities,Moderate similarity - likely different universities,Belgium,Iraq,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
University of Chile,University of Hail,0.9189,Different Universities,Moderate similarity - likely different universities,Chile,Saudi Arabia,the_rankings,,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Universidad Pontificia Bolivariana,Universidad Pontificia Bolivariana (UPB),0.9189,Different Universities,Moderate similarity - likely different universities,Colombia,Colombia,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Al-Azhar University,Al-Baha University,0.9189,Different Universities,Moderate similarity - likely different universities,Egypt,Saudi Arabia,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]",[2024],5,1
University of Oulu,University of Seoul,0.9189,Different Universities,Moderate similarity - likely different universities,Finland,South Korea,"the_rankings, qs_rankings","the_rankings, qs_rankings","[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
University of Oulu,University of Mosul,0.9189,Different Universities,Moderate similarity - likely different universities,Finland,Iraq,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Johannes Gutenberg University of Mainz,Johannes Gutenberg Universität Mainz,0.9189,Different Universities,Moderate similarity - likely different universities,Germany,Germany,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
University of Bonn,University of Benin,0.9189,Different Universities,Moderate similarity - likely different universities,Germany,Nigeria,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2023, 2024]",5,2
University of Kiel,University of Jijel,0.9189,Different Universities,Moderate similarity - likely different universities,Germany,Algeria,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Indian Institute of Technology Dhanbad,Indian Institute of Technology Patna,0.9189,Different Universities,Moderate similarity - likely different universities,India,India,,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Indian Institute of Technology Dhanbad,Indian Institute of Technology Mandi,0.9189,Different Universities,Moderate similarity - likely different universities,India,India,,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Indian Institute of Technology Roorkee,Indian Institute of Technology Ropar,0.9189,Different Universities,Moderate similarity - likely different universities,India,India,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
University of Haifa,University of Hail,0.9189,Different Universities,Moderate similarity - likely different universities,Israel,Saudi Arabia,"the_rankings, qs_rankings",,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
University of Bari,University of Anbar,0.9189,Different Universities,Moderate similarity - likely different universities,Italy,Iraq,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
University of Bari,University of Dubai,0.9189,Different Universities,Moderate similarity - likely different universities,Italy,United Arab Emirates,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2023, 2024]",5,2
University of Pisa,University of Misan,0.9189,Different Universities,Moderate similarity - likely different universities,Italy,Iraq,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2023, 2024]",5,2
University of Pisa,University of Bisha,0.9189,Different Universities,Moderate similarity - likely different universities,Italy,Saudi Arabia,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2023, 2024]",5,2
Toyohashi University of Technology,Toyohashi University of Technology (TUT),0.9189,Different Universities,Moderate similarity - likely different universities,Japan,Japan,,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Auezov South Kazakhstan University,Auezov South Kazakhstan University (SKU),0.9189,Different Universities,Moderate similarity - likely different universities,Kazakhstan,Kazakhstan,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Universidad Autónoma Metropolitana,Universidad Autónoma Metropolitana (UAM),0.9189,Different Universities,Moderate similarity - likely different universities,Mexico,Mexico,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
University of Oslo,University of Mosul,0.9189,Different Universities,Moderate similarity - likely different universities,Norway,Iraq,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
University of Bern,University of Benin,0.9189,Different Universities,Moderate similarity - likely different universities,Switzerland,Nigeria,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2023, 2024]",5,2
Manchester Metropolitan University,Manchester Metropolitan University (MMU),0.9189,Different Universities,Moderate similarity - likely different universities,United Kingdom,United Kingdom,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
"University of California, Berkeley","University of California, Berkeley (UCB)",0.9189,Different Universities,Moderate similarity - likely different universities,United States,United States,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Bangladesh Agricultural University,Bangladesh Agricultural University (BAU),0.9189,Different Universities,Moderate similarity - likely different universities,Bangladesh,Bangladesh,,the_rankings,"[2022, 2023, 2024]","[2022, 2023, 2024]",3,3
Maharishi Markandeshwar University,Maharishi Markandeshwar University (MMU),0.9189,Different Universities,Moderate similarity - likely different universities,India,India,,the_rankings,"[2023, 2024]","[2023, 2024]",2,2
Al-Ayen University,Al-Bayan University,0.9189,Different Universities,Moderate similarity - likely different universities,Iraq,Iraq,the_rankings,the_rankings,"[2023, 2024]",[2024],2,1
Al-Bayan University,Al-Baha University,0.9189,Different Universities,Moderate similarity - likely different universities,Iraq,Saudi Arabia,the_rankings,the_rankings,[2024],[2024],1,1
Al-Baha University,Albaydha University,0.9189,Different Universities,Moderate similarity - likely different universities,Saudi Arabia,Yemen,the_rankings,the_rankings,[2024],[2024],1,1
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET-RJ),0.9185,Different Universities,Moderate similarity - likely different universities,Brazil,Brazil,,the_rankings,[2024],[2024],1,1
National University of Sciences and Technology,National Taiwan University of Science and Technology,0.9184,Different Universities,Moderate similarity - likely different universities,Pakistan,Taiwan,the_rankings,,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
National University of Sciences and Technology,National Yunlin University of Science and Technology,0.9184,Different Universities,Moderate similarity - likely different universities,Pakistan,Taiwan,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
National University of Science and Technology,National University of Science and Technology (MISiS),0.9184,Different Universities,Moderate similarity - likely different universities,Russia,Russia,,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
École Nationale des Travaux Publics de l'État,École Nationale des Travaux Publics de l'État (ENTPE),0.9184,Different Universities,Moderate similarity - likely different universities,France,France,,the_rankings,"[2023, 2024]","[2023, 2024]",2,2
Universiti Malaysia Pahang Al-Sultan Abdullah,Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),0.9184,Different Universities,Moderate similarity - likely different universities,Malaysia,Malaysia,,the_rankings,"[2023, 2024]","[2023, 2024]",2,2
Universidad Autónoma de Chile,Universidad Autónoma de Coahuila,0.918,Different Universities,Moderate similarity - likely different universities,Chile,Mexico,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2023, 2024]",5,2
Polytechnic University of Bari,Polytechnic University of Turin,0.918,Different Universities,Moderate similarity - likely different universities,Italy,Italy,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Universidad Autónoma de Chapingo,Universidad Autonoma Chapingo,0.918,Different Universities,Moderate similarity - likely different universities,Mexico,Mexico,,,[2021],[2022],1,1
European University of Valencia,European University of Armenia,0.918,Different Universities,Moderate similarity - likely different universities,Spain,Armenia,the_rankings,the_rankings,[2023],[2024],1,1
University of Northern British Columbia,University of Northern British Columbia (UNBC),0.9176,Different Universities,Moderate similarity - likely different universities,Canada,Canada,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Indian Institute of Technology Guwahati,Indian Institute of Technology Guwahati (IITG),0.9176,Different Universities,Moderate similarity - likely different universities,India,India,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Universidad Nacional Autónoma de México,Universidad Nacional Autónoma de México (UNAM),0.9176,Different Universities,Moderate similarity - likely different universities,Mexico,Mexico,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
"University of California, Santa Barbara","University of California, Santa Barbara (UCSB)",0.9176,Different Universities,Moderate similarity - likely different universities,United States,United States,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Misr University for Science and Technology,Mirpur University of Science and Technology,0.9176,Different Universities,Moderate similarity - likely different universities,Egypt,Pakistan,the_rankings,the_rankings,"[2023, 2024]","[2023, 2024]",2,2
National University of Medical Sciences (NUMS),National University of Medical Sciences,0.9176,Different Universities,Moderate similarity - likely different universities,Pakistan,Pakistan,the_rankings,,"[2023, 2024]",[2024],2,1
Universidade Federal do Paraná - UFPR,Universidade Federal do Parà - UFPA,0.9167,Different Universities,Moderate similarity - likely different universities,Brazil,Brazil,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2023, 2024]",5,2
Indian Institute of Technology Delhi,Indian Institute of Technology Mandi,0.9167,Different Universities,Moderate similarity - likely different universities,India,India,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Indian Institute of Technology Patna,Indian Institute of Technology Ropar,0.9167,Different Universities,Moderate similarity - likely different universities,India,India,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Indian Institute of Technology Patna,Indian Institute of Technology Mandi,0.9167,Different Universities,Moderate similarity - likely different universities,India,India,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Riga Stradins University,Riga Stradiņš University,0.9167,Different Universities,Moderate similarity - likely different universities,Latvia,Latvia,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Saint Joseph University of Beirut,Saint Joseph University of Beirut (USJ),0.9167,Different Universities,Moderate similarity - likely different universities,Lebanon,Lebanon,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Universidad Autónoma de Querétaro,Universidad Autónoma de Querétaro (UAQ),0.9167,Different Universities,Moderate similarity - likely different universities,Mexico,Mexico,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Auckland University of Technology,Auckland University of Technology (AUT),0.9167,Different Universities,Moderate similarity - likely different universities,New Zealand,New Zealand,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Universidad Tecnológica de Panamá,Universidad Tecnológica de Panamá (UTP),0.9167,Different Universities,Moderate similarity - likely different universities,Panama,Panama,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Wroclaw University of Science and Technology,Wroclaw University of Science and Technology (WRUST),0.9167,Different Universities,Moderate similarity - likely different universities,Poland,Poland,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Universidad Politécnica de Madrid,Universidad Politécnica de Madrid (UPM),0.9167,Different Universities,Moderate similarity - likely different universities,Spain,Spain,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Universitat Autònoma de Barcelona,Universitat Autònoma de Barcelona (UAB),0.9167,Different Universities,Moderate similarity - likely different universities,Spain,Spain,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
University of Manchester,University of Winchester,0.9167,Different Universities,Moderate similarity - likely different universities,United Kingdom,United Kingdom,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Rochester Institute of Technology,Rochester Institute of Technology (RIT),0.9167,Different Universities,Moderate similarity - likely different universities,United States,United States,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
University of Illinois at Chicago,University of Illinois at Chicago (UIC),0.9167,Different Universities,Moderate similarity - likely different universities,United States,United States,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Universidad de Los Andes - Mérida,Universidad de Los Andes - (ULA) Mérida,0.9167,Different Universities,Moderate similarity - likely different universities,Venezuela,Venezuela,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Daffodil International University (DIU),Daffodil International University,0.9167,Different Universities,Moderate similarity - likely different universities,Bangladesh,Bangladesh,the_rankings,qs_rankings,"[2022, 2023, 2024]",[2024],3,1
University of Chichester,University of Winchester,0.9167,Different Universities,Moderate similarity - likely different universities,United Kingdom,United Kingdom,the_rankings,the_rankings,"[2022, 2023, 2024]","[2022, 2023, 2024]",3,3
"University of Engineering and Technology, Mardan","University of Engineering and Technology, Taxila",0.9167,Different Universities,Moderate similarity - likely different universities,Pakistan,Pakistan,the_rankings,the_rankings,[2023],"[2023, 2024]",1,2
National Taiwan University of Science and Technology,National Kaohsiung University of Science and Technology,0.9159,Different Universities,Moderate similarity - likely different universities,Taiwan,Taiwan,,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2023, 2024]",5,2
Federal University of the State of Rio de Janeiro,Federal University of the State of Rio de Janeiro (UNIRIO),0.9159,Different Universities,Moderate similarity - likely different universities,Brazil,Brazil,,the_rankings,[2023],[2023],1,1
Pontificia Universidad Católica del Ecuador,Pontificia Universidad Católica del Perú,0.9157,Different Universities,Moderate similarity - likely different universities,Ecuador,Peru,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Indian Institute of Technology Roorkee,Indian Institute of Technology Roorkee (IITR),0.9157,Different Universities,Moderate similarity - likely different universities,India,India,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Universidad Autónoma del Estado de Mexico,Universidad Autónoma del Estado de Morelos,0.9157,Different Universities,Moderate similarity - likely different universities,Mexico,Mexico,,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Universidad Tecnica Particular De Loja,Universidad Tecnica Particular De Loja (UPTL),0.9157,Different Universities,Moderate similarity - likely different universities,Ecuador,Ecuador,,qs_rankings,"[2023, 2024]",[2023],2,1
Universidad Tecnica Particular De Loja,Universidad Tecnica Particular De Loja (UTPL),0.9157,Different Universities,Moderate similarity - likely different universities,Ecuador,Ecuador,,qs_rankings,"[2023, 2024]",[2024],2,1
Universidade Federal do Ceará,Universidade Federal do Paraná,0.9153,Different Universities,Moderate similarity - likely different universities,Brazil,Brazil,,,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Middle East Technical University,Middle Technical University,0.9153,Different Universities,Moderate similarity - likely different universities,Turkey,Iraq,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
HUFS - Hankuk University of Foreign Studies,HUFS - Hankuk (Korea) University of Foreign Studies,0.9149,Different Universities,Moderate similarity - likely different universities,South Korea,South Korea,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Indian Institute of Technology Kanpur (IITK),Indian Institute of Technology Kharagpur (IIT-KGP),0.9149,Different Universities,Moderate similarity - likely different universities,India,India,qs_rankings,qs_rankings,"[2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",4,4
Universidad Tecnológica Nacional,Universidad Tecnológica Nacional (UTN),0.9143,Different Universities,Moderate similarity - likely different universities,Argentina,Argentina,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
University of Mons,University of Jos,0.9143,Different Universities,Moderate similarity - likely different universities,Belgium,Nigeria,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]",[2023],5,1
Federal University of Pernambuco,Federal Rural University of Pernambuco,0.9143,Different Universities,Moderate similarity - likely different universities,Brazil,Brazil,,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Jinan University,Jianghan University,0.9143,Different Universities,Moderate similarity - likely different universities,China,China,,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Jinan University,Jiangnan University,0.9143,Different Universities,Moderate similarity - likely different universities,China,China,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2023, 2024]",5,2
University of Oslo,University of Jos,0.9143,Different Universities,Moderate similarity - likely different universities,Norway,Nigeria,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]",[2023],5,1
Volgograd State Technical University,Volgograd State Medical University,0.9143,Different Universities,Moderate similarity - likely different universities,Russia,Russia,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]",[2024],5,1
National University of Singapore,National University of Singapore (NUS),0.9143,Different Universities,Moderate similarity - likely different universities,Singapore,Singapore,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
The Catholic University of Korea,The Catholic University of Korea (CUK),0.9143,Different Universities,Moderate similarity - likely different universities,South Korea,South Korea,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Kingston University,Kings University,0.9143,Different Universities,Moderate similarity - likely different universities,United Kingdom,Nigeria,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]",[2023],5,1
University of York,University of Uyo,0.9143,Different Universities,Moderate similarity - likely different universities,United Kingdom,Nigeria,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]",[2023],5,1
Clark University,Clarkson University,0.9143,Different Universities,Moderate similarity - likely different universities,United States,United States,"the_rankings, qs_rankings",qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Universidad Católica del Uruguay,Universidad Católica del Uruguay (UCU),0.9143,Different Universities,Moderate similarity - likely different universities,Uruguay,Uruguay,,qs_rankings,"[2021, 2022, 2023, 2024]","[2022, 2023, 2024]",4,3
Egypt-Japan University of Science and Technology (E-JUST),Egypt-Japan University of Science and Technology,0.9143,Different Universities,Moderate similarity - likely different universities,Egypt,Egypt,the_rankings,,"[2022, 2023, 2024]",[2024],3,1
Instituto Tecnológico de Buenos Aires,Instituto Tecnológico de Buenos Aires (ITBA),0.9136,Different Universities,Moderate similarity - likely different universities,Argentina,Argentina,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Indian Institute of Technology Bombay,Indian Institute of Technology Bombay (IITB),0.9136,Different Universities,Moderate similarity - likely different universities,India,India,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur (IITK),0.9136,Different Universities,Moderate similarity - likely different universities,India,India,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Indian Institute of Technology Madras,Indian Institute of Technology Madras (IITM),0.9136,Different Universities,Moderate similarity - likely different universities,India,India,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
"University of California, Los Angeles","University of California, Los Angeles (UCLA)",0.9136,Different Universities,Moderate similarity - likely different universities,United States,United States,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Universidade Federal de Juiz de Fora- (UFJF),Universidade Federal de Juiz de Fora-,0.9136,Different Universities,Moderate similarity - likely different universities,Brazil,Brazil,qs_rankings,,"[2021, 2022, 2023, 2024]","[2022, 2023, 2024]",4,3
National Institute of Technology Silchar,National Institute of Technology Srinagar,0.9136,Different Universities,Moderate similarity - likely different universities,India,India,the_rankings,the_rankings,"[2021, 2022, 2023, 2024]",[2024],4,1
Universidade Tecnológica Federal do Paraná,Universidade Tecnológica Federal do Paraná (UTFPR),0.913,Different Universities,Moderate similarity - likely different universities,Brazil,Brazil,,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
"Nanyang Technological University, Singapore",Nanyang Technological University. Singapore (NTU),0.913,Different Universities,Moderate similarity - likely different universities,Singapore,Singapore,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
University of Rochester,University of Worcester,0.913,Different Universities,Moderate similarity - likely different universities,United States,United Kingdom,"the_rankings, qs_rankings",the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Chang Gung University of Science and Technology,Changsha University of Science and Technology,0.913,Different Universities,Moderate similarity - likely different universities,Taiwan,China,the_rankings,the_rankings,"[2022, 2023, 2024]","[2023, 2024]",3,2
Technische Universität Wien,Technische Universität Ilmenau,0.9123,Different Universities,Moderate similarity - likely different universities,Austria,Germany,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Federal University of Alagoas,Federal University of Lavras,0.9123,Different Universities,Moderate similarity - likely different universities,Brazil,Brazil,the_rankings,the_rankings,"[2020, 2021, 2022]","[2020, 2021, 2022, 2023, 2024]",3,5
Universidad Nacional de Rosario,Universidad Nacional de Rosario (UNR),0.9118,Different Universities,Moderate similarity - likely different universities,Argentina,Argentina,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Paris Lodron University of Salzburg,Paris Lodron Universität Salzburg,0.9118,Different Universities,Moderate similarity - likely different universities,Austria,Austria,qs_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]","[2023, 2024]",5,2
Universidade Federal de São Carlos,Universidade Federal de SÃ£o Paulo,0.9118,Different Universities,Moderate similarity - likely different universities,Brazil,Brazil,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Vellore Institute of Technology,Vellore Institute of Technology (VIT),0.9118,Different Universities,Moderate similarity - likely different universities,India,India,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Bandung Institute of Technology,Bandung Institute of Technology (ITB),0.9118,Different Universities,Moderate similarity - likely different universities,Indonesia,Indonesia,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Universidad Nacional de la AsunciÃ³n,Universidad Nacional de Asunción,0.9118,Different Universities,Moderate similarity - likely different universities,Paraguay,Paraguay,qs_rankings,the_rankings,[2021],[2024],1,1
Tashkent State Medical University,Tashkent State Technical University,0.9118,Different Universities,Moderate similarity - likely different universities,Uzbekistan,Uzbekistan,the_rankings,the_rankings,"[2022, 2023, 2024]","[2023, 2024]",3,2
Universidad del Valle de Mexico,Universidad del Valle de Mexico (UVM),0.9118,Different Universities,Moderate similarity - likely different universities,Mexico,Mexico,,qs_rankings,"[2023, 2024]","[2023, 2024]",2,2
Indian Institute of Technology Delhi,Indian Institute of Technology Delhi (IITD),0.9114,Different Universities,Moderate similarity - likely different universities,India,India,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Universidad Peruana Cayetano Heredia,Universidad Peruana Cayetano Heredia (UPCH),0.9114,Different Universities,Moderate similarity - likely different universities,Peru,Peru,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
National University of Sciences and Technology,Nanjing University of Science and Technology,0.9111,Different Universities,Moderate similarity - likely different universities,Pakistan,China,the_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
Imam Mohammad Ibn Saud Islamic University – IMSIU,Imam Mohammad Ibn Saud Islamic University,0.9111,Different Universities,Moderate similarity - likely different universities,Saudi Arabia,Saudi Arabia,qs_rankings,the_rankings,"[2022, 2023, 2024]","[2023, 2024]",3,2
Universitat Politècnica de Catalunya · BarcelonaTech,Universitat PolitÃ¨cnica de Catalunya Â· BarcelonaTech (UPC),0.9107,Different Universities,Moderate similarity - likely different universities,Spain,Spain,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]",[2021],5,1
Federal University of Lavras,Federal University of Lafia,0.9091,Different Universities,Moderate similarity - likely different universities,Brazil,Nigeria,the_rankings,the_rankings,"[2020, 2021, 2022, 2023, 2024]",[2023],5,1
Universidade Federal de Viçosa,Universidade Federal de Viçosa (UFV),0.9091,Different Universities,Moderate similarity - likely different universities,Brazil,Brazil,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
Sofia University,Sophia University,0.9091,Different Universities,Moderate similarity - likely different universities,Bulgaria,Japan,the_rankings,"the_rankings, qs_rankings","[2020, 2021, 2022, 2023, 2024]","[2020, 2021, 2022, 2023, 2024]",5,5
Universidad de Valparaíso,Universidad de Valparaíso (UV),0.9091,Different Universities,Moderate similarity - likely different universities,Chile,Chile,,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2022, 2023, 2024]",5,3
NorthWest A&F University,Northwest University,0.9091,Different Universities,Moderate similarity - likely different universities,China,China,the_rankings,,"[2020, 2021, 2022]","[2020, 2021, 2022, 2023, 2024]",3,5
Universidad del Valle,Universidad de La Salle,0.9091,Different Universities,Moderate similarity - likely different universities,Colombia,Colombia,qs_rankings,qs_rankings,"[2020, 2021, 2022, 2023, 2024]","[2021, 2022, 2023, 2024]",5,4
