University_Name,Match_Type,clean_name,University_Name_qs,Country,Region,Year,QS_Rank,National_Rank,QS_Overall_Score,Academic_Reputation,Employer_Reputation,Faculty_Student_Ratio,Citations_Per_Faculty,International_Faculty_Ratio,International_Students_Ratio,International_Research_Network,Employment_Outcomes,Sustainability,Std_Country,Std_University_Name,University_Name_the,Country_the,Year_the,THE_Rank,Teaching_Score,Research_Score,Citation_Score,International_Outlook,Industry_Income,Total_Score,Std_Country_the,Std_University_Name_the,Base_Match_Score,University_Name_cwur,Country_cwur,Year_cwur,CWUR_Rank,Quality_of_Education,Alumni_Employment,Publications,Influence,Patents,Std_Country_cwur,Std_University_Name_cwur,Base_Match_Score_cwur,University_Name_the2023,Country_the2023,Year_the2023,THE2023_Rank,Total_Students,Faculty_Student_Ratio_2023,Faculty_Count,International_Student_Ratio_2023,International_Students_Count,Gender_Ratio,Female_Percentage,Male_Percentage,Teaching_Score_2023,Research_Score_2023,Citations_Score_2023,Industry_Income_Score_2023,International_Outlook_Score_2023,Overall_Score_2023,Std_Country_the2023,Std_University_Name_the2023,Base_Match_Score_the2023,Research_Excellence_Index,Innovation_Index,Student_Experience_Index,Global_Reputation_Index,Research_Productivity_Score,Internationalization_Score
aalborg university,Exact,aalborg university,Aalborg University,Denmark,Europe,2026.0,306.0,5.0,44.9,26.4,25.0,27.7,77.2,89.0,29.4,91.7,25.4,79.1,Denmark,Aalborg University,Aalborg University,Denmark,2016.0,201.0,25.1,28.4,73.8,71.0,43.7,,Denmark,Aalborg University,100.0,Aalborg University,Denmark,2015.0,565.0,367.0,439.0,596.0,660.0,401.0,Denmark,Aalborg University,100.0,Aalborg University,Denmark,2023.0,251.0,16818.0,14.7,1144.0816326530612,14.0,2355.0,,,,29.5,43.3,73.2,51.5,76.4,,Denmark,Aalborg University,100.0,218.7,1061.0,41.59,25.839999999999996,669.8,63.13333333333333
aalto university,Exact,aalto university,Aalto University,Finland,Europe,2026.0,114.0,1.0,66.3,57.5,56.1,35.1,79.6,97.2,60.0,80.9,97.1,88.3,Finland,Aalto University,Aalto University,Finland,2016.0,251.0,31.1,32.8,62.1,65.4,61.6,,Finland,Aalto University,100.0,Aalto University,Finland,2015.0,421.0,367.0,224.0,336.0,403.0,246.0,Finland,Aalto University,100.0,Aalto University,Finland,2023.0,201.0,13306.0,19.7,675.4314720812183,21.0,2794.0,38 : 62,38.0,62.0,38.3,40.4,67.5,53.2,81.9,,Finland,Aalto University,100.0,139.25,649.0,45.71,56.94,398.1,74.2
aarhus university,Exact,aarhus university,Aarhus University,Denmark,Europe,2026.0,131.0,3.0,64.3,68.3,41.7,42.4,74.1,96.7,25.5,96.3,79.4,73.2,Denmark,Aarhus University,Aarhus University,Denmark,2016.0,106.0,36.9,50.7,79.8,76.8,68.3,57.7,Denmark,Aarhus University,100.0,Aarhus University,Denmark,2015.0,122.0,310.0,165.0,91.0,81.0,154.0,Denmark,Aarhus University,100.0,Aarhus University,Denmark,2023.0,117.0,26475.0,13.5,1961.111111111111,10.0,2648.0,55 : 45,55.0,45.0,40.6,60.0,77.6,74.1,77.9,61.2,Denmark,Aarhus University,100.0,70.52,235.0,45.19,57.66,170.8,66.33333333333333
aberystwyth university,Exact,aberystwyth university,Aberystwyth University,United Kingdom,Europe,2026.0,741.0,63.0,,12.8,11.5,27.6,23.9,61.3,42.0,63.3,11.0,63.1,United Kingdom,Aberystwyth University,Aberystwyth University,United Kingdom,2016.0,301.0,21.6,18.9,67.2,72.2,31.3,,United Kingdom,Aberystwyth University,100.0,Aberystwyth University,United Kingdom,2015.0,814.0,367.0,567.0,842.0,552.0,607.0,United Kingdom,Aberystwyth University,100.0,Aberystwyth University,United Kingdom,2023.0,501.0,6180.0,16.3,379.1411042944785,24.0,1483.0,52 : 48,52.0,48.0,22.3,23.4,64.1,39.8,81.1,,United Kingdom,Aberystwyth University,100.0,251.32,1159.0,41.23,12.280000000000001,909.2,58.5
aixmarseille university,Exact,aixmarseille university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,0.0
ajou university,Exact,ajou university,Ajou University,South Korea,Asia,2026.0,563.0,17.0,29.4,19.8,22.1,70.2,34.3,13.3,58.0,18.1,5.3,53.3,South Korea,Ajou University,Ajou University,South Korea,2016.0,601.0,19.5,11.9,23.9,20.0,45.7,,South Korea,Ajou University,100.0,Ajou University,South Korea,2015.0,433.0,367.0,426.0,646.0,729.0,89.0,South Korea,Ajou University,100.0,Ajou University,South Korea,2023.0,601.0,7574.0,14.2,533.3802816901409,17.0,1288.0,42 : 58,42.0,58.0,31.1,37.5,41.7,74.3,44.4,,South Korea,Ajou University,100.0,214.03000000000003,818.0,43.28,20.720000000000002,669.9,30.433333333333334
alexandria university,Exact,alexandria university,Alexandria University,Egypt,Africa,2026.0,781.0,4.0,,32.7,24.2,7.2,3.5,1.9,13.6,80.7,33.0,56.6,Egypt,Alexandria University,Alexandria University,Egypt,2016.0,601.0,20.3,8.2,14.1,33.7,29.7,,Egypt,Alexandria University,100.0,Alexandria University,Egypt,2015.0,997.0,236.0,566.0,997.0,908.0,871.0,Egypt,Alexandria University,100.0,Alexandria University,Egypt,2023.0,801.0,202206.0,28.2,7170.425531914894,4.0,8088.0,52 : 48,52.0,48.0,18.6,13.7,56.2,40.7,46.1,,Egypt,Alexandria University,100.0,297.71000000000004,1779.0,30.18,29.3,1011.1,16.400000000000002
amirkabir university of technology,Exact,amirkabir university of technology,Amirkabir University of Technology,Iran (Islamic Republic of),Asia,2026.0,456.0,3.0,34.1,8.5,26.7,7.4,100.0,41.7,5.7,67.2,5.4,35.5,Iran (Islamic Republic of),Amirkabir University of Technology,Amirkabir University of Technology,Iran,2016.0,501.0,24.5,25.7,34.8,7.7,55.7,,Iran,Amirkabir University of Technology,100.0,Amirkabir University of Technology,Iran,2015.0,958.0,367.0,567.0,725.0,962.0,871.0,Iran,Amirkabir University of Technology,100.0,Amirkabir University of Technology,Iran,2023.0,601.0,10673.0,21.2,503.44339622641513,2.0,213.0,35 : 65,35.0,65.0,30.1,31.9,54.9,64.9,31.7,,Iran,Amirkabir University of Technology,100.0,261.92,1833.0,36.28,15.78,759.8,18.36666666666667
aristotle university of thessaloniki,Exact,aristotle university of thessaloniki,Aristotle University of Thessaloniki,Greece,Europe,2026.0,485.0,3.0,32.9,38.2,35.9,6.4,28.4,2.1,8.1,90.9,48.3,66.4,Greece,Aristotle University of Thessaloniki,Aristotle University of Thessaloniki,Greece,2016.0,601.0,22.6,15.0,29.5,36.6,33.6,,Greece,Aristotle University of Thessaloniki,100.0,Aristotle University of Thessaloniki,Greece,2015.0,459.0,367.0,567.0,340.0,683.0,756.0,Greece,Aristotle University of Thessaloniki,100.0,Aristotle University of Thessaloniki,Greece,2023.0,801.0,49840.0,19.7,2529.9492385786803,5.0,2492.0,58 : 42,58.0,42.0,19.0,16.2,56.9,41.4,40.4,,Greece,Aristotle University of Thessaloniki,100.0,151.14999999999998,1439.0,33.19,37.28,369.5,15.6
arizona state university,Exact,arizona state university,Arizona State University,United States,Americas,2026.0,173.0,36.0,59.1,63.9,63.3,9.5,61.5,72.5,53.2,95.2,42.2,85.8,United States,Arizona State University,Arizona State University,United States,2016.0,189.0,32.4,38.1,84.6,31.9,32.0,49.7,United States,Arizona State University,100.0,Arizona State University,United States,2015.0,97.0,367.0,455.0,143.0,85.0,21.0,United States,Arizona State University,100.0,,,,,,,,,,,,,,,,,,,,,,77.72,106.0,30.0,63.66,227.6,52.53333333333333
aston university,Exact,aston university,Aston University,United Kingdom,Europe,2026.0,395.0,42.0,38.1,18.1,27.1,12.0,56.7,97.9,63.4,81.8,28.3,67.6,United Kingdom,Aston University,Aston University,United Kingdom,2016.0,401.0,18.4,20.4,51.9,92.5,34.6,,United Kingdom,Aston University,100.0,Aston University,United Kingdom,2015.0,720.0,367.0,355.0,827.0,895.0,306.0,United Kingdom,Aston University,100.0,Aston University,United Kingdom,2023.0,401.0,12015.0,17.8,675.0,25.0,3004.0,48 : 52,48.0,52.0,20.5,24.9,76.8,38.8,92.6,,United Kingdom,Aston University,100.0,278.63,1201.0,40.36,21.700000000000003,878.9,84.60000000000001
auburn university,Exact,auburn university,Auburn University,United States,Americas,2026.0,851.0,118.0,,11.6,17.6,10.7,24.3,58.1,10.1,57.2,29.6,50.1,United States,Auburn University,Auburn University,United States,2016.0,501.0,30.2,19.4,21.0,27.9,37.2,,United States,Auburn University,100.0,Auburn University,United States,2015.0,549.0,367.0,232.0,472.0,569.0,425.0,United States,Auburn University,100.0,Auburn University,United States,2023.0,601.0,27512.0,18.2,1511.6483516483518,10.0,2751.0,50 : 50,50.0,50.0,32.4,23.4,45.9,43.8,49.3,,United States,Auburn University,100.0,165.36,994.0,40.5,14.0,493.0,32.03333333333333
australian national university,Exact,australian national university,Australian National University,Australia,Oceania,2026.0,32.0,4.0,87.4,97.9,82.6,40.9,91.7,100.0,99.0,93.1,67.1,91.8,Australia,Australian National University,Australian National University,Australia,2016.0,52.0,54.7,77.3,72.3,93.3,48.0,69.5,Australia,Australian National University,100.0,Australian National University,Australia,2015.0,179.0,196.0,379.0,130.0,99.0,415.0,Australia,Australian National University,100.0,Australian National University,Australia,2023.0,62.0,16758.0,14.6,1147.8082191780825,51.0,8547.0,52 : 48,52.0,48.0,51.3,69.2,81.8,45.6,96.0,69.0,Australia,Australian National University,100.0,88.51,514.0,61.44,91.78,202.3,97.43333333333334
bangor university,Exact,bangor university,Bangor University,United Kingdom,Europe,2026.0,566.0,54.0,29.3,12.8,10.5,18.9,44.4,38.1,77.4,74.7,16.9,78.0,United Kingdom,Bangor University,Bangor University,United Kingdom,2016.0,301.0,22.6,22.1,65.4,81.3,31.0,,United Kingdom,Bangor University,100.0,Bangor University,United Kingdom,2015.0,568.0,260.0,370.0,622.0,568.0,342.0,United Kingdom,Bangor University,100.0,Bangor University,United Kingdom,2023.0,401.0,8790.0,15.7,559.8726114649681,26.0,2285.0,61 : 39,61.0,39.0,28.3,24.7,72.6,37.4,84.3,,United Kingdom,Bangor University,100.0,209.66000000000003,910.0,44.41,11.879999999999999,687.4,65.60000000000001
barilan university,Exact,barilan university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,0.0
beijing institute of technology,Exact,beijing institute of technology,Beijing Institute of Technology,China (Mainland),Asia,2026.0,259.0,13.0,49.5,34.3,46.7,42.7,96.4,12.3,15.5,75.3,22.5,58.8,China (Mainland),Beijing Institute of Technology,Beijing Institute of Technology,China,2016.0,601.0,25.9,21.7,9.1,16.9,87.6,,China,Beijing Institute of Technology,100.0,Beijing Institute of Technology,China,2015.0,749.0,367.0,567.0,528.0,969.0,569.0,China,Beijing Institute of Technology,100.0,Beijing Institute of Technology,China,2023.0,501.0,35710.0,14.2,2514.7887323943664,6.0,2143.0,,,,33.6,36.2,49.9,99.8,25.8,,China,Beijing Institute of Technology,100.0,213.91000000000003,1538.0,40.980000000000004,39.260000000000005,537.1,14.9
bilkent university,Exact,bilkent university,Bilkent University,Türkiye,Asia,2026.0,415.0,6.0,36.6,33.8,73.3,14.5,27.7,61.6,7.6,40.5,27.0,51.7,Türkiye,Bilkent University,Bilkent University,Turkey,2016.0,351.0,22.6,17.5,64.1,47.5,30.2,,Turkey,Bilkent University,100.0,Bilkent University,Turkey,2015.0,842.0,367.0,475.0,781.0,789.0,871.0,Turkey,Bilkent University,100.0,Bilkent University,Turkey,2023.0,801.0,9682.0,14.2,681.830985915493,8.0,775.0,46 : 54,46.0,54.0,23.4,24.2,43.5,55.3,63.7,,Turkey,Bilkent University,100.0,261.33000000000004,1660.0,37.5,49.599999999999994,845.1,38.9
boston college,Exact,boston college,Boston College,United States,Americas,2026.0,526.0,73.0,30.9,29.9,30.2,28.0,26.8,9.8,28.5,47.7,64.8,56.0,United States,Boston College,Boston College,United States,2016.0,190.0,34.1,29.3,83.3,60.0,46.8,49.6,United States,Boston College,100.0,Boston College,United States,2015.0,326.0,367.0,97.0,557.0,363.0,386.0,United States,Boston College,100.0,Boston College,United States,2023.0,251.0,12755.0,14.5,879.6551724137931,12.0,1531.0,54 : 46,54.0,46.0,48.6,31.5,74.9,37.4,48.5,,United States,Boston College,100.0,184.41000000000003,749.0,48.69,30.019999999999996,640.3,32.766666666666666
boston university,Exact,boston university,Boston University,United States,Americas,2026.0,88.0,25.0,71.1,75.3,86.7,40.6,61.9,40.0,92.8,84.9,86.9,73.7,United States,Boston University,Boston University,United States,2016.0,64.0,57.8,49.5,97.7,51.0,30.3,66.1,United States,Boston University,100.0,Boston University,United States,2015.0,66.0,303.0,54.0,60.0,45.0,135.0,United States,Boston University,100.0,Boston University,United States,2023.0,71.0,27243.0,10.8,2522.5,31.0,8445.0,59 : 41,59.0,41.0,55.9,56.1,92.9,41.1,65.9,67.5,United States,Boston University,100.0,65.61,180.0,58.42,79.86,157.7,61.26666666666667
brandeis university,Exact,brandeis university,Brandeis University,United States,Americas,2026.0,741.0,105.0,,12.8,9.7,50.2,25.0,33.0,83.4,24.7,30.5,28.8,United States,Brandeis University,Brandeis University,United States,2016.0,185.0,28.3,25.7,97.3,47.0,38.6,49.9,United States,Brandeis University,100.0,Brandeis University,United States,2015.0,274.0,51.0,342.0,549.0,195.0,249.0,United States,Brandeis University,100.0,Brandeis University,United States,2023.0,301.0,5427.0,13.1,414.2748091603054,28.0,1520.0,59 : 41,59.0,41.0,28.5,23.1,90.3,37.3,55.5,,United States,Brandeis University,100.0,168.77,444.0,45.870000000000005,11.559999999999999,646.3,54.46666666666667
brown university,Exact,brown university,Brown University,United States,Americas,2026.0,69.0,21.0,76.2,72.4,64.3,84.5,82.2,91.0,67.0,80.1,81.9,72.6,United States,Brown University,Brown University,United States,2016.0,51.0,62.8,55.7,96.4,57.8,31.4,69.6,United States,Brown University,100.0,Brown University,United States,2015.0,83.0,64.0,43.0,121.0,67.0,200.0,United States,Brown University,100.0,Brown University,United States,2023.0,61.0,10037.0,10.1,993.7623762376238,21.0,2108.0,,,,64.5,58.0,89.5,39.0,63.3,69.3,United States,Brown University,100.0,82.10000000000001,267.0,59.07000000000001,69.16,217.4,71.93333333333334
budapest university of technology and economics,Exact,budapest university of technology and economics,Budapest University of Technology and Economics,Hungary,Europe,2026.0,711.0,4.0,,20.8,37.5,18.6,15.3,4.6,22.7,60.0,37.8,57.9,Hungary,Budapest University of Technology and Economics,Budapest University of Technology and Economics,Hungary,2016.0,601.0,17.1,13.7,21.6,30.4,39.7,,Hungary,Budapest University of Technology and Economics,100.0,Budapest University of Technology and Economics,Hungary,2015.0,819.0,256.0,567.0,740.0,761.0,529.0,Hungary,Budapest University of Technology and Economics,100.0,Budapest University of Technology and Economics,Hungary,2023.0,1201.0,18728.0,17.0,1101.6470588235295,12.0,2247.0,31 : 69,31.0,69.0,19.1,17.5,18.0,43.6,39.1,,Hungary,Budapest University of Technology and Economics,100.0,236.06,1290.0,36.14,27.48,761.6,19.23333333333333
cairo university,Exact,cairo university,Cairo University,Egypt,Africa,2026.0,347.0,1.0,41.6,60.8,52.7,13.8,6.0,4.2,14.4,88.9,98.0,66.6,Egypt,Cairo University,Cairo University,Egypt,2016.0,601.0,18.9,11.1,11.9,31.0,30.3,,Egypt,Cairo University,100.0,Cairo University,Egypt,2015.0,796.0,285.0,469.0,697.0,730.0,871.0,Egypt,Cairo University,100.0,Cairo University,Egypt,2023.0,801.0,224216.0,36.8,6092.826086956522,4.0,8969.0,54 : 46,54.0,46.0,23.6,17.1,51.7,37.6,38.7,,Egypt,Cairo University,100.0,220.41,1601.0,29.6,57.56,708.9,16.533333333333335
cardiff university,Exact,cardiff university,Cardiff University,United Kingdom,Europe,2026.0,181.0,26.0,57.8,60.1,54.4,48.2,42.2,87.2,70.1,93.4,33.5,88.9,United Kingdom,Cardiff University,Cardiff University,United Kingdom,2016.0,182.0,30.9,31.6,82.0,78.1,34.6,50.1,United Kingdom,Cardiff University,100.0,Cardiff University,United Kingdom,2015.0,201.0,321.0,218.0,178.0,153.0,193.0,United Kingdom,Cardiff University,100.0,Cardiff University,,2023.0,187.0,27105.0,14.3,1895.4545454545453,28.0,7589.0,59 : 41,59.0,41.0,31.1,38.9,88.5,41.5,88.3,55.2,,Cardiff University,100.0,88.14,346.0,46.550000000000004,57.82000000000001,260.0,78.46666666666667
carleton university,Exact,carleton university,Carleton University,Canada,Americas,2026.0,781.0,25.0,,15.6,16.8,7.3,18.6,17.6,56.9,74.9,43.1,61.1,Canada,Carleton University,Carleton University,Canada,2016.0,501.0,19.9,24.0,32.0,61.3,30.4,,Canada,Carleton University,100.0,Carleton University,Canada,2015.0,593.0,367.0,538.0,479.0,739.0,871.0,Canada,Carleton University,100.0,Carleton University,Canada,2023.0,601.0,28760.0,29.7,968.3501683501684,22.0,6327.0,49 : 51,49.0,51.0,21.5,30.5,50.4,43.0,72.2,,Canada,Carleton University,100.0,188.90000000000003,1610.0,36.29,16.08,511.0,45.26666666666667
carnegie mellon university,Exact,carnegie mellon university,Carnegie Mellon University,United States,Americas,2026.0,52.0,16.0,82.3,80.1,94.4,51.1,98.6,52.4,98.7,79.2,79.9,66.2,United States,Carnegie Mellon University,Carnegie Mellon University,United States,2016.0,22.0,67.4,88.8,99.1,57.1,57.5,82.3,United States,Carnegie Mellon University,100.0,Carnegie Mellon University,United States,2015.0,61.0,25.0,160.0,211.0,225.0,165.0,United States,Carnegie Mellon University,100.0,Carnegie Mellon University,United States,2023.0,28.0,14305.0,12.9,1108.9147286821706,47.0,6723.0,44 : 56,44.0,56.0,65.4,81.8,98.7,55.2,80.1,81.1,United States,Carnegie Mellon University,100.0,129.95,390.0,66.39,85.82,310.1,69.39999999999999
case western reserve university,Exact,case western reserve university,Case Western Reserve University,United States,Americas,2026.0,294.0,53.0,46.0,22.4,20.5,88.6,66.3,47.6,76.7,58.3,40.9,70.8,United States,Case Western Reserve University,Case Western Reserve University,United States,2016.0,133.0,46.1,33.2,92.0,40.5,34.1,55.3,United States,Case Western Reserve University,100.0,Case Western Reserve University,United States,2015.0,105.0,50.0,215.0,137.0,106.0,111.0,United States,Case Western Reserve University,100.0,Case Western Reserve University,United States,2023.0,134.0,10934.0,8.2,1333.4146341463415,20.0,2187.0,51 : 49,51.0,49.0,48.4,40.6,90.7,43.4,52.9,59.0,United States,Case Western Reserve University,100.0,78.88,217.0,52.9,21.64,229.0,54.93333333333334
chalmers university of technology,Exact,chalmers university of technology,Chalmers University of Technology,Sweden,Europe,2026.0,165.0,5.0,60.2,34.6,56.6,59.5,80.9,100.0,74.3,77.0,53.3,82.7,Sweden,Chalmers University of Technology,Chalmers University of Technology,Sweden,2016.0,201.0,36.6,35.3,52.2,77.6,79.5,,Sweden,Chalmers University of Technology,100.0,Chalmers University of Technology,Sweden,2015.0,402.0,361.0,311.0,367.0,426.0,871.0,Sweden,Chalmers University of Technology,100.0,Chalmers University of Technology,Sweden,2023.0,251.0,9513.0,13.8,689.3478260869565,19.0,1807.0,32 : 68,32.0,68.0,34.9,44.5,64.4,66.0,77.4,,Sweden,Chalmers University of Technology,100.0,145.78,1297.0,45.519999999999996,43.400000000000006,419.2,83.96666666666667
chang gung university,Exact,chang gung university,Chang Gung University,Taiwan,Asia,2026.0,668.0,13.0,26.3,9.3,6.6,74.6,58.2,7.9,9.5,25.5,2.1,48.8,Taiwan,Chang Gung University,Chang Gung University,Taiwan,2016.0,601.0,19.3,24.7,27.6,15.7,31.9,,Taiwan,Chang Gung University,100.0,Chang Gung University,Taiwan,2015.0,563.0,367.0,567.0,344.0,598.0,824.0,Taiwan,Chang Gung University,100.0,Chang Gung University,,2023.0,1001.0,7016.0,12.1,579.8347107438017,5.0,351.0,49 : 51,49.0,51.0,21.9,27.9,30.6,77.3,28.3,,,Chang Gung University,100.0,146.76,1422.0,36.63,8.22,371.6,11.033333333333331
charles darwin university,Exact,charles darwin university,Charles Darwin University,Australia,Oceania,2026.0,584.0,29.0,28.7,7.8,7.3,6.4,65.1,41.8,88.9,49.7,4.8,70.7,Australia,Charles Darwin University,Charles Darwin University,Australia,2016.0,251.0,17.8,22.6,85.9,63.7,43.2,,Australia,Charles Darwin University,100.0,Charles Darwin University,Australia,2015.0,942.0,367.0,567.0,931.0,742.0,871.0,Australia,Charles Darwin University,100.0,Charles Darwin University,Australia,2023.0,351.0,7246.0,34.5,210.0289855072464,30.0,2174.0,69 : 31,69.0,31.0,22.7,33.2,72.4,45.9,79.8,,Australia,Charles Darwin University,100.0,295.21000000000004,1613.0,37.73,7.6,1016.9,64.8
chiang mai university,Exact,chiang mai university,Chiang Mai University,Thailand,Asia,2026.0,526.0,3.0,30.9,48.8,30.4,22.0,8.8,5.5,8.7,65.8,28.7,67.6,Thailand,Chiang Mai University,Chiang Mai University,Thailand,2016.0,601.0,17.8,9.4,30.0,34.9,32.3,,Thailand,Chiang Mai University,100.0,Chiang Mai University,Thailand,2015.0,818.0,367.0,550.0,847.0,753.0,871.0,Thailand,Chiang Mai University,100.0,Chiang Mai University,Thailand,2023.0,1001.0,34110.0,14.0,2436.428571428572,3.0,1023.0,66 : 34,66.0,34.0,25.2,17.0,30.8,58.2,36.4,,Thailand,Chiang Mai University,100.0,257.46,1624.0,36.78,41.44,877.0,16.366666666666664
chiba university,Exact,chiba university,Chiba University,Japan,Asia,2026.0,791.0,17.0,,22.5,12.5,65.8,17.8,11.3,7.9,30.2,6.2,48.7,Japan,Chiba University,Chiba University,Japan,2016.0,601.0,26.9,16.8,24.8,21.0,55.3,,Japan,Chiba University,100.0,Chiba University,Japan,2015.0,418.0,367.0,567.0,361.0,343.0,267.0,Japan,Chiba University,100.0,Chiba University,Japan,2023.0,1001.0,13640.0,8.5,1604.7058823529412,5.0,682.0,38 : 62,38.0,62.0,26.5,18.3,32.8,41.4,28.7,,Japan,Chiba University,100.0,120.66,610.0,39.55,18.5,385.8,13.4
china agricultural university,Exact,china agricultural university,China Agricultural University,China (Mainland),Asia,2026.0,504.0,34.0,32.0,12.3,10.3,19.2,98.7,4.8,2.3,62.1,9.6,44.4,China (Mainland),China Agricultural University,China Agricultural University,China,2016.0,501.0,35.8,24.9,22.6,17.6,52.3,,China,China Agricultural University,100.0,China Agricultural University,China,2015.0,627.0,367.0,534.0,407.0,362.0,572.0,China,China Agricultural University,100.0,,,,,,,,,,,,,,,,,,,,,,134.34000000000003,934.0,30.0,11.5,429.6,8.233333333333334
chongqing university,Exact,chongqing university,Chongqing University,China (Mainland),Asia,2026.0,504.0,34.0,32.0,11.9,9.8,18.2,93.8,28.1,3.9,58.1,19.1,40.0,China (Mainland),Chongqing University,Chongqing University,China,2016.0,601.0,19.5,15.5,8.7,15.5,73.8,,China,Chongqing University,100.0,Chongqing University,China,2015.0,774.0,367.0,283.0,630.0,892.0,809.0,China,Chongqing University,100.0,Chongqing University,,2023.0,601.0,40696.0,19.9,2045.0251256281408,3.0,1221.0,,,,27.8,33.2,52.8,85.2,24.8,,,Chongqing University,100.0,224.01,1701.0,36.05,11.06,638.7,15.833333333333334
chonnam national university,Exact,chonnam national university,Chonnam National University,South Korea,Asia,2026.0,901.0,27.0,,12.2,6.8,47.3,24.0,14.6,16.3,29.2,6.5,61.3,South Korea,Chonnam National University,Chonnam National University,South Korea,2016.0,601.0,17.5,11.7,29.1,20.4,31.4,,South Korea,Chonnam National University,100.0,Chonnam National University,South Korea,2015.0,384.0,367.0,547.0,405.0,589.0,109.0,South Korea,Chonnam National University,100.0,Chonnam National University,,2023.0,1001.0,24436.0,19.9,1227.9396984924624,6.0,1466.0,48 : 52,48.0,52.0,24.1,24.2,28.3,43.2,27.6,,,Chonnam National University,100.0,153.31,698.0,35.47,10.04,434.1,17.099999999999998
chulalongkorn university,Exact,chulalongkorn university,Chulalongkorn University,Thailand,Asia,2026.0,221.0,1.0,53.9,82.0,52.7,44.8,12.5,32.0,6.2,80.6,96.4,80.0,Thailand,Chulalongkorn University,Chulalongkorn University,Thailand,2016.0,601.0,23.8,14.1,16.7,32.8,37.8,,Thailand,Chulalongkorn University,100.0,Chulalongkorn University,Thailand,2015.0,311.0,367.0,57.0,584.0,734.0,871.0,Thailand,Chulalongkorn University,100.0,Chulalongkorn University,,2023.0,801.0,34095.0,11.5,2964.782608695652,3.0,1023.0,58 : 42,58.0,42.0,31.5,25.5,34.5,87.5,38.1,,,Chulalongkorn University,100.0,200.85000000000002,1605.0,40.050000000000004,70.28,600.7,23.666666666666668
chung yuan christian university,Exact,chung yuan christian university,Chung Yuan Christian University,Taiwan,Asia,2026.0,1001.0,16.0,,9.9,9.2,6.9,25.2,5.3,11.8,17.3,28.6,46.7,Taiwan,Chung Yuan Christian University,Chung Yuan Christian University,Taiwan,2016.0,601.0,15.9,22.1,17.4,18.7,41.9,,Taiwan,Chung Yuan Christian University,100.0,Chung Yuan Christian University,Taiwan,2015.0,875.0,249.0,320.0,779.0,962.0,871.0,Taiwan,Chung Yuan Christian University,100.0,Chung Yuan Christian University,Taiwan,2023.0,1201.0,15037.0,31.3,480.4153354632588,9.0,1353.0,46 : 54,46.0,54.0,17.2,21.9,26.6,48.5,42.9,,Taiwan,Chung Yuan Christian University,100.0,266.06,1833.0,30.189999999999998,9.620000000000001,796.4,11.933333333333332
chungang university,Exact,chungang university,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,30.0,0.0,0.0,0.0
chungnam national university,Exact,chungnam national university,Chungnam National University,South Korea,Asia,2026.0,851.0,25.0,,11.7,10.6,54.7,21.0,8.4,20.0,40.8,6.7,59.9,South Korea,Chungnam National University,Chungnam National University,South Korea,2016.0,601.0,23.2,17.7,13.2,19.8,39.9,,South Korea,Chungnam National University,100.0,Chungnam National University,South Korea,2015.0,628.0,367.0,567.0,470.0,563.0,290.0,South Korea,Chungnam National University,100.0,Chungnam National University,South Korea,2023.0,1201.0,21244.0,20.7,1026.280193236715,4.0,850.0,47 : 53,47.0,53.0,26.7,24.6,18.7,46.1,24.3,,South Korea,Chungnam National University,100.0,161.34,853.0,35.67,11.26,483.2,16.066666666666666
city university of hong kong,Exact,city university of hong kong,City University of Hong Kong,"Hong Kong SAR, China",Asia,2026.0,63.0,5.0,78.9,75.5,46.7,94.8,100.0,100.0,100.0,64.5,48.5,75.2,"Hong Kong SAR, China",City University of Hong Kong,City University of Hong Kong,Hong Kong,2016.0,201.0,32.1,26.7,76.8,81.6,50.1,,Hong Kong,City University of Hong Kong,100.0,City University of Hong Kong,Hong Kong,2015.0,373.0,367.0,567.0,252.0,874.0,387.0,Hong Kong,City University of Hong Kong,100.0,City University of Hong Kong,,2023.0,99.0,9099.0,12.1,751.9834710743802,62.0,5641.0,54 : 46,54.0,46.0,47.2,53.0,79.9,76.6,99.6,63.4,,City University of Hong Kong,100.0,171.52,1261.0,63.85000000000001,63.980000000000004,328.8,93.86666666666667
clemson university,Exact,clemson university,Clemson University,United States,Americas,2026.0,951.0,130.0,,9.6,15.2,18.5,24.8,16.3,10.6,75.8,13.5,47.7,United States,Clemson University,Clemson University,United States,2016.0,601.0,21.4,19.7,27.0,34.6,35.8,,United States,Clemson University,100.0,Clemson University,United States,2015.0,483.0,367.0,535.0,433.0,497.0,510.0,United States,Clemson University,100.0,Clemson University,United States,2023.0,801.0,23491.0,15.5,1515.548387096774,6.0,1409.0,49 : 51,49.0,51.0,25.2,21.4,41.7,40.9,43.7,,United States,Clemson University,100.0,152.28000000000003,1007.0,37.23,11.84,460.0,20.5
