University_Name,Match_Type,clean_name,University_Name_qs,Country,Region,Year,QS_Rank,National_Rank,QS_Overall_Score,Academic_Reputation,Employer_Reputation,Faculty_Student_Ratio,Citations_Per_Faculty,International_Faculty_Ratio,International_Students_Ratio,International_Research_Network,Employment_Outcomes,Sustainability,Std_Country,Std_University_Name,University_Name_the,Country_the,Year_the,THE_Rank,Teaching_Score,Research_Score,Citation_Score,International_Outlook,Industry_Income,Total_Score,Std_Country_the,Std_University_Name_the,Base_Match_Score,University_Name_cwur,Country_cwur,Year_cwur,CWUR_Rank,Quality_of_Education,Alumni_Employment,Publications,Influence,Patents,Std_Country_cwur,Std_University_Name_cwur,Base_Match_Score_cwur,University_Name_the2023,Country_the2023,Year_the2023,THE2023_Rank,Total_Students,Faculty_Student_Ratio_2023,Faculty_Count,International_Student_Ratio_2023,International_Students_Count,Gender_Ratio,Female_Percentage,Male_Percentage,Teaching_Score_2023,Research_Score_2023,Citations_Score_2023,Industry_Income_Score_2023,International_Outlook_Score_2023,Overall_Score_2023,Std_Country_the2023,Std_University_Name_the2023,Base_Match_Score_the2023,Research_Excellence_Index,Innovation_Index,Student_Experience_Index,Global_Reputation_Index,Research_Productivity_Score,Internationalization_Score
leiden university,Exact,leiden university,Leiden University,Netherlands,Europe,2026.0,119.0,4.0,65.7,80.4,46.3,30.3,64.9,89.7,68.4,94.3,61.2,58.6,Netherlands,Leiden University,Leiden University,Netherlands,2016.0,67.0,50.5,63.1,85.2,64.3,49.8,65.7,Netherlands,Leiden University,100.0,Leiden University,Netherlands,2015.0,108.0,120.0,567.0,82.0,94.0,260.0,Netherlands,Leiden University,100.0,Leiden University,,2023.0,77.0,33648.0,19.3,1743.419689119171,20.0,6730.0,60 : 40,60.0,40.0,43.2,64.4,86.6,68.4,85.4,66.4,,Leiden University,100.0,76.60000000000001,354.0,47.49,66.76,167.2,74.13333333333334
linköping university,Exact,linköping university,Linköping University,Sweden,Europe,2026.0,310.0,7.0,44.5,25.4,32.2,50.2,55.2,85.8,46.3,81.5,50.8,68.2,Sweden,Linköping University,Linköping University,Sweden,2016.0,251.0,24.2,18.9,76.8,57.7,42.1,,Sweden,Linköping University,100.0,Linköping University,Sweden,2015.0,355.0,367.0,237.0,323.0,401.0,871.0,Sweden,Linköping University,100.0,Linköping University,Sweden,2023.0,251.0,15026.0,14.4,1043.4722222222222,15.0,2254.0,52 : 48,52.0,48.0,23.5,39.8,78.0,61.8,70.8,,Sweden,Linköping University,100.0,135.3,1272.0,39.58,28.12,399.8,63.26666666666667
liverpool john moores university,Exact,liverpool john moores university,Liverpool John Moores University,United Kingdom,Europe,2026.0,851.0,72.0,,13.5,12.0,9.6,20.4,53.8,21.2,89.7,11.5,53.9,United Kingdom,Liverpool John Moores University,Liverpool John Moores University,United Kingdom,2016.0,501.0,16.4,11.6,45.9,62.1,28.8,,United Kingdom,Liverpool John Moores University,100.0,Liverpool John Moores University,United Kingdom,2015.0,696.0,367.0,567.0,723.0,395.0,871.0,United Kingdom,Liverpool John Moores University,100.0,Liverpool John Moores University,United Kingdom,2023.0,401.0,21725.0,17.4,1248.5632183908046,16.0,3476.0,54 : 46,54.0,46.0,20.9,19.0,81.2,37.4,77.2,,United Kingdom,Liverpool John Moores University,100.0,202.51,1266.0,37.94,12.9,768.9,45.699999999999996
lomonosov moscow state university,Exact,lomonosov moscow state university,Lomonosov Moscow State University,Russia,Europe,2026.0,105.0,1.0,67.6,83.7,87.9,99.9,7.3,25.5,96.0,87.0,98.3,48.8,Russia,Lomonosov Moscow State University,Lomonosov Moscow State University,Russia,2016.0,161.0,75.4,66.7,8.6,57.8,95.7,51.9,Russia,Lomonosov Moscow State University,100.0,Lomonosov Moscow State University,Russia,2015.0,59.0,14.0,175.0,268.0,254.0,861.0,Russia,Lomonosov Moscow State University,100.0,,,,,,,,,,,,,,,,,,,,,,108.26,1115.0,30.0,85.38,276.6,59.76666666666667
loughborough university,Exact,loughborough university,Loughborough University,United Kingdom,Europe,2026.0,225.0,29.0,53.3,42.8,64.5,26.9,50.6,94.6,71.1,81.4,33.2,87.9,United Kingdom,Loughborough University,Loughborough University,United Kingdom,2016.0,351.0,31.2,32.2,41.3,72.9,36.6,,United Kingdom,Loughborough University,100.0,Loughborough University,United Kingdom,2015.0,694.0,367.0,567.0,512.0,806.0,480.0,United Kingdom,Loughborough University,100.0,Loughborough University,United Kingdom,2023.0,351.0,15815.0,13.8,1146.014492753623,29.0,4586.0,41 : 59,41.0,59.0,32.2,32.6,61.0,40.3,88.6,,United Kingdom,Loughborough University,100.0,208.27000000000004,1286.0,47.44,51.48,553.3,79.53333333333333
lund university,Exact,lund university,Lund University,Sweden,Europe,2026.0,72.0,1.0,75.7,80.1,64.1,68.1,56.6,98.8,82.0,97.1,96.1,98.8,Sweden,Lund University,Lund University,Sweden,2016.0,90.0,39.7,53.6,81.3,74.1,70.4,59.7,Sweden,Lund University,100.0,Lund University,Sweden,2015.0,117.0,136.0,466.0,85.0,135.0,871.0,Sweden,Lund University,100.0,Lund University,Sweden,2023.0,119.0,28545.0,11.5,2482.1739130434785,18.0,5138.0,55 : 45,55.0,45.0,40.5,55.5,81.0,79.5,78.5,61.0,Sweden,Lund University,100.0,76.33,1006.0,48.15,73.69999999999999,166.3,84.96666666666667
maastricht university,Exact,maastricht university,Maastricht University,Netherlands,Europe,2026.0,239.0,11.0,51.4,32.8,33.7,18.6,71.7,99.9,100.0,85.6,49.6,80.2,Netherlands,Maastricht University,Maastricht University,Netherlands,2016.0,88.0,37.5,47.7,82.7,95.5,95.4,59.9,Netherlands,Maastricht University,100.0,Maastricht University,Netherlands,2015.0,225.0,367.0,567.0,185.0,354.0,281.0,Netherlands,Maastricht University,100.0,Maastricht University,Netherlands,2023.0,145.0,19909.0,18.6,1070.3763440860214,56.0,11149.0,60 : 40,60.0,40.0,38.4,49.6,75.5,73.2,98.1,58.2,Netherlands,Maastricht University,100.0,116.28999999999999,635.0,56.58,33.16,267.7,98.46666666666665
macquarie university,Exact,macquarie university,Macquarie University,Australia,Oceania,2026.0,138.0,11.0,63.3,47.7,56.7,13.6,85.8,100.0,97.3,91.0,62.2,90.6,Australia,Macquarie University,Macquarie University,Australia,2016.0,301.0,28.5,27.2,52.3,90.0,33.1,,Australia,Macquarie University,100.0,Macquarie University,Australia,2015.0,449.0,367.0,304.0,391.0,292.0,530.0,Australia,Macquarie University,100.0,Macquarie University,Australia,2023.0,175.0,30561.0,69.0,442.9130434782609,27.0,8251.0,52 : 48,52.0,48.0,38.7,44.6,76.1,64.9,89.8,56.2,Australia,Macquarie University,100.0,133.97000000000003,822.0,32.88,51.300000000000004,443.3,95.76666666666667
mahidol university,Exact,mahidol university,Mahidol University,Thailand,Asia,2026.0,358.0,2.0,41.1,59.4,38.8,82.4,9.0,8.5,9.1,67.9,17.4,61.2,Thailand,Mahidol University,Mahidol University,Thailand,2016.0,501.0,26.8,15.1,28.3,44.1,71.6,,Thailand,Mahidol University,100.0,Mahidol University,Thailand,2015.0,532.0,367.0,567.0,476.0,372.0,861.0,Thailand,Mahidol University,100.0,Mahidol University,Thailand,2023.0,801.0,28477.0,9.0,3164.1111111111118,5.0,1424.0,64 : 36,64.0,36.0,32.8,22.5,35.8,69.8,45.7,,Thailand,Mahidol University,100.0,146.93,1233.0,41.92,51.16,504.3,20.566666666666666
makerere university,Exact,makerere university,Makerere University,Uganda,Africa,2026.0,1001.0,1.0,,13.4,5.3,5.8,6.5,8.3,13.6,65.3,98.3,42.0,Uganda,Makerere University,Makerere University,Uganda,2016.0,401.0,15.1,10.6,70.7,58.0,28.0,,Uganda,Makerere University,100.0,Makerere University,Uganda,2015.0,869.0,367.0,567.0,882.0,656.0,871.0,Uganda,Makerere University,100.0,Makerere University,Uganda,2023.0,801.0,31233.0,21.0,1487.2857142857142,3.0,937.0,51 : 49,51.0,49.0,21.8,27.7,34.5,52.2,57.6,,Uganda,Makerere University,100.0,267.45000000000005,1527.0,33.32,10.16,952.7,26.633333333333336
