institution_id,openalex_display_name,country_code,institution_type,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness,normalized_name
https://openalex.org/I27837315,University of Michigan,US,education,980787,65996185,2076,676178,3.504430754649923,university of michigan
https://openalex.org/I136199984,Harvard University,US,education,703059,143100410,2762,1097327,7.005079906202301,harvard university
https://openalex.org/I40120149,University of Oxford,GB,education,591106,62871367,2063,561829,4.556758087040132,university of oxford
https://openalex.org/I45129253,University College London,GB,education,579865,65199605,2060,667867,5.045295649296781,university college london
https://openalex.org/I185261750,University of Toronto,CA,education,552345,58216513,1775,651088,4.258194072569476,university of toronto
https://openalex.org/I97018004,Stanford University,US,education,526568,86753778,2474,661210,6.198632321156504,stanford university
https://openalex.org/I201448701,University of Washington,US,education,520496,94036781,3571,599831,46.42043703751926,university of washington
https://openalex.org/I74801974,The University of Tokyo,JP,education,506365,46456932,1386,641774,3.9510738238976657,the university of tokyo
https://openalex.org/I145311948,Johns Hopkins University,US,education,496410,76275585,2254,705144,4.060847968777718,johns hopkins university
https://openalex.org/I205783295,Cornell University,US,education,471589,56241077,1847,556260,4.875301350048216,cornell university
https://openalex.org/I17974374,Universidade de São Paulo,BR,education,471395,22608521,867,444904,1.9571032962305748,universidade de sao paulo
https://openalex.org/I95457486,"University of California, Berkeley",US,education,448741,55919134,1864,490914,3.767360830482143,university of california berkeley
https://openalex.org/I241749,University of Cambridge,GB,education,446600,53279391,1815,484816,6.012331497685732,university of cambridge
https://openalex.org/I161318765,"University of California, Los Angeles",US,education,413993,51538855,1633,519218,4.118448103338488,university of california los angeles
https://openalex.org/I32971472,Yale University,US,education,410192,51599906,1796,472103,2.465231643857598,yale university
https://openalex.org/I39804081,Sorbonne Université,FR,education,393446,36438131,1475,452305,3.903368360443357,sorbonne universite
https://openalex.org/I20231570,Peking University,CN,education,391353,31972346,1120,489769,4.98014294188284,peking university
https://openalex.org/I78577930,Columbia University,US,education,386625,47030242,1722,438547,4.652671841349605,columbia university
https://openalex.org/I47508984,Imperial College London,GB,education,385178,41744189,1545,456458,6.360089552706151,imperial college london
https://openalex.org/I4210165038,University of Chinese Academy of Sciences,CN,education,381969,30066182,902,535280,5.8142431707482976,university of chinese academy of sciences
https://openalex.org/I79576946,University of Pennsylvania,US,education,379983,54521755,1741,533684,5.871053257356244,university of pennsylvania
https://openalex.org/I189158943,University of Milan,IT,education,374385,18407452,934,279002,0.3365181387223885,university of milan
https://openalex.org/I99065089,Tsinghua University,CN,education,374031,33054299,1178,467411,6.548157490426288,tsinghua university
https://openalex.org/I141945490,University of British Columbia,CA,education,373758,32184491,1330,389082,3.052076419266356,university of british columbia
https://openalex.org/I135310074,University of Wisconsin–Madison,US,education,373515,43033253,1423,500582,3.69290787041541,university of wisconsin madison
https://openalex.org/I52357470,The Ohio State University,US,education,370776,28976028,1184,378249,3.2928543624534283,the ohio state university
https://openalex.org/I76130692,Zhejiang University,CN,education,368276,29223873,938,517337,5.542814442079005,zhejiang university
https://openalex.org/I183067930,Shanghai Jiao Tong University,CN,education,364594,27824137,872,519215,5.547417121622396,shanghai jiao tong university
https://openalex.org/I33213144,University of Florida,US,education,360106,30437909,1247,411555,3.000925949741505,university of florida
https://openalex.org/I204730241,Université Paris Cité,FR,education,358364,40036926,1652,458546,4.921276274766167,universite paris cite
https://openalex.org/I22299242,Kyoto University,JP,education,357543,30074139,1115,447547,2.916340019983091,kyoto university
https://openalex.org/I36258959,University of California San Diego,US,education,354477,50314446,1735,460345,3.9122391443352895,university of california san diego
https://openalex.org/I86519309,The University of Texas at Austin,US,education,354102,23704793,1195,280242,0.7589981967053319,the university of texas at austin
https://openalex.org/I114027177,University of North Carolina at Chapel Hill,US,education,353345,34641951,1591,345205,2.1402427572775014,university of north carolina at chapel hill
https://openalex.org/I63966007,Massachusetts Institute of Technology,US,education,346195,64210995,2254,473424,6.887114144467945,massachusetts institute of technology
https://openalex.org/I165779595,The University of Melbourne,AU,education,343663,30562107,1269,384483,3.925608082411496,the university of melbourne
https://openalex.org/I130238516,University of Minnesota,US,education,334991,36484092,1393,429900,3.814443132624951,university of minnesota
https://openalex.org/I130769515,Pennsylvania State University,US,education,333916,27367716,1258,325341,3.972457001004788,pennsylvania state university
https://openalex.org/I129604602,The University of Sydney,AU,education,333240,26713338,1272,355268,4.629099253492898,the university of sydney
https://openalex.org/I157725225,University of Illinois Urbana-Champaign,US,education,331163,32232224,1387,378640,3.588019100761884,university of illinois urbana champaign
https://openalex.org/I157614274,University of Cape Town,ZA,education,323606,7492831,698,105303,0.8007273489179563,university of cape town
https://openalex.org/I223822909,Heidelberg University,DE,education,317450,42325242,1595,477315,4.038389664321144,heidelberg university
https://openalex.org/I28407311,University of Manchester,GB,education,313219,28666738,1236,351562,3.651800779053055,university of manchester
https://openalex.org/I99464096,KU Leuven,BE,education,307794,28857072,1301,375414,3.6741150724723015,ku leuven
https://openalex.org/I40347166,University of Chicago,US,education,306617,34391647,1625,320271,4.143974850734889,university of chicago
https://openalex.org/I157773358,Sun Yat-sen University,CN,education,301399,25036536,914,458443,4.6484041962881,sun yat sen university
https://openalex.org/I84218800,"University of California, Davis",US,education,299056,29486543,1209,376277,3.221656187577923,university of california davis
https://openalex.org/I180670191,"University of California, San Francisco",US,education,297379,48942276,1692,438774,4.807319841790674,university of california san francisco
https://openalex.org/I170201317,University of Pittsburgh,US,education,296108,33775336,1329,385010,3.607441444891186,university of pittsburgh
https://openalex.org/I5023651,McGill University,CA,education,294765,27214244,1223,330007,3.804736231323437,mcgill university
https://openalex.org/I98285908,The University of Osaka,JP,education,288715,25578980,1095,404212,3.0898523164690905,the university of osaka
https://openalex.org/I124055696,University of Copenhagen,DK,education,286459,26997551,1228,326777,4.060326671970796,university of copenhagen
https://openalex.org/I219193219,Purdue University West Lafayette,US,education,285179,20321850,943,286038,2.92231048199877,purdue university west lafayette
https://openalex.org/I56590836,Monash University,AU,education,281906,21425750,1079,282954,4.361900010354793,monash university
https://openalex.org/I98677209,University of Edinburgh,GB,education,280399,25927521,1329,280444,3.9146779588481073,university of edinburgh
https://openalex.org/I201537933,Tohoku University,JP,education,277877,18793874,866,340152,2.984142685851319,tohoku university
https://openalex.org/I165932596,National University of Singapore,SG,education,277687,24796293,1087,322698,6.341150518943206,national university of singapore
https://openalex.org/I165143802,The University of Queensland,AU,education,276685,27224871,1462,309721,4.442634272257948,the university of queensland
https://openalex.org/I57206974,New York University,US,education,275858,26685140,1374,268706,3.725916870415648,new york university
https://openalex.org/I8204097,Ludwig-Maximilians-Universität München,DE,education,275434,28767949,1134,349924,3.595117792236931,ludwig maximilians universitat munchen
https://openalex.org/I1174212,University of Southern California,US,education,273551,27730910,1458,305397,3.660226835832372,university of southern california
https://openalex.org/I31746571,UNSW Sydney,AU,education,272236,19920159,1038,277892,5.0060851926977685,unsw sydney
https://openalex.org/I170897317,Duke University,US,education,268715,29710350,1407,305229,3.4871443226607632,duke university
https://openalex.org/I60134161,Nagoya University,JP,education,267600,14880255,745,257724,1.293982782461305,nagoya university
https://openalex.org/I157674565,University of Liège,BE,education,264506,8095555,865,116798,1.9728178872647224,university of liege
https://openalex.org/I154425047,University of Alberta,CA,education,264275,20925243,1069,294923,3.596721177321022,university of alberta
https://openalex.org/I47720641,Huazhong University of Science and Technology,CN,education,264028,23554291,897,410945,5.398171363769259,huazhong university of science and technology
https://openalex.org/I24185976,Sichuan University,CN,education,262481,19723528,704,405738,5.187749324890586,sichuan university
https://openalex.org/I111979921,Northwestern University,US,education,260492,35575037,1441,372458,5.411432859420853,northwestern university
https://openalex.org/I138006243,University of Arizona,US,education,259568,22824158,1266,267392,3.8012330940193295,university of arizona
https://openalex.org/I183935753,King's College London,GB,education,259005,22622473,1239,243978,3.6894405766604734,king s college london
https://openalex.org/I93860229,Politecnico di Milano,IT,education,255039,5742496,527,107729,0.4813794651446161,politecnico di milano
https://openalex.org/I204465549,Washington University in St. Louis,US,education,254498,40193403,1851,322036,4.180210605806344,washington university in st louis
https://openalex.org/I205349734,Hokkaido University,JP,education,254301,11656678,648,223474,0.9461363656304564,hokkaido university
https://openalex.org/I139660479,Central South University,CN,education,253336,18571342,712,381636,5.521416992812064,central south university
https://openalex.org/I102322142,"Rutgers, The State University of New Jersey",US,education,251021,21397152,1131,271329,3.5048593432281407,rutgers the state university of new jersey
