rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,normalized_name
6750,601–800,University of Houston,34.0–39.2,6750,34.9,346,28.0,474,48.8,872,42.5,722,43.2,864,United States,"46,958",27.0,7%,52 : 48,University of Houston,"Chemical Engineering,Psychology,Accounting & Finance,Electrical & Electronic Engineering,Communication & Media Studies,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Geography,Architecture,Economics & Econometrics,Sport Science,Civil Engineering,Chemistry,Computer Science,Mathematics & Statistics,History, Philosophy & Theology,Education,Physics & Astronomy,Medicine & Dentistry,Law,Sociology,Art, Performing Arts & Design,Biological Sciences,Politics & International Studies (incl Development Studies),Other Health",False,False,university of houston
6760,601–800,University of Huddersfield,34.0–39.2,6760,23.2,859,23.7,598,49.8,857,39.7,1005,82.8,186,United Kingdom,"14,410",19.9,26%,58 : 42,University of Huddersfield,"Art, Performing Arts & Design,Civil Engineering,Physics & Astronomy,Economics & Econometrics,Sport Science,Communication & Media Studies,Chemical Engineering,Electrical & Electronic Engineering,Accounting & Finance,Law,Psychology,Architecture,Other Health,Mathematics & Statistics,History, Philosophy & Theology,Biological Sciences,Geography,Business & Management,Mechanical & Aerospace Engineering,Sociology,Computer Science,Geology, Environmental, Earth & Marine Sciences,Education,Chemistry,Languages, Literature & Linguistics,General Engineering,Politics & International Studies (incl Development Studies)",False,False,university of huddersfield
6770,601–800,Icesi University,34.0–39.2,6770,19.1,1203,9.1,1630,86.0,217,37.4,1469,37.3,1033,Colombia,"6,279",8.0,2%,53 : 47,Icesi University,"Sociology,Communication & Media Studies,Art, Performing Arts & Design,Biological Sciences,Law,Psychology,Chemistry,Education,Medicine & Dentistry,General Engineering,Accounting & Finance,Computer Science,Business & Management,Politics & International Studies (incl Development Studies),Chemical Engineering,Economics & Econometrics,Other Health,Agriculture & Forestry",False,False,icesi university
6780,601–800,Ilam University of Medical Sciences,34.0–39.2,6780,26.1,688,10.7,1428,85.1,234,38.5,1186,20.8,1659,Iran,"2,687",13.0,4%,53 : 47,Ilam University of Medical Sciences,"Other Health,Medicine & Dentistry",False,False,ilam university of medical sciences
6790,601–800,Imam Abdulrahman Bin Faisal University,34.0–39.2,6790,22.1,941,9.9,1532,64.0,591,37.5,1426,72.9,303,Saudi Arabia,"22,059",8.7,4%,90 : 10,Imam Abdulrahman Bin Faisal University,"Medicine & Dentistry,Chemistry,Sociology,Accounting & Finance,Geography,Computer Science,Biological Sciences,Architecture,Education,Communication & Media Studies,Art, Performing Arts & Design,General Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Business & Management,Mechanical & Aerospace Engineering,Physics & Astronomy,Other Health,Law,History, Philosophy & Theology,Civil Engineering,Mathematics & Statistics,Psychology",False,False,imam abdulrahman bin faisal university
6800,601–800,Indian Institute of Technology Indore,34.0–39.2,6800,32.8,413,23.7,599,61.8,626,39.1,1093,24.9,1467,India,"2,001",11.7,0%,22 : 78,Indian Institute of Technology Indore IIT Indore,"Electrical & Electronic Engineering,Computer Science,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Mathematics & Statistics,Languages, Literature & Linguistics,Physics & Astronomy,Biological Sciences,Civil Engineering,Economics & Econometrics,Psychology,Chemistry,Sociology,Mechanical & Aerospace Engineering",False,False,indian institute of technology indore
6810,601–800,Indraprastha Institute of Information Technology Delhi,34.0–39.2,6810,21.5,995,17.5,864,69.6,492,78.9,124,33.8,1139,India,"2,399",23.1,2%,23 : 77,Indraprastha Institute of Information Technology Delhi,"Computer Science,Electrical & Electronic Engineering",False,False,indraprastha institute of information technology delhi
6820,601–800,"International Islamic University, Islamabad",34.0–39.2,6820,17.2,1459,10.8,1417,80.7,304,36.9,1757,52.2,621,Pakistan,"25,221",25.1,7%,53 : 47,"International Islamic University, Islamabad","Accounting & Finance,Sociology,Physics & Astronomy,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Computer Science,Chemistry,Electrical & Electronic Engineering,Mathematics & Statistics,Communication & Media Studies,Business & Management,Education,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Psychology,Civil Engineering,Architecture,Biological Sciences,Economics & Econometrics,Law",False,False,international islamic university islamabad
6830,601–800,Iran University of Medical Sciences,34.0–39.2,6830,46.0,146,14.9,1030,56.1,738,41.7,778,27.1,1384,Iran,"8,840",8.3,5%,57 : 43,Iran University of Medical Sciences,"Chemistry,Computer Science,Psychology,Business & Management,Biological Sciences,Medicine & Dentistry,Sport Science,Other Health,General Engineering,Education,Economics & Econometrics,Law",False,False,iran university of medical sciences
6840,601–800,Istanbul Technical University,34.0–39.2,6840,31.9,449,35.5,306,29.1,1231,100.0,1,42.6,880,Turkey,"18,562",24.2,15%,37 : 63,Istanbul Technical University,"Mathematics & Statistics,Electrical & Electronic Engineering,Architecture,Other Health,Civil Engineering,Physics & Astronomy,Art, Performing Arts & Design,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Chemistry,Computer Science,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Accounting & Finance,Chemical Engineering",False,False,istanbul technical university
6850,601–800,Jagiellonian University,34.0–39.2,6850,31.3,472,25.3,548,56.7,728,37.6,1394,40.9,936,Poland,"34,725",9.6,11%,67 : 33,Jagiellonian University,"Sociology,Geology, Environmental, Earth & Marine Sciences,Geography,Medicine & Dentistry,Law,Archaeology,Art, Performing Arts & Design,Psychology,Other Health,Accounting & Finance,Education,Physics & Astronomy,Languages, Literature & Linguistics,Mathematics & Statistics,Communication & Media Studies,Business & Management,Economics & Econometrics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemistry,Biological Sciences,Computer Science",False,False,jagiellonian university
6860,601–800,Jamia Hamdard University,34.0–39.2,6860,18.9,1222,12.6,1223,73.3,438,40.5,892,31.3,1222,India,"9,636",20.0,3%,45 : 55,Jamia Hamdard University,"Accounting & Finance,Computer Science,Business & Management,Other Health,Politics & International Studies (incl Development Studies),Chemistry,Medicine & Dentistry,Biological Sciences",False,False,jamia hamdard university
6870,601–800,Jawaharlal Nehru University,34.0–39.2,6870,44.1,171,23.5,608,38.3,1062,37.9,1320,19.5,1704,India,"8,840",14.2,2%,46 : 54,Jawaharlal Nehru University,"Education,Biological Sciences,Geography,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Accounting & Finance,History, Philosophy & Theology,Economics & Econometrics,Languages, Literature & Linguistics,Agriculture & Forestry,Business & Management,Art, Performing Arts & Design,Electrical & Electronic Engineering,Physics & Astronomy,Sociology,Computer Science,Communication & Media Studies,Chemistry,Psychology,Politics & International Studies (incl Development Studies)",False,False,jawaharlal nehru university
6880,601–800,Jiangsu University,34.0–39.2,6880,21.0,1035,12.5,1232,66.5,547,58.8,285,44.4,821,China,"35,687",9.5,6%,42 : 58,Jiangsu University,"Languages, Literature & Linguistics,Electrical & Electronic Engineering,Mathematics & Statistics,Chemical Engineering,Computer Science,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Other Health,Law,Education,Communication & Media Studies,Medicine & Dentistry,Agriculture & Forestry,Business & Management,Chemistry,Sociology,Economics & Econometrics,Biological Sciences,History, Philosophy & Theology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Civil Engineering,Physics & Astronomy",False,False,jiangsu university
6890,601–800,Jinan University,34.0–39.2,6890,21.6,982,20.2,734,57.1,716,45.0,565,52.9,609,China,"41,858",16.6,27%,56 : 44,Jinan University,"Education,Law,Mathematics & Statistics,Civil Engineering,Chemistry,Business & Management,Mechanical & Aerospace Engineering,General Engineering,Communication & Media Studies,History, Philosophy & Theology,Biological Sciences,Accounting & Finance,Physics & Astronomy,Sociology,Psychology,Other Health,Sport Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Economics & Econometrics,Computer Science,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Chemical Engineering,Agriculture & Forestry,Architecture",False,False,jinan university
6900,601–800,University of Johannesburg,34.0–39.2,6900,24.7,768,33.4,338,35.8,1094,45.5,541,74.9,271,South Africa,"29,167",25.1,15%,55 : 45,University of Johannesburg Johannesburg University UJ UOJ,"Biological Sciences,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Art, Performing Arts & Design,Economics & Econometrics,Languages, Literature & Linguistics,Physics & Astronomy,Sport Science,Chemical Engineering,Architecture,Mechanical & Aerospace Engineering,Geography,Business & Management,Agriculture & Forestry,Sociology,Law,Computer Science,Accounting & Finance,Electrical & Electronic Engineering,Mathematics & Statistics,History, Philosophy & Theology,Education,Chemistry,General Engineering,Psychology,Other Health,Communication & Media Studies",False,False,university of johannesburg
6910,601–800,Jönköping University,34.0–39.2,6910,18.6,1264,18.3,834,58.9,687,38.1,1276,65.5,397,Sweden,"6,762",13.0,14%,60 : 40,Jönköping University,"Languages, Literature & Linguistics,Education,Mechanical & Aerospace Engineering,Medicine & Dentistry,Psychology,General Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Communication & Media Studies,History, Philosophy & Theology,Computer Science,Sociology,Business & Management,Civil Engineering,Mathematics & Statistics,Accounting & Finance,Other Health",False,False,jonkoping university
6920,601–800,The University of Jordan,34.0–39.2,6920,24.8,757,12.4,1245,60.9,648,40.8,863,59.9,481,Jordan,"30,380",13.4,13%,66 : 34,The University of Jordan,"Art, Performing Arts & Design,Other Health,Mathematics & Statistics,Business & Management,Sport Science,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Physics & Astronomy,Architecture,Computer Science,Biological Sciences,Archaeology,Chemical Engineering,Law,Politics & International Studies (incl Development Studies),Civil Engineering,History, Philosophy & Theology,Economics & Econometrics,Agriculture & Forestry,Accounting & Finance,Electrical & Electronic Engineering,Psychology,Education,Chemistry,Sociology,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Geography",False,False,the university of jordan
6930,601–800,Jouf University,34.0–39.2,6930,27.3,633,17.7,851,47.7,889,38.4,1207,75.0,269,Saudi Arabia,"19,826",9.8,3%,60 : 40,Jouf University,"Art, Performing Arts & Design,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,General Engineering,Sociology,Architecture,Other Health,Mathematics & Statistics,History, Philosophy & Theology,Chemical Engineering,Politics & International Studies (incl Development Studies),Education,Communication & Media Studies,Business & Management,Law,Archaeology,Electrical & Electronic Engineering,Geography,Languages, Literature & Linguistics,Medicine & Dentistry,Chemistry,Accounting & Finance,Mechanical & Aerospace Engineering,Computer Science,Physics & Astronomy",False,False,jouf university
6940,601–800,University of Kaiserslautern,34.0–39.2,6940,37.5,290,26.7,505,32.2,1167,62.5,249,54.9,574,Germany,"8,572",28.8,22%,35 : 65,University of Kaiserslautern,"Chemistry,Civil Engineering,Biological Sciences,Business & Management,General Engineering,Physics & Astronomy,Chemical Engineering,Computer Science,Mathematics & Statistics,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",False,False,university of kaiserslautern
6950,601–800,Kalasalingam Academy of Research and Education,34.0–39.2,6950,22.3,928,9.3,1605,82.3,277,39.3,1064,23.3,1553,India,"7,365",8.8,3%,55 : 45,Kalasalingam Academy of Research and Education,"Civil Engineering,Business & Management,Computer Science,Biological Sciences,Chemical Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Chemistry,Architecture,General Engineering,Mechanical & Aerospace Engineering,Communication & Media Studies,Accounting & Finance,Physics & Astronomy,Education,Agriculture & Forestry,Electrical & Electronic Engineering",False,False,kalasalingam academy of research and education
6960,601–800,Kansai Medical University,34.0–39.2,6960,27.6,617,8.5,1721,82.6,272,38.1,1277,18.2,1739,Japan,"1,086",1.3,2%,52 : 48,Kansai Medical University,"Medicine & Dentistry,Other Health",False,False,kansai medical university
6970,601–800,University of Kashan,34.0–39.2,6970,21.4,1008,19.2,785,76.3,383,38.4,1210,22.8,1580,Iran,"8,190",27.2,3%,54 : 46,University of Kashan,"Biological Sciences,Mechanical & Aerospace Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Physics & Astronomy,Chemistry,Art, Performing Arts & Design,Education,Business & Management,Sociology,Architecture,Chemical Engineering,Archaeology,Electrical & Electronic Engineering,Civil Engineering,Economics & Econometrics,Computer Science,Psychology,Geology, Environmental, Earth & Marine Sciences,General Engineering,History, Philosophy & Theology,Sport Science",False,False,university of kashan
6980,601–800,Universiti Kebangsaan Malaysia,34.0–39.2,6980,37.6,286,23.9,594,47.1,904,40.1,948,65.7,392,Malaysia,"16,873",10.1,14%,58 : 42,Universiti Kebangsaan Malaysia,"Architecture,Other Health,Chemical Engineering,Mathematics & Statistics,Communication & Media Studies,Accounting & Finance,Computer Science,Mechanical & Aerospace Engineering,Psychology,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Medicine & Dentistry,History, Philosophy & Theology,Civil Engineering,Sport Science,Languages, Literature & Linguistics,Education,Biological Sciences,General Engineering,Physics & Astronomy,Economics & Econometrics,Archaeology,Chemistry,Geography,Veterinary Science,Business & Management,Electrical & Electronic Engineering,Sociology,Law",False,False,universiti kebangsaan malaysia
6990,601–800,KIIT University,34.0–39.2,6990,30.3,512,13.6,1132,67.5,530,69.5,196,28.0,1345,India,"24,796",12.3,9%,49 : 51,KIIT University,"Education,Sociology,Geology, Environmental, Earth & Marine Sciences,Geography,Politics & International Studies (incl Development Studies),Computer Science,Physics & Astronomy,Law,Communication & Media Studies,Architecture,Other Health,Accounting & Finance,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Civil Engineering,Chemistry,Chemical Engineering,Art, Performing Arts & Design,Biological Sciences,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,General Engineering,Psychology,History, Philosophy & Theology,Business & Management",False,False,kiit university
7000,601–800,King Saud bin Abdulaziz University for Health Sciences,34.0–39.2,7000,34.8,352,13.9,1111,50.1,852,42.9,689,62.9,440,Saudi Arabia,"7,870",11.3,1%,50 : 50,King Saud bin Abdulaziz University for Health Sciences,"Other Health,Medicine & Dentistry",False,False,king saud bin abdulaziz university for health sciences
7010,601–800,Konkuk University,34.0–39.2,7010,30.6,498,37.8,265,30.5,1197,45.8,529,42.1,898,South Korea,"13,375",26.2,14%,49 : 51,Konkuk University,"Physics & Astronomy,Biological Sciences,Education,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Architecture,Law,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Communication & Media Studies,Chemistry,Chemical Engineering,Other Health,Art, Performing Arts & Design,Economics & Econometrics,Accounting & Finance,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Sociology,Civil Engineering,Psychology,General Engineering,Agriculture & Forestry,History, Philosophy & Theology,Computer Science,Sport Science,Veterinary Science,Geography",False,False,konkuk university
7020,601–800,Kore University of Enna,34.0–39.2,7020,16.7,1526,12.1,1279,86.3,213,37.9,1324,37.7,1021,Italy,"5,053",14.5,1%,68 : 32,Kore University of Enna,"Architecture,Business & Management,Civil Engineering,Computer Science,Sport Science,Psychology,Mechanical & Aerospace Engineering,Communication & Media Studies,General Engineering,Languages, Literature & Linguistics,Medicine & Dentistry,Education,Sociology,Economics & Econometrics,Law,Other Health,Politics & International Studies (incl Development Studies)",False,False,kore university of enna
7030,601–800,University of Kurdistan,34.0–39.2,7030,14.7,1714,14.4,1077,74.2,427,41.8,770,30.9,1237,Iran,"12,924",34.6,5%,53 : 47,University of Kurdistan,"Architecture,Business & Management,Agriculture & Forestry,Mathematics & Statistics,Sport Science,History, Philosophy & Theology,Computer Science,Law,Communication & Media Studies,General Engineering,Chemistry,Languages, Literature & Linguistics,Education,Mechanical & Aerospace Engineering,Psychology,Civil Engineering,Geography,Economics & Econometrics,Biological Sciences,Physics & Astronomy,Chemical Engineering,Sociology,Art, Performing Arts & Design,Veterinary Science,Accounting & Finance,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",False,False,university of kurdistan
7040,601–800,Lahore University of Management Sciences,34.0–39.2,7040,21.5,998,15.7,977,64.5,578,38.8,1149,47.2,742,Pakistan,"4,499",13.8,1%,42 : 58,Lahore University of Management Sciences,"Education,Mathematics & Statistics,Economics & Econometrics,Electrical & Electronic Engineering,Sociology,Languages, Literature & Linguistics,Biological Sciences,Politics & International Studies (incl Development Studies),Chemical Engineering,Business & Management,Chemistry,Computer Science,Physics & Astronomy,Other Health,History, Philosophy & Theology,Law,Accounting & Finance,Psychology",False,False,lahore university of management sciences
7050,601–800,Lehigh University,34.0–39.2,7050,28.3,592,21.4,688,52.3,810,39.3,1066,65.2,401,United States,"6,459",11.1,18%,46 : 54,Lehigh University,"Art, Performing Arts & Design,Accounting & Finance,Economics & Econometrics,Civil Engineering,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Chemistry,Education,Psychology,Languages, Literature & Linguistics,Communication & Media Studies,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Sociology,Physics & Astronomy,Chemical Engineering,Mechanical & Aerospace Engineering,Architecture,History, Philosophy & Theology,Other Health,General Engineering,Computer Science,Business & Management,Mathematics & Statistics",False,False,lehigh university
7060,601–800,University of Limerick,34.0–39.2,7060,24.2,799,30.3,421,50.8,840,40.7,874,83.0,183,Ireland,"14,733",25.1,20%,50 : 50,University of Limerick,"Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy,Politics & International Studies (incl Development Studies),Geography,Communication & Media Studies,Law,Accounting & Finance,Business & Management,Mathematics & Statistics,Chemical Engineering,Civil Engineering,General Engineering,Mechanical & Aerospace Engineering,Architecture,Psychology,Other Health,Computer Science,Chemistry,Education",False,False,university of limerick
7070,601–800,London South Bank University,34.0–39.2,7070,18.0,1344,12.1,1280,63.5,599,37.5,1434,87.7,142,United Kingdom,"13,050",16.8,35%,56 : 44,London South Bank University,"Other Health,Psychology,Agriculture & Forestry,Law,Sport Science,Accounting & Finance,Chemical Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,History, Philosophy & Theology,Computer Science,Business & Management,Economics & Econometrics,Civil Engineering,Sociology,Architecture,General Engineering,Biological Sciences,Electrical & Electronic Engineering,Communication & Media Studies,Education,Art, Performing Arts & Design",False,False,london south bank university
7080,601–800,University of Lorraine,34.0–39.2,7080,23.2,860,17.8,848,54.6,769,39.7,1008,64.7,411,France,"61,210",20.2,17%,53 : 47,University of Lorraine,"Biological Sciences,Other Health,Economics & Econometrics,General Engineering,Physics & Astronomy,Art, Performing Arts & Design,Civil Engineering,Mathematics & Statistics,Architecture,Accounting & Finance,Mechanical & Aerospace Engineering,Psychology,Education,Veterinary Science,Communication & Media Studies,History, Philosophy & Theology,Chemical Engineering,Chemistry,Business & Management,Agriculture & Forestry,Geography,Languages, Literature & Linguistics,Law,Geology, Environmental, Earth & Marine Sciences,Archaeology,Medicine & Dentistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Computer Science,Sport Science,Sociology",False,False,university of lorraine
7090,601–800,Louisiana State University,34.0–39.2,7090,34.8,353,21.4,689,47.0,909,38.2,1249,39.9,960,United States,"29,191",18.2,5%,54 : 46,Louisiana State University,"Communication & Media Studies,Civil Engineering,Politics & International Studies (incl Development Studies),General Engineering,Business & Management,Sociology,Sport Science,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Architecture,Economics & Econometrics,Chemistry,Other Health,Education,Languages, Literature & Linguistics,Geography,Computer Science,Agriculture & Forestry,Mathematics & Statistics,Biological Sciences,Physics & Astronomy,Electrical & Electronic Engineering,History, Philosophy & Theology,Chemical Engineering,Psychology,Law,Art, Performing Arts & Design,Accounting & Finance,Mechanical & Aerospace Engineering",False,False,louisiana state university
7100,601–800,Lviv Polytechnic National University,34.0–39.2,7100,19.4,1180,10.7,1430,53.7,784,38.0,1298,25.3,1451,Ukraine,"21,367",10.5,1%,42 : 58,Lviv Polytechnic National University,"Architecture,Electrical & Electronic Engineering,Education,Accounting & Finance,Communication & Media Studies,Business & Management,Mathematics & Statistics,Languages, Literature & Linguistics,Psychology,Chemical Engineering,Law,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Art, Performing Arts & Design,Sociology,Civil Engineering,Mechanical & Aerospace Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Computer Science,General Engineering,Economics & Econometrics",False,False,lviv polytechnic national university
7110,601–800,Maharishi Markandeshwar University (MMU),34.0–39.2,7110,19.9,1139,8.2,1758,76.8,377,37.3,1518,26.6,1401,India,"9,053",13.3,10%,43 : 57,Maharishi Markandeshwar University (MMU),"Law,Medicine & Dentistry,General Engineering,Business & Management",False,False,maharishi markandeshwar university
7120,601–800,Majmaah University,34.0–39.2,7120,16.0,1602,8.5,1723,71.4,466,37.0,1684,72.6,307,Saudi Arabia,"20,844",14.2,2%,46 : 54,Majmaah University,"History, Philosophy & Theology,Electrical & Electronic Engineering,Law,Accounting & Finance,Chemical Engineering,Computer Science,Mathematics & Statistics,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Education,Sport Science,Business & Management,Biological Sciences,Medicine & Dentistry,Other Health,Chemistry,Civil Engineering",False,False,majmaah university
7130,601–800,University of Malakand,34.0–39.2,7130,17.0,1489,11.4,1333,79.3,338,37.5,1436,44.8,805,Pakistan,"7,757",27.1,1%,29 : 71,University of Malakand,"Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,General Engineering,Politics & International Studies (incl Development Studies),Archaeology,Education,Physics & Astronomy,Biological Sciences,History, Philosophy & Theology,Psychology,Languages, Literature & Linguistics,Mathematics & Statistics,Computer Science,Business & Management,Chemistry,Law,Sociology,Economics & Econometrics,Other Health,Communication & Media Studies",False,False,university of malakand
7140,601–800,Manchester Metropolitan University,34.0–39.2,7140,19.1,1205,17.4,870,69.1,502,37.4,1478,73.8,288,United Kingdom,"29,195",15.9,19%,58 : 42,Manchester Metropolitan University,"Sociology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Mechanical & Aerospace Engineering,Mathematics & Statistics,Computer Science,Sport Science,Electrical & Electronic Engineering,Education,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Law,Accounting & Finance,Communication & Media Studies,Architecture,Chemistry,Art, Performing Arts & Design,Other Health,Biological Sciences,Psychology,Business & Management,Geography,Languages, Literature & Linguistics",False,False,manchester metropolitan university
7150,601–800,Mansoura University,34.0–39.2,7150,20.7,1062,11.5,1322,80.6,305,43.7,633,48.9,697,Egypt,"161,977",47.5,3%,52 : 48,Mansoura University,"Communication & Media Studies,History, Philosophy & Theology,Computer Science,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Biological Sciences,Economics & Econometrics,Sport Science,Business & Management,Sociology,Geography,Electrical & Electronic Engineering,Veterinary Science,Other Health,General Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering,Law,Education,Psychology,Architecture,Chemistry,Agriculture & Forestry,Physics & Astronomy,Accounting & Finance,Civil Engineering,Art, Performing Arts & Design,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Chemical Engineering,Archaeology",False,False,mansoura university
7160,601–800,Marche Polytechnic University,34.0–39.2,7160,20.4,1089,22.3,652,73.1,442,45.4,548,33.9,1132,Italy,"10,544",22.4,5%,46 : 54,Marche Polytechnic University,"Business & Management,Mechanical & Aerospace Engineering,Economics & Econometrics,Medicine & Dentistry,General Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Architecture,Computer Science,Other Health,Biological Sciences,Accounting & Finance,Agriculture & Forestry",False,False,marche polytechnic university
7170,601–800,"University of Maryland, Baltimore County",34.0–39.2,7170,23.0,876,22.2,657,58.4,695,37.9,1328,37.7,1023,United States,"11,456",16.8,8%,46 : 54,"University of Maryland, Baltimore County","Sociology,Languages, Literature & Linguistics,Civil Engineering,Physics & Astronomy,Art, Performing Arts & Design,Biological Sciences,Psychology,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Geography,General Engineering,History, Philosophy & Theology,Agriculture & Forestry,Electrical & Electronic Engineering,Chemistry,Computer Science,Communication & Media Studies,Other Health,Accounting & Finance,Business & Management,Education,Mathematics & Statistics,Chemical Engineering",False,False,university of maryland baltimore county
7180,601–800,Mashhad University of Medical Sciences,34.0–39.2,7180,29.3,553,13.5,1141,60.9,649,37.0,1685,26.2,1416,Iran,"9,148",9.7,4%,58 : 42,Mashhad University of Medical Sciences,"Other Health,Medicine & Dentistry",False,False,mashhad university of medical sciences
7190,601–800,Massey University,34.0–39.2,7190,24.3,796,25.8,531,39.7,1033,43.8,624,92.9,82,New Zealand,"17,534",16.1,29%,64 : 36,Massey University,"Psychology,Physics & Astronomy,Accounting & Finance,Sport Science,Archaeology,Architecture,Education,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Communication & Media Studies,Economics & Econometrics,Electrical & Electronic Engineering,History, Philosophy & Theology,Chemical Engineering,Chemistry,Languages, Literature & Linguistics,Biological Sciences,Art, Performing Arts & Design,Computer Science,General Engineering,Other Health,Mechanical & Aerospace Engineering,Sociology,Politics & International Studies (incl Development Studies),Business & Management,Veterinary Science,Agriculture & Forestry,Mathematics & Statistics,Geography",False,False,massey university
7200,601–800,Medical University of Lodz,34.0–39.2,7200,20.7,1063,9.7,1550,80.1,314,37.1,1616,30.4,1256,Poland,"10,294",8.6,10%,70 : 30,Medical University of Lodz,"Other Health,Medicine & Dentistry",False,False,medical university of lodz
7210,601–800,Memorial University of Newfoundland,34.0–39.2,7210,23.3,851,22.7,636,47.6,890,72.1,178,81.2,206,Canada,"16,098",14.9,21%,56 : 44,Memorial University of Newfoundland,"Psychology,Biological Sciences,History, Philosophy & Theology,Geography,Business & Management,Chemistry,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Medicine & Dentistry,Sociology,Mechanical & Aerospace Engineering,Communication & Media Studies,Chemical Engineering,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Education,Sport Science,General Engineering,Civil Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Computer Science,Physics & Astronomy,Archaeology,Mathematics & Statistics,Other Health,Accounting & Finance,Electrical & Electronic Engineering",False,False,memorial university of newfoundland
7220,601–800,Minia University,34.0–39.2,7220,15.9,1609,8.5,1725,74.9,414,37.1,1617,46.2,768,Egypt,"75,566",17.9,1%,54 : 46,Minia University,"Languages, Literature & Linguistics,Law,Sociology,Architecture,Medicine & Dentistry,Mechanical & Aerospace Engineering,Sport Science,Geography,Education,Psychology,Chemical Engineering,Communication & Media Studies,Computer Science,Physics & Astronomy,Archaeology,Agriculture & Forestry,Civil Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Art, Performing Arts & Design,Electrical & Electronic Engineering,Veterinary Science,General Engineering,Chemistry,Other Health,Mathematics & Statistics",False,False,minia university
