world_rank,previous_rank,university_name,country,Region,Size,Focus,Research,Status,academic_reputation_score,AR RANK,employer_reputation_score,ER RANK,faculty_student_ratio,FSR RANK,citations_per_faculty_score,CPF RANK,international_faculty,IFR RANK,international_students_score,ISR RANK,ISD SCORE,ISD RANK,international_research_network,IRN RANK,employment_outcomes,EO RANK,sustainability_score,SUS RANK,overall_score,merge_key,the_rank,teaching_score,research_environment,research_quality,industry_impact,international_outlook,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,the_overall_score,P,TCS,MNCS,P_top_10,P_collab,P_int_collab,P_industry_collab,PP_OA,PA_M,PA_F,scimago_global_rank,Best Country Quartile,national_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,broad_impact,patents,score,total_score,alumni,award,hici,ns,pub,pcp,teaching,research,citations_times,income,total_score_times,teaching_times,research_times,income_times,Country Average Rank,Country Average Score,Universities in Country,Best University Rank,Global Ranking Score,Research Productivity Index,Citation Impact Score,Internationalization Score,Research Excellence Score,Overall Performance Index,city,subject_field,university_type,degree_level,faculty_count,undergraduate_count,postgraduate_count,international_students_count,international_student_ratio,gender_ratio,female_percentage,male_percentage,h_index,research_output_score,research_productivity_index
1201,1201-1400,Transilvania University of Brasov,Romania,Europe,L,FC,HI,Public,9.0,701+,10.2,701+,8.4,801+,7.1,801+,5.0,801+,3.8,801+,8.9,801+,69.6,538,5.3,801+,32.2,801+,,TRANSILVANIA UNIVERSITY OF BRASOV,,,,,,,,,,,,2450.0,20488.0,1.09636124704212,271.310132745279,2016.0,1510.0,171.0,0.735102040816327,0.544208494208494,0.361583011583012,4347.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1133.0,,10,761,301,2450.0,1.09636124704212,4.4,0.0,0.0,Romania,Social Sciences & Management,Public,Undergraduate & Postgraduate,1667.0,18363.0,11166.0,9112.0,30.85655492,55:45:00,54.52259031,45.47740969,79.0,8.0,4.92
1201,1201-1400,Tunghai University,Taiwan,Asia,L,FO,VH,Private for Profit,10.1,701+,9.2,701+,6.7,801+,13.1,801+,13.5,801+,17.8,765,21.7,735,28.2,801+,21.9,696,47.5,774=,,TUNGHAI UNIVERSITY,1532.0,15.7,15.4,40.8,44.2,48.4,"14,886",20.5,9%,55 : 45,26.7355,,,,,,,,,,,5296.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,794.0,41.23076923076923,27,63,301,0.0,0.0,15.65,25.65,8.02065,Taichung City,Life Sciences & Medicine,Private for Profit,Undergraduate & Postgraduate,867.0,8914.0,5972.0,1340.0,9.0,55:45:00,55.0,45.0,92.0,11.6,2.73
1201,,UCAM Universidad Católica San Antonio de Murcia,Spain,Europe,L,FO,VH,,9.6,701+,5.6,701+,9.9,801+,7.5,801+,14.6,801+,43.8,460,49.0,425,23.9,801+,1.8,801+,41.4,801+,,UCAM UNIVERSIDAD CATÓLICA SAN ANTONIO DE MURCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.578947368421,39.84285714285714,38,160,301,0.0,0.0,29.2,0.0,0.0,Spain,Engineering & Technology,Private,Undergraduate & Postgraduate,2021.0,18275.0,8001.0,7596.0,28.90710973,44:56:00,44.2780601,55.7219399,99.0,8.6,4.75
1201,1001-1200,Universidad Autónoma Chapingo,Mexico,Americas,M,FO,VH,Public,4.1,701+,4.2,701+,77.6,178,2.1,801+,8.7,801+,1.3,801+,1.2,801+,6.4,801+,13.0,801+,16.8,801+,,UNIVERSIDAD AUTÓNOMA CHAPINGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.2272727272727,60.55,22,136,301,0.0,0.0,5.0,0.0,0.0,Mexico,Life Sciences & Medicine,Public,Undergraduate & Postgraduate,707.0,8278.0,4803.0,2923.0,22.34468978,47:53:00,47.23931392,52.76068608,27.0,3.1,3.41
1201,1201-1400,Universidad Autónoma de Guadalajara,Mexico,Americas,M,FC,MD,Private for Profit,10.3,701+,5.2,701+,28.7,665,1.2,801+,45.7,464,23.6,681,17.8,801+,2.4,801+,2.1,801+,7.3,801+,,UNIVERSIDAD AUTÓNOMA DE GUADALAJARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.2272727272727,60.55,22,136,301,0.0,0.0,34.650000000000006,0.0,0.0,Mexico,Engineering & Technology,Private for Profit,Undergraduate & Postgraduate,1148.0,10615.0,4451.0,2999.0,19.90639203,40 : 60,40.27356523,59.72643477,36.0,5.8,3.17
1201,1001-1200,Universidad Autónoma de Nuevo León (UANL),Mexico,Americas,XL,FC,HI,Public,20.9,593,10.7,701+,3.1,801+,2.9,801+,4.0,801+,1.3,801+,1.2,801+,39.1,801+,18.4,750,43.7,801+,,UNIVERSIDAD AUTÓNOMA DE NUEVO LEÓN UANL,2113.0,12.9,9.7,17.0,22.4,32.8,"134,947",48.4,0%,51 : 49,15.074499999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.2272727272727,60.55,22,136,301,0.0,0.0,2.65,13.580000000000002,4.522349999999999,,,,,,,,,,,,,,,
1201,1201-1400,Universidad Autónoma del Estado de Hidalgo,Mexico,Americas,XL,FC,MD,Public,3.6,701+,8.3,701+,51.7,366,1.9,801+,2.6,801+,2.9,801+,7.2,801+,13.3,801+,2.3,801+,41.8,801+,,UNIVERSIDAD AUTÓNOMA DEL ESTADO DE HIDALGO,2163.0,17.7,9.2,10.0,19.2,26.9,"38,623",14.2,1%,58 : 42,13.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.2272727272727,60.55,22,136,301,0.0,0.0,2.75,12.07,4.1025,Pachuca,Natural Sciences,Public,Undergraduate & Postgraduate,3600.0,21950.0,16673.0,386.0,1.0,58:42:00,58.0,42.0,71.0,2.8,3.54
1201,1001-1200,Universidad Autónoma del Estado de México,Mexico,Americas,XL,FC,MD,Public,23.0,547,12.8,701+,7.5,801+,2.0,801+,3.9,801+,1.7,801+,6.1,801+,15.6,801+,2.1,801+,39.8,801+,,UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MÉXICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.2272727272727,60.55,22,136,301,0.0,0.0,2.8,0.0,0.0,Toluca de Lerdo,Engineering & Technology,Public,Undergraduate & Postgraduate,3322.0,33538.0,15050.0,15214.0,31.31140592,46:54:00,45.62628873,54.37371127,68.0,12.5,4.83
1201,1201-1400,Universidad Católica del Norte,Chile,Americas,M,FC,HI,Private not for Profit,5.7,701+,5.0,701+,10.9,801+,9.3,801+,21.9,688,8.5,801+,6.5,801+,45.0,801+,2.5,801+,53.0,646=,,UNIVERSIDAD CATÓLICA DEL NORTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953.75,42.94,20,116,301,0.0,0.0,15.2,0.0,0.0,Antofagasta,Arts & Humanities,Private not for Profit,Undergraduate & Postgraduate,984.0,6102.0,4319.0,1605.0,15.39689416,53:47:00,52.67330374,47.32669626,75.0,7.5,2.32
1201,901-950,Universidad Central Marta Abreu de Las Villas,Cuba,Americas,M,CO,HI,Public,4.8,701+,2.0,701+,99.9,28,1.6,801+,1.1,801+,1.6,801+,1.4,801+,9.4,801+,26.5,616,10.2,801+,,UNIVERSIDAD CENTRAL MARTA ABREU DE LAS VILLAS,,,,,,,,,,,,,,,,,,,,,,9216.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1001.0,,2,801,301,0.0,0.0,1.35,0.0,0.0,Cuba,Social Sciences & Management,Public,Undergraduate & Postgraduate,979.0,10697.0,2192.0,2290.0,17.7687228,53:47:00,53.43188616,46.56811384,32.0,3.2,4.5
1201,,Universidad Cientifica del Sur,Peru,Americas,L,FC,MD,Private for Profit,6.1,701+,6.8,701+,68.3,244,1.7,801+,4.2,801+,1.3,801+,5.7,801+,14.8,801+,4.8,801+,30.1,801+,,UNIVERSIDAD CIENTIFICA DEL SUR,,,,,,,,,,,,,,,,,,,,,,6968.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1100.3333333333333,41.7,9,345,301,0.0,0.0,2.75,0.0,0.0,Peru,Life Sciences & Medicine,Private for Profit,Undergraduate & Postgraduate,1564.0,20281.0,7209.0,4481.0,16.29983418,48:52:00,47.57141662,52.42858338,46.0,3.9,5.66
