world_rank,previous_rank,university_name,country,Region,Size,Focus,Research,Status,academic_reputation_score,AR RANK,employer_reputation_score,ER RANK,faculty_student_ratio,FSR RANK,citations_per_faculty_score,CPF RANK,international_faculty,IFR RANK,international_students_score,ISR RANK,ISD SCORE,ISD RANK,international_research_network,IRN RANK,employment_outcomes,EO RANK,sustainability_score,SUS RANK,overall_score,merge_key,the_rank,teaching_score,research_environment,research_quality,industry_impact,international_outlook,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,the_overall_score,P,TCS,MNCS,P_top_10,P_collab,P_int_collab,P_industry_collab,PP_OA,PA_M,PA_F,scimago_global_rank,Best Country Quartile,national_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,broad_impact,patents,score,total_score,alumni,award,hici,ns,pub,pcp,teaching,research,citations_times,income,total_score_times,teaching_times,research_times,income_times,Country Average Rank,Country Average Score,Universities in Country,Best University Rank,Global Ranking Score,Research Productivity Index,Citation Impact Score,Internationalization Score,Research Excellence Score,Overall Performance Index,city,subject_field,university_type,degree_level,faculty_count,undergraduate_count,postgraduate_count,international_students_count,international_student_ratio,gender_ratio,female_percentage,male_percentage,h_index,research_output_score,research_productivity_index
1,1,Massachusetts Institute of Technology (MIT),United States of America,Americas,M,CO,VH,Private not for Profit,100.0,4,100.0,2,100.0,16,100.0,7,100.0,63,91.6,153,92.3,130,94.1,98,100.0,7,93.8,33,100.0,MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4,68.2,80.7,60.6,73.1,61.1,68.0,,,,,,,,,639.2864583333334,52.87142857142857,192,1,1501,0.0,0.0,95.8,0.0,40.0,,,,,,,,,,,,,,,
2,2,Imperial College London,United Kingdom,Europe,L,FO,VH,Public,99.6,22,100.0,9,99.3,42,95.0,69,100.0,74,100.0,35,100.0,22,97.5,28,95.9,68,98.3,7=,99.4,IMPERIAL COLLEGE LONDON,8.0,90.6,94.9,98.0,91.9,98.2,"21,340",12.1,60%,43 : 57,94.689,40353.0,775713.0,1.93743022831246,8432.26561500455,36364.0,30063.0,4959.0,0.801130027507248,0.546624841441256,0.240777880626693,69.0,1.0,4.0,90.0,82.0,30.0,19.0,26.0,23.0,19.0,47.0,59.61,,,,,,,,83.3,88.5,96.7,53.7,89.1,83.3,88.5,53.7,499.4111111111111,54.06,90,2,1500,40353.0,1.93743022831246,100.0,94.85,86.0497,London,Engineering & Technology,Public,Undergraduate & Postgraduate,1146.0,15589.0,5751.0,12804.0,60.0,43:57:00,43.0,57.0,368.0,97.3,5.75
3,6,Stanford University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,5,100.0,3,100.0,17,99.7,24,94.2,188,73.5,261,76.1,230,96.5,49,100.0,2,95.4,19=,98.9,STANFORD UNIVERSITY,5.0,97.5,97.4,99.5,100.0,83.9,"17,422",5.9,25%,48 : 52,97.151,47168.0,857982.0,1.94166545879197,10193.1726366413,40762.0,23232.0,5590.0,0.706898744911805,0.526406698700634,0.296693298456114,18.0,1.0,2.0,9.0,2.0,4.0,5.0,3.0,3.0,4.0,10.0,98.66,73.3,40.7,89.6,80.1,70.1,70.6,53.8,92.5,96.2,99.9,63.3,93.9,92.5,96.2,63.3,639.2864583333334,52.87142857142857,192,1,1499,47168.0,1.94166545879197,83.85,98.27,98.3033,Stanford,Social Sciences & Management,Private not for Profit,Undergraduate & Postgraduate,1902.0,13458.0,3964.0,4356.0,25.0,48:52:00,48.0,52.0,271.0,99.8,3.05
4,3,University of Oxford,United Kingdom,Europe,L,FC,VH,Public,100.0,2,100.0,4,100.0,9,91.0,98,98.8,132,98.6,80,98.7,67,100.0,1,100.0,3,77.9,198=,97.9,UNIVERSITY OF OXFORD,1.0,97.2,100.0,97.7,99.9,96.4,"22,005",10.4,43%,52 : 48,98.21,47616.0,823650.0,1.8853932160104,9755.41224180919,41877.0,34793.0,4714.0,0.85177251344086,0.524499843998508,0.279333987778615,26.0,1.0,2.0,7.0,13.0,10.0,7.0,12.0,7.0,9.0,15.0,96.46,56.6,49.7,54.9,52.3,51.9,70.9,43.1,86.5,98.9,98.8,73.1,94.2,86.5,98.9,73.1,499.4111111111111,54.06,90,2,1498,47616.0,1.8853932160104,98.7,98.24,97.561,Oxford,Life Sciences & Medicine,Public,Undergraduate & Postgraduate,1805.0,13259.0,8746.0,9462.0,43.0,52:48:00,52.0,48.0,332.0,95.5,3.43
5,4,Harvard University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,1,100.0,1,98.3,50,100.0,1,79.1,300,81.4,217,60.6,335,99.4,8,100.0,1,77.8,201=,97.7,HARVARD UNIVERSITY,6.0,95.9,100.0,98.9,86.7,88.3,"22,680",10.1,27%,53 : 47,97.051,95463.0,1705160.0,1.85689180951024,20029.740991806,84918.0,53232.0,10267.0,0.730555293673989,0.5309847225876,0.34996888053333,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.6,83.6,99.0,99.8,45.2,91.6,83.6,99.0,45.2,639.2864583333334,52.87142857142857,192,1,1497,95463.0,1.85689180951024,80.25,98.33,98.1953,Cambridge,Life Sciences & Medicine,Private not for Profit,Undergraduate & Postgraduate,1166.0,14425.0,8255.0,6124.0,27.0,53:47:00,53.0,47.0,348.0,100.0,9.17
6,5,University of Cambridge,United Kingdom,Europe,L,FC,VH,Public,100.0,3,100.0,5,100.0,23,88.6,107,100.0,80,93.1,144,93.6,120,99.2,12,100.0,5,78.4,194,97.2,UNIVERSITY OF CAMBRIDGE,4.0,96.2,99.9,97.1,87.6,96.3,"21,045",11.3,38%,50 : 50,97.2065,38245.0,732600.0,1.90396498903281,7811.96308179873,33446.0,27915.0,3792.0,0.826539416917244,0.578745576091231,0.270389303971687,63.0,1.0,1.0,2.0,10.0,5.0,11.0,6.0,12.0,13.0,48.0,96.81,68.8,77.1,96.6,50.8,55.6,66.4,55.8,88.2,96.7,97.0,55.0,92.8,88.2,96.7,55.0,499.4111111111111,54.06,90,2,1496,38245.0,1.90396498903281,96.55,97.67,97.08495,Cambridge,Natural Sciences,Public,Undergraduate & Postgraduate,1264.0,16620.0,4425.0,7997.0,38.0,50:50:00,50.0,50.0,289.0,94.3,6.96
7,7,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,Europe,L,FO,VH,Public,99.7,18,96.3,42,71.7,214,98.8,40,100.0,28,99.3,58,73.9,241,95.8,64,95.0,76,99.6,2,96.7,ETH ZURICH SWISS FEDERAL INSTITUTE OF TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.4,61.2,10,7,1495,0.0,0.0,99.65,0.0,38.68000000000001,,,,,,,,,,,,,,,
8,8,National University of Singapore (NUS),Singapore,Asia,XL,FC,VH,Public,99.9,14,98.2,32,71.5,216,95.9,64,100.0,37,96.9,101,72.1,253,92.4,140,100.0,9,90.0,63=,95.9,NATIONAL UNIVERSITY OF SINGAPORE NUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.5,63.125,4,8,1494,0.0,0.0,98.45,0.0,38.36000000000001,,,,,,,,,,,,,,,
9,9,UCL (University College London),United Kingdom,Europe,XL,FC,VH,Public,99.9,15,99.4,18,94.8,77,80.9,151,99.6,108,100.0,27,100.0,17,99.9,2,89.3,111,98.5,5=,95.8,UCL UNIVERSITY COLLEGE LONDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.4111111111111,54.06,90,2,1493,0.0,0.0,99.8,0.0,38.32,,,,,,,,,,,,,,,
10,10,California Institute of Technology (Caltech),United States of America,Americas,S,FO,VH,Private not for Profit,98.3,33,99.2,23,100.0,5,100.0,3,100.0,65,90.7,161,91.4,136,61.8,665,49.1,352,79.2,185,94.3,CALIFORNIA INSTITUTE OF TECHNOLOGY CALTECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639.2864583333334,52.87142857142857,192,1,1492,0.0,0.0,95.35,0.0,37.72,,,,,,,,,,,,,,,
11,17,The University of Hong Kong,"Hong Kong SAR, China",Asia,L,FC,VH,Public,99.3,27,82.5,97,85.3,131,96.6,60,100.0,31,100.0,38,100.0,24,82.3,305,99.8,15,84.8,112=,94.2,THE UNIVERSITY OF HONG KONG,,,,,,,,,,,,,,,,,,,,,,195.0,1.0,,,,,,,,,,,,0.0,0.0,17.5,14.2,43.9,22.5,,,,,,,,,273.3333333333333,72.6,9,11,1491,0.0,0.0,100.0,0.0,37.68,Hong Kong,Life Sciences & Medicine,Public,Undergraduate & Postgraduate,3674.0,19024.0,10529.0,9083.0,30.73420378,65:35:00,64.66114327,35.33885673,488.0,97.9,0.77
12,15,"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,Asia,L,FC,VH,Public,97.1,42,91.4,67,83.9,148,94.6,76,100.0,43,93.1,145,93.6,121,86.9,217,87.7,121,87.2,88,93.7,NANYANG TECHNOLOGICAL UNIVERSITY SINGAPORE NTU SINGAPORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.5,63.125,4,8,1490,0.0,0.0,96.55,0.0,37.48,,,,,,,,,,,,,,,
13,21,University of Chicago,United States of America,Americas,L,FC,VH,Private not for Profit,99.8,17,99.3,21,97.3,62,78.1,164,86.1,254,92.8,148,69.1,275,87.7,207,99.8,16,73.3,269=,93.0,UNIVERSITY OF CHICAGO,,,,,,,,,,,,28007.0,465145.0,1.70494741776434,5130.17765969603,24297.0,13134.0,2732.0,0.719820044988753,0.395919997028673,0.168047095528153,124.0,1.0,6.0,11.0,14.0,8.0,17.0,16.0,12.0,22.0,141.0,90.7,57.1,59.8,86.3,49.0,42.9,49.8,42.0,85.7,88.9,99.2,36.6,87.9,85.7,88.9,36.6,639.2864583333334,52.87142857142857,192,1,1489,28007.0,1.70494741776434,89.44999999999999,0.0,64.41,Chicago,Engineering & Technology,Private not for Profit,Undergraduate & Postgraduate,1623.0,17515.0,10042.0,9305.0,33.76507938,39 : 61,39.47524607,60.52475393,428.0,88.9,5.63
14,14,Peking University,China (Mainland),Asia,XL,FC,VH,Public,99.9,12,99.6,17,96.2,66,99.2,35,59.9,391,37.3,523,27.9,640,83.2,290,97.0,58,70.6,308=,92.6,PEKING UNIVERSITY,13.0,95.4,97.9,89.0,100.0,67.3,"35,659",11.3,15%,,92.2815,52592.0,767481.0,1.42594231996855,8349.94840498613,44856.0,17809.0,3681.0,0.529377091572863,0.261404672415064,0.0907214975311371,11.0,1.0,1.0,182.0,38.0,218.0,52.0,131.0,182.0,125.0,20.0,54.26,,0.0,0.0,11.2,21.5,64.0,19.5,77.8,72.4,69.1,100.0,72.0,77.8,72.4,100.0,600.3055555555555,44.55555555555556,72,14,1488,52592.0,1.42594231996855,48.6,93.59,81.00244999999998,Beijing,Arts & Humanities,Public,Undergraduate & Postgraduate,2219.0,21886.0,13773.0,5349.0,15.0,46:54:00,46.01376978,53.98623022,356.0,99.6,8.27
15,11,University of Pennsylvania,United States of America,Americas,L,FC,VH,Private not for Profit,98.9,30,98.7,28,99.9,29,72.0,199,96.9,151,76.3,249,78.6,221,89.4,182,100.0,4,95.0,24,92.5,UNIVERSITY OF PENNSYLVANIA,14.0,88.1,90.3,96.1,97.9,78.4,"22,422",6.6,26%,55 : 45,90.80249999999998,42726.0,623697.0,1.64304822702605,7586.30411621791,36067.0,17486.0,5081.0,0.675022234704864,0.512685517527611,0.352319977864713,52.0,1.0,11.0,20.0,4.0,28.0,8.0,18.0,14.0,9.0,14.0,77.6,46.1,31.6,33.8,49.6,39.6,67.7,37.4,82.0,86.9,98.6,47.9,85.2,82.0,86.9,47.9,639.2864583333334,52.87142857142857,192,1,1487,42726.0,1.64304822702605,86.6,91.96,87.52074999999999,Philadelphia,Engineering & Technology,Private not for Profit,Undergraduate & Postgraduate,1549.0,13202.0,9220.0,5830.0,26.0,55:45:00,55.0,45.0,274.0,85.4,5.98
16,16,Cornell University,United States of America,Americas,L,FC,VH,Private not for Profit,99.5,25,98.8,27,64.3,276,98.0,48,57.6,401,75.7,251,56.4,363,93.0,126,99.3,24,76.8,218,91.6,CORNELL UNIVERSITY,19.0,85.9,90.6,95.9,70.3,83.5,"25,673",10.6,26%,53 : 47,89.45899999999999,34579.0,559180.0,1.67078823443756,6395.2693846096,29315.0,17289.0,3527.0,0.702015674253159,0.530716203606726,0.314322167844153,61.0,1.0,8.0,12.0,18.0,14.0,24.0,15.0,25.0,22.0,11.0,86.79,50.5,42.0,49.8,50.4,45.3,59.9,40.2,77.9,86.1,97.2,33.7,84.0,77.9,86.1,33.7,639.2864583333334,52.87142857142857,192,1,1486,34579.0,1.67078823443756,66.65,91.31,89.5147,Ithaca,Social Sciences & Management,Private not for Profit,Undergraduate & Postgraduate,1776.0,17840.0,7833.0,6675.0,26.0,53:47:00,53.0,47.0,222.0,98.8,4.49
17,20,Tsinghua University,China (Mainland),Asia,XL,FC,VH,Public,99.9,16,99.7,15,97.1,63,99.6,26,39.5,502,31.9,570,23.9,707,80.4,347,97.0,60,68.7,339=,91.2,TSINGHUA UNIVERSITY,12.0,95.9,98.5,93.9,100.0,53.4,"38,569",10.8,11%,,93.0305,56920.0,977242.0,1.49493949248217,9865.01978184364,47697.0,18542.0,5859.0,0.388000702740689,0.297129485902277,0.0651483909830179,8.0,1.0,2.0,309.0,73.0,218.0,63.0,158.0,65.0,156.0,30.0,52.21,,10.3,0.0,10.0,26.8,63.8,20.2,73.3,83.0,58.8,100.0,70.0,73.3,83.0,100.0,600.3055555555555,44.55555555555556,72,14,1485,56920.0,1.49493949248217,35.7,95.88,80.05215,Beijing,Social Sciences & Management,Public,Undergraduate & Postgraduate,5589.0,27000.0,11569.0,4243.0,11.0,40 : 60,39.52176949,60.47823051,830.0,99.8,4.07
17,12,"University of California, Berkeley (UCB)",United States of America,Americas,XL,FC,VH,Public,100.0,6,100.0,6,29.4,643,97.2,53,95.6,172,70.6,273,52.6,392,96.7,47,99.8,17,98.8,3=,91.2,UNIVERSITY OF CALIFORNIA BERKELEY UCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639.2864583333334,52.87142857142857,192,1,1485,0.0,0.0,83.1,0.0,36.48,,,,,,,,,,,,,,,
19,13,The University of Melbourne,Australia,Oceania,XL,FC,VH,Public,99.7,21,97.4,35,20.5,801+,94.8,72,96.7,156,100.0,37,74.4,239,96.9,40,98.3,39,98.2,9=,90.8,THE UNIVERSITY OF MELBOURNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,17.0,13.3,28.6,25.3,66.9,30.2,,,,,,,,,359.05555555555554,55.07741935483871,36,19,1483,0.0,0.0,98.35,0.0,36.32,Parkville,Social Sciences & Management,Public,Undergraduate & Postgraduate,3382.0,24738.0,21315.0,13979.0,30.35321631,52:48:00,52.31469699,47.68530301,441.0,97.2,7.7
20,19,The University of New South Wales,Australia,Oceania,XL,FC,VH,Public,96.3,43,93.5,59,29.9,632,96.9,58,100.0,69,99.9,41,99.9,30,97.6,25,98.7,32,97.0,12=,90.7,THE UNIVERSITY OF NEW SOUTH WALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20.2,17.8,58.6,23.9,,,,,,,,,359.05555555555554,55.07741935483871,36,19,1482,0.0,0.0,99.95,0.0,36.28,Sydney,Engineering & Technology,Public,Undergraduate & Postgraduate,2838.0,27783.0,10332.0,14124.0,37.05734053,63:37:00,62.61071297,37.38928703,435.0,96.6,1.56
21,23,Yale University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,9,100.0,7,100.0,12,64.8,250,86.7,247,72.7,262,75.4,232,92.9,131,99.8,18,82.4,144=,90.4,YALE UNIVERSITY,10.0,94.6,94.5,97.2,87.6,81.4,"14,884",6.2,24%,53 : 47,94.081,34380.0,553780.0,1.80268733120395,6792.76677905275,29930.0,16409.0,3318.0,0.699185573007563,0.514070035646886,0.3168588802684,76.0,1.0,9.0,10.0,26.0,11.0,18.0,8.0,35.0,20.0,49.0,86.61,54.5,47.6,50.4,51.0,58.8,63.0,37.8,86.5,87.8,97.2,43.3,87.4,86.5,87.8,43.3,639.2864583333334,52.87142857142857,192,1,1481,34380.0,1.80268733120395,79.7,95.61,90.3673,New Haven,Arts & Humanities,Private not for Profit,Undergraduate & Postgraduate,1510.0,10482.0,4402.0,3572.0,24.0,53:47:00,53.0,47.0,406.0,82.4,5.67
22,26,École Polytechnique Fédérale de Lausanne,Switzerland,Europe,M,FO,VH,Public,92.7,55,88.0,79,90.0,103,93.1,87,100.0,12,100.0,17,100.0,11,83.6,281,47.3,371,85.3,107=,90.2,ÉCOLE POLYTECHNIQUE FÉDÉRALE DE LAUSANNE,35.0,73.5,70.8,87.5,99.9,95.4,"13,306",13.3,64%,31 : 69,79.61549999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,67.5,94.6,65.4,76.1,61.3,67.5,65.4,275.4,61.2,10,7,1480,0.0,0.0,100.0,78.28999999999999,59.96465,Switzerland,Social Sciences & Management,Public,Undergraduate & Postgraduate,1033.0,8202.0,5104.0,8516.0,64.0,31 : 69,31.0,69.0,209.0,92.9,5.66
22,28,Technical University of Munich,Germany,Europe,XL,FO,VH,Public,92.0,60,99.7,16,70.5,223,92.6,90,86.3,252,98.9,72,98.9,63,95.9,63,57.3,293,87.8,83=,90.2,TECHNICAL UNIVERSITY OF MUNICH,27.0,71.9,84.8,91.3,100.0,83.4,"35,755",40.7,45%,37 : 63,83.44749999999999,25131.0,313390.0,1.40566913150652,3752.73546725891,21791.0,15910.0,2640.0,0.735665114798456,0.656705863866118,0.238443810072545,,,3.0,37.0,118.0,177.0,104.0,90.0,128.0,95.0,119.0,50.58,,,,,,,,61.0,66.0,80.1,99.2,69.4,61.0,66.0,99.2,455.1875,46.36315789473685,48,22,1480,25131.0,1.40566913150652,92.6,83.53,76.28825,Munich,Engineering & Technology,Public,Undergraduate & Postgraduate,2826.0,25726.0,10029.0,16090.0,45.0,37 : 63,37.0,63.0,458.0,92.3,7.31
24,32,Johns Hopkins University,United States of America,Americas,L,FC,VH,Private not for Profit,93.2,51,79.2,108,100.0,14,85.8,118,70.8,333,94.2,137,94.6,113,97.4,29,84.1,141,93.0,35,89.7,JOHNS HOPKINS UNIVERSITY,16.0,84.6,89.9,96.3,100.0,81.9,"21,275",5.6,34%,54 : 46,90.06049999999999,49555.0,752770.0,1.66245014934953,8460.32578430606,43144.0,23246.0,5147.0,0.728866915548381,0.500689280499813,0.372768327051713,33.0,1.0,13.0,18.0,84.0,16.0,4.0,11.0,5.0,3.0,2.0,71.6,46.3,37.7,33.6,44.0,44.9,70.2,28.8,77.6,90.4,98.2,100.0,87.6,77.6,90.4,100.0,639.2864583333334,52.87142857142857,192,1,1478,49555.0,1.66245014934953,82.5,90.87,84.37815,Baltimore,Natural Sciences,Private not for Profit,Undergraduate & Postgraduate,1764.0,13881.0,7394.0,7234.0,34.0,54:46:00,54.0,46.0,372.0,89.5,6.88
25,22,Princeton University,United States of America,Americas,M,CO,VH,Private not for Profit,100.0,10,99.8,13,67.3,253,100.0,5,12.7,801+,70.0,280,52.2,397,82.6,300,98.9,28,76.0,222,89.4,PRINCETON UNIVERSITY,3.0,98.2,97.3,99.0,98.0,85.4,"8,739",8.2,23%,47 : 53,97.211,14714.0,252580.0,1.92844060811794,3270.59168057609,12719.0,8409.0,1349.0,0.764442028000544,0.519488817891374,0.173075805983154,386.0,1.0,7.0,4.0,15.0,3.0,72.0,25.0,24.0,33.0,225.0,89.42,61.0,53.3,93.4,57.1,43.0,42.4,70.3,85.1,91.9,99.3,52.1,90.1,85.1,91.9,52.1,639.2864583333334,52.87142857142857,192,1,1477,14714.0,1.92844060811794,41.35,98.25,91.7493,Princeton,Life Sciences & Medicine,Private not for Profit,Undergraduate & Postgraduate,507.0,4883.0,3856.0,2010.0,23.0,47:53:00,47.0,53.0,145.0,100.0,3.41
25,18,The University of Sydney,Australia,Oceania,XL,FC,VH,Public,98.9,29,94.2,53,15.7,801+,94.3,78,99.9,101,100.0,18,100.0,12,95.5,71,95.8,70,97.6,11,89.4,THE UNIVERSITY OF SYDNEY,53.0,59.2,67.5,91.5,98.9,88.2,"51,531",22.4,53%,,75.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.05555555555554,55.07741935483871,36,19,1477,0.0,0.0,99.95,74.61,58.278000000000006,Sydney,Arts & Humanities,Public,Undergraduate & Postgraduate,3012.0,30870.0,20661.0,27311.0,53.0,53:47:00,53.24770351,46.75229649,463.0,96.6,1.52
27,29,McGill University,Canada,Americas,L,FC,VH,Public,98.1,35,93.5,58,67.3,250,72.4,194,88.6,232,93.5,138,69.6,272,92.9,130,98.9,27,96.3,15=,88.9,MCGILL UNIVERSITY,41.0,71.0,70.8,86.2,77.5,89.2,"30,196",11.7,29%,61 : 39,77.12699999999998,28814.0,375893.0,1.50149144613685,4597.34379460309,24475.0,18423.0,2274.0,0.626015131533282,0.527689214970742,0.334511325369083,168.0,1.0,2.0,34.0,37.0,75.0,33.0,53.0,44.0,34.0,132.0,56.49,28.5,32.8,0.0,22.8,27.3,59.3,26.8,66.1,72.1,78.9,40.3,72.6,66.1,72.1,40.3,428.86206896551727,50.9,29,27,1475,28814.0,1.50149144613685,91.05,77.02,75.6451,Montreal,Life Sciences & Medicine,Public,Undergraduate & Postgraduate,1486.0,17475.0,12721.0,8757.0,29.0,61:39:00,61.0,39.0,295.0,85.2,5.73
28,24,PSL University,France,Europe,L,CO,VH,Public,82.6,86,98.5,31,98.6,48,85.1,123,69.6,336,75.5,252,77.9,222,99.7,3,97.5,51,87.8,83=,88.6,PSL UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.3428571428572,47.03888888888889,35,28,1474,0.0,0.0,72.55,0.0,35.44,France,Arts & Humanities,Public,Undergraduate & Postgraduate,1674.0,13957.0,9210.0,7959.0,34.35416105,42:58:00,41.88482037,58.11517963,290.0,83.8,7.16
29,25,University of Toronto,Canada,Americas,XL,FC,VH,Public,100.0,11,99.1,25,45.7,428,68.8,224,97.9,143,97.9,91,98.0,78,97.0,37,99.4,22,100.0,1,88.5,UNIVERSITY OF TORONTO,21.0,78.2,92.9,92.3,95.8,92.3,"80,394",25.1,39%,56 : 44,88.45449999999998,55923.0,809566.0,1.56779496095802,9106.0032910652,46292.0,34294.0,4445.0,0.607031096328881,0.496357306340866,0.357129041616969,39.0,1.0,1.0,70.0,51.0,32.0,2.0,17.0,9.0,8.0,145.0,60.04,40.6,19.9,17.2,38.8,38.6,79.1,29.3,75.9,89.3,90.9,49.1,83.9,75.9,89.3,49.1,428.86206896551727,50.9,29,27,1473,55923.0,1.56779496095802,97.9,88.25,79.94834999999999,Toronto,Social Sciences & Management,Public,Undergraduate & Postgraduate,8494.0,57886.0,22508.0,31354.0,39.0,56:44:00,56.0,44.0,681.0,84.4,4.07
30,39,Fudan University,China (Mainland),Asia,XL,FC,VH,Public,93.7,50,95.1,49,84.8,137,92.8,89,88.5,234,46.4,433,51.4,402,75.5,431,73.3,193,83.1,134,88.4,FUDAN UNIVERSITY,36.0,79.5,77.1,84.8,99.8,53.8,"38,601",12.4,10%,52 : 48,79.2785,49424.0,658111.0,1.23913332633294,6726.52479371581,39757.0,13316.0,3227.0,0.555539818711557,0.253585688956799,0.0957625204810709,46.0,1.0,5.0,367.0,203.0,218.0,112.0,252.0,368.0,204.0,123.0,47.56,,0.0,0.0,12.2,13.1,56.1,21.5,44.7,30.4,61.1,28.0,-,44.7,30.4,28.0,600.3055555555555,44.55555555555556,72,14,1472,49424.0,1.23913332633294,67.45,80.89999999999999,73.41155,Shanghai,Social Sciences & Management,Public,Undergraduate & Postgraduate,1899.0,27995.0,10606.0,3860.0,10.0,52:48:00,52.0,48.0,310.0,93.2,3.63
31,40,King's College London (KCL),United Kingdom,Europe,XL,FC,VH,Public,96.2,44,91.8,65,74.4,202,70.2,215,99.5,115,99.0,70,99.0,61,98.4,19,76.4,174,96.5,14,88.3,KINGS COLLEGE LONDON KCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.4111111111111,54.06,90,2,1471,0.0,0.0,99.25,0.0,35.32,,,,,,,,,,,,,,,
32,30,Australian National University,Australia,Oceania,L,FC,VH,Public,97.9,37,82.6,96,40.9,495,91.7,93,100.0,49,99.0,68,99.1,59,93.1,123,67.1,232,91.8,48,87.4,AUSTRALIAN NATIONAL UNIVERSITY,74.0,56.7,62.6,85.7,86.3,94.2,"17,243",13.3,51%,54 : 46,71.1075,14818.0,196031.0,1.52110525915503,2281.76339902868,12881.0,9860.0,773.0,0.655486570387367,0.562529886193376,0.278778411807836,604.0,1.0,6.0,196.0,379.0,52.0,130.0,99.0,197.0,188.0,415.0,47.97,,,,,,,,54.7,77.3,72.3,48.0,69.5,54.7,77.3,48.0,359.05555555555554,55.07741935483871,36,19,1470,14818.0,1.52110525915503,99.5,70.07000000000001,70.68325,Australia,Social Sciences & Management,Public,Undergraduate & Postgraduate,1131.0,9857.0,7386.0,8794.0,51.0,54:46:00,54.0,46.0,220.0,94.8,3.93
32,36,The Chinese University of Hong Kong,"Hong Kong SAR, China",Asia,L,FC,VH,Public,94.2,48,67.3,157,75.9,191,95.0,71,100.0,50,93.3,143,90.3,147,68.2,563,91.2,94,84.1,123,87.4,THE CHINESE UNIVERSITY OF HONG KONG,44.0,63.2,63.8,97.9,90.9,92.1,"18,461",18.2,25%,,77.0595,22528.0,385793.0,1.70267235706484,4055.86859931657,19717.0,10162.0,1351.0,0.518421519886364,0.405360244850691,0.172619736950947,163.0,1.0,,,,,,,,,,,,0.0,14.1,15.1,5.2,43.1,22.0,,,,,,,,,273.3333333333333,72.6,9,11,1470,22528.0,1.70267235706484,96.65,77.25999999999999,58.07785,Hong Kong,Arts & Humanities,Public,Undergraduate & Postgraduate,1286.0,12703.0,5758.0,4615.0,25.0,49:51:00,49.33704996,50.66295004,334.0,94.6,5.0
34,27,University of Edinburgh,United Kingdom,Europe,XL,FC,VH,Public,99.6,24,98.2,33,77.3,179,54.3,338,99.7,105,99.9,42,99.9,31,99.5,5,69.7,213,98.3,7=,87.2,UNIVERSITY OF EDINBURGH,29.0,75.7,74.7,94.8,71.0,96.2,"35,350",11.3,49%,62 : 38,82.4895,,,,,,,,,,,,,5.0,44.0,127.0,33.0,54.0,37.0,65.0,43.0,228.0,54.39,,,,,,,,68.6,77.2,96.3,36.1,80.3,68.6,77.2,36.1,499.4111111111111,54.06,90,2,1468,0.0,0.0,99.8,83.03999999999999,75.94385,United Kingdom,Social Sciences & Management,Public,Undergraduate & Postgraduate,2571.0,22868.0,12482.0,17322.0,49.0,62:38:00,62.0,38.0,355.0,76.9,3.92
