Rank;Global Rank;Institution;Country;Sector;Best Country Quartile
470;1311;University of Otago;NZL;Universities;1
471;1316;National Cheng Kung University;TWN;Universities;1
472;1317;Universita degli Studi di Bari;ITA;Universities;1
473;1318;Universidad de Murcia *;ESP;Universities;1
474;1321;La Trobe University *;AUS;Universities;1
475;1323;Masaryk University;CZE;Universities;1
476;1326;Chung-Ang University *;KOR;Universities;1
477;1332;University of the Witwatersrand, Johannesburg;ZAF;Universities;1
478;1342;All India Institute of Medical Sciences;IND;Universities;1
479;1349;University of California, Santa Cruz;USA;Universities;1
479;1349;Gachon University *;KOR;Universities;1
481;1353;Qingdao University of Science and Technology;CHN;Universities;1
482;1354;Wake Forest University *;USA;Universities;1
482;1354;Southwest Petroleum University;CHN;Universities;1
484;1358;Ruhr-Universitat Bochum *;DEU;Universities;1
485;1363;Catholic University of Louvain;BEL;Universities;1
486;1369;University of Durham;GBR;Universities;1
486;1369;Henan University *;CHN;Universities;1
488;1375;Lomonosov  Moscow State University *;RUS;Universities;1
489;1376;Universita degli Studi di Catania;ITA;Universities;1
490;1381;Loughborough University;GBR;Universities;1
491;1387;Korea University of Science and Technology;KOR;Universities;1
491;1387;Albert Einstein College of Medicine;USA;Universities;1
493;1389;University of Turku;FIN;Universities;1
493;1389;China Medical University, Shenyang *;CHN;Universities;1
495;1396;Swinburne University of Technology *;AUS;Universities;1
496;1399;George Mason University;USA;Universities;1
496;1399;Universite de Lorraine *;FRA;Universities;1
498;1401;University of Hawaii, Manoa *;USA;Universities;1
499;1403;London School of Economics and Political Science;GBR;Universities;1
500;1406;University of Tsukuba *;JPN;Universities;1
501;1408;University of Warsaw;POL;Universities;1
501;1408;Lancaster University *;GBR;Universities;1
501;1408;Shenyang Pharmaceutical University;CHN;Universities;1
504;1412;Umea University *;SWE;Universities;1
505;1417;Drexel University *;USA;Universities;1
506;1423;Sichuan Agricultural University;CHN;Universities;1
507;1431;New York University, Abu Dhabi;ARE;Universities;1
508;1436;The University of Newcastle *;AUS;Universities;1
509;1440;Chang'an University;CHN;Universities;1
510;1452;Justus-Liebig-Universitat Giessen *;DEU;Universities;1
511;1453;The University of Reading;GBR;Universities;1
512;1455;University of Indonesia;IDN;Universities;1
513;1456;Guizhou University;CHN;Universities;1
514;1457;Technische Universitat Darmstadt;DEU;Universities;2
514;1457;Tianjin Medical University *;CHN;Universities;1
516;1460;Universita degli Studi di Trento;ITA;Universities;1
517;1463;University of Ulsan *;KOR;Universities;1
518;1470;University of Texas Medical Branch;USA;Universities;1
519;1471;Northumbria University;GBR;Universities;1
520;1489;Vrije Universiteit Brussel;BEL;Universities;1
521;1491;Manipal Academy of Higher Education, India;IND;Universities;1
522;1502;Ajou University;KOR;Universities;1
523;1505;University of Sussex *;GBR;Universities;1
524;1510;Konkuk University *;KOR;Universities;1
524;1510;Universite de Nantes *;FRA;Universities;1
526;1513;Universitat Stuttgart;DEU;Universities;2
527;1516;Universite Cote d’Azur *;FRA;Universities;1
528;1522;University of Delaware;USA;Universities;2
529;1523;Waseda University;JPN;Universities;1
530;1525;Swedish University of Agricultural Sciences;SWE;Universities;1
531;1529;Swansea University;GBR;Universities;1
532;1533;Pusan National University;KOR;Universities;1
533;1538;Christian-Albrechts-Universitat zu Kiel;DEU;Universities;2
534;1541;University of Saskatchewan;CAN;Universities;1
534;1541;Medical College of Wisconsin *;USA;Universities;2
536;1544;Mohamed bin Zayed University of Artificial Intelligence;ARE;Universities;1
537;1549;Universite de Rennes 1 *;FRA;Universities;1
538;1554;Universidad de Salamanca *;ESP;Universities;1
538;1554;Florida International University;USA;Universities;1
540;1560;Donghua University;CHN;Universities;1
541;1563;Universita degli Studi di Palermo;ITA;Universities;1
542;1565;Semmelweis University;HUN;Universities;1
543;1566;University of Guelph;CAN;Universities;1
544;1567;Anhui Agricultural University;CHN;Universities;1
545;1570;Tulane University;USA;Universities;1
546;1575;Westlake University;CHN;Universities;1
547;1578;Universidade do Minho;PRT;Universities;1
548;1580;Taiyuan University of Technology;CHN;Universities;1
549;1582;Universitat fur Bodenkultur Wien *;AUT;Universities;1
550;1584;Hong Kong Baptist University;HKG;Universities;2
