university_id,2024 RANK,2023 RANK,University,Country Code,Country_x,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE,Rank,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year,World Rank,Location,National_Rank_x,Quality of Education,Alumni Employment,Quality of Faculty,Research_Output_x,Quality_Publications,Influence,Citations_Count,Score,Latitude,Longitude,city_x,region_x,type_x,research_output_x,student_faculty_ratio_x,faculty_count_x,city_y,region_y,type_y,research_output_y,student_faculty_ratio_y,faculty_count_y,city,region,type,research_output,student_faculty_ratio,faculty_count,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_rank,country_avg_citations,country_avg_international_ratio,research_productivity_index,female_percentage,male_percentage,subject_field,citations_score,research_output_score,Enrollment,Undergrad_Students,Postgrad_Students,Faculty_Count,Student_Faculty_Ratio,Research_Output,International_Students (%),Tuition_Fee_USD,Acceptance_Rate (%),Graduation_Rate (%),Employability_Rank,QS_Subject_Rank,QS_Rank,THE_Rank,ARWU_Rank
U0466,851-900,801-1000,King Faisal University,SA,Saudi Arabia,L,FO,VH,3,A,15,585,8.6,601+,11.4,701+,2.4,701+,99.2,95,2,701+,3.1,701+,7.5,701+,1.1,701+,-,811,29628,14.5,2%,60:40:00,36.727,19.9,12.2,68,31.4,75.5,2024,-1,,-1,,,,,,,,,,,Hofuf,Asia,Public,High,17,2.1,Hofuf,Asia,Public,High,17,2.1,Hofuf,Asia,Public,High,17,2.1,9,424,39.26633333,13.54444444,721.5555556,898,,37.2,60,40,,,75,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0467,851-900,801-1000,King Faisal University,SA,Saudi Arabia,L,FO,VH,3,A,15,585,8.6,601+,11.4,701+,2.4,701+,99.2,95,2,701+,3.1,701+,7.5,701+,1.1,701+,-,811,29628,14.5,2%,60:40:00,36.727,19.9,12.2,68,31.4,75.5,2024,-1,,-1,,,,,,,,,,,Hofuf,Asia,Public,High,17,2.1,Hofuf,Asia,Public,High,17,2.1,Hofuf,Asia,Public,High,17,2.1,9,424,39.26633333,13.54444444,721.5555556,898,,37.2,60,40,,,75,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0468,851-900,1001-1200,Kuwait University,KW,Kuwait,XL,FC,MD,4,A,13.6,601+,8.3,601+,6.4,701+,2.2,701+,30.4,487,21,534,10.9,654,51.3,128,18.8,555=,-,1055,34147,14.7,13%,73:27:00,31.4095,19.5,9.9,55.5,28.9,66.4,2024,-1,,-1,,,,,,,,,,,Kuwait City,Asia,Public,Medium,22,"1,693",Kuwait City,Asia,Public,Medium,22,"1,693",Kuwait City,Asia,Public,Medium,22,"1,693",1,1055,31.4095,13.6,1055,,,31.43333333,73,27,,,50,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0469,851-900,801-1000,London South Bank University,UK,United Kingdom,L,CO,HI,3,A,3.5,601+,2.9,601+,8.3,701+,5.6,701+,78.2,237,95.9,83,2.3,701+,11.1,701+,1.1,701+,-,759,14510,17.5,37%,56:44:00,37.8715,18.6,12.4,65.9,52.4,92.3,2024,-1,,-1,,,,,,,,,,,London,Europe,Public,High,16,814,London,Europe,Public,High,16,814,London,Europe,Public,High,16,814,69,1,50.81734058,25.96666667,455.4347826,388.05,48.5,43.56666667,56,44,,,75,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0470,851-900,551-560,National Research Saratov State University,RU,Russia,M,CO,VH,5,A,5.2,601+,2.5,601+,95.8,58,1.7,701+,3.2,701+,18.2,572,1.2,701+,4.7,701+,1,701+,-,1531,9664,9.3,11%,58:42:00,22.269,26.8,16.1,17.6,39.1,38,2024,-1,,-1,,,,,,,,,,,Saratov,Europe,Public,Very High,6,1.718,Saratov,Europe,Public,Very High,6,1.718,Saratov,Europe,Public,Very High,6,1.718,24,95,29.87127083,13.9625,1185.041667,541,,24.26666667,58,42,,,100,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0471,851-900,561-570,Niigata University,JP,Japan,L,FC,HI,4,A,4.9,601+,3.3,601+,88.1,93,4.6,701+,4.2,701+,3.3,701+,1.2,701+,9.2,701+,3,701+,-,1111,11942,7.2,3%,37 : 63,30.08,30.6,15,41.8,49.7,29,2024,618,Japan,22,515,621,304,615,655,488,673,72.6,36.5748441,139.2394179,Niigata City,Asia,Public,High,6,1.96,Niigata City,Asia,Public,High,6,1.96,Niigata City,Asia,Public,High,6,1.96,37,29,35.23782432,24.98108108,1011.972973,567.8518519,,35.5,37,63,,,75,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0472,851-900,1001-1200,North South University,BD,Bangladesh,L,CO,HI,3,B,12.1,601+,48.4,180,5.6,701+,2.3,701+,12.2,701+,2.4,701+,1.1,701+,13.3,645,1.1,701+,-,966,18681,21.3,0%,42:58:00,33.415,12.9,10,76.1,15.8,43.3,2024,-1,,-1,,,,,,,,,,,Dhaka,Asia,Private,Medium,18,715,Dhaka,Asia,Private,Medium,18,715,Dhaka,Asia,Private,Medium,18,715,7,855,30.61642857,11.54285714,1101.428571,,,33.96666667,42,58,,,50,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0473,851-900,701-750,Pavol Jozef Å afÃ¡rik University in KoÅ¡ice,SK,Slovakia,M,FC,HI,4,A,5.1,601+,3.6,601+,55.5,270,3.6,701+,2,701+,63.8,236,3.3,701+,13,663,1.3,701+,-,1342,7060,10.3,24%,67:33:00,25.748,40.7,10.2,17.1,24.9,62.1,2024,-1,,-1,,,,,,,,,,,,Europe,Public,High,8,810,,Europe,Public,High,8,810,KoÅ¡ice,Europe,Public,High,8,810,3,1054,26.37616667,6.833333333,1314,,,17.4,67,33,,,75,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0474,851-900,541-550,Southern Federal University,RU,Russia,L,CO,VH,5,A,7.6,601+,3.6,601+,77.8,146,1.8,701+,3.5,701+,23.1,499,5.1,701+,6.6,701+,11.7,647=,-,1483,19181,11.3,11%,54:46:00,23.104,27.9,14.3,21.4,32.1,40.3,2024,-1,,-1,,,,,,,,,,,Rostov-on-Don,Europe,Public,Very High,7,2.631,Rostov-on-Don,Europe,Public,Very High,7,2.631,Rostov-on-Don,Europe,Public,Very High,7,2.631,24,95,29.87127083,13.9625,1185.041667,541,,22.6,54,46,,,100,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0475,851-900,801-1000,Technological University Dublin,IE,Ireland,L,CO,HI,1,A,12.1,601+,12.4,601+,12.6,701+,3.1,701+,32.7,470,39.6,346,5,701+,13.1,653,16.9,581=,-,1085,20801,18.7,18%,44:56:00,30.621,19.1,13.1,45.6,66,64.9,2024,-1,,-1,,,,,,,,,,,Dublin,Europe,Public,High,15,1.445,Dublin,Europe,Public,High,15,1.445,Dublin,Europe,Public,High,15,1.445,7,231,47.20792857,23.4,484.2857143,544,,41.56666667,44,56,,,75,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
U0476,851-900,801-1000,TU Dortmund University,DE,Germany,L,CO,VH,4,A,13.6,601+,13.8,589,22.2,626,7.4,701+,20.2,589,19.1,559,17,574,9.1,701+,4.4,701+,-,409,19477,56,15%,49:51:00,48.637,35.7,42.2,62.3,72,57.3,2024,-1,,-1,,,,,,,,,,,Dortmund,Europe,Public,Very High,11,2.137,Dortmund,Europe,Public,Very High,11,2.137,Dortmund,Europe,Public,Very High,11,2.137,9,31,59.47188889,32.65555556,234,257.5,,58.83333333,49,51,,,100,-1,-1,-1,-1,-1,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1
