country_code,country_name,year,gdp_per_capita_usd,education_expenditure_pct_gdp,tertiary_enrollment_ratio,population,literacy_rate_pct,data_source,download_timestamp_utc
ARG,Argentina,2024,13969.7836603737,,,45696159.0,,World Bank API,2026-07-13 06:56:42 UTC
ARM,Armenia,2020,4268.68093304583,2.70555996894836,52.3331534448642,2961500.0,99.7900009155273,World Bank API,2026-07-13 06:56:42 UTC
ARM,Armenia,2021,4685.17997128509,2.76784992218018,56.6235144830279,2962300.0,,World Bank API,2026-07-13 06:56:42 UTC
ARM,Armenia,2022,6571.97445545099,2.4918999671936,57.1818422625098,2969200.0,99.8199996948242,World Bank API,2026-07-13 06:56:42 UTC
ARM,Armenia,2023,8159.08720967996,2.43869996070862,56.2770051010456,2964300.0,99.8399963378906,World Bank API,2026-07-13 06:56:42 UTC
ARM,Armenia,2024,8556.21406956719,,52.7748065090859,3033500.0,,World Bank API,2026-07-13 06:56:42 UTC
ABW,Aruba,2020,22664.3709949437,,,108587.0,,World Bank API,2026-07-13 06:56:42 UTC
ABW,Aruba,2021,26827.3447869986,3.61855755636695,,107700.0,,World Bank API,2026-07-13 06:56:42 UTC
ABW,Aruba,2022,31000.5713798732,,,107310.0,,World Bank API,2026-07-13 06:56:42 UTC
ABW,Aruba,2023,34897.6183932009,,,107359.0,,World Bank API,2026-07-13 06:56:42 UTC
ABW,Aruba,2024,38590.5650288641,,14.0655418559377,107995.0,,World Bank API,2026-07-13 06:56:42 UTC
AUS,Australia,2020,51983.4523666382,5.38625001907349,110.139221191406,25649248.0,,World Bank API,2026-07-13 06:56:42 UTC
AUS,Australia,2021,60758.9044397144,5.34109020233154,112.688293457031,25685412.0,,World Bank API,2026-07-13 06:56:42 UTC
AUS,Australia,2022,65169.5191118657,5.05915021896362,106.240760803223,26018721.0,,World Bank API,2026-07-13 06:56:42 UTC
AUS,Australia,2023,65058.3773146674,,104.64835357666,26659922.0,,World Bank API,2026-07-13 06:56:42 UTC
AUS,Australia,2024,64609.9865116088,,108.421989440918,27194286.0,,World Bank API,2026-07-13 06:56:42 UTC
AUT,Austria,2020,48716.4098900349,5.57961988449097,88.7071990966797,8916864.0,,World Bank API,2026-07-13 06:56:42 UTC
AUT,Austria,2021,53648.6437976214,5.48071002960205,93.940071105957,8955797.0,,World Bank API,2026-07-13 06:56:42 UTC
AUT,Austria,2022,52336.7725223758,5.27749013900757,94.5116882324219,9041851.0,,World Bank API,2026-07-13 06:56:42 UTC
AUT,Austria,2023,56579.504175468,,91.6818237304688,9131761.0,,World Bank API,2026-07-13 06:56:42 UTC
AUT,Austria,2024,58268.8787651601,,92.6126708984375,9177982.0,,World Bank API,2026-07-13 06:56:42 UTC
AZE,Azerbaijan,2020,4229.91064904503,4.33204984664917,36.3854742250215,10093121.0,,World Bank API,2026-07-13 06:56:42 UTC
AZE,Azerbaijan,2021,5408.04535175023,3.7020800113678,39.0095977224788,10137750.0,,World Bank API,2026-07-13 06:56:42 UTC
AZE,Azerbaijan,2022,7770.594223351,3.04689002037048,41.0017793895325,10141756.0,,World Bank API,2026-07-13 06:56:42 UTC
AZE,Azerbaijan,2023,7133.02838048328,3.66036009788513,41.3907560278377,10153958.0,99.7799987792969,World Bank API,2026-07-13 06:56:42 UTC
AZE,Azerbaijan,2024,7294.64276088105,,41.3413783372226,10202830.0,,World Bank API,2026-07-13 06:56:42 UTC
BHS,"Bahamas, The",2020,26178.7537607708,3.7125229961238,,395863.0,,World Bank API,2026-07-13 06:56:42 UTC
BHS,"Bahamas, The",2021,30367.8605757708,3.04890655208507,,396373.0,,World Bank API,2026-07-13 06:56:42 UTC
BHS,"Bahamas, The",2022,34957.1613279737,2.62367021406169,,397538.0,,World Bank API,2026-07-13 06:56:42 UTC
BHS,"Bahamas, The",2023,38231.774484278,2.74191570247934,,399440.0,,World Bank API,2026-07-13 06:56:42 UTC
BHS,"Bahamas, The",2024,39455.4466548546,,,401283.0,,World Bank API,2026-07-13 06:56:42 UTC
BHR,Bahrain,2020,24342.8444554718,2.05801907522052,54.4077922369055,1472204.0,,World Bank API,2026-07-13 06:56:42 UTC
BHR,Bahrain,2021,27147.8083882286,1.85115940115918,47.5015525503536,1504365.0,,World Bank API,2026-07-13 06:56:42 UTC
BHR,Bahrain,2022,30470.5219276023,1.71192127094005,50.3073760962771,1524693.0,97.870002746582,World Bank API,2026-07-13 06:56:42 UTC
BHR,Bahrain,2023,29290.1284215098,1.88778167912993,57.0562240948353,1577059.0,97.8499984741211,World Bank API,2026-07-13 06:56:42 UTC
BHR,Bahrain,2024,29717.1424605273,,58.3677241853667,1588670.0,97.8199996948242,World Bank API,2026-07-13 06:56:42 UTC
BGD,Bangladesh,2020,2248.85078828233,2.13974351741877,22.6923019564501,166298024.0,74.9100036621094,World Bank API,2026-07-13 06:56:42 UTC
BGD,Bangladesh,2021,2482.84917843357,2.17090882504654,23.9006822335243,167658854.0,76.3600006103516,World Bank API,2026-07-13 06:56:42 UTC
BGD,Bangladesh,2022,2716.48592780431,2.08538657806243,23.5005059888653,169384897.0,79.0,World Bank API,2026-07-13 06:56:42 UTC
BGD,Bangladesh,2023,2551.01773827307,2.16213826344701,24.2003442708621,171466990.0,,World Bank API,2026-07-13 06:56:42 UTC
BGD,Bangladesh,2024,2593.41611680774,2.0343847791384,23.7295608009814,173562364.0,,World Bank API,2026-07-13 06:56:42 UTC
BRB,Barbados,2020,19180.9915228365,3.86529994010925,52.971630831,281698.0,,World Bank API,2026-07-13 06:56:42 UTC
