university_id,normalized_name,university_name,country
U002661,universite mouloud mammeri de tizi ouzou,Université Mouloud Mammeri de Tizi-Ouzou,Algeria
U002665,universite paris dauphine universite psl,"Université Paris-Dauphine, Université PSL",France
U002669,universite paris sorbonne,Université Paris-Sorbonne (Paris IV),France
U002670,universite paul sabatier toulouse iii,Université Paul Sabatier Toulouse III,France
U002673,universite psl,Université PSL,France
U002674,universite saint joseph de beyrouth,Université Saint-Joseph de Beyrouth,Lebanon
U002676,universite sorbonne nouvelle paris 3,Université Sorbonne Nouvelle Paris 3,France
U002679,universite toulouse 1 capitole,Université Toulouse 1 Capitole,France
U002681,universiti kebangsaan malaysia,Universiti Kebangsaan Malaysia (UKM),Malaysia
U002682,universiti kuala lumpur,Universiti Kuala Lumpur (UniKL),Malaysia
U002683,universiti malaya,Universiti Malaya (UM),Malaysia
U002685,universiti malaysia pahang,Universiti Malaysia Pahang,Malaysia
U002688,universiti malaysia sabah,Universiti Malaysia Sabah (UMS),Malaysia
U002691,universiti pendidikan sultan idris,Universiti Pendidikan Sultan Idris (UPSI),Malaysia
U002695,universiti sultan zainal abidin,Universiti Sultan Zainal Abidin,Malaysia
U002696,universiti teknikal malaysia melaka,Universiti Teknikal Malaysia Melaka,Malaysia
U002698,universiti teknologi malaysia,Universiti Teknologi Malaysia ,Malaysia
U002700,universiti teknologi mara uitm,Universiti Teknologi MARA - UiTM,Malaysia
U002703,universiti tun hussein onn malaysia,Universiti Tun Hussein Onn Malaysia (UTHM),Malaysia
U002704,universiti tun hussein onn university of malaysia,Universiti Tun Hussein Onn University of Malaysia (UTHM),Malaysia
U002706,universiti utara malaysia,Universiti Utara Malaysia (UUM),Malaysia
U002707,university abdelhamid ibn badis mostaganem,University Abdelhamid Ibn Badis Mostaganem,Algeria
U002708,university at albany suny,University at Albany SUNY,United States
U002709,university at buffalo,University at Buffalo,United States
U002710,university at buffalo suny,University at Buffalo SUNY,United States
U002711,university center ali kafi tindouf,University Center Ali Kafi Tindouf,Algeria
U002712,university center morsli abdellah of tipaza,University Center Morsli Abdellah of Tipaza,Algeria
U002716,university centre of el bayadh,University Centre of El-Bayadh,Algeria
U002721,university duesseldorf,University Duesseldorf,Germany
U002725,university of a coruna,University of A Coruña,Spain
U002727,university of abou bekr belkaid tlemcen,University of Abou Bekr Belkaïd Tlemcen,Algeria
U002728,university of adelaide,University of Adelaide,Australia
U002731,university of ahmed draia,University of Ahmed Draia,Algeria
U002735,university of alabama birmingham,"University of Alabama, Birmingham",United States
U002739,university of alcala,University of Alcalá,Spain
U002741,university of algiers 1,University of Algiers 1,Algeria
U002748,university of antioquia,University of Antioquia,Colombia
U002749,university of antofagasta,University of Antofagasta,Chile
U002751,university of applied sciences and arts of western switzerland,University of Applied Sciences and Arts of Western Switzerland,Switzerland
U002753,university of arkansas,University of Arkansas,United States
U002754,university of arkansas fayetteville,University of Arkansas Fayetteville ,United States
U002762,university of baltistan skardu,"University of Baltistan, Skardu",Pakistan
U002763,university of barcelona,University of Barcelona,Spain
U002764,university of bari,University of Bari,Italy
U002781,university of bialystok,University of Bialystok,Poland
U002787,university of bogota jorge tadeo lozano,University of Bogotá Jorge Tadeo Lozano,Colombia
U002789,university of bolton,University of Bolton,United Kingdom
U002791,university of bordeaux,University of Bordeaux,France
U002794,university of brasilia,University of Brasília,Brazil
U002803,university of burgos,University of Burgos,Spain
U002804,university of cadiz,University of Cadiz,Spain
U002820,university of camerino,University of Camerino (Unicam),Italy
U002822,university of campinas,University of Campinas,Brazil
U002825,university of canterbury te whare wananga o waitaha,University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand
U002831,university of caxias do sul,University of Caxias do Sul,Brazil
U002834,university of central lancashire,University of Central Lancashire,United Kingdom
U002837,university of cergy pontoise,University of Cergy-Pontoise,France
U002844,university of cincinnati uptown,University of Cincinnati – Uptown,United States
U002846,university of clermont auvergne,University of Clermont Auvergne,France
U002848,university of colima,University of Colima,Mexico
U002854,university of colorado denver anschutz medical campus,University of Colorado Denver/Anschutz Medical Campus,United States
U002860,university of costa rica,University of Costa Rica,Costa Rica
U002861,university of cote dazur,University of Côte d’Azur,France
U002874,university of desarrollo,University of Desarrollo,Chile
U002875,university of deusto,University of Deusto,Spain
U002878,university of djilali bounaama khemis miliana,University of Djilali Bounaama Khemis Miliana,Algeria
U002887,university of economics in bratislava,University of Economics in Bratislava,Slovakia
U002890,university of education lahore,"University of Education, Lahore",Pakistan
U002891,university of el oued,University of El Oued,Algeria
U002893,university of engineering and technology lahore,University of Engineering & Technology (UET) Lahore,Pakistan
U002894,university of engineering and technology mardan,"University of Engineering and Technology, Mardan",Pakistan
U002897,university of erlangen nuremberg,University of Erlangen-Nuremberg,Germany
U002901,university of extremadura,University of Extremadura,Spain
U002909,university of fortaleza,University of Fortaleza (UNIFOR),Brazil
U002910,university of franca,University of Franca,Brazil
U002911,university of franche comte,University of Franche-Comté,France
U002916,university of galway,University of Galway,Ireland
U002918,university of gdansk,UNIVERSITY OF GDANSK,Poland
U002924,university of girona,University of Girona,Spain
U002929,university of granada,University of Granada,Spain
U002932,university of greifswald,University of Greifswald,Germany
U002934,university of guadalajara,University of Guadalajara,Mexico
U002935,university of guanajuato,University of Guanajuato,Mexico
U002941,university of hail,University of Hail,Saudi Arabia
U002942,university of hamburg,University of Hamburg,Germany
U002948,university of health sciences turkey,"University of Health Sciences, Turkey",Turkey
U002952,university of home economics lahore,University of Home Economics Lahore,Pakistan
U002956,university of hradec kralove,University of Hradec Kralove,Czech Republic
U002965,university of illinois at chicago,University of Illinois at Chicago (UIC),United States
U002966,university of illinois at urbana champaign,University of Illinois at Urbana-Champaign,United States
