university_id,university_name,country,openalex_name,institution_id,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness
U000070,Al-Furat Al-Awsat Technical University,Iraq,Al-Furat Al-Awsat Technical University,https://openalex.org/I4210155527,4870,45407,81,942,1.8837725381414705
U000071,Al-Hussein Bin Talal University,Jordan,Al-Hussein Bin Talal University,https://openalex.org/I100086675,3607,71005,99,1693,4.096978215038651
U000078,Al-Mustaqbal University,Iraq,Al-Mustaqbal University,https://openalex.org/I4400573189,81,2225,12,14,35.827586206896555
U000080,Al-Muthanna University,Iraq,Al-Muthanna University,https://openalex.org/I501048437,3370,31347,76,692,1.880138682516097
U000082,Al-Nisour University College,Iraq,Al-Nisour University College,https://openalex.org/I4210090457,2777,27680,62,648,5.867507886435331
U000083,Al-Noor University College,Iraq,Al Noor University College,https://openalex.org/I4388482653,539,8165,37,151,14.54601226993865
U000085,Al-Qasim Green University,Iraq,Al-Qasim Green University,https://openalex.org/I4405256416,0,0,0,0,0.0
U000086,Al-Quds University,Palestine,Al-Quds University,https://openalex.org/I21215505,5018,129269,112,2472,1.621113844777455
U000090,Al Turath University,Iraq,Al-Turath University,https://openalex.org/I2801460691,1530,14087,50,254,3.7331042382588775
U000091,Al-Zaytoonah University of Jordan,Jordan,Al-Zaytoonah University of Jordan,https://openalex.org/I145019703,5245,97927,101,2679,3.675770686857761
U000092,Alagappa University,India,Alagappa University,https://openalex.org/I131155284,10636,534321,204,10820,3.2115896980461813
U000093,Albaydha University,Yemen,Albaydha University,https://openalex.org/I4388482659,403,1694,22,55,1.5283687943262412
U000095,Alex Ekwueme Federal University Ndufu-Alike,Nigeria,"Alex Ekwueme Federal University, Ndufu-Alike",https://openalex.org/I4387155461,1838,42480,84,1076,2.024581005586592
U000096,Alexandria University ,Egypt,Alexandria University,https://openalex.org/I84524832,69623,1819037,299,42054,2.65091000306586
U000097,Alexandru Ioan Cuza University,Romania,Alexandru Ioan Cuza University,https://openalex.org/I138164181,22191,416268,172,9886,1.737504868233156
U000098,Alfaisal University,Saudi Arabia,Alfaisal University,https://openalex.org/I134359838,12681,406741,204,7007,3.858951175406872
U000099,Algiers 2 University,Algeria,Algiers 2 University,https://openalex.org/I4401200293,1393,4905,19,34,0.6979166666666666
U000100,Aligarh Muslim University,India,Aligarh Muslim University,https://openalex.org/I171210897,39471,1886886,362,35800,3.436602870813397
U000101,Alisher Navo’i Tashkent State University of Uzbek Language and Literature,Uzbekistan,Alisher Navo'i Tashkent State University of Uzbek Language and Literature,https://openalex.org/I4405255639,0,0,0,0,0.0
U000102,Allameh Tabataba ’i University,Iran,Allameh Tabataba'i University,https://openalex.org/I200432940,10662,115167,127,2214,1.227883713660519
U000104,AlMaarefa University,Saudi Arabia,Almaarefa University,https://openalex.org/I4391767729,2203,45495,77,1206,7.458461538461538
U000105,Almaty Technological University,Kazakhstan,Almaty Technological University,https://openalex.org/I4210114545,1861,8448,30,236,0.6750941366325982
U000107,Altai State University,Russia,Altai State University,https://openalex.org/I163137577,17962,55133,77,1103,0.4182565306721456
U000108,Altınbaş University,Turkey,Altınbaş University,https://openalex.org/I42317466,3861,57841,78,1329,2.3652694610778444
U000109,Altoosi University College,Iraq,Altoosi University College,https://openalex.org/I4396570472,205,1052,16,29,5.7
U000110,Alzahra University,Iran,Alzahra University,https://openalex.org/I67080706,12267,241892,139,5889,3.202247191011236
U000112,American International University – Bangladesh,Bangladesh,American International University-Bangladesh,https://openalex.org/I103434671,5672,90772,93,2408,3.195982017420624
U000113,American University,United States,American University,https://openalex.org/I181401687,30913,1038780,367,12368,2.44382454790304
U000114,American University in Cairo,Egypt,American University in Cairo,https://openalex.org/I80693520,11744,293592,164,6681,3.174635701275045
U000115,American University in Dubai,United Arab Emirates,American University in Dubai,https://openalex.org/I122640774,1533,18689,66,365,1.215483870967742
U000116,American University in the Emirates (AUE),United Arab Emirates,American University in the Emirates,https://openalex.org/I91600406,1496,27162,72,515,3.847619047619048
U000117,American University of Beirut (AUB),Lebanon,American University of Beirut,https://openalex.org/I98635879,29519,1751058,358,27790,2.429825363445186
U000118,American University of Madaba,Jordan,American University of Madaba,https://openalex.org/I161387315,1059,17083,54,408,6.0
U000119,American University of Nigeria,Nigeria,American University of Nigeria,https://openalex.org/I65734018,1783,16163,53,355,5.080310880829016
U000120,American University of Ras Al Khaimah,United Arab Emirates,American University of Ras Al Khaimah,https://openalex.org/I4210153389,2047,47864,96,902,3.5737874097007225
U000121,American University of Sharjah,United Arab Emirates,American University of Sharjah,https://openalex.org/I199440890,11389,408999,221,7962,5.716040462427745
U000122,American University of the Middle East,Kuwait,American University of the Middle East,https://openalex.org/I2803079837,5934,121387,120,2891,4.64165890027959
U000123,Amirkabir University of Technology,"Iran, Islamic Republic of",Amirkabir University of Technology,https://openalex.org/I158248296,47607,1958535,294,43565,4.405434614790798
U000124,Amity University,India,Amity University,https://openalex.org/I4210126505,14743,131748,119,2976,1.380397685116486
U000126,"Amity University, Gurugram",India,Amity University Gurugram,https://openalex.org/I4405262955,0,0,0,0,0.0
U000128,"Amity University, Mumbai",India,Amity University Mumbai,https://openalex.org/I4405262953,0,0,0,0,0.0
U000130,Amrita Vishwa Vidyapeetham,India,Amrita Vishwa Vidyapeetham,https://openalex.org/I81556334,34399,913628,233,21824,2.525457776404234
U000131,An-Najah National University,"Palestinian Territory, Occupied",An-Najah National University,https://openalex.org/I17533244,8763,275991,162,5964,3.116746199090001
U000132,Anadolu University,Turkey,Anadolu University,https://openalex.org/I133743585,19772,576252,237,11424,2.171655850952481
U000134,Andhra University,India,Andhra University,https://openalex.org/I100887729,19582,389012,166,9287,1.2922831447635623
U000135,Andijan Machine-Building Institute,Uzbekistan,Andijan Machine-building Institute,https://openalex.org/I4391012527,757,1488,18,33,0.6396396396396397
U000138,Andijan State University,Uzbekistan,Andijan State University,https://openalex.org/I1300976906,3104,5218,23,126,0.5543710021321961
U000140,Anglia Ruskin University (ARU),United Kingdom,Anglia Ruskin University,https://openalex.org/I51216347,17003,607237,252,8504,3.5411140583554377
U000141,Anglo-American University,Czech Republic,Anglo-American University,https://openalex.org/I304688913,236,2529,22,47,1.6470588235294117
U000144,Ankara University,Turkey,Ankara University,https://openalex.org/I149218525,71007,2396886,374,48510,1.996561488673139
U000147,Annamalai University,India,Annamalai University,https://openalex.org/I197081775,24635,886091,259,17385,1.9780934039480016
U000149,Aoyama Gakuin University,Japan,Aoyama Gakuin University,https://openalex.org/I131231118,11823,369860,188,6465,1.9995915032679736
U000150,Applied Science Private University,Jordan,Applied Science Private University,https://openalex.org/I146367977,10766,238973,151,4669,6.080909347641909
U000152,"Arab Academy for Science, Technology and Maritime Transport",Egypt,"Arab Academy for Science, Technology, and Maritime Transport",https://openalex.org/I59272784,9209,158259,121,4099,3.5434991974317818
U000153,Arab American University,Palestine,Arab American University,https://openalex.org/I53620714,2934,42253,75,1116,3.0150259067357514
U000154,Arab Open University,Kuwait,Arab Open University,https://openalex.org/I4210117413,350,2486,24,59,2.834437086092715
U000157,Arabian Gulf University,Bahrain,Arabian Gulf University,https://openalex.org/I53218197,4666,146750,119,2819,2.594169669177858
U000158,Arak University,Iran,Arak University,https://openalex.org/I35510649,8327,212809,129,5430,3.215258855585831
U000159,Arak University of Medical Sciences,Iran,Arak University of Medical Sciences,https://openalex.org/I133903919,5921,185520,145,3228,3.857729138166895
