university_id,university_name,country,matched_name,score,institution_id,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness
U001647,Paris-Sud University,France,Université Paris-Sud,97.43589743589743,https://openalex.org/I102197404,108506,18407742,1196,201135,2.08238851095994
U001650,Paul Valéry University Montpellier,France,Université Paul-Valéry Montpellier,98.50746268656717,https://openalex.org/I208215962,13533,90241,115,1620,0.761049723756906
U001652,Pavlov First Saint Petersburg State Medical University,Russian Federation,First Pavlov State Medical University of St. Petersburg,94.44444444444444,https://openalex.org/I2799540354,10418,190972,138,3513,0.9820092985647868
U001669,Pharos University,Egypt,ARS University,90.32258064516128,https://openalex.org/I4391768133,2651,9955,35,198,0.1801261829652997
U001689,Polytechnic University of Turin,Italy,Turin Polytechnic University,94.91525423728814,https://openalex.org/I4210142780,4307,23870,54,538,0.7205623901581723
U001691,Pompeu Fabra University,Spain,Universitat Pompeu Fabra,93.61702127659575,https://openalex.org/I170486558,51382,4453803,711,42454,3.5332081670969258
U001699,Pontifical Javeriana University,Colombia,Pontifical Lateran University,90.0,https://openalex.org/I37677194,685,4815,40,105,0.5764705882352941
U001705,Pontificia Universidad Catolica Madre y Maestra,Dominican Republic,Pontificia Universidad Católica Madre y Maestra,97.87234042553192,https://openalex.org/I159110448,1626,16575,63,382,1.250965250965251
U001715,Poznan University of Life Sciences,Poland,University of Life Sciences in Poznań,94.28571428571428,https://openalex.org/I55783418,21953,562410,185,14235,2.789706106289021
U001730,Prydniprovska State Academy of Civil Engineering and Architecture,Ukraine,Prydniprovs’ka State Academy of Civil Engineering and Architecture,96.18320610687023,https://openalex.org/I4210096669,1355,7634,36,177,0.5338491295938105
U001745,Qom University of Medical Sciences,Iran,PAMO University of Medical Sciences,92.7536231884058,https://openalex.org/I4391767791,324,3347,28,96,1.0633802816901408
U001763,Rajshahi University,Bangladesh,University of Rajshahi,92.6829268292683,https://openalex.org/I902853133,15906,425670,180,9581,3.3321352244025646
U001767,RCSI University of Medicine and Health Sciences,Ireland,University of Medicine and Health Sciences,94.3820224719101,https://openalex.org/I264019182,899,10254,40,249,1.1160220994475138
U001779,Riga Stradins University,Latvia,Riga Stradiņš University,95.65217391304348,https://openalex.org/I4210126294,8433,157256,133,3578,1.954511558538404
U001791,Rovira i Virgili University,Spain,Universitat Rovira i Virgili,94.54545454545455,https://openalex.org/I55952717,36337,2623012,421,44388,2.6923704307852008
U001804,RUDN University,Russia,Arden University,90.32258064516128,https://openalex.org/I4210143921,705,8701,44,167,2.9206349206349205
U001805,Ruhr-Universität Bochum,Germany,Ruhr University Bochum,93.33333333333333,https://openalex.org/I904495901,121089,7511428,640,126135,2.8999217948091305
U001814,"Rutgers, The State University of New Jersey, Camden",United States,"Rutgers, The State University of New Jersey",92.3076923076923,https://openalex.org/I102322142,251021,21397152,1131,271329,3.5048593432281407
U001825,Sabancı University,Turkey,Saba University,93.75,https://openalex.org/I4210160202,653,7773,50,167,1.505050505050505
U001826,Sabanci University,Turkey,Saba University,90.9090909090909,https://openalex.org/I4210160202,653,7773,50,167,1.505050505050505
U001851,Samarkand State Medical University,Uzbekistan,Samara State Medical University,95.38461538461537,https://openalex.org/I4210127240,6087,42429,67,928,0.6154169292165511
U001852,Samarkand State University,Uzbekistan,Samara State University,93.87755102040816,https://openalex.org/I4387156369,0,0,0,0,0.0
U001902,Shaheed Zulfiqar Ali Bhutto Medical University,Pakistan,"Shaheed Zulfiqar Ali Bhutto Medical University, Islamabad",90.19607843137256,https://openalex.org/I4405254472,0,0,0,0,0.0
U001912,Shahrood University of Technology,Iran,Sahand University of Technology,90.625,https://openalex.org/I107853901,7995,321829,154,7872,4.504971376920759
U001934,Showa University,Japan,Chowan University,90.9090909090909,https://openalex.org/I75722487,133,1783,21,34,1.6153846153846154
U001937,"Siberian Federal University, SibFU",Russia,Siberian Federal University,90.0,https://openalex.org/I4853710,15824,276955,148,6749,1.673972106502445
U001967,"Solent University, Southampton",United Kingdom,Southampton Solent University,100.0,https://openalex.org/I156118397,2526,48463,94,1011,3.0062015503875967
U001976,Sorbonne University,France,Sorbonne Université,97.2972972972973,https://openalex.org/I39804081,393446,36438131,1475,452305,3.903368360443357
U002001,SRUC (Scotland’s Rural College),United Kingdom,Scotland's Rural College,90.56603773584906,https://openalex.org/I260719752,6890,281718,203,4700,2.820473644003056
U002005,St. Louis University,United States,Saint Louis University,92.6829268292683,https://openalex.org/I187476118,3727,120491,157,1796,1.784586228679722
U002011,Staffordshire University,United Kingdom,University of Staffordshire,94.11764705882352,https://openalex.org/I198012923,11604,362495,209,6271,2.5131313131313133
