university_name,normalized_name,country,year,source
Goethe-University Frankfurt am Main,goethe university frankfurt am main,Germany,2017,QS
University of Gothenburg,university of gothenburg,Sweden,2017,QS
Kyung Hee University,kyung hee university,South Korea,2017,QS
ENS Paris-Saclay,ens paris saclay,France,2017,QS
Ecole des Ponts ParisTech,ecole des ponts paristech,France,2017,QS
Universidad Nacional de Colombia,universidad nacional de colombia,Colombia,2017,QS
Universiti Putra Malaysia (UPM),universiti putra malaysia,Malaysia,2017,QS
"University of California, Riverside",university of california riverside,United States,2017,QS
Universidad de los Andes,universidad de los andes,Colombia,2017,QS
Friedrich-Alexander-Universität Erlangen-Nürnberg,friedrich alexander universitat erlangen nurnberg,Germany,2017,QS
University of Strathclyde,university of strathclyde,United Kingdom,2017,QS
Wuhan University,wuhan university,China (Mainland),2017,QS
Queensland University of Technology (QUT),queensland university of technology,Australia,2017,QS
North Carolina State University,north carolina state university,United States,2017,QS
Harbin Institute of Technology,harbin institute of technology,China (Mainland),2017,QS
Hong Kong Baptist University,hong kong baptist university,Hong Kong SAR,2017,QS
Universidad Carlos III de Madrid (UC3M),universidad carlos iii de madrid,Spain,2017,QS
"Birkbeck, University of London",birkbeck university of london,United Kingdom,2017,QS
Linköping University,linkoping university,Sweden,2017,QS
Mahidol University,mahidol university,Thailand,2017,QS
Universitat Pompeu Fabra (Barcelona),universitat pompeu fabra,Spain,2017,QS
University College Cork,university college cork,Ireland,2017,QS
King Abdulaziz University (KAU),king abdulaziz university,Saudi Arabia,2017,QS
Dalhousie University,dalhousie university,Canada,2017,QS
University of South Australia,university of south australia,Australia,2017,QS
Universiti Teknologi Malaysia ,universiti teknologi malaysia,Malaysia,2017,QS
University of St.Gallen (HSG),university of st gallen,Switzerland,2017,QS
Indiana University Bloomington,indiana university bloomington,United States,2017,QS
University of Ottawa,university of ottawa,Canada,2017,QS
Novosibirsk State University,novosibirsk state university,Russia,2017,QS
Westfälische Wilhelms-Universität Münster ,westfalische wilhelms universitat munster,Germany,2017,QS
Umea University,umea university,Sweden,2017,QS
"University of California, Santa Cruz",university of california santa cruz,United States,2017,QS
Sun Yat-sen University,sun yat sen university,China (Mainland),2017,QS
Hiroshima University,hiroshima university,Japan,2017,QS
Universität Innsbruck,universitat innsbruck,Austria,2017,QS
Boston College,boston college,United States,2017,QS
Rutgers University–New Brunswick,rutgers universitynew brunswick,United States,2017,QS
Charles University,charles university,Czech Republic,2017,QS
Universiti Kebangsaan Malaysia (UKM),universiti kebangsaan malaysia,Malaysia,2017,QS
Indian Institute of Technology Kanpur (IITK),indian institute of technology kanpur,India,2017,QS
Politecnico di Torino,politecnico di torino,Italy,2017,QS
Curtin University,curtin university,Australia,2017,QS
Bauman Moscow State Technical University,bauman moscow state technical university,Russia,2017,QS
Universidad Austral,universidad austral,Argentina,2017,QS
National Yang Ming University,national yang ming university,Taiwan,2017,QS
National Taiwan Normal University,national taiwan normal university,Taiwan,2017,QS
Pontificia Universidad Católica Argentina,pontificia universidad catolica argentina,Argentina,2017,QS
Rensselaer Polytechnic Institute,rensselaer polytechnic institute,United States,2017,QS
Indian Institute of Technology Kharagpur (IIT-KGP),indian institute of technology kharagpur,India,2017,QS
"City, University of London",city university of london,United Kingdom,2017,QS
Nankai University,nankai university,China (Mainland),2017,QS
Tongji University,tongji university,China (Mainland),2017,QS
Université de Liège,universite de liege,Belgium,2017,QS
Xi’an Jiaotong University,xian jiaotong university,China (Mainland),2017,QS
Tampere University of Technology ,tampere university of technology,Finland,2017,QS
Ben-Gurion University of The Negev,ben gurion university of the negev,Israel,2017,QS
Universidade Federal do Rio de Janeiro,universidade federal do rio de janeiro,Brazil,2017,QS
Universitat Politècnica de Catalunya · BarcelonaTech (UPC),universitat politecnica de catalunya barcelonatech,Spain,2017,QS
University of Porto,university of porto,Portugal,2017,QS
University of Waikato,university of waikato,New Zealand,2017,QS
Universitas Indonesia,universitas indonesia,Indonesia,2017,QS
University of Victoria (UVic),university of victoria,Canada,2017,QS
Université de Montpellier,universite de montpellier,France,2017,QS
Heriot-Watt University,heriot watt university,United Kingdom,2017,QS
Tokyo Medical and Dental University (TMDU),tokyo medical and dental university,Japan,2017,QS
University of Lisbon ,university of lisbon,Portugal,2017,QS
Universiti Sains Malaysia (USM),universiti sains malaysia,Malaysia,2017,QS
Tilburg University,tilburg university,Netherlands,2017,QS
"Essex, University of",essex university of,United Kingdom,2017,QS
Yeshiva University,yeshiva university,United States,2017,QS
Ewha Womans University,ewha womans university,South Korea,2017,QS
Griffith University,griffith university,Australia,2017,QS
Gwangju Institute of Science and Technology (GIST),gwangju institute of science and technology,South Korea,2017,QS
Università di Padova,universita di padova,Italy,2017,QS
University of Jyväskylä,university of jyvaskyla,Finland,2017,QS
Massey University,massey university,New Zealand,2017,QS
James Cook University,james cook university,Australia,2017,QS
University at Buffalo SUNY,university at buffalo suny,United States,2017,QS
Lincoln University ,lincoln university,New Zealand,2017,QS
University of Hawaiʻi at Mānoa,university of hawaii at manoa,United States,2017,QS
Brunel University London,brunel university london,United Kingdom,2017,QS
L.N. Gumilyov Eurasian National University (ENU),l n gumilyov eurasian national university,Kazakhstan,2017,QS
University of Cologne,university of cologne,Germany,2017,QS
University of Tartu,university of tartu,Estonia,2017,QS
University Ulm,university ulm,Germany,2017,QS
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),moscow institute of physics and technology,Russia,2017,QS
MGIMO University,mgimo university,Russia,2017,QS
Universität Konstanz,universitat konstanz,Germany,2017,QS
Universidad de Belgrano,universidad de belgrano,Argentina,2017,QS
Belarusian State University,belarusian state university,Belarus,2017,QS
Deakin University,deakin university,Australia,2017,QS
"Université Paris-Dauphine, Université PSL",universite paris dauphine universite psl,France,2017,QS
Aston University,aston university,United Kingdom,2017,QS
University of Witwatersrand,university of witwatersrand,South Africa,2017,QS
Oxford Brookes University,oxford brookes university,United Kingdom,2017,QS
Virginia Polytechnic Institute and State University,virginia polytechnic institute and state university,United States,2017,QS
Northeastern University,northeastern university,United States,2017,QS
George Washington University,george washington university,United States,2017,QS
Universität Jena,universitat jena,Germany,2017,QS
The American University in Cairo,the american university in cairo,Egypt,2017,QS
University of Warsaw ,university of warsaw,Poland,2017,QS
Universidade Nova de Lisboa,universidade nova de lisboa,Portugal,2017,QS
University of Kent,university of kent,United Kingdom,2017,QS
Kobe University,kobe university,Japan,2017,QS
University of Milan,university of milan,Italy,2017,QS
University of Tasmania,university of tasmania,Australia,2017,QS
Université Laval,universite laval,Canada,2017,QS
University of Kansas,university of kansas,United States,2017,QS
University of the Philippines,university of the philippines,Philippines,2017,QS
Aalborg University,aalborg university,Denmark,2017,QS
"University of Colorado, Denver ",university of colorado denver,United States,2017,QS
Université Paris Descartes,universite paris descartes,France,2017,QS
Tomsk State University,tomsk state university,Russia,2017,QS
University of Tromsø The Arctic University of Norway,university of troms the arctic university of norway,Norway,2017,QS
Dublin City University,dublin city university,Ireland,2017,QS
University of Texas Dallas,university of texas dallas,United States,2017,QS
University of Eastern Finland,university of eastern finland,Finland,2017,QS
V. N. Karazin Kharkiv National University,v n karazin kharkiv national university,Ukraine,2017,QS
American University,american university,United States,2017,QS
University of Stirling,university of stirling,United Kingdom,2017,QS
Colorado State University,colorado state university,United States,2017,QS
Chung-Ang University (CAU),chung ang university,South Korea,2017,QS
La Trobe University,la trobe university,Australia,2017,QS
Beijing Institute of Technology,beijing institute of technology,China (Mainland),2017,QS
"Stony Brook University, State University of New York",stony brook university state university of new york,United States,2017,QS
Swansea University,swansea university,United Kingdom,2017,QS
University of Southern Denmark (SDU),university of southern denmark,Denmark,2017,QS
University of Iowa,university of iowa,United States,2017,QS
Qatar University,qatar university,Qatar,2017,QS
Stellenbosch University,stellenbosch university,South Africa,2017,QS
Washington State University,washington state university,United States,2017,QS
National Sun Yat-sen University,national sun yat sen university,Taiwan,2017,QS
National Technical University of Athens,national technical university of athens,Greece,2017,QS
Indian Institute of Technology Roorkee (IITR),indian institute of technology roorkee,India,2017,QS
Leibniz University Hannover,leibniz university hannover,Germany,2017,QS
National Research Tomsk Polytechnic University,national research tomsk polytechnic university,Russia,2017,QS
Bandung Institute of Technology (ITB),bandung institute of technology,Indonesia,2017,QS
Brandeis University,brandeis university,United States,2017,QS
