year,country,region,country_avg_rank,universities_ranked_count,best_university_rank,country_avg_overall_score,country_avg_academic_reputation,country_avg_citations,country_avg_international_ratio
2026,Australia,Oceania,373.87,43,19.0,53.68,42.18,66.97,30.67
2019,Mexico,Latin America,894.86,28,113.0,25.76,24.77,26.67,300.7
2023,France,Europe,740.97,64,26.0,40.45,29.99,32.58,20.31
2018,Saudi Arabia,Asia,580.27,11,173.0,35.32,38.14,36.97,190.87
2022,Lebanon,Asia,660.39,9,242.0,46.54,43.5,47.73,9.39
2024,United Kingdom,Europe,519.27,121,2.0,45.05,32.02,36.12,30.03
2017,Brazil,Latin America,688.66,44,120.0,26.37,26.92,26.19,161.3
2025,Taiwan,Asia,1141.86,51,68.0,29.65,22.44,21.41,8.51
2020,Russia,Europe,466.62,25,84.0,30.62,30.18,30.19,14.4
2025,Iran,Asia,1110.58,72,410.0,32.58,32.54,33.08,4.0
2020,Japan,Asia,883.41,111,22.0,24.58,24.14,24.31,4.17
2023,Germany,Europe,384.76,86,33.0,49.01,40.16,41.14,19.89
2019,China,Asia,866.66,38,344.0,23.76,22.72,24.48,3.45
2022,Poland,Europe,1048.53,33,308.0,27.75,28.39,26.78,360.38
2024,Cuba,Latin America,1110.8,5,645.5,42.86,12.57,5.16,21.4
2023,Morocco,Africa,1371.44,9,1175.0,21.09,18.66,18.38,3.04
2020,Brunei,Asia,338.5,2,298.0,31.75,34.78,30.62,18.85
2023,Pakistan,Asia,886.3,33,334.0,31.66,23.26,27.66,3.36
2021,Denmark,Europe,263.29,7,76.0,51.34,51.66,54.94,14.31
2025,Canada,Americas,563.74,38,25.0,44.39,29.08,38.62,22.7
2023,Colombia,Americas,1132.64,39,220.0,31.32,17.49,9.26,14.96
2025,Singapore,Asia,262.0,4,8.0,57.58,52.78,67.58,21.76
2025,Australia,Oceania,346.2,45,13.0,48.63,35.98,61.48,26.44
2025,Ireland,Europe,370.9,10,87.0,44.48,35.05,31.66,25.51
2025,Spain,Europe,847.99,80,150.0,37.77,29.99,26.13,15.48
2025,China,Asia,1016.12,52,239.0,34.66,36.01,35.09,2.81
2022,Jordan,Asia,927.65,10,424.0,37.74,37.46,34.98,12.6
