year,Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
2024,80,University of Zurich,Switzerland,69.9,54.8,53.4,91.8,93.7,92.4,
2024,81,University of Bristol,United Kingdom,69.8,48.7,56.5,97.3,72.3,92.5,
2024,82,City University of Hong Kong,Hong Kong,69.3,52.2,52.4,91.1,100.0,98.7,
2024,83,Korea Advanced Institute of Science and Technology (KAIST),South Korea,69.2,67.1,65.8,77.4,100.0,41.6,
2024,84,UNSW Sydney,Australia,68.9,47.2,57.4,91.1,98.6,94.5,
2024,85,University of Minnesota,United States,68.7,61.0,58.5,87.2,99.8,48.3,
2024,86,Purdue University West Lafayette,United States,68.5,64.0,65.3,71.8,84.3,76.7,
2024,87,Humboldt University of Berlin,Germany,68.2,55.3,63.7,82.8,65.4,79.0,=
2024,87,The Hong Kong Polytechnic University,Hong Kong,68.2,45.7,54.1,94.5,87.4,96.3,=
2024,87,University of Glasgow,United Kingdom,68.2,48.1,51.8,96.8,69.7,96.1,=
2024,90,RWTH Aachen University,Germany,68.0,54.9,64.8,78.9,100.0,71.2,
2024,91,University of Bonn,Germany,67.8,51.7,57.7,89.7,82.6,73.8,
2024,92,"University of California, Irvine",United States,67.4,47.1,53.8,93.2,96.1,80.9,=
2024,92,Vanderbilt University,United States,67.4,54.1,48.5,96.0,96.5,62.9,=
2024,94,Charité - Universitätsmedizin Berlin,Germany,67.2,47.5,49.1,97.7,100.0,75.2,
2024,95,Lomonosov Moscow State University,Russian Federation,67.0,87.5,75.2,33.9,91.1,73.8,=
2024,95,University of Tübingen,Germany,67.0,49.1,56.5,89.0,99.8,72.0,=
2024,97,KTH Royal Institute of Technology,Sweden,66.9,53.5,57.8,81.0,97.7,82.5,=
2024,97,University of Southampton,United Kingdom,66.9,48.9,50.1,92.7,73.1,96.5,=
2024,99,Erasmus University Rotterdam,Netherlands,66.7,38.5,54.1,96.9,94.7,90.6,=
2024,99,Ohio State University (Main campus),United States,66.7,55.8,52.7,88.4,85.0,67.3,=
2024,101,University of Birmingham,United Kingdom,66.6,46.1,49.3,95.5,72.1,95.1,
2024,102,Free University of Berlin,Germany,66.5,52.1,59.7,82.5,71.6,82.4,
2024,103,McMaster University,Canada,66.3,43.8,51.3,93.0,100.0,87.3,=
2024,103,University of Copenhagen,Denmark,66.3,49.2,51.1,91.3,89.5,80.1,=
2024,105,University of Sheffield,United Kingdom,66.2,48.0,49.5,92.3,77.5,92.0,
2024,106,Emory University,United States,66.1,53.1,45.7,95.5,81.6,69.3,=
2024,106,Lund University,Sweden,66.1,46.7,56.6,86.6,99.8,79.8,=
2024,106,University of Warwick,United Kingdom,66.1,48.1,52.1,89.0,70.5,96.4,=
2024,109,Aarhus University,Denmark,65.9,44.9,59.0,86.3,98.7,76.3,=
2024,109,University of Alberta,Canada,65.9,50.1,55.5,80.9,99.9,90.7,=
2024,111,Université de Montréal,Canada,65.8,51.2,54.1,81.7,96.6,87.7,=
2024,111,University of Adelaide,Australia,65.8,42.4,50.6,92.8,95.0,92.9,=
2024,111,University of Göttingen,Germany,65.8,50.0,54.8,90.1,70.8,70.7,=
2024,114,"University of Maryland, College Park",United States,65.7,49.4,58.1,92.8,70.2,48.6,
2024,115,Ghent University,Belgium,65.6,47.2,59.3,85.3,99.7,65.7,
2024,116,Michigan State University,United States,65.4,54.8,52.3,86.2,70.0,71.4,=
2024,116,University of Bern,Switzerland,65.4,45.1,47.0,93.3,99.2,87.0,=
2024,118,Texas A&M University,United States,65.3,55.2,62.1,77.3,76.4,64.1,
2024,119,Rice University,United States,65.2,56.4,45.6,86.5,73.9,85.8,=
2024,119,University of Vienna,Austria,65.2,48.7,60.3,77.4,75.9,94.9,=
2024,121,University of Helsinki,Finland,65.1,48.1,57.6,90.6,69.2,56.7,
2024,122,Penn State (Main campus),United States,65.0,53.1,58.7,83.7,70.4,58.4,
2024,123,University of Basel,Switzerland,64.9,50.8,42.9,87.7,99.4,95.4,=
2024,123,University of Massachusetts,United States,64.9,54.0,46.9,87.3,85.6,77.3,=
2024,125,Vrije Universiteit Amsterdam,Netherlands,64.7,40.4,51.0,93.4,91.5,84.3,
2024,126,Technical University of Denmark,Denmark,64.6,50.7,47.4,83.2,99.7,92.2,
2024,127,University of Oslo,Norway,64.3,45.6,50.6,92.1,72.3,75.6,
2024,128,University of Freiburg,Germany,64.1,46.7,51.3,86.2,100.0,74.2,
2024,129,University of Leeds,United Kingdom,63.9,46.1,49.1,87.3,68.8,94.6,
2024,130,Tohoku University,Japan,63.8,67.8,66.4,53.8,99.9,58.5,=
2024,130,University of Nottingham,United Kingdom,63.8,45.6,45.9,90.6,71.2,92.8,=
2024,132,University of Florida,United States,63.7,55.5,56.7,78.3,88.9,50.9,
2024,133,University of Rochester,United States,63.6,50.8,42.9,88.3,89.0,81.7,
2024,134,Trinity College Dublin,Ireland,63.2,44.0,48.4,87.6,76.6,91.4,
2024,135,Queen Mary University of London,United Kingdom,63.1,37.6,42.6,97.9,73.9,98.1,
2024,136,Technical University of Berlin,Germany,63.0,47.8,55.6,78.1,99.9,71.3,=
2024,136,University of Hamburg,Germany,63.0,44.7,53.3,84.8,98.6,65.7,=
2024,138,Maastricht University,Netherlands,62.9,41.4,47.1,86.1,98.1,97.4,=
2024,138,University of Colorado Boulder,United States,62.9,46.5,51.9,88.6,82.8,56.6,=
2024,140,Karlsruhe Institute of Technology,Germany,62.8,49.9,56.8,72.5,99.9,77.6,=
2024,140,Radboud University Nijmegen,Netherlands,62.8,39.1,51.0,91.3,81.4,77.7,=
2024,140,Uppsala University,Sweden,62.8,43.9,55.0,81.3,97.7,74.7,=
2024,143,The University of Western Australia,Australia,62.7,37.7,48.6,88.7,97.2,93.5,=
2024,143,University of Lausanne,Switzerland,62.7,41.7,46.3,87.3,99.5,90.4,=
2024,145,Sungkyunkwan University (SKKU),South Korea,62.5,55.5,54.2,72.9,98.8,61.3,=
2024,145,University of Pittsburgh-Pittsburgh campus,United States,62.5,49.1,46.1,92.4,76.1,50.9,=
2024,147,University of York,United Kingdom,62.4,42.4,44.8,90.8,66.9,93.1,
2024,148,University of Technology Sydney,Australia,62.3,36.2,43.3,95.9,78.9,94.3,
2024,149,Pohang University of Science and Technology (POSTECH),South Korea,62.2,58.1,51.5,77.2,100.0,40.0,
2024,150,Sichuan University,China,62.0,59.1,57.3,69.3,93.2,46.1,=
2024,150,University of Auckland,New Zealand,62.0,39.7,45.7,88.3,95.8,89.9,=
2024,152,National Taiwan University (NTU),Taiwan,61.9,57.3,54.8,70.8,99.9,51.2,=
2024,152,Université Paris Cité,France,61.9,47.9,42.7,90.6,68.3,73.2,=
2024,152,University of Barcelona,Spain,61.9,42.4,47.3,91.4,83.9,65.2,=
2024,155,Lancaster University,United Kingdom,61.8,40.2,40.7,93.9,66.6,96.8,=
2024,155,University of Arizona,United States,61.8,48.7,51.3,85.7,84.0,47.0,=
2024,155,University of Bologna,Italy,61.8,53.0,44.6,86.5,79.4,54.3,=
2024,158,Huazhong University of Science and Technology,China,61.7,48.8,48.1,90.0,96.9,32.9,=
2024,158,University of Waterloo,Canada,61.7,42.2,49.3,83.7,78.3,89.3,=
2024,160,University of Cologne,Germany,61.5,42.9,47.1,85.6,98.8,73.3,
2024,161,Dartmouth College,United States,61.4,57.3,40.7,84.7,68.4,60.2,=
2024,161,TU Dresden,Germany,61.4,46.6,51.1,79.3,99.7,67.9,=
2024,161,University of Antwerp,Belgium,61.4,38.2,44.4,92.5,98.4,74.7,=
2024,164,Case Western Reserve University,United States,61.3,51.7,40.2,88.7,71.4,65.0,=
2024,164,Wuhan University,China,61.3,50.9,45.0,88.5,90.6,41.0,=
2024,166,University of Virginia (Main campus),United States,61.1,51.1,40.1,88.9,79.9,60.8,
2024,167,University of Cape Town,South Africa,60.9,38.7,47.0,88.3,78.2,82.9,
2024,168,Eindhoven University of Technology,Netherlands,60.8,47.4,51.5,71.3,100.0,87.3,=
2024,168,Harbin Institute of Technology,China,60.8,58.8,55.1,70.9,91.2,33.9,=
2024,168,Newcastle University,United Kingdom,60.8,37.2,41.1,93.8,72.1,91.3,=
2024,168,Scuola Normale Superiore di Pisa,Italy,60.8,60.1,42.6,82.9,34.9,59.3,=
2024,168,Université Catholique de Louvain,Belgium,60.8,39.5,49.4,83.1,92.0,83.1,=
2024,168,University of Liverpool,United Kingdom,60.8,38.4,40.2,93.4,64.9,96.4,=
2024,174,Durham University,United Kingdom,60.6,43.5,44.5,83.5,65.6,95.8,
2024,175,The University of Osaka,Japan,60.4,62.5,65.7,50.5,100.0,51.0,=
2024,175,University of Würzburg,Germany,60.4,40.3,43.4,90.8,99.6,63.2,=
2024,177,Beijing Normal University,China,60.2,57.7,45.8,77.5,67.6,52.3,=
2024,177,University of Exeter,United Kingdom,60.2,33.5,42.5,95.7,52.2,95.5,=
2024,177,University of Ottawa,Canada,60.2,39.6,46.5,84.4,80.2,86.9,=
2024,180,Macquarie University,Australia,60.1,36.7,44.2,87.4,90.9,88.6,
2024,181,Sapienza University of Rome,Italy,60.0,53.5,48.1,77.9,85.4,46.5,
2024,182,Arizona State University (Tempe),United States,59.9,40.9,46.2,87.5,71.5,71.7,
2024,183,University of Geneva,Switzerland,59.8,41.8,38.0,86.7,80.7,97.1,
2024,184,University of Twente,Netherlands,59.7,43.4,46.0,75.1,99.6,93.3,
2024,185,Stockholm University,Sweden,59.6,32.1,49.6,91.0,59.2,81.2,=
2024,185,Tongji University,China,59.6,50.0,53.6,69.5,85.4,67.7,=
2024,187,Georgetown University,United States,59.5,52.6,37.0,85.1,92.2,53.2,=
2024,187,University of Mannheim,Germany,59.5,36.5,45.4,90.2,93.6,63.7,=
2024,189,Chalmers University of Technology,Sweden,59.4,42.7,46.6,79.4,97.1,74.1,
2024,190,Cardiff University,United Kingdom,59.3,35.5,39.6,91.9,70.4,92.5,
2024,191,Tokyo Institute of Technology,Japan,59.2,59.5,63.3,49.4,100.0,60.1,=
2024,191,Tufts University,United States,59.2,51.5,35.0,87.5,71.7,62.8,=
2024,193,Ulm University,Germany,59.0,40.6,41.2,87.9,99.6,63.0,=
2024,193,University of Erlangen-Nuremberg,Germany,59.0,42.6,48.1,79.7,100.0,61.0,=
2024,193,University of Macau,Macao,59.0,38.4,38.1,90.3,61.9,93.7,=
2024,193,University of Münster,Germany,59.0,43.8,47.3,83.7,81.5,53.5,=
2024,193,University of St Andrews,United Kingdom,59.0,46.0,42.6,77.7,63.6,95.8,=
2024,198,Indiana University,United States,58.9,47.3,38.4,84.9,85.8,64.7,
2024,199,Queensland University of Technology,Australia,58.7,33.9,42.1,89.5,85.9,82.2,=
2024,199,Ulsan National Institute of Science and Technology (UNIST),South Korea,58.7,47.7,40.8,85.0,94.6,46.5,=
2024,199,University of Notre Dame,United States,58.7,51.9,42.6,76.1,72.9,69.9,=
2024,201–250,Aalborg University,Denmark,55.9–58.6,33.7,45.0,83.0,80.6,72.4,
2024,201–250,Aalto University,Finland,55.9–58.6,42.0,43.1,79.7,87.2,81.8,
2024,201–250,Curtin University,Australia,55.9–58.6,30.2,36.5,87.5,78.8,94.7,
2024,201–250,Friedrich Schiller University Jena,Germany,55.9–58.6,43.2,42.0,81.8,79.8,69.3,
2024,201–250,George Washington University,United States,55.9–58.6,48.2,35.7,86.0,67.3,66.1,
2024,201–250,Goethe University Frankfurt,Germany,55.9–58.6,40.2,38.2,82.4,74.6,70.8,
2024,201–250,Indian Institute of Science,India,55.9–58.6,62.9,57.8,53.9,96.0,31.1,
2024,201–250,King Fahd University of Petroleum and Minerals,Saudi Arabia,55.9–58.6,37.6,38.7,86.3,90.9,84.8,
2024,201–250,Korea University,South Korea,55.9–58.6,48.6,46.6,72.0,99.7,62.5,
2024,201–250,Medical University of Graz,Austria,55.9–58.6,32.0,33.5,91.6,94.9,81.9,
2024,201–250,Medical University of Vienna,Austria,55.9–58.6,40.0,28.7,93.5,94.1,81.7,
2024,201–250,Moscow Institute of Physics and Technology (MIPT),Russian Federation,55.9–58.6,63.5,48.8,55.1,68.6,72.7,
2024,201–250,Nagoya University,Japan,55.9–58.6,55.3,55.7,54.3,99.5,41.9,
2024,201–250,"Northeastern University, US",United States,55.9–58.6,40.2,33.6,93.3,68.9,83.3,
2024,201–250,Politecnico di Milano,Italy,55.9–58.6,42.9,49.7,71.9,95.3,65.3,
2024,201–250,Pompeu Fabra University,Spain,55.9–58.6,35.9,38.3,90.5,78.4,74.7,
2024,201–250,Queen’s University Belfast,United Kingdom,55.9–58.6,34.0,38.0,88.7,65.0,98.4,
2024,201–250,Rutgers University–New Brunswick,United States,55.9–58.6,46.4,37.2,78.4,80.1,63.7,
2024,201–250,Sant’Anna School of Advanced Studies – Pisa,Italy,55.9–58.6,50.4,39.0,80.1,90.3,60.8,
2024,201–250,Southern University of Science and Technology (SUSTech),China,55.9–58.6,32.9,40.8,92.8,60.3,69.3,
2024,201–250,Sun Yat-sen University,China,55.9–58.6,46.6,39.5,83.2,86.2,39.1,
2024,201–250,Swinburne University of Technology,Australia,55.9–58.6,31.7,34.0,91.3,75.4,85.6,
2024,201–250,Tel Aviv University,Israel,55.9–58.6,40.7,49.7,83.0,76.2,52.9,
2024,201–250,Tianjin University,China,55.9–58.6,46.1,47.6,71.4,93.5,55.3,
2024,201–250,Tilburg University,Netherlands,55.9–58.6,32.8,44.9,80.1,82.6,84.5,
2024,201–250,Universitat Autònoma de Barcelona (UAB),Spain,55.9–58.6,45.1,41.4,84.8,67.6,68.8,
2024,201–250,Université Libre de Bruxelles,Belgium,55.9–58.6,35.8,45.0,83.5,76.4,89.6,
2024,201–250,University College Dublin,Ireland,55.9–58.6,34.3,41.3,84.0,75.1,88.1,
2024,201–250,University of Aberdeen,United Kingdom,55.9–58.6,36.4,35.8,81.8,78.9,97.5,
2024,201–250,University of Calgary,Canada,55.9–58.6,36.5,41.4,81.7,88.8,85.2,
2024,201–250,"University of California, Santa Cruz",United States,55.9–58.6,34.9,39.8,93.3,73.2,77.9,
2024,201–250,University of Gothenburg,Sweden,55.9–58.6,34.0,43.4,90.2,75.4,65.7,
2024,201–250,University of Hawai’i at Mānoa,United States,55.9–58.6,42.0,42.5,75.8,68.3,77.3,
2024,201–250,University of Illinois Chicago,United States,55.9–58.6,50.3,33.9,80.0,76.7,61.0,
2024,201–250,University of Iowa,United States,55.9–58.6,46.1,37.0,79.9,88.6,55.8,
2024,201–250,University of Leicester,United Kingdom,55.9–58.6,33.4,34.2,95.5,67.9,95.1,
2024,201–250,University of Luxembourg,Luxembourg,55.9–58.6,39.6,39.4,78.1,63.0,93.2,
2024,201–250,University of Miami,United States,55.9–58.6,48.5,34.7,83.2,80.4,67.5,
2024,201–250,University of Newcastle,Australia,55.9–58.6,33.8,38.8,85.5,76.5,83.4,
2024,201–250,University of Padua,Italy,55.9–58.6,46.1,38.5,84.1,77.1,53.1,
2024,201–250,University of Potsdam,Germany,55.9–58.6,37.3,44.7,80.4,91.0,68.5,
2024,201–250,University of Reading,United Kingdom,55.9–58.6,37.5,40.6,84.1,70.8,95.5,
2024,201–250,University of São Paulo,Brazil,55.9–58.6,59.8,60.7,57.3,68.2,42.5,
2024,201–250,University of Sussex,United Kingdom,55.9–58.6,29.7,35.6,92.7,66.1,95.4,
2024,201–250,University of Utah,United States,55.9–58.6,43.5,38.5,87.0,83.5,40.9,
2024,201–250,University of Wollongong,Australia,55.9–58.6,36.8,39.3,84.0,91.4,91.7,
2024,201–250,Vrije Universiteit Brussel,Belgium,55.9–58.6,37.8,42.6,80.9,92.4,78.5,
2024,201–250,Western University,Canada,55.9–58.6,40.2,42.9,75.2,99.6,87.5,
2024,251–300,Abu Dhabi University,United Arab Emirates,53.1–55.8,40.8,30.0,85.8,25.5,97.8,
2024,251–300,Beijing Institute of Technology,China,53.1–55.8,45.1,44.0,74.7,82.1,36.8,
2024,251–300,Boston College,United States,53.1–55.8,43.5,30.5,84.6,60.7,57.8,
2024,251–300,Brandeis University,United States,53.1–55.8,36.7,28.3,84.6,64.2,81.4,
2024,251–300,Deakin University,Australia,53.1–55.8,28.3,34.6,91.4,72.2,85.7,
2024,251–300,École Normale Supérieure de Lyon,France,53.1–55.8,58.5,46.8,53.9,78.5,68.0,
2024,251–300,Florida State University,United States,53.1–55.8,38.2,38.6,79.4,68.2,58.8,
2024,251–300,Griffith University,Australia,53.1–55.8,30.5,37.8,82.7,74.6,81.8,
2024,251–300,Heinrich Heine University Düsseldorf,Germany,53.1–55.8,36.7,34.5,82.3,82.2,66.8,
2024,251–300,Humanitas University,Italy,53.1–55.8,32.3,27.9,98.0,62.8,67.1,
2024,251–300,Johannes Gutenberg University of Mainz,Germany,53.1–55.8,39.5,32.6,82.3,89.0,66.0,
2024,251–300,Khalifa University,United Arab Emirates,53.1–55.8,31.7,35.9,78.4,95.6,97.4,
2024,251–300,King Abdulaziz University,Saudi Arabia,53.1–55.8,37.8,28.6,90.7,46.1,75.4,
2024,251–300,Kyung Hee University,South Korea,53.1–55.8,40.3,40.0,71.0,95.9,71.5,
2024,251–300,La Trobe University,Australia,53.1–55.8,28.9,35.4,88.1,73.8,88.2,
2024,251–300,Linköping University,Sweden,53.1–55.8,28.3,41.3,86.4,92.8,70.7,
2024,251–300,Loughborough University,United Kingdom,53.1–55.8,36.5,34.4,77.4,70.2,91.5,
2024,251–300,LUT University,Finland,53.1–55.8,33.4,36.7,91.7,65.1,64.2,
2024,251–300,Macau University of Science and Technology,Macao,53.1–55.8,33.1,34.2,78.9,65.0,94.7,
2024,251–300,Medical University of Innsbruck,Austria,53.1–55.8,33.2,29.3,89.6,98.6,88.3,
2024,251–300,Nankai University,China,53.1–55.8,48.8,31.4,85.3,66.5,49.3,
2024,251–300,North Carolina State University,United States,53.1–55.8,46.0,41.4,73.3,79.1,61.8,
2024,251–300,Qatar University,Qatar,53.1–55.8,31.3,35.6,83.4,61.8,96.0,
2024,251–300,Queen’s University,Canada,53.1–55.8,37.5,38.0,72.3,94.0,76.0,
2024,251–300,RCSI University of Medicine and Health Sciences,Ireland,53.1–55.8,32.3,36.6,81.7,76.9,91.6,
2024,251–300,RMIT University,Australia,53.1–55.8,35.5,36.2,83.2,73.2,92.8,
2024,251–300,Ruhr University Bochum,Germany,53.1–55.8,39.8,46.7,72.2,85.9,60.0,
2024,251–300,Sejong University,South Korea,53.1–55.8,31.4,34.5,94.0,73.8,68.6,
2024,251–300,Semmelweis University,Hungary,53.1–55.8,45.2,27.8,76.9,66.4,79.9,
2024,251–300,Simon Fraser University,Canada,53.1–55.8,28.7,36.7,84.2,83.1,92.9,
2024,251–300,South China University of Technology,China,53.1–55.8,36.6,38.2,83.2,92.8,44.0,
2024,251–300,Stony Brook University,United States,53.1–55.8,43.6,29.7,81.4,66.5,78.8,
2024,251–300,Swansea University,United Kingdom,53.1–55.8,27.6,30.2,89.7,62.8,89.5,
2024,251–300,Technical University of Darmstadt,Germany,53.1–55.8,42.4,48.1,62.6,99.8,65.4,
2024,251–300,TU Wien,Austria,53.1–55.8,43.8,44.1,57.6,96.2,86.7,
2024,251–300,Università della Svizzera italiana,Switzerland,53.1–55.8,34.8,26.4,84.0,88.3,98.5,
2024,251–300,Université Laval,Canada,53.1–55.8,40.7,38.7,73.7,94.2,76.2,
2024,251–300,University of Bath,United Kingdom,53.1–55.8,34.7,35.1,80.5,65.3,95.0,
2024,251–300,University of Bergen,Norway,53.1–55.8,36.7,33.9,84.2,69.4,76.3,
2024,251–300,"University of California, Riverside",United States,53.1–55.8,35.9,35.4,85.7,70.6,77.0,
2024,251–300,University of East Anglia,United Kingdom,53.1–55.8,31.1,32.0,90.9,51.6,88.7,
2024,251–300,University of Hohenheim,Germany,53.1–55.8,35.0,35.5,85.7,80.5,61.7,
2024,251–300,University of Konstanz,Germany,53.1–55.8,39.8,44.4,71.5,97.4,76.4,
2024,251–300,University of Malaya,Malaysia,53.1–55.8,43.4,35.4,72.6,52.5,84.7,
2024,251–300,University of Oulu,Finland,53.1–55.8,33.1,38.2,84.1,66.0,59.5,
2024,251–300,University of Southern Denmark,Denmark,53.1–55.8,29.8,33.5,89.1,91.5,76.9,
2024,251–300,University of South Florida,United States,53.1–55.8,31.7,36.4,87.6,99.9,66.7,
2024,251–300,University of Stuttgart,Germany,53.1–55.8,44.8,49.5,63.1,99.6,58.9,
2024,251–300,University of Surrey,United Kingdom,53.1–55.8,31.3,34.5,88.0,73.0,96.8,
2024,251–300,University of Tasmania,Australia,53.1–55.8,31.6,38.4,82.0,70.5,90.9,
2024,251–300,Virginia Polytechnic Institute and State University,United States,53.1–55.8,42.5,39.4,78.8,76.7,65.4,
2024,251–300,Vita-Salute San Raffaele University,Italy,53.1–55.8,34.6,26.9,98.3,66.8,49.8,
2024,251–300,Xi’an Jiaotong University,China,53.1–55.8,46.9,48.0,70.0,98.3,37.8,
