year,Rank,Name,Country,No. of FTE students,No. of students per staff,International students,Female:Male ratio,rank_prefix
2024,1,University of Oxford,United Kingdom,"21,750",10.9,42%,49 : 51,
2024,2,Stanford University,United States,"14,517",6.4,23%,47 : 53,
2024,3,Massachusetts Institute of Technology,United States,"11,085",8.0,33%,41 : 59,
2024,4,Harvard University,United States,"20,050",9.0,25%,51 : 49,
2024,5,University of Cambridge,United Kingdom,"20,565",11.5,38%,48 : 52,
2024,6,Princeton University,United States,"7,753",7.3,23%,47 : 53,
2024,7,California Institute of Technology,United States,"2,240",6.1,33%,37 : 63,
2024,8,Imperial College London,United Kingdom,"20,275",11.8,61%,42 : 58,
2024,9,"University of California, Berkeley",United States,"39,991",17.9,22%,52 : 48,
2024,10,Yale University,United States,"11,924",5.2,21%,51 : 49,
2024,11,ETH Zurich,Switzerland,"22,619",15.4,43%,33 : 67,
2024,12,Tsinghua University,China,"38,518",11.2,10%,,
2024,13,The University of Chicago,United States,"15,792",6.2,36%,47 : 53,
2024,14,Peking University,China,"33,064",10.9,14%,,
2024,15,Johns Hopkins University,United States,"15,772",4.1,28%,56 : 44,
2024,16,University of Pennsylvania,United States,"21,312",6.2,22%,54 : 46,
2024,17,Columbia University,United States,"25,914",5.2,35%,,
2024,18,"University of California, Los Angeles",United States,"42,634",9.6,15%,56 : 44,
2024,19,National University of Singapore,Singapore,"33,334",20.0,24%,49 : 51,
2024,20,Cornell University,United States,"23,620",10.0,24%,51 : 49,
2024,21,University of Toronto,Canada,"79,282",25.8,27%,56 : 44,
2024,22,UCL,United Kingdom,"41,110",11.3,61%,59 : 41,
2024,23,University of Michigan-Ann Arbor,United States,"45,783",8.1,16%,51 : 49,
2024,24,Carnegie Mellon University,United States,"13,562",11.9,44%,44 : 56,
2024,25,University of Washington,United States,"49,486",10.1,16%,56 : 44,
2024,26,Duke University,United States,"15,527",3.9,18%,52 : 48,
2024,27,New York University,United States,"48,461",11.8,42%,58 : 42,
2024,28,Northwestern University,United States,"18,894",13.1,18%,52 : 48,
2024,29,The University of Tokyo,Japan,"26,345",10.3,15%,,
2024,30,Technical University of Munich,Germany,"35,506",44.4,39%,37 : 63,=
2024,30,University of Edinburgh,United Kingdom,"33,940",11.5,46%,61 : 39,=
2024,32,"Nanyang Technological University, Singapore",Singapore,"25,895",16.7,27%,49 : 51,
2024,33,École Polytechnique Fédérale de Lausanne,Switzerland,"12,543",13.5,64%,30 : 70,
2024,34,"University of California, San Diego",United States,"40,596",12.0,19%,45 : 55,
2024,35,University of Hong Kong,Hong Kong,"18,103",18.3,43%,55 : 45,
2024,36,Georgia Institute of Technology,United States,"32,079",28.0,29%,34 : 66,
2024,37,University of Melbourne,Australia,"51,307",25.1,47%,58 : 42,
2024,38,King’s College London,United Kingdom,"32,835",13.9,53%,63 : 37,=
2024,38,LMU Munich,Germany,"34,622",33.5,18%,62 : 38,=
2024,40,Paris Sciences et Lettres – PSL Research University Paris,France,"16,120",15.0,22%,51 : 49,
2024,41,University of British Columbia,Canada,"58,987",19.4,34%,55 : 45,
2024,42,University of Illinois at Urbana-Champaign,United States,"50,250",19.6,23%,51 : 49,
2024,43,Shanghai Jiao Tong University,China,"38,472",12.6,9%,37 : 63,
2024,44,Fudan University,China,"38,101",12.6,9%,52 : 48,
2024,45,KU Leuven,Belgium,"49,435",37.3,19%,52 : 48,
2024,46,London School of Economics and Political Science,United Kingdom,"11,945",12.6,72%,56 : 44,
2024,47,Universität Heidelberg,Germany,"19,315",13.3,20%,55 : 45,
2024,48,Delft University of Technology,Netherlands,"21,262",15.9,30%,31 : 69,
2024,49,McGill University,Canada,"30,821",11.9,29%,61 : 39,
2024,50,Karolinska Institute,Sweden,"8,085",9.9,27%,70 : 30,
2024,51,University of Manchester,United Kingdom,"40,725",15.6,45%,56 : 44,
2024,52,University of Texas at Austin,United States,"48,558",16.4,8%,55 : 45,
2024,53,The Chinese University of Hong Kong,Hong Kong,"18,290",18.8,25%,,
2024,54,Monash University,Australia,"58,460",43.1,38%,56 : 44,
2024,55,Kyoto University,Japan,"21,817",9.0,11%,25 : 75,=
2024,55,Zhejiang University,China,"48,169",12.0,16%,,=
2024,57,University of Science and Technology of China,China,"20,252",8.1,5%,,
2024,58,Université Paris-Saclay,France,"31,662",13.0,24%,50 : 50,
2024,59,"University of California, Davis",United States,"37,926",13.3,18%,60 : 40,
2024,60,The University of Sydney,Australia,"57,414",23.1,51%,58 : 42,
