institution_id,display_name,country_code,type,homepage_url,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness
https://openalex.org/I1289243028,Oak Ridge National Laboratory,US,facility,https://www.ornl.gov,136032,12321098,893,162056,3.3442202930275364
https://openalex.org/I146399215,University of Tsukuba,JP,education,https://www.tsukuba.ac.jp,136021,9328744,673,153052,2.4285110876451954
https://openalex.org/I108290504,University of Pisa,IT,education,https://www.unipi.it,135576,12596425,892,183600,3.8475981662348016
https://openalex.org/I865915315,Vrije Universiteit Amsterdam,NL,education,https://vu.nl/,135363,11597115,944,136206,3.6611611891831366
https://openalex.org/I4210097159,Assistance Publique – Hôpitaux de Paris,FR,healthcare,http://www.aphp.fr/,134857,19264942,1145,237282,4.649412552818716
https://openalex.org/I183519381,Capital Medical University,CN,education,https://www.ccmu.edu.cn,133392,8174374,622,171809,3.3163905383931085
https://openalex.org/I76835614,University of Missouri,US,education,http://missouri.edu/,133365,8964817,749,131077,2.639241305308338
https://openalex.org/I145487455,Cairo University,EG,education,http://cu.edu.eg/Home,132809,3686210,536,83014,2.5489946051986268
https://openalex.org/I180923762,University of Cologne,DE,education,http://www.portal.uni-koeln.de/,132396,9493666,796,134462,2.9860130302063874
https://openalex.org/I114457229,University of Geneva,CH,education,https://www.unige.ch/,132254,15740717,1013,175843,4.136520167018208
https://openalex.org/I148366613,National Yang Ming Chiao Tung University,TW,education,https://www.nycu.edu.tw/,131108,8191624,596,160561,3.181079651973273
https://openalex.org/I4210147576,The National Coalition on Black Civic Participation,US,nonprofit,https://www.ncbcp.org/,130984,191,6,6,0.125
https://openalex.org/I2613432,University of South Florida,US,education,http://www.usf.edu/,130590,8009453,741,108519,2.378043509580752
https://openalex.org/I59553526,Stony Brook University,US,education,https://www.stonybrook.edu,130234,13827979,923,162177,3.661706602090237
https://openalex.org/I185443292,Wayne State University,US,education,https://wayne.edu/,130164,10977415,748,157483,2.688793895287218
https://openalex.org/I16097986,Universitat de València,ES,education,https://www.uv.es,130027,11249751,782,163860,3.6811865557941883
https://openalex.org/I161593684,Stockholm University,SE,education,https://www.su.se,129948,12465203,951,137705,4.06996186564975
https://openalex.org/I63135867,University of Cincinnati,US,education,http://www.uc.edu/,129584,9927527,774,130670,3.4375797532964696
https://openalex.org/I24354313,Universidad de Buenos Aires,AR,education,https://www.uba.ar,129569,5556278,503,108767,1.7982560874127138
https://openalex.org/I126744593,"University of Maryland, Baltimore",US,education,https://www.umaryland.edu,129542,16325547,1083,171855,3.066678480115434
https://openalex.org/I200777214,National and Kapodistrian University of Athens,GR,education,https://www.uoa.gr,129446,9892736,738,164005,3.5467209903627674
https://openalex.org/I43406934,Université Laval,CA,education,https://www.ulaval.ca,128920,9447732,758,136507,2.7551157156847585
https://openalex.org/I926574661,Leipzig University,DE,education,https://www.uni-leipzig.de/en/,128430,6342513,688,96118,1.2029426955727132
https://openalex.org/I848706,Sungkyunkwan University,KR,education,https://skku.edu,126595,11084140,708,199606,4.8914201401696795
https://openalex.org/I63634437,Universidad Autónoma de Madrid,ES,education,https://www.uam.es,126566,9731014,722,144743,3.4714445987819214
https://openalex.org/I79510175,Cardiff University,GB,education,http://www.cardiff.ac.uk/,126483,13332681,1231,126957,4.219051076545003
https://openalex.org/I39343248,Humboldt-Universität zu Berlin,DE,education,https://www.hu-berlin.de/?set_language=en&cl=en,126082,10314890,780,144701,3.8644666210325322
https://openalex.org/I34352273,Maastricht University,NL,education,https://www.maastrichtuniversity.nl,126075,11187295,843,138412,3.3114747450169313
https://openalex.org/I913481162,Wageningen University & Research,NL,education,https://www.wur.nl/,125451,12350345,927,148591,3.401597096188748
https://openalex.org/I24603500,University of Massachusetts Amherst,US,education,https://www.umass.edu,125100,11115855,890,128843,4.568148404393323
https://openalex.org/I22465464,University of Münster,DE,education,https://www.uni-muenster.de,124425,9159243,716,132673,3.5544667407710757
https://openalex.org/I92446798,Colorado State University,US,education,http://www.colostate.edu/,124145,9684825,828,129794,3.1375899555963866
https://openalex.org/I3923682,Soochow University,CN,education,https://www.suda.edu.cn,124104,11082192,636,201426,5.449148309106349
https://openalex.org/I23946033,University of Tehran,IR,education,http://www.ut.ac.ir/en,123625,4577572,389,98081,4.084414363602181
https://openalex.org/I44260953,Heinrich Heine University Düsseldorf,DE,education,http://www.uni-duesseldorf.de/home/en/home.html,123585,10453146,854,136928,3.723195251431677
https://openalex.org/I126596746,Jagiellonian University,PL,education,https://www.uj.edu.pl,123160,5084874,532,97264,2.561610670469061
https://openalex.org/I15057530,Université de Bordeaux,FR,education,https://www.u-bordeaux.fr,122273,8305096,683,127628,2.994055994953661
https://openalex.org/I165690674,Oregon Health & Science University,US,education,https://www.ohsu.edu,121672,12425477,952,134800,2.2588695954476425
https://openalex.org/I173304897,Universidad de Granada,ES,education,https://www.ugr.es,121623,6780400,577,117268,2.493272650951108
https://openalex.org/I904495901,Ruhr University Bochum,DE,education,https://www.ruhr-uni-bochum.de,121432,7531190,639,126430,2.9299590262713906
https://openalex.org/I204722609,Queen's University,CA,education,http://www.queensu.ca/,121074,8166973,766,109714,3.0912556428690854
https://openalex.org/I38877650,Zhengzhou University,CN,education,https://www.zzu.edu.cn,120378,7268859,489,152269,5.584600820950138
https://openalex.org/I1292875679,Commonwealth Scientific and Industrial Research Organisation,AU,government,https://www.csiro.au,120159,9211578,794,121277,3.478934063619128
https://openalex.org/I203951103,Keio University,JP,education,https://www.keio.ac.jp,119906,7382350,699,126386,2.377528445006321
https://openalex.org/I913958620,Erasmus University Rotterdam,NL,education,https://www.eur.nl,119436,12359397,957,136520,3.1511330661876467
https://openalex.org/I121820613,Louisiana State University,US,education,http://www.lsu.edu/,119256,8410758,819,109852,3.677219183845183
https://openalex.org/I191208505,Xiamen University,CN,education,https://www.xmu.edu.cn,119075,9522615,658,164866,5.960426082032543
https://openalex.org/I25254941,Beijing Normal University,CN,education,https://www.bnu.edu.cn,118795,6612936,586,118060,4.565860195891133
https://openalex.org/I140172145,University of Connecticut,US,education,http://uconn.edu/,118564,8317697,688,118756,3.216266303017588
https://openalex.org/I1334819555,Memorial Sloan Kettering Cancer Center,US,healthcare,https://www.mskcc.org/,118107,30535072,1781,215229,5.414314776080914
https://openalex.org/I4210140884,National Cancer Institute,US,government,http://www.cancer.gov/,117891,28773409,1484,239312,5.465797292835919
https://openalex.org/I193531525,George Washington University,US,education,http://www.gwu.edu/,117739,6422937,750,84983,2.7944573574110496
https://openalex.org/I131249849,Oregon State University,US,education,https://oregonstate.edu,117483,8224222,808,109176,2.695037700840867
https://openalex.org/I23923803,University of Exeter,GB,education,https://www.exeter.ac.uk,117472,7435648,796,88405,3.9817969712977637
https://openalex.org/I121934306,Tufts University,US,education,https://www.tufts.edu,117282,12817569,980,128261,2.8743065979246882
https://openalex.org/I197347611,Korea University,KR,education,https://www.korea.ac.kr,117109,9709871,650,171030,5.524195891263748
https://openalex.org/I1282105669,Argonne National Laboratory,US,facility,https://www.anl.gov,117094,14036092,981,166481,4.422579193158161
https://openalex.org/I4210126298,Duke Medical Center,US,healthcare,https://www.dukehealth.org/locations/duke-university-medical-center,117020,19300231,1068,194772,4.224445564516129
